ORF	hap alpha | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017	hap a | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017
YDL202W	-0.368	-2.809
YBL045C	-2.031	-1.132
YJL063C	-2.393	-0.762
YOR357C	-1.567	-1.578
YFR008W	-0.446	-2.693
YNR048W	-1.646	-1.481
YMR035W	-2.093	-1.032
YJL123C	-1.088	-2.034
YMR150C	-2.169	-0.952
YOR065W	-1.767	-1.351
YIL097W	NaN	-1.558
YLR028C	-1.894	-1.218
YDL032W	-2.253	-0.853
YHR077C	-1.341	-1.755
YDR237W	-2.063	-1.022
YDR334W	-1.050	-2.017
YLR393W	-2.529	-0.536
YLR350W	0.359	-3.409
YEL033W	-1.708	-1.337
YDR230W	-1.673	-1.367
YGR162W	-0.501	-2.520
YEL061C	-1.661	-1.346
YAL011W	-1.199	-1.800
YLR038C	-0.957	-2.039
YDL033C	-1.865	-1.101
YKL080W	NaN	-1.476
YIL066C	-0.258	-2.694
YGL083W	-1.514	-1.437
YDL099W	-1.129	-1.819
YMR228W	-2.554	-0.370
YBR191W	-1.536	-1.385
YMR098C	-2.980	0.067
YDR377W	-2.871	-0.039
YMR188C	-2.940	0.030
YOR309C	-1.740	-1.161
YDR505C	-1.820	-1.074
YDR204W	-2.170	-0.723
YBL072C	-1.187	-1.703
YOR305W	-1.773	-1.101
YOR014W	-1.689	-1.175
YCR024C	-2.647	-0.208
YJL096W	-1.772	-1.083
YDR529C	-1.943	-0.909
YGL088W	-1.166	-1.658
YJR134C	-0.559	-2.257
YDL061C	NaN	-1.407
YMR072W	-1.996	-0.814
YDR410C	-1.403	NaN
YNR032W	-1.026	-1.780
YDL067C	-1.758	-1.043
YOR136W	-1.300	-1.497
YJL042W	-2.112	-0.683
YEL048C	-1.208	-1.582
YOR158W	-2.444	-0.337
YML116W-A	-1.209	-1.570
YPR066W	-2.442	-0.334
YHR120W	-2.507	-0.263
YBR003W	-3.174	0.418
YDR349C	-1.473	-1.270
YJL179W	NaN	-1.368
YDL137W	-1.186	-1.550
YGR220C	-1.723	-1.003
YDR065W	-1.914	-0.799
YDL172C	-1.570	-1.115
YOL121C	-0.866	-1.810
YOR330C	-2.554	-0.120
YOR246C	-0.873	-1.777
YGR183C	-2.291	-0.334
YMR267W	-1.500	-1.092
YPL037C	-0.562	-2.024
YCR067C	-0.845	-1.741
YKR059W	-0.810	-1.776
YNL184C	-1.339	-1.235
YNR041C	-2.303	-0.270
YLR226W	NaN	-1.286
YGR247W	-0.878	-1.683
YLR441C	-1.149	-1.397
YDR136C	-1.933	-0.599
YIL107C	-1.140	-1.388
YPL174C	-1.394	-1.121
YDR332W	-2.072	-0.438
YGR222W	-3.364	0.860
YPR057W	0.134	-2.636
YBL090W	-2.249	-0.252
YOR150W	-1.938	-0.562
YLR085C	-1.264	-1.225
YBR048W	-1.581	-0.906
YML117W	-1.413	-1.055
YIL101C	-0.930	-1.534
YOL018C	-2.308	-0.151
YNL213C	-2.276	-0.182
YDR128W	-1.032	-1.407
YKL053C-A	-1.149	-1.285
YKL040C	-1.268	-1.163
YLL018C-A	-2.196	-0.232
YKL039W	-1.046	-1.383
YHR105W	-0.890	-1.529
YIL157C	-4.128	1.729
YGL057C	-1.397	-1.002
YJR097W	-0.631	-1.767
YLR319C	-0.907	-1.487
YJL003W	-2.320	-0.068
YMR115W	-0.944	-1.443
YMR083W	-0.878	-1.509
YNL059C	NaN	-1.191
YBL008W	-1.022	-1.350
YML090W	-1.334	-1.036
YDR350C	-1.015	-1.354
YHR013C	-0.664	-1.703
YJR095W	-0.842	-1.522
YPL161C	-1.290	-1.068
YOR350C	-3.593	1.238
YBR189W	-2.513	0.166
YNL297C	-0.227	-2.109
YDR200C	-0.803	-1.527
YIL110W	0.658	-2.988
YIL124W	-1.362	-0.967
YOR242C	-0.370	-1.958
YML081C-A	-1.595	-0.730
YDR389W	-1.179	-1.144
YOR037W	-1.464	-0.837
YLR067C	-1.151	NaN
YGR148C	-1.025	-1.263
YBR034C	-1.006	-1.278
YLR061W	-0.984	-1.293
YBR103W	-1.194	-1.077
YKL191W	-0.556	-1.714
YHR203C	-1.308	-0.960
YKR019C	-2.996	0.733
YJR004C	-0.347	-1.911
YMR029C	-0.822	-1.433
YKL205W	-0.721	-1.528
YKR088C	-1.120	-1.126
YJL136C	-0.639	-1.603
YHL038C	-1.572	-0.656
YOL008W	NaN	-1.112
YOR125C	-0.145	-2.076
YER020W	-0.643	-1.574
YPR100W	-2.143	-0.069
YJL006C	-1.834	-0.377
YGL213C	-0.849	-1.349
YCR095C	-0.864	-1.332
YCL057W	-1.622	-0.558
YJR145C	-0.832	-1.338
YDR105C	-0.214	-1.953
YDR393W	-1.798	-0.366
YLR241W	-0.897	-1.260
YDR296W	-2.572	0.416
YGR178C	-0.849	-1.301
YJL115W	-1.020	-1.122
YKL208W	-1.947	-0.190
YKL148C	-1.199	-0.935
YLR180W	-0.083	-2.045
YDR277C	-0.581	-1.540
YCL044C	-1.267	-0.850
YKR074W	-0.540	-1.573
YER153C	-0.213	-1.894
YPL069C	-0.157	-1.902
YDL151C	-0.990	-1.067
YGR112W	-1.496	-0.551
YBR231C	-0.766	-1.277
YOL071W	-1.032	-1.011
YLR418C	-0.788	-1.245
YML030W	-0.792	-1.241
YBR215W	-1.039	-0.992
YLR309C	-1.213	-0.817
YNL080C	-1.181	-0.841
YNL041C	0.126	-2.142
YBL048W	-0.344	-1.670
YDR463W	-0.839	-1.174
YLR238W	-0.724	-1.285
YNR047W	-0.381	-1.620
YCR071C	-2.232	0.231
YJL180C	-1.995	0.005
YAL002W	-1.108	-0.878
YGL031C	-1.270	-0.714
YPL184C	-1.321	-0.660
YLR176C	-1.165	-0.809
YDR194C	-1.416	-0.557
YHR194W	-0.950	-1.022
YBL099W	-1.187	-0.780
YDR255C	-0.445	-1.519
YNL210W	-0.978	NaN
YMR202W	-1.829	-0.120
YIL057C	-0.946	-1.000
YNL071W	-0.927	-0.999
YMR039C	-1.156	-0.759
YPL132W	-0.957	NaN
YHR004C	-1.590	-0.323
YMR004W	-1.066	-0.838
YOR123C	-0.955	-0.948
YOL033W	-2.432	0.535
YJR048W	-0.642	-1.251
YJL102W	-1.373	-0.518
YHL020C	-1.908	0.020
YJR120W	-1.023	-0.863
YOR201C	-0.241	-1.645
YGR141W	-1.818	-0.063
YGL223C	-0.939	NaN
YOR038C	-1.356	-0.515
YNL081C	-2.596	0.725
YDR149C	0.419	-2.290
YPR099C	-1.941	0.072
YLL019C	-0.326	-1.543
YOR334W	-0.928	-0.939
YLR292C	-1.325	-0.538
YIL148W	-1.501	-0.356
YER095W	-0.765	-1.091
YOR235W	-1.079	-0.772
YBR282W	-1.725	-0.125
YPL104W	-2.439	0.590
YBR026C	-2.941	1.098
YHR193C	-1.222	-0.619
YBR181C	-0.592	-1.248
YMR266W	-0.517	-1.318
YBR083W	-0.949	-0.878
YDR457W	-0.960	-0.866
YPR017C	-1.059	-0.763
YPR020W	-0.931	-0.881
YMR064W	-1.883	0.077
YCR005C	-1.196	-0.596
YER140W	-1.331	-0.458
YDR029W	-0.997	-0.787
YGR165W	-0.015	-1.769
YML129C	-2.488	0.707
YJL053W	-0.938	-0.837
YNR015W	-0.921	-0.855
YHR059W	-0.007	-1.767
YHR206W	-1.195	-0.573
YHL034C	-1.208	-0.557
YMR158W-B	-1.083	-0.680
YAL009W	-1.672	-0.088
YBR221C	-0.659	-1.096
YBL093C	NaN	-0.877
YFL033C	0.103	-1.854
YMR021C	-0.522	-1.228
YGL226W	-0.644	-1.106
YPL183W-A	-0.460	-1.285
YBL102W	-0.617	-1.127
YJL146W	-0.629	-1.112
YPL259C	-0.710	-1.031
YEL043W	-0.748	-0.989
YDR431W	-0.737	-0.997
YBR179C	-1.267	-0.462
YNL229C	-0.482	-1.245
YMR130W	0.445	-2.150
YJR069C	-0.495	-1.203
YML052W	-0.688	-1.007
YKL118W	-1.987	0.299
YBL031W	NaN	-0.841
YBR061C	0.738	-2.419
YBR119W	-1.685	0.006
YER065C	-0.829	-0.844
YNR018W	-0.524	-1.135
YGL049C	-1.085	-0.570
YDR025W	NaN	-0.826
YML089C	-0.928	-0.709
YOR265W	-0.587	-1.048
YOR344C	-1.395	-0.239
YLR062C	-0.374	-1.254
YHR044C	-0.804	-0.823
YPL135W	-0.988	-0.637
YBL089W	-0.391	-1.232
YCL038C	-1.122	-0.496
YPL215W	-1.826	0.209
YCR101C	-1.246	-0.368
YDR156W	-0.614	-0.996
YOR154W	-0.688	-0.920
YMR193W	-1.457	-0.151
YJR126C	-0.285	-1.320
YJL103C	-0.050	-1.555
YHR139C	-0.342	-1.262
YHR049W	-1.318	-0.285
YLR083C	-0.416	-1.184
YGR166W	-1.843	0.245
YIL103W	-0.748	-0.842
YIL134W	1.148	-2.737
YNL224C	-1.095	-0.493
YOR179C	-0.983	-0.599
YMR282C	-2.078	0.497
YNR037C	-1.515	-0.064
YBL037W	-0.837	-0.741
YCL001W	-1.011	-0.567
YOR227W	-0.593	-0.976
YBR214W	-0.390	-1.174
YIR027C	-0.909	-0.647
YNL037C	-0.566	-0.990
YDL069C	0.302	-1.842
YLR250W	-0.708	-0.821
YGL212W	-1.355	-0.174
YPR140W	-0.821	-0.704
YNR034W	-0.737	-0.788
YER024W	-0.726	-0.797
YDR322W	-0.470	-1.050
YOR128C	0.350	-1.869
YLR184W	-0.827	-0.688
YDR314C	-0.274	-1.237
YGR054W	-0.284	-1.225
YBL002W	-0.271	-1.234
YLR202C	NaN	-0.749
YDL157C	-0.673	-0.826
YPL260W	-0.448	-1.050
YNL107W	-1.839	0.343
YGL070C	NaN	-0.747
YOR089C	-0.646	-0.848
YJL047C	-0.246	-1.244
YOR064C	-0.657	-0.829
YML106W	-0.825	-0.660
YDR284C	-0.319	-1.162
YHL005C	-1.363	-0.117
YOR295W	-0.740	NaN
YBL067C	0.394	-1.871
YIL043C	-1.055	-0.413
YDR022C	-0.679	-0.783
YOR106W	-1.715	0.254
YEL012W	-0.421	-1.038
YKR047W	-1.052	-0.402
YKL149C	-0.730	-0.720
YOR371C	-0.918	-0.530
YFL048C	-0.786	-0.662
YCR003W	-0.477	-0.962
YJR144W	-0.848	-0.586
YJR077C	-0.675	-0.759
YLR201C	-1.763	0.331
YDR107C	-0.823	-0.603
YOR297C	-0.766	-0.659
YEL050C	NaN	-0.712
YKR057W	-0.803	-0.619
YER070W	-1.238	-0.184
YLR114C	-0.753	-0.665
YNL085W	-0.757	-0.658
YDL224C	-1.222	-0.193
YJR014W	-0.887	-0.523
YNL005C	-1.857	0.449
YKL006W	-0.055	-1.351
YDR163W	-0.693	-0.711
YDL001W	-0.354	-1.047
YDR116C	-0.646	-0.754
YBR162W-A	-0.399	-0.999
YLR040C	-0.683	-0.715
YLR168C	-1.267	-0.129
YNL154C	-0.547	-0.843
YMR192W	-0.607	-0.781
YNR009W	-1.055	-0.331
YJL118W	-1.045	-0.340
YDR337W	-0.990	-0.395
YDR316W	-0.435	-0.949
YGR257C	NaN	-0.692
YLL029W	-0.778	-0.605
YIL041W	-0.789	-0.586
YML026C	-0.064	-1.307
YDL078C	-0.890	-0.482
YKR024C	-0.245	-1.120
YKR048C	-0.910	-0.454
YPR163C	-0.868	-0.490
YLR023C	-0.275	-1.079
YIL123W	-0.332	-1.019
YLR269C	-1.945	0.598
YLR183C	-0.640	-0.705
YLR374C	-0.043	-1.292
YGL215W	-1.055	-0.275
YBR120C	-0.385	-0.944
YCR047C	-2.236	0.908
YOL046C	0.155	-1.477
YGL180W	-0.392	-0.927
YDL182W	-0.454	-0.863
YJR063W	-1.233	-0.081
YDR075W	-0.695	-0.619
YGR243W	NaN	-0.656
YFR049W	-1.201	-0.109
YLR268W	-0.587	-0.723
YKR065C	-0.776	-0.531
YGL227W	-0.604	-0.702
YAR035W	-0.858	-0.442
YML060W	-0.393	-0.904
YDL044C	-1.522	0.226
YDR140W	-1.066	-0.226
YLR270W	0.525	-1.816
YGR084C	-0.718	-0.572
YMR159C	-0.769	-0.515
YAL040C	-0.790	-0.493
YDL227C	-0.193	-1.084
YBR163W	0.082	-1.355
YIR037W	-0.519	-0.754
YOL095C	-2.814	1.543
YLR107W	-0.537	-0.733
YDR283C	0.010	-1.277
YNL098C	-0.547	-0.718
YDR375C	-0.897	-0.366
YOR304C-A	-0.462	-0.801
YJR058C	-0.565	-0.695
YML009C	-0.822	-0.438
YDL177C	-0.556	-0.704
YAR037W	-0.750	-0.506
YLR261C	-1.518	0.264
YLR254C	-0.899	-0.350
YDR383C	-0.386	-0.858
YDR150W	-0.160	-1.078
YGR089W	-0.065	-1.172
YPR198W	0.268	-1.504
YPL197C	-0.667	-0.565
YDR205W	-0.497	-0.733
YDR418W	0.161	-1.391
YGR149W	-0.589	-0.637
YPL236C	-0.934	-0.288
YOR135C	-0.439	-0.780
YBR007C	-0.488	-0.731
YPL060W	-0.925	-0.292
YIL079C	0.633	-1.848
YPL232W	-0.841	-0.373
YJL004C	-0.988	-0.225
YNL170W	-1.439	0.229
YGR174C	-0.001	-1.208
YJR008W	-0.256	-0.950
YGR276C	-0.350	-0.854
YIL087C	-0.789	-0.415
YDR178W	-0.311	-0.890
YPL189W	-0.459	-0.736
YDR532C	-0.642	-0.553
YDR304C	-0.271	-0.923
YOR195W	-0.366	-0.827
YIL089W	-0.735	-0.457
YOR258W	-3.224	2.041
YPL138C	-0.263	-0.920
YKL138C	NaN	-0.588
YGR231C	-0.714	-0.462
YIL125W	-2.520	1.344
YNL014W	-0.298	-0.873
YIL023C	0.316	-1.486
YGL080W	NaN	-0.585
YGR076C	-0.955	-0.214
YML103C	-0.225	-0.941
YHR047C	-0.759	-0.405
YGR285C	-0.581	NaN
YML036W	-0.667	-0.496
YGR144W	-0.860	-0.302
YGR284C	0.129	-1.291
YBR146W	-1.531	0.372
YOR045W	-0.869	-0.288
YDR319C	-0.421	-0.734
YPR197C	-0.171	-0.983
YOL138C	-0.491	-0.653
YLR190W	-0.401	-0.743
YPL249C	-0.521	-0.620
YNL073W	-1.780	0.640
YBL059W	-0.488	-0.650
YLR128W	-0.777	-0.358
YLR289W	-0.136	-0.996
YIL099W	-0.413	-0.718
YDR409W	-0.435	-0.695
YML110C	-1.948	0.818
YGL203C	-0.452	-0.675
YIL009C-A	-0.869	-0.258
YBL087C	-0.872	-0.253
YML115C	-1.070	-0.053
YDL142C	-0.808	-0.314
YGL194C	-0.554	-0.567
YDR347W	-1.434	0.314
YDR278C	-0.163	-0.957
YDR411C	-0.520	-0.599
YBR212W	-0.190	-0.930
YLR126C	-0.605	-0.513
YML062C	-0.559	-0.559
YIL119C	-0.450	-0.668
YKL167C	-0.858	-0.259
YAR014C	-0.991	-0.125
YMR060C	-0.951	-0.165
YKR013W	-0.426	-0.685
YDL104C	-0.623	-0.487
YHR091C	NaN	-0.553
YNR039C	-0.218	-0.885
YPL191C	-0.408	-0.694
YOR023C	0.133	-1.233
YBR129C	0.283	-1.382
YLR057W	-0.361	-0.737
YBR170C	-1.073	-0.023
YML061C	-0.973	-0.122
YPR130C	-0.726	-0.368
YBL071C	-0.332	-0.761
YOR205C	-0.261	-0.831
YJL101C	-1.525	0.435
YDR036C	0.050	-1.137
YOR113W	-0.806	-0.279
YGR028W	-0.240	-0.844
YLR193C	-0.590	-0.493
YFL046W	-0.405	-0.677
YER038W-A	-1.201	0.121
YPR123C	-1.997	0.917
YFL007W	-0.330	-0.380
YNL302C	-0.409	-0.670
YJL207C	-1.935	0.856
YML100W	-0.713	-0.364
YJR129C	-0.590	-0.487
YOR368W	-0.738	-0.338
YJL154C	-1.159	0.087
YOL087C	-0.683	-0.386
YPL264C	-0.685	-0.382
YER114C	-0.373	-0.694
YDL236W	-0.231	-0.835
YGR176W	0.066	-1.130
YCL026C	-0.443	-0.620
YHR039C	-0.429	-0.630
YHR167W	-1.272	0.215
YPR199C	-0.275	-0.781
YGR205W	-0.063	-0.991
YOR200W	-0.163	-0.888
YPL274W	-0.770	-0.278
YLR174W	-0.783	-0.261
YNR070W	-0.835	-0.203
YLR003C	-0.728	-0.310
YDR491C	-0.469	-0.565
YIL014C-A	-0.789	-0.245
YER174C	-0.278	-0.755
YCL063W	-0.226	-0.578
YAL037W	-0.889	-0.143
YIL053W	-0.642	-0.389
YGL143C	-2.086	1.057
YMR140W	0.392	-1.420
YGR287C	-0.361	-0.666
YHR009C	-0.686	-0.342
YER119C	-0.361	-0.661
YCR006C	-0.474	-0.547
YKL194C	-1.566	0.546
YDR004W	-0.509	-0.511
YGR018C	-0.476	-0.541
YDR070C	-0.247	-0.769
YDR268W	-0.424	-0.589
YCR082W	-0.427	-0.585
YBR184W	-0.650	-0.361
YDL101C	-0.149	-0.860
YDR076W	-0.324	-0.685
YCL011C	-0.510	-0.499
YOR072W	-0.549	-0.459
YFR033C	-0.465	-0.540
YGL220W	-0.988	-0.015
YDL070W	-0.050	-0.952
YKL046C	-0.477	-0.526
YPR157W	-0.283	-0.720
YMR101C	-0.484	-0.517
YPL121C	-0.440	-0.558
YDR385W	-0.420	-0.579
YNL242W	-0.505	-0.492
YKR050W	-0.779	-0.218
YNL130C	-0.646	-0.348
YGL104C	-0.491	-0.504
YJR104C	NaN	-0.497
YCL002C	-0.798	-0.194
YOR085W	-0.476	-0.516
YIL032C	-0.599	-0.392
YBL011W	-0.429	-0.561
YOR226C	-0.208	-0.781
YLL043W	-1.310	0.323
YKL187C	-0.303	-0.683
YLR089C	-0.440	-0.546
YDL180W	0.055	-1.040
YMR138W	0.033	-1.017
YGL250W	-0.942	-0.041
YGL151W	-1.096	0.113
YPL202C	-0.046	-0.934
YKL009W	0.202	-1.181
YLR172C	-1.054	0.080
YGL148W	-0.795	-0.177
YOR050C	-0.224	-0.748
YOR144C	-0.031	-0.941
YDR199W	-0.306	-0.665
YML035C	-0.809	-0.161
YIL070C	-0.785	-0.183
YDR513W	-0.333	-0.633
YDL223C	-0.321	-0.644
YNL201C	-0.166	-0.798
YHR162W	-1.653	0.689
YDR432W	-0.824	-0.140
YNL217W	-0.358	-0.605
YPR129W	-0.613	-0.347
YPL091W	-0.560	-0.400
YPR023C	-0.458	-0.501
YFL036W	-0.427	-0.531
YPR031W	-0.408	-0.549
YER128W	-0.317	-0.638
YBL028C	-0.364	-0.589
YGR230W	-0.336	-0.616
YAL026C	-2.705	1.755
YDL010W	-0.421	-0.529
YDR095C	-0.257	-0.693
YMR136W	-0.213	-0.736
YGL211W	-0.365	-0.584
YDR441C	-0.271	-0.677
YBL049W	-0.556	-0.389
YLR237W	-0.846	-0.094
YGR132C	-0.347	-0.593
YOR061W	-0.588	-0.351
YKR061W	-0.658	-0.280
YHR135C	-0.790	-0.149
YNL228W	-0.760	-0.174
YNL307C	-0.809	-0.122
YER060W	-0.388	-0.540
YPR013C	-0.537	-0.391
YDR450W	-0.261	-0.664
YAR040C	-0.683	-0.240
YDL035C	-0.167	-0.756
YDR165W	-0.309	-0.613
YPL039W	-0.373	-0.548
YKL126W	-0.510	-0.411
YHL010C	-0.576	-0.345
YHR045W	-0.179	-0.741
YBR213W	-0.246	-0.672
YDL053C	-0.323	-0.595
YDR030C	0.064	-0.981
YAL042C-A	-0.359	-0.557
YKL056C	-0.475	-0.441
YAL048C	-0.581	-0.334
YOR055W	-0.344	-0.570
YNL206C	-0.423	-0.491
YIL086C	-0.460	-0.454
YHR152W	-0.457	-0.456
YJL045W	-0.022	-0.889
YLR043C	-0.370	-0.540
YLR388W	-0.174	-0.735
YMR166C	-0.466	-0.441
YBR126C	-0.106	-0.801
YHR132C	-0.499	-0.407
YER019C-A	-0.589	-0.317
YML024W	-0.180	-0.724
YDR447C	-0.744	-0.160
YOL117W	-0.659	-0.245
YOR155C	NaN	-0.452
YHR064C	0.295	-1.198
YNL109W	-0.547	-0.355
YGR225W	-0.295	-0.607
YOR193W	-0.327	-0.574
YOL002C	-0.451	-0.450
YER142C	-0.564	-0.337
YMR157C	-0.224	-0.677
YER077C	-0.660	-0.241
YLR096W	-0.278	-0.621
YPL073C	NaN	-0.449
YNL327W	-0.407	-0.488
YGR071C	-0.853	-0.041
YFR047C	-0.538	-0.356
YBR132C	-0.630	-0.262
YMR180C	0.063	-0.954
YBR207W	-0.462	-0.426
YOR188W	-0.754	-0.132
YDR357C	-0.226	-0.660
YNL055C	-0.021	-0.864
YKL062W	-0.448	-0.437
YML104C	-0.880	-0.004
YER091C	-0.160	-0.723
YHR199C	-0.432	-0.450
YMR019W	-0.322	-0.559
YDR008C	0.668	-1.547
YOR369C	NaN	-0.438
YKR087C	-0.607	-0.270
YLR048W	-0.299	-0.577
YKL020C	-0.429	-0.445
YAL029C	-0.431	-0.443
YNL320W	-0.158	-0.712
YDR306C	-0.329	-0.540
YER033C	-0.410	-0.455
YCR091W	-0.468	-0.396
YGR244C	-0.352	-0.510
YNL135C	-0.391	-0.471
YMR054W	-0.022	-0.839
YPL081W	-0.296	-0.566
YMR186W	-0.073	-0.788
YBR240C	-0.523	-0.337
YMR232W	-0.180	-0.677
YDR144C	0.221	-1.078
YMR199W	-0.370	-0.487
YDR155C	-0.345	-0.511
YBR185C	0.110	-0.964
YKL177W	NaN	-0.427
YDL122W	-0.378	-0.475
YOR187W	-2.148	1.295
YOR153W	-0.333	-0.520
YFR045W	-0.426	NaN
YMR230W	-0.567	-0.284
YBR009C	-0.545	-0.305
YCR102C	-0.641	-0.208
YHL024W	-0.304	-0.542
YDR101C	-0.237	-0.608
YDL112W	-0.500	-0.344
YLR004C	-0.420	-0.423
YJR113C	-2.157	1.314
YER048C	-0.509	-0.333
YGR035C	NaN	-0.421
YGR295C	-0.316	-0.525
YNL281W	-0.212	-0.629
YKL188C	-0.248	-0.592
YHR179W	-0.713	-0.125
YHR012W	-0.745	-0.092
YOR299W	-0.176	-0.660
YGL254W	-0.619	-0.216
YBR008C	-0.564	-0.271
YCL033C	-0.205	-0.629
YGR033C	-0.280	-0.553
YMR088C	-0.727	-0.105
YDR309C	-0.388	-0.443
YBR116C	NaN	-0.415
YKR054C	-0.100	-0.730
