orf	hom | mitotic recombination (frequency of Rad52 foci) | minimal complete-leu [standard] | Alvaro D~Rothstein R, 2007
YBL011W	-0.26160036825179983
YBL012C	-0.18708595162929328
YBL013W	-0.23071586829675422
YBL015W	-0.014579973421024652
YBL016W	0.47680069177828605
YBL017C	-0.11056074325118913
YBL019W	0.14442553692746654
YBL021C	-0.20972248270639637
YBL022C	0.3451133428430249
YBL024W	0.08799114875686485
YBL025W	-0.21172966280190308
YBL027W	-0.3595919298375619
YBL028C	-0.2807320540852105
YBL029W	-0.2350763365443755
YBL031W	0.24734009820409528
YBL032W	-0.08472763260944918
YBL033C	-0.3595919298375619
YBL036C	0.030068632703468472
YBL037W	-0.17558555308207532
YBL038W	0.061439610196178586
YBL039C	-0.27288735440303946
YBL042C	0.37643357718438436
YBL043W	-0.04111935468383516
YBL044W	0.06777771940098752
YBL045C	0.06072720488309269
YBL046W	0.08202337437560589
YBL047C	0.07621264668859043
YBL048W	0.004376727480982973
YBL049W	-0.17860205106167346
YBL051C	-0.12301230258050776
YBL052C	0.037068523048516946
YBL053W	-0.28532926657301577
YBL054W	-0.12469017227736628
YBL055C	-0.2238495207556456
YBL056W	0.116971348090317
YBL057C	-0.27150377075248855
YBL058W	0.07393094733505039
YBL059W	-0.09248589906346853
YBL060W	-0.0740647934928414
YBL061C	-0.2742281468066661
YBL062W	-0.2610170851471227
YBL063W	-0.3595919298375619
YBL064C	-0.2534344047863197
YBL065W	-0.2534344047863197
YBL066C	
YBL067C	0.09412242380610357
YBL068W	-0.3595919298375619
YBL069W	-0.3595919298375619
YBL070C	-0.3595919298375619
YBL071C	-0.3595919298375619
YBL072C	-0.06905554548679367
YBL075C	0.012555798431961505
YBL078C	-0.01216730239713273
YBL079W	-0.2103975703060863
YBL080C	-0.21172966280190308
YBL081W	0.01965785431496762
YBL082C	-0.24693496447705995
YBL083C	-0.06905554548679367
YBL085W	-0.2627464683873058
YBL086C	-0.08126295659396879
YBL087C	0.15391423785216807
YBL088C	-0.07307681032209838
YBL089W	0.21146234285187912
YBL090W	0.07167301568310977
YBL091C	-0.11241918494213222
YBL091C-A	0.2814625440202623
YBL093C	1.2259949336937586
YBL094C	-0.1486292048949658
YBL095W	0.06503817036740704
YBL096C	1.0062285986567712
YBL098W	0.19988691840547157
