ORF	hom | mitotic recombination (frequency of Rad52 foci) | minimal complete-leu [standard] | Alvaro D~Rothstein R, 2007
YIL159W	0.840
YGR230W	0.000
YBL085W	0.585
YER114C	7.647
YCR032W	9.048
YLL015W	0.000
YDL074C	6.422
YLR015W	4.839
YDL231C	3.106
YNR051C	1.351
YPL084W	0.000
YPR057W	17.323
YDL037C	13.808
YDR275W	1.026
YNL269W	1.075
YNR069C	2.469
YOL137W	4.706
YBR290W	3.097
YPR171W	6.250
YFL025C	11.024
YGR142W	1.130
YPL069C	17.568
YDR252W	0.463
YGR188C	2.899
YMR055C	24.490
YOR026W	10.884
YGL174W	19.084
YAR014C	1.630
YEL029C	1.058
YNR027W	3.922
YJL188C	11.842
YKL092C	1.802
YLR074C	3.093
YOR078W	8.333
YMR014W	2.632
YCR047C	5.473
YER014C-A	3.543
YDR241W	6.536
YFL023W	22.857
YLR062C	1.990
YCL014W	3.254
YDL151C	2.335
YCR063W	0.556
YGR262C	0.562
YJR092W	6.373
YLR319C	0.386
YOR299W	14.423
YLR353W	1.070
YGR041W	2.703
YMR275C	1.923
YML111W	5.528
YLR226W	19.608
YKL005C	1.333
YHR114W	1.887
YML102W	6.400
YDR423C	4.977
YNL278W	1.010
YGR134W	3.165
YFL028C	9.091
YJR122W	21.333
YOR276W	3.911
YKR036C	12.766
YNL288W	2.139
YER048C	0.452
YPL048W	8.219
YEL063C	6.145
YKL007W	4.255
YIL034C	12.800
YPL111W	4.420
YLR438W	8.397
YML042W	8.421
YOR125C	7.614
YMR280C	6.931
YGR036C	2.357
YPL178W	6.404
YJR060W	13.661
YJL209W	17.722
YHL038C	2.000
YPL215W	1.619
YGR174C	0.581
YBR120C	0.588
YIL043C	6.818
YDL069C	3.750
YDR197W	2.747
YKL208W	28.571
YLR220W	6.931
YDR270W	1.606
YKL011C	2.956
YGR217W	1.255
YKR066C	5.294
YAL021C	3.788
YMR038C	5.856
YLR110C	7.407
YLR390W-A	7.178
YBR131W	0.524
YLR307W	5.742
YLR308W	1.487
YCR002C	1.299
YFR036W	9.043
YDR364C	1.887
YCR094W	2.632
YLR418C	16.667
YGL003C	9.600
YER061C	10.837
YGL029W	5.851
YCL064C	4.444
YLR098C	6.452
YGL206C	5.325
YER164W	1.036
YBR274W	3.000
YPL008W	6.122
YDR254W	12.719
YGR157W	2.000
YBR023C	3.488
YLR330W	1.961
YJL099W	4.412
YHR142W	1.554
YMR198W	4.472
YOR349W	6.322
YPL241C	4.712
YMR138W	6.452
YOR028C	3.509
YEL061C	1.852
YDR022C	9.459
YJL158C	13.000
YNR001C	2.083
YCR005C	11.189
YPR001W	0.847
YIL035C	1.481
YOR061W	14.286
YGL019W	2.614
YOR039W	13.462
YLR133W	1.342
YNL298W	2.682
YGR108W	9.179
YPR119W	5.000
YDL155W	1.105
YLR210W	0.909
YPR120C	13.725
YGR109C	1.515
YGR167W	0.685
YGL215W	4.094
YMR199W	6.364
YPL256C	7.182
YAL040C	7.519
YMR012W	6.796
YFR014C	5.755
YOL016C	3.704
YML057W	7.353
YLR433C	0.000
YKL190W	1.370
YAL058W	0.000
YNL225C	0.694
YFR046C	13.333
YGL223C	5.164
YNL051W	10.377
YNL041C	1.807
YGL005C	2.344
YML071C	15.464
YBR003W	2.871
YNR041C	6.838
YOL096C	1.170
YDR204W	7.143
YML110C	6.044
YGR255C	1.508
YBL045C	2.538
YNL336W	1.724
YNR075W	1.515
YBR203W	2.459
YGL263W	5.128
YGR295C	1.987
YOR316C	6.751
YPL172C	2.907
YPL132W	1.835
YLR038C	0.000
YML129C	3.571
YER141W	12.281
YJL003W	21.547
YLL009C	6.044
YGR062C	0.000
YLL018C-A	2.907
YDR231C	7.177
YHR116W	5.479
YNL052W	0.800
YIL111W	2.469
YHR051W	2.767
YMR256C	7.589
YLR395C	0.943
YDL067C	8.387
YKL179C	2.203
YOR303W	4.252
YJR109C	4.082
YGR247W	0.000
YDR155C	10.000
YHR057C	1.439
YML078W	3.960
YCR069W	0.524
YDR304C	2.094
YLR216C	2.459
YJR032W	1.149
YNR028W	5.521
YJL172W	8.633
YNL130C	1.227
YOR100C	3.922
YDL142C	0.000
YDR223W	9.697
YGR189C	1.942
YLR429W	0.508
YHR146W	1.422
YLR213C	15.238
YOR031W	3.721
YNL027W	2.553
YNR010W	4.545
YLR087C	1.198
YBR036C	1.293
YBR161W	2.198
YMR025W	6.977
YCR086W	2.740
YIL132C	3.106
YMR048W	0.485
YPL200W	3.398
YJR084W	6.593
YDR179C	5.195
YLR380W	8.451
YPR030W	15.238
YIL036W	3.049
YLR394W	5.906
YDR256C	2.804
YMR078C	14.054
YPL018W	36.986
YLR381W	0.503
YPR135W	41.520
YHR191C	5.616
YDR151C	16.552
YPL181W	7.907
YKL139W	10.698
YJL006C	3.067
YML112W	0.000
YMR180C	8.929
YHR109W	0.583
YBR291C	2.326
YPR124W	9.524
YLR286C	0.000
YDR371W	5.882
YGR088W	2.956
YMR264W	7.143
YKL090W	1.299
YGL110C	0.478
YML101C	7.563
YOR042W	10.582
YGR003W	0.980
YGL166W	4.566
YEL027W	9.959
YPL177C	10.274
YNL286W	2.994
YDR163W	2.395
YDR482C	6.809
YPL064C	12.782
YGL027C	2.439
YCR017C	4.124
YKL096W	0.000
YKL096W-A	10.048
YML054C	12.389
YNL111C	7.937
YJR048W	10.938
YOR037W	4.762
YAL039C	5.405
YEL039C	2.913
YBR112C	1.195
YDL117W	2.759
YDR430C	2.381
YAL012W	0.730
YGR155W	2.041
YOR065W	4.598
YKL087C	6.250
YML070W	7.812
YFL053W	19.780
YIR027C	1.333
YIR029W	5.344
YIR032C	1.579
YIR028W	0.704
YJR152W	1.786
YIR031C	6.250
YKR034W	7.353
YIR023W	0.485
YNL314W	0.000
YJR150C	12.676
YLR037C	3.636
YBR301W	2.069
YPL170W	2.128
YHR028C	2.193
YML113W	3.614
YGR092W	6.977
YPR111W	8.088
YPL119C	6.849
YGL078C	2.667
YKR024C	4.132
YKL149C	0.000
YCL016C	5.435
YIR030C	1.093
YOR180C	12.887
YLR270W	0.990
YOR173W	3.049
YKL046C	0.400
YPL194W	19.190
YER143W	3.049
YOR163W	5.172
YOL052C-A	27.922
YMR173W	6.452
YKL054C	5.263
YFL001W	3.497
YBR163W	1.099
YAL013W	4.000
YBR201W	0.000
YIL049W	2.326
YOR030W	7.407
YMR238W	2.586
YDR411C	7.643
YOR245C	7.732
YDL160C	6.993
YMR316W	2.646
YOR080W	6.818
YDL024C	5.263
YHR011W	3.409
YLR348C	12.299
YKR035W-A	4.587
YKL002W	1.105
YGR227W	1.290
YPL049C	9.559
YDR480W	2.027
YDR263C	2.564
YPL265W	5.687
YDR403W	7.383
YDR402C	6.429
YIR004W	0.000
YDL174C	4.803
YDL178W	3.571
YEL071W	0.000
YJL065C	7.944
YHR115C	0.000
YNL116W	4.211
YER179W	9.091
YER166W	3.483
YDR093W	10.638
YMR162C	5.357
YOR005C	10.929
YLL001W	1.198
YKL213C	4.270
YDR069C	2.392
YGL240W	8.442
YHR044C	4.663
YHR043C	8.889
YNL001W	0.493
YDR273W	7.619
YDR068W	8.203
YDR440W	2.857
YIL010W	1.770
YER088C	6.618
YBR278W	0.000
YDR121W	10.236
YKL191W	6.780
YLR172C	9.174
YDR294C	1.794
YDR284C	1.961
YAL026C	10.870
YER124C	2.137
YHR143W	6.135
YOR264W	7.143
YNR067C	0.995
YMR276W	9.434
YPR017C	2.286
YGL043W	6.195
YDL219W	5.806
YBR180W	0.498
YDL101C	3.782
YBR208C	1.000
YHL016C	0.392
YML080W	6.870
YLR401C	12.931
YLR405W	10.274
YKR054C	1.442
YDR424C	6.944
YMR299C	0.855
YPR023C	11.739
YEL018W	7.874
YJR082C	3.279
YNL136W	6.294
YKL204W	4.717
YDR206W	4.000
YLR284C	16.447
YAL059W	3.333
YEL030W	4.598
YDR446W	32.258
YHR021W-A	2.564
YBL043W	1.923
YHR132C	0.680
YBL001C	0.000
YJR137C	6.742
YDR125C	19.412
YLR390W	2.513
YBR065C	2.312
YBL101C	1.310
YLR228C	5.140
YPL021W	8.609
YJL201W	0.559
YJR106W	12.981
YHL030W	3.347
YOR092W	11.392
YLR436C	4.545
YBR176W	2.424
YER176W	11.176
YBR078W	0.450
YHL043W	4.721
YIL146C	3.361
YLR299W	0.435
YNR030W	1.240
YKR076W	10.556
YMR062C	1.852
YMR176W	5.941
YLR443W	10.526
YBR076W	4.094
YGL222C	0.877
YER035W	4.737
YEL015W	10.215
YBL047C	2.632
YOR133W	3.425
YDR385W	10.072
YPL037C	5.785
YHR193C	4.721
YNL327W	1.053
YDR036C	6.034
YBR177C	0.000
YDR147W	4.147
YNL230C	1.604
YPL046C	5.926
YKL160W	7.143
YOR144C	40.876
YKL048C	8.434
YJL196C	5.417
YGR200C	0.521
YPL086C	NaN
YPL101W	1.307
YMR312W	16.062
YDR512C	3.381
YDR516C	3.261
YOL071W	12.834
YGL200C	3.550
YLR080W	2.577
YFL048C	10.667
YLR083C	7.317
YOL158C	5.385
YNL084C	1.807
YGR254W	0.966
YDL161W	0.407
YLR206W	0.000
YJR125C	2.283
YLL038C	7.222
YDR153C	6.186
YIL005W	2.703
YHR123W	2.857
YDR414C	8.000
YLR246W	4.348
YMR202W	6.299
YNL280C	0.500
YER044C	9.231
YLR056W	2.913
YGL012W	5.102
YMR015C	5.286
YML008C	13.274
YFR041C	2.326
YAR002C-A	7.143
YAL007C	13.636
YDL018C	1.523
YOR016C	14.035
YHR110W	1.596
YGL002W	5.556
YCR075C	2.344
YGL054C	3.030
YBR210W	1.724
YPR037C	2.500
YML012W	9.709
YGR284C	8.929
YML067C	2.222
YAL042W	2.597
YNL125C	0.000
YMR219W	6.087
YDR363W	26.891
YOL017W	11.173
YLR233C	1.119
YLR318W	4.317
YIL009C-A	1.724
YBR026C	1.316
YDR518W	4.516
YLR300W	3.145
YDR261C	0.629
YOR033C	7.317
YOR317W	2.381
YIL009W	1.562
YMR246W	4.630
YFR019W	3.012
YNL023C	5.556
YJL157C	NaN
YLR238W	1.117
YNL127W	4.865
YMR052W	3.883
YFR008W	5.988
YMR029C	5.607
YBR041W	0.000
YER183C	9.444
YLR377C	9.852
YJL155C	21.429
YPR062W	9.402
YER056C	1.852
YER060W	1.571
YER060W-A	7.380
YCR034W	3.256
YCR028C	6.923
YBR101C	3.810
YMR058W	9.274
YMR319C	5.419
YFL041W	10.606
YBR040W	0.000
YCR089W	2.410
YNL325C	9.569
YDR130C	15.596
YER032W	9.630
YIL065C	1.527
YDR534C	1.026
YOR382W	7.627
YOR383C	2.667
YIL131C	1.435
YNL068C	1.875
YLR342W	1.818
YMR306W	2.632
YAR050W	0.000
YKR102W	6.178
YER109C	3.782
YBR008C	1.818
YIL134W	2.222
YIL098C	2.000
YHR176W	3.846
YDL222C	1.316
YMR020W	4.032
YBL013W	0.778
YDR110W	8.054
YKR009C	3.158
YNL135C	2.273
YDR519W	2.941
YML074C	3.043
YLR449W	7.143
YLL043W	2.113
YLR214W	10.526
YKL220C	9.314
YOR381W	11.111
YNR060W	0.000
YOR384W	4.103
YLL051C	15.859
YOL152W	2.510
YCL026C-A	5.900
YOR324C	8.696
YAL028W	6.186
YHR049W	0.380
YMR222C	5.714
YOR280C	17.300
YBR207W	1.266
YER145C	4.375
YBL042C	4.444
YPL262W	2.463
YAL035W	5.128
YAL008W	6.250
YAL034C	1.015
YAL031C	2.959
YAL022C	24.828
YAL019W	12.676
YNR002C	3.553
YBR021W	5.738
YCL027W	7.500
YMR232W	0.000
YBL016W	5.051
YDR024W	14.508
YIL097W	3.226
YOR183W	3.196
YHR059W	0.606
YCL058C	5.556
YNL133C	1.087
YLR068W	5.941
YGR196C	1.399
YGL254W	1.307
YBR179C	0.000
YOR178C	18.978
YMR250W	6.034
YBR020W	0.259
YBR019C	1.449
YOL051W	18.919
YLR081W	0.585
YDR009W	3.947
YPL248C	2.632
YBR018C	2.500
YML051W	19.008
YER027C	11.034
YKR039W	7.080
YMR307W	9.286
YLR343W	3.125
YMR215W	17.600
YOL132W	3.977
YOL030W	8.130
YFL021W	6.061
YMR136W	2.703
YLR013W	0.435
YIR013C	0.000
YCL011C	6.329
YGL195W	1.258
YDR283C	3.315
YFR009W	11.243
YKR026C	0.699
YEL009C	22.297
YGR252W	0.000
YNL199C	1.481
YDL226C	2.162
YDR019C	11.058
YMR189W	16.447
YAL044C	3.774
YOR120W	3.759
YEL042W	15.873
YPR184W	7.018
YOR375C	20.207
YDL215C	2.128
YAL062W	2.290
YOR355W	12.121
YJR031C	5.385
YJR040W	5.882
YAL048C	6.195
YMR255W	20.513
YCL036W	3.333
YDR358W	1.744
YHR108W	0.312
YDL198C	4.237
YHR061C	3.763
YDR309C	0.503
YCL039W	5.263
YMR135C	13.913
YEL003W	7.576
YML094W	2.260
YDR507C	3.333
YBR045C	2.778
YER054C	4.762
YDR152W	2.030
YDR096W	9.048
YNL255C	2.500
YLR094C	2.809
YML006C	3.279
YCR098C	7.727
YEL011W	0.741
YMR311C	13.043
YKR058W	4.348
YJL137C	15.909
YCL040W	2.532
YER040W	9.360
YML004C	2.632
YDR272W	0.660
YER122C	13.717
YOR040W	10.526
YPL091W	13.376
YDL171C	3.704
YEL046C	1.932
YKR030W	10.989
YHR183W	11.579
YGR256W	2.970
YDR508C	1.810
YOR320C	7.483
YJL184W	4.327
YHL031C	4.430
YMR292W	6.154
YHR005C	NaN
YER020W	0.595
YOR371C	12.500
YAL056W	4.167
YDL022W	12.849
YOL059W	2.326
YGL121C	0.524
YPR160W	3.488
YDL021W	3.333
YOL056W	5.405
YDL035C	0.585
YKR067W	9.662
YKL026C	0.474
YBR244W	0.840
YOR357C	5.921
YPL223C	4.386
YOL151W	2.691
YHR104W	14.350
YDR517W	4.211
YJR090C	7.368
YCL035C	13.281
YDR098C	4.969
YER174C	7.801
YPL059W	NaN
YGR032W	3.488
YML048W	6.542
YDR108W	3.302
YJL101C	2.551
YOL049W	20.192
YOR185C	5.660
YFR015C	14.184
YLR258W	1.220
YML121W	0.847
YGR163W	8.264
YGL181W	10.127
YIR038C	13.953
YLL060C	6.512
YEL017W	12.857
YDL238C	5.455
YLR289W	5.696
YGL084C	5.882
YPL189W	8.146
YHL032C	2.941
YIL155C	5.732
YMR192W	2.358
YOR070C	2.105
YPL249C	0.901
YJL044C	7.339
YDL234C	6.863
YFL027C	4.348
YJL110C	7.746
YPR008W	0.943
YFL031W	6.122
YPR005C	1.657
YJL165C	5.742
YOL089C	1.515
YJR069C	13.559
YGL237C	0.617
YBL021C	0.905
YKL109W	1.794
YOR358W	13.333
YPL001W	8.219
YEL056W	3.947
YKR084C	10.638
YDL223C	1.389
YNL281W	6.468
YCR065W	6.849
YLR192C	0.833
YKL017C	5.769
YNL021W	0.667
YDR295C	1.181
YPR179C	0.000
YNL014W	0.920
YBL032W	1.660
YOR237W	8.750
YDL013W	2.797
YMR207C	2.358
YPL254W	1.322
YGL251C	7.031
YGR187C	0.000
YBR009C	3.419
YNL030W	4.196
YPL127C	5.076
YBR010W	0.518
YNL031C	4.167
YBL008W	0.885
YOR038C	4.390
YJR140C	4.138
YER055C	5.556
YFR025C	11.719
YOR202W	10.303
YCL030C	3.810
YIL116W	3.684
YIL020C	14.035
YBR248C	1.156
YJR055W	1.529
YDR420W	1.304
YMR161W	5.833
YDR528W	1.266
YER057C	1.807
YML075C	1.896
YLR450W	9.302
YOL095C	1.826
YDR174W	9.444
YOR032C	6.383
YJR147W	5.941
YBR034C	2.128
YLR205C	9.630
YGL077C	2.778
YDL125C	4.545
YDR305C	0.415
YOR258W	1.493
YDL227C	2.857
YJR075W	2.479
YMR032W	0.651
YLR113W	1.747
YNR055C	1.058
YDR158W	0.556
YER052C	4.575
YJR139C	21.429
YIL072W	14.085
YGL033W	4.762
YER062C	4.211
YMR251W-A	6.140
YPR068C	5.851
YGL194C	8.547
YPL116W	2.564
YIL112W	4.167
YMR172W	9.412
YKL084W	0.692
YPR193C	14.815
YEL066W	1.604
YBR215W	1.342
YDR138W	20.974
YJL092W	4.192
YDR399W	11.282
YNL004W	1.810
YOL013C	4.420
YLR207W	6.034
YOR267C	1.818
YMR027W	23.784
YLR097C	2.075
YMR186W	13.710
YOR311C	15.287
YHL002W	1.754
YKL101W	1.124
YBR133C	7.143
YBR272C	1.288
YLL026W	12.500
YFL014W	5.076
YJL159W	4.255
YBR072W	4.592
YCR021C	14.286
YDR533C	4.054
YDR171W	14.815
YDR258C	1.523
YPL240C	3.361
YOL068C	8.929
YPL015C	7.101
YOR025W	30.000
YDR191W	4.040
YGR223C	6.863
YDR225W	10.651
YBL003C	2.907
YBL002W	1.429
YHR067W	1.911
YCR020W-B	2.273
YOL012C	5.926
YGR268C	11.111
YOR284W	0.870
YNR032C-A	0.613
YOR300W	5.836
YJR036C	2.970
YGL141W	23.077
YGL168W	4.167
YPL244C	4.950
YER039C	5.138
YFR053C	10.897
YGL253W	0.826
YHR094C	8.065
YFL011W	7.759
YIL170W	8.475
YNL318C	1.220
YNR072W	0.613
YMR011W	10.236
YDR345C	3.333
YHR092C	1.531
YHR096C	1.571
YJL214W	5.932
YIR037W	4.908
YOR126C	1.010
YIL090W	3.046
YER065C	5.963
YPR006C	9.877
YBR157C	1.887
YJL077C	5.325
YLR099C	5.288
YMR195W	17.600
YPL250C	9.009
YNL037C	1.124
YOR136W	5.263
YDL066W	2.083
YLR174W	14.286
YNL009W	1.604
YJL146W	12.593
YFL013C	8.889
YNL215W	7.042
YLR052W	20.567
YOR189W	3.067
YER092W	0.575
YEL044W	11.382
YOL023W	6.373
YLR384C	1.064
YJR118C	0.995
YER086W	4.587
YCL009C	5.348
YLR432W	3.429
YML056C	2.521
YJR094C	3.497
YJL106W	3.200
YCR046C	3.922
YCR071C	1.053
YLR309C	2.920
YJL082W	2.830
YBR107C	1.093
YMR150C	11.636
YMR035W	9.859
YIL154C	1.600
YDL181W	7.377
YHR046C	0.658
YJL153C	12.712
YDR123C	9.722
YOL108C	1.829
YIL002C	3.590
YNL106C	0.543
YOR109W	5.983
YOL065C	3.086
YLR095C	3.623
YFR013W	6.977
YMR044W	3.937
YDR315C	2.809
YDR072C	11.278
YOL081W	6.731
YHR079C	0.000
YKR019C	3.191
YLL027W	0.485
YPR067W	3.097
YER019W	5.246
YER180C	7.429
YMR081C	9.009
YPL040C	6.667
YOR155C	10.222
YPR106W	10.000
YNL265C	1.478
YIR005W	1.685
YPL135W	1.754
YOR226C	1.361
YBR245C	0.000
YOR304W	5.660
YJR050W	3.261
YGL133W	0.000
YDR497C	0.000
YOL103W	9.804
YML068W	3.361
YDR229W	6.618
YDL115C	10.951
YKL032C	2.564
YDR492W	4.575
YOL002C	22.340
YLR023C	10.500
YOL101C	7.692
YJL073W	10.059
YKL217W	5.000
YPR061C	0.909
YNL227C	1.531
YJL162C	11.321
YJR097W	0.658
YLL057C	3.977
YMR132C	13.287
YMR294W	3.670
YJR091C	6.329
YGL241W	0.467
YPL125W	3.846
YGL016W	4.167
YER110C	13.445
YPR141C	9.524
YCL055W	8.134
YMR065W	7.534
YPL269W	1.042
YCL024W	7.692
YDR017C	11.594
YHR158C	2.041
YGR238C	4.294
YPL263C	2.548
YGL173C	0.957
YPL145C	6.154
YGL203C	0.493
YIL125W	0.559
YDR148C	9.424
YJL094C	6.335
YDR122W	20.497
YLR096W	2.105
YAR018C	3.913
YOR233W	0.826
YCR091W	7.487
YBL063W	0.000
YPL155C	8.491
YGL216W	3.540
YKL168C	0.000
YDL049C	14.634
YLL019C	4.673
YNL322C	2.703
YGR166W	7.004
YDR483W	4.527
YIL027C	14.634
YPR159W	4.444
YHR082C	2.740
YGR040W	1.695
YKL110C	2.151
YOR099W	2.857
YKR061W	9.804
YBR205W	0.000
YBR199W	2.985
YNL029C	0.000
YPL053C	18.667
YIL085C	3.759
YKL008C	4.455
YHL003C	1.415
YOL025W	21.719
YNL239W	0.585
YKL103C	5.691
YJL062W	12.613
YNL071W	2.286
YJL134W	13.534
YOR171C	2.419
YLR260W	24.771
YBL006C	0.546
YPL213W	2.778
YPL054W	5.769
YNL323W	2.793
YOR123C	4.698
YLR451W	2.312
YNL104C	3.125
YOR108W	12.403
YPL055C	4.563
YDL051W	5.233
YKL073W	6.364
YJR070C	8.840
YGL090W	4.202
YHR156C	3.284
YLR239C	0.787
YOR196C	1.402
YFR001W	0.702
YKL205W	2.740
YKL183W	4.520
YLR011W	5.000
YFL018C	10.000
YPL060W	7.143
YDR503C	3.759
YCL051W	5.825
YDL240W	1.626
YNR008W	3.030
YHR081W	6.286
YDR439W	38.983
YGR136W	1.603
YFR024C-A	6.670
YCL034W	3.378
YJL100W	4.348
YOR142W	5.797
YGR244C	1.449
YJL124C	6.857
YHR121W	1.031
YDR378C	9.959
YNL147W	0.000
YPL004C	2.370
YKL176C	2.397
YGR057C	4.098
YAL024C	7.742
YPR073C	4.598
YKL143W	4.425
YNL268W	2.500
YIR034C	1.379
YIL094C	4.580
YDR034C	2.655
YBR115C	4.082
YDL182W	3.540
YDL131W	0.769
YDR234W	7.432
YGL154C	6.897
YNR050C	0.513
YMR021C	1.712
YGL086W	19.679
YJL030W	22.297
YJL013C	28.159
YKL029C	4.327
YDR005C	14.557
YER142C	6.135
YLR427W	6.897
YEL053C	0.000
YPR051W	0.000
YCR020C-A	0.000
YCR019W	2.762
YGR289C	1.130
YGR292W	1.923
YGR288W	3.297
YBR298C	0.386
YBR299W	3.681
YBR297W	2.027
YER106W	3.053
YOL060C	5.521
YIL070C	2.151
YLR244C	1.070
YBL091C	1.493
YBR185C	1.835
YJL199C	3.636
YOR298C-A	1.398
YDL056W	2.703
YKL093W	4.717
YOR197W	5.946
YDL054C	3.061
YKL221W	9.091
YOL119C	5.435
YOR306C	6.147
YNL307C	1.357
YPR046W	6.364
YDR318W	1.240
YJR135C	8.947
YKL150W	2.256
YOR221C	4.945
YBR227C	1.744
YNL173C	6.897
YKL085W	0.885
