orf	hom | growth (pooled culture, barseq) | Auroramycin [1.56 uM] | YPD, HEPES [25 mM], pH 6.8, DMSO | Wong JH~Arumugam P, 2019
YBL007C	-0.152779989071163
YBL008W	-0.398466884829878
YBL009W	-0.0126863409907562
YBL010C	-0.178281699199335
YBL011W	0.680509866158105
YBL012C	0.790970465013705
YBL013W	-0.0290403940813992
YBL015W	0.151301997953389
YBL016W	2.54454443445032e-15
YBL017C	1.15011917287187
YBL019W	0.0749654575755918
YBL021C	0.39213243937531
YBL022C	-0.112628785467934
YBL024W	-0.158908388383786
YBL025W	2.54454443445032e-15
YBL027W	-1.69267527472444
YBL028C	-0.0363880703447503
YBL029W	-0.460151365584843
YBL031W	0.118028650761313
YBL032W	0.0759448168753758
YBL033C	1.30538030307673
YBL036C	-0.475344253118581
YBL037W	-0.137996012836543
YBL038W	0.00143413618272197
YBL039C	0.603947248587153
YBL042C	0.0656014771184324
YBL043W	0.509909386366042
YBL044W	-0.268901312846789
YBL045C	0.0823527584910532
YBL046W	-0.735347958397324
YBL047C	-0.352690329466642
YBL048W	0.165420959411599
YBL049W	-0.37903857488457
YBL051C	0.170460916044282
YBL052C	-0.703966708100308
YBL053W	0.0147696782414899
YBL054W	-0.28623429625629
YBL055C	-0.00411017084051857
YBL056W	-0.0967235778108683
YBL057C	-0.198502459238082
YBL058W	0.00558160373729391
YBL059W	-0.429153185964902
YBL060W	0.150115724579289
YBL061C	-0.0110274550348249
YBL062W	0.11479149701895
YBL063W	0.449517591701473
YBL064C	0.0200984799381466
YBL065W	2.54454443445032e-15
YBL066C	-0.128858566570834
YBL067C	-0.484025218604995
YBL068W	-0.339790350620429
YBL069W	-0.4240533886006
YBL070C	0.0683041044297776
YBL071C	0.189085205093861
YBL072C	0.0313123319292359
YBL075C	2.54454443445032e-15
YBL078C	0.197250935695771
YBL079W	-0.562449016691889
YBL080C	1.33175370041948
YBL081W	-0.560403349009914
YBL082C	-0.403474393083004
YBL083C	-0.129430447648177
YBL085W	-0.0980892524222558
YBL086C	0.205197708064947
YBL087C	0.30306827567339
YBL088C	0.0867063073547257
YBL089W	-0.147707718359029
YBL090W	-0.770975370617284
YBL091C	-0.290038906902612
