orf	hap alpha | replicative lifespan (SEBYL) | standard | SC | Yu R~Dang W, 2021
YDR291W	22.47166667
YDR293C	21.32833333
YDR295C	23.805
YDR297W	18.08
YDR304C	21.41
YDR305C	21.02
YDR309C	20.225
YDR310C	23.21166667
YDR312W	19.94
YDR313C	21.39
YDR314C	20.76
YDR316W	20.64666667
YDR317W	18.39
YDR319C	20.86
YDR321W	21.40333333
YDR326C	21.3375
YDR329C	20.645
YDR333C	27.0
YDR335W	15.19666667
YDR336W	20.405
YDR337W	21.445
YDR338C	21.59666667
YDR340W	22.935
YDR344C	22.01333333
YDR346C	14.07666667
YDR349C	20.43
YDR351W	20.94
YDR352W	21.90833333
YDR354W	21.7
YDR357C	17.38666667
YDR358W	22.12
YDR359C	14.58666667
YDR360W	17.125
YDR363W-A	14.77
YDR370C	21.81666667
YDR371W	21.15333333
YDR372C	23.62333333
YDR374C	21.38333333
YDR378C	14.065
YDR380W	21.41166667
YDR383C	20.58333333
YDR384C	21.615
YDR385W	22.85
YDR386W	17.49
YDR391C	24.205
YDR395W	19.82333333
YDR400W	21.285
YDR402C	23.92333333
YDR403W	22.27833333
YDR406W	21.88
YDR408C	21.65333333
YDR409W	21.10666667
YDR411C	20.53333333
YDR417C	13.10666667
YDR418W	20.785
YDR419W	20.545
YDR420W	20.81
YDR421W	20.575
YDR423C	20.78666667
YDR424C	19.77
YDR425W	20.96
YDR428C	21.755
YDR430C	19.68
YDR436W	21.02833333
YDR438W	21.86166667
YDR440W	19.835
YDR442W	20.45333333
YDR443C	22.76166667
YDR444W	21.575
YDR445C	20.07
YDR447C	18.975
YDR453C	21.34
YDR456W	23.15666667
YDR457W	24.145
YDR463W	19.835
YDR465C	20.45
YDR466W	20.67
YDR469W	17.11
YDR476C	21.36333333
YDR479C	18.49666667
YDR481C	20.77
YDR490C	20.68166667
YDR491C	21.12666667
YDR492W	19.7875
YDR493W	20.31
YDR497C	20.53666667
YDR500C	18.45
YDR501W	23.81
YDR502C	20.91833333
YDR505C	19.955
YDR506C	20.28166667
YDR508C	21.575
YDR509W	19.56666667
YDR512C	20.8125
YDR513W	21.045
YDR514C	19.315
YDR515W	20.84
YDR520C	20.04
YDR521W	19.21666667
