orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YCR016W	27.7777777777778
YCR017C	27.7777777777778
YCR019W	38.8888888888889
YCR020C	50.0
YCR020C-A	16.6666666666667
YCR021C	27.7777777777778
YCR022C	27.7777777777778
YCR023C	5.55555555555556
YCR024C	11.1111111111111
YCR024C-A	5.55555555555556
YCR025C	16.6666666666667
YCR026C	11.1111111111111
YCR027C	22.2222222222222
YCR028C	16.6666666666667
YCR028C-A	22.2222222222222
YCR030C	55.5555555555556
YCR031C	22.2222222222222
YCR032W	33.3333333333333
YCR033W	55.5555555555556
YCR034W	22.2222222222222
YCR036W	27.7777777777778
YCR037C	16.6666666666667
YCR043C	33.3333333333333
YCR044C	11.1111111111111
YCR045C	22.2222222222222
YCR046C	22.2222222222222
YCR047C	22.2222222222222
YCR048W	61.1111111111111
YCR049C	16.6666666666667
YCR050C	16.6666666666667
YCR051W	44.4444444444444
YCR053W	27.7777777777778
YCR059C	16.6666666666667
YCR060W	27.7777777777778
YCR061W	22.22222222222225
YCR063W	22.2222222222222
YCR065W	22.2222222222222
YCR066W	22.2222222222222
YCR067C	33.3333333333333
YCR068W	66.6666666666667
YCR069W	27.7777777777778
YCR071C	16.6666666666667
YCR073C	11.1111111111111
YCR073W-A	16.6666666666667
YCR075C	27.7777777777778
YCR075W-A	16.6666666666667
YCR076C	44.4444444444444
YCR077C	11.1111111111111
YCR079W	22.2222222222222
YCR081W	11.1111111111111
YCR082W	22.2222222222222
YCR083W	33.3333333333333
YCR085W	50.0
YCR086W	16.6666666666667
YCR087C-A	27.7777777777778
YCR087W	27.7777777777778
YCR088W	33.3333333333333
YCR089W	33.3333333333333
YCR090C	27.7777777777778
YCR091W	44.4444444444444
YCR092C	55.5555555555556
YCR094W	16.6666666666667
YCR095C	5.55555555555556
YCR098C	44.4444444444444
YCR099C	11.1111111111111
YCR100C	33.3333333333333
YCR101C	50.0
YCR102C	38.8888888888889
YCR102W-A	44.4444444444444
YCR105W	44.4444444444444
YCR106W	11.1111111111111
YCR107W	16.6666666666667
YDL001W	22.2222222222222
YDL002C	61.1111111111111
YDL006W	11.1111111111111
YDL009C	38.8888888888889
YDL010W	22.2222222222222
YDL011C	33.3333333333333
YDL012C	22.2222222222222
YDL013W	44.4444444444444
YDL018C	33.3333333333333
YDL019C	11.1111111111111
YDL020C	22.2222222222222
YDL021W	100.0
YDL022W	27.7777777777778
YDL023C	66.6666666666667
YDL024C	16.6666666666667
YDL025C	5.55555555555556
YDL026W	33.3333333333333
YDL027C	27.7777777777778
YDL032W	11.1111111111111
YDL033C	27.7777777777778
YDL034W	22.2222222222222
YDL035C	55.5555555555556
YDL036C	38.8888888888889
YDL037C	5.55555555555556
YDL039C	44.44444444444445
YDL040C	33.3333333333333
YDL044C	22.2222222222222
YDL045W-A	11.1111111111111
YDL046W	33.3333333333333
YDL048C	44.4444444444444
YDL049C	27.7777777777778
YDL050C	22.2222222222222
YDL051W	16.6666666666667
YDL052C	33.3333333333333
YDL053C	33.3333333333333
YDL054C	50.0
YDL056W	61.1111111111111
YDL057W	27.7777777777778
YDL063C	100.0
YDL065C	94.4444444444444
YDL066W	44.4444444444444
YDL067C	16.6666666666667
YDL068W	33.3333333333333
YDL070W	33.3333333333333
YDL071C	72.2222222222222
YDL072C	27.7777777777778
YDL074C	61.1111111111111
YDL075W	33.3333333333333
YDL076C	38.8888888888889
YDL077C	22.2222222222222
YDL078C	22.2222222222222
YDL079C	33.3333333333333
YDL080C	27.7777777777778
YDL081C	100.0
YDL082W	50.0
YDL083C	33.3333333333333
YDL085C-A	38.8888888888889
YDL085W	33.3333333333333
YDL086W	66.6666666666667
YDL088C	100.0
YDL089W	27.7777777777778
YDL091C	44.4444444444444
YDL093W	44.4444444444444
YDL094C	33.3333333333333
YDL095W	27.7777777777778
YDL096C	55.5555555555556
YDL099W	22.2222222222222
YDL100C	66.6666666666667
YDL101C	72.2222222222222
YDL104C	11.1111111111111
YDL106C	33.3333333333333
YDL107W	16.6666666666667
YDL109C	22.2222222222222
YDL110C	72.2222222222222
YDL112W	72.2222222222222
YDL113C	16.6666666666667
YDL114W	11.1111111111111
YDL115C	55.5555555555556
YDL116W	77.7777777777778
YDL117W	11.1111111111111
YDL118W	72.2222222222222
YDL119C	55.5555555555556
YDL121C	11.1111111111111
YDL122W	77.7777777777778
YDL123W	5.55555555555556
YDL124W	22.2222222222222
YDL125C	50.0
YDL127W	44.4444444444444
YDL128W	38.8888888888889
YDL129W	55.5555555555556
YDL130W	50.0
YDL130W-A	33.3333333333333
YDL131W	66.6666666666667
YDL133C-A	52.77777777777775
YDL133W	72.2222222222222
YDL134C	66.6666666666667
YDL135C	22.2222222222222
YDL136W	27.7777777777778
YDL137W	16.6666666666667
YDL138W	22.2222222222222
YDL142C	16.6666666666667
YDL144C	27.7777777777778
YDL146W	11.1111111111111
YDL149W	44.4444444444444
YDL151C	61.1111111111111
YDL154W	27.7777777777778
YDL155W	55.5555555555556
YDL156W	27.7777777777778
YDL157C	50.0
YDL159W-A	33.3333333333333
YDL161W	44.4444444444444
YDL162C	66.6666666666667
YDL167C	72.2222222222222
YDL168W	27.7777777777778
YDL169C	72.2222222222222
YDL170W	44.4444444444444
YDL171C	38.8888888888889
YDL172C	88.8888888888889
YDL173W	33.3333333333333
YDL174C	16.6666666666667
YDL175C	50.0
YDL176W	61.1111111111111
YDL177C	11.1111111111111
YDL178W	5.55555555555556
YDL179W	22.2222222222222
YDL180W	33.3333333333333
YDL182W	22.2222222222222
YDL183C	66.6666666666667
YDL184C	22.2222222222222
YDL185W	44.4444444444444
YDL186W	33.3333333333333
YDL187C	27.7777777777778
YDL188C	61.1111111111111
YDL189W	27.7777777777778
YDL190C	16.6666666666667
YDL191W	50.0
YDL192W	11.1111111111111
YDL194W	50.0
YDL197C	27.7777777777778
YDL199C	22.2222222222222
YDL200C	33.3333333333333
YDL201W	11.1111111111111
YDL202W	27.7777777777778
YDL203C	22.2222222222222
YDL204W	33.3333333333333
YDL206W	33.3333333333333
YDL210W	44.4444444444444
YDL211C	22.2222222222222
YDL213C	22.2222222222222
YDL214C	33.3333333333333
YDL215C	33.3333333333333
YDL216C	16.6666666666667
YDL218W	22.2222222222222
YDL219W	16.6666666666667
YDL222C	83.3333333333333
YDL223C	83.3333333333333
YDL224C	100.0
YDL231C	50.0
YDL232W	11.1111111111111
YDL233W	27.7777777777778
YDL234C	33.3333333333333
YDL236W	5.55555555555556
YDL237W	22.2222222222222
YDL238C	22.2222222222222
YDL239C	33.3333333333333
