orf	hap a (post-SGA) | mutation frequency (mother enrichment program (MEP) escape) | estradiol [1 uM] | YPD | Novarina D~Chang M, 2019
YBL029W	0.42956099382723517
YBL031W	-0.16108537268521503
YBL032W	-0.16108537268521503
YBL036C	0.13423781057101272
YBL037W	1.6108537268521408
YBL038W	-1.3423781057101154
YBL039C	1.6108537268521408
YBL039W-B	0.42956099382723517
YBL042C	1.9061769101083634
YBL043W	-0.4564085559414375
YBL044W	-0.4564085559414375
YBL045C	-0.16108537268521503
YBL046W	1.315530543595913
YBL047C	-0.16108537268521503
YBL048W	1.315530543595913
YBL049W	1.0202073603396853
YBL051C	1.315530543595913
YBL052C	0.42956099382723517
YBL053W	0.13423781057101272
YBL054W	1.0202073603396853
YBL055C	-0.7517317391976652
YBL056W	2.201500093364591
YBL057C	0.724884177083463
YBL058W	3.9734391929019415
YBL059W	1.0202073603396853
YBL060W	1.6108537268521408
YBL061C	0.13423781057101272
YBL062W	1.6108537268521408
YBL063W	0.42956099382723517
YBL064C	-0.4564085559414375
YBL065W	-0.16108537268521503
YBL066C	1.9061769101083634
YBL067C	0.724884177083463
YBL068W	-0.16108537268521503
YBL069W	-0.4564085559414375
YBL070C	0.42956099382723517
YBL071C	0.13423781057101272
YBL071C-B	-0.16108537268521503
YBL071W-A	1.9061769101083634
YBL072C	-0.7517317391976652
YBL075C	-0.16108537268521503
YBL078C	0.42956099382723517
YBL079W	-0.16108537268521503
YBL080C	1.0202073603396853
YBL081W	0.42956099382723517
YBL082C	-0.16108537268521503
YBL083C	-0.4564085559414375
YBL085W	-0.4564085559414375
YBL086C	-0.7517317391976652
YBL087C	0.13423781057101272
YBL088C	0.724884177083463
YBL089W	-0.4564085559414375
YBL090W	-1.3423781057101154
YBL091C	1.6108537268521408
YBL091C-A	-0.7517317391976652
YBL093C	2.792146459877041
YBL094C	0.13423781057101272
YBL095W	-0.013423781057101158
YBL096C	0.28189940219912396
YBL098W	-0.30874696431332627
YBL099W	0.42956099382723517
YBL100C	-1.1947165140820026
YBL100W-C	0.42956099382723517
YBL101C	0.5772225854553491
YBL102W	0.42956099382723784
YBL103C	1.315530543595913
YBL104C	-0.013423781057101158
YBL106C	1.315530543595913
YBL107C	0.28189940219912396
YBR001C	-0.013423781057101158
YBR003W	-0.6040701475695525
YBR005W	2.6444848682489273
YBR006W	-0.30874696431332627
YBR007C	1.1678689519677992
YBR008C	1.1678689519677992
YBR009C	1.7585153184802522
YBR010W	1.463192135224027
YBR012C	1.315530543595913
YBR013C	0.5772225854553491
YBR014C	2.3491616849927026
YBR015C	0.13423781057101009
YBR016W	0.42956099382723517
YBR018C	0.724884177083463
YBR019C	-0.013423781057101158
YBR020W	0.724884177083463
YBR021W	3.9734391929019415
YBR022W	0.13423781057101009
YBR023C	-0.6040701475695514
YBR024W	-0.013423781057101158
