ORF	hom | sporulation efficiency | sporulation medium [unknown] | Deutschbauer AM~Davis RW, 2002	hom | growth (culture turbidity) | post-germination (YPD [standard], sporulation medium [unknown]) | Deutschbauer AM~Davis RW, 2002
YBR116C	1.000	1.000
YBR117C	1.000	1.000
YBR118W	1.000	1.000
YBR119W	NaN	0.889
YBR120C	1.000	1.000
YBR121C	1.000	1.000
YBR122C	1.000	1.000
YBR123C	1.000	1.000
YBR124W	1.000	1.000
YBR125C	1.000	1.000
YBR126C	1.000	1.000
YBR127C	1.000	1.000
YBR128C	1.000	1.000
YBR129C	1.000	1.000
YBR130C	1.000	1.000
YBR131W	0.360	NaN
YBR132C	1.000	1.000
YBR133C	NaN	0.777
YBR134W	1.502	NaN
YBR135W	1.000	1.000
YBR136W	1.000	1.000
YBR137W	1.000	1.000
YBR138C	1.000	1.000
YBR139W	1.000	1.000
YBR140C	1.000	1.000
YBR141C	1.000	1.000
YBR142W	1.000	1.000
YBR143C	1.000	1.000
YBR144C	1.000	1.000
YBR145W	1.000	1.000
YBR146W	1.000	1.000
YBR147W	1.000	1.000
YBR148W	1.000	1.000
YBR149W	1.000	1.000
YBR150C	1.000	1.000
YBR151W	1.000	1.000
YBR152W	1.000	1.000
YBR153W	1.000	1.000
YBR154C	1.000	1.000
YBR155W	1.000	1.000
YBR156C	NaN	0.871
YBR157C	1.000	1.000
YBR158W	1.000	1.000
YBR159W	1.000	1.000
YBR160W	1.000	1.000
YBR161W	1.000	1.000
YBR162C	0.342	NaN
YBR162W-A	1.000	1.000
YBR163W	1.000	1.000
YBR164C	1.000	1.000
YBR165W	1.000	1.000
YBR166C	1.000	1.000
YBR167C	1.000	1.000
YBR168W	1.657	NaN
YBR169C	1.000	1.000
YBR170C	1.000	1.000
YBR171W	NaN	0.758
YBR172C	1.000	1.000
YBR173C	1.000	1.000
YBR174C	0.427	NaN
YBR175W	0.382	NaN
YBR176W	1.000	1.000
YBR177C	1.000	1.000
YBR178W	1.000	1.000
YBR179C	1.000	1.000
YBR180W	1.000	1.000
YBR181C	1.000	1.000
YBR182C	1.000	1.000
YBR183W	1.000	1.000
YBR184W	1.000	1.000
YBR185C	1.000	1.000
YBR186W	1.000	1.000
YBR187W	1.000	1.000
YBR188C	1.000	1.000
YBR189W	1.000	1.000
YBR190W	1.000	1.000
YBR191W	1.000	1.000
YBR192W	1.000	1.000
YBR193C	1.000	1.000
YBR194W	1.000	1.000
YBR195C	1.000	1.000
YBR196C	1.000	1.000
YBR197C	1.000	1.000
YBR198C	1.000	1.000
YBR199W	1.000	1.000
YBR200W	1.000	1.000
YBR201W	1.000	1.000
YBR202W	1.000	1.000
YBR203W	1.000	1.000
YBR204C	1.000	1.000
YBR205W	1.000	1.000
YBR206W	1.000	1.000
YBR207W	1.000	1.000
YBR208C	1.000	1.000
YBR209W	1.000	1.000
YBR210W	1.000	1.000
YBR211C	1.000	1.000
YBR212W	1.464	NaN
YBR213W	1.000	1.000
YBR214W	1.000	1.000
YBR215W	1.000	1.000
YBR216C	1.000	1.000
YBR217W	0.363	NaN
YBR218C	1.000	1.000
YBR219C	1.000	1.000
YBR220C	1.000	1.000
YBR221C	1.000	1.000
YBR222C	1.000	1.000
YBR223C	1.000	1.000
YBR224W	1.000	1.000
YBR225W	1.000	1.000
YBR226C	1.000	1.000
YBR227C	1.000	1.000
YBR228W	1.000	1.000
YBR229C	1.000	1.000
YBR230C	1.000	1.000
YBR231C	1.579	NaN
YBR232C	1.000	1.000
YBR233W	1.000	1.000
YBR234C	1.000	1.000
YBR235W	1.000	1.000
YBR236C	1.000	1.000
YBR237W	1.000	1.000
YBR238C	1.000	1.000
YBR239C	1.000	1.000
YBR240C	1.000	1.000
YBR241C	1.000	1.000
YBR242W	1.000	1.000
YBR243C	1.000	1.000
