ORF	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YGR227W	-1.583	3.206	2.428
YGR228W	-1.063	2.539	1.764
YGR230W	-0.707	1.739	1.451
YGR231C	-3.514	4.989	4.501
YGR232W	-2.028	1.385	1.659
YGR233C	-2.754	4.521	3.024
YGR234W	0.866	0.297	0.683
YGR235C	0.919	0.626	-0.681
YGR236C	-0.765	2.135	1.583
YGR237C	-0.988	2.575	1.168
YGR240C	-4.590	5.059	6.174
YGR241C	-1.228	2.066	0.128
YGR242W	-2.234	3.387	1.354
YGR243W	-1.941	1.053	1.686
YGR244C	-2.278	3.423	2.778
YGR247W	-1.471	0.838	-0.105
YGR249W	-2.839	3.932	2.681
YBL001C	0.038	-0.201	-1.462
YOL152W	-1.143	2.060	0.622
YBL003C	-0.487	0.602	1.146
YBL005W	0.355	-0.032	0.591
YBL006C	-0.593	0.224	-3.414
YBL007C	-0.056	-2.121	-7.752
YBL008W	-0.656	-0.417	0.612
YBL009W	-0.184	-0.626	0.255
YBL010C	-0.047	0.922	1.603
YBL011W	-0.625	0.857	0.898
YBL012C	-3.960	2.450	-2.515
YBL013W	-0.297	-0.631	0.123
YBL015W	1.006	-2.772	-2.267
YBL016W	-1.548	1.862	1.842
YBL017C	1.337	-2.882	-2.201
YBL019W	1.172	-2.514	-1.888
YBL021C	-3.829	0.989	2.642
YBL022C	-7.285	4.208	0.683
YBL024W	2.311	-2.978	-7.977
YBL027W	-0.867	-2.158	-0.352
YBL028C	0.286	-1.091	-0.667
YBL029W	0.750	-1.399	-0.371
YBL031W	-1.212	0.075	0.224
YBL032W	-0.772	0.231	0.653
YBL036C	0.951	-2.132	-1.285
YBL037W	1.655	-2.683	-2.396
YBL038W	-0.667	0.815	1.926
YBL039C	-1.231	1.015	1.667
YBL042C	0.786	-0.754	0.527
YBL043W	-0.045	-1.128	-0.454
YBL044W	-2.063	2.997	3.776
YBL045C	-3.926	4.497	2.859
YBL046W	0.414	-0.688	0.393
YBL047C	-0.373	-1.923	-1.456
YBL048W	0.587	-1.840	-0.940
YBL049W	0.246	-0.593	-0.076
YBL051C	3.505	-4.862	-4.768
YBL052C	-0.180	-1.037	-0.640
YBL053W	0.124	-1.205	-0.677
YBL054W	1.217	-1.853	-1.490
YBL055C	0.328	-1.082	0.084
YBL056W	-0.049	-0.647	-0.544
YBL057C	-0.576	0.514	1.323
YBL058W	-15.731	NaN	NaN
YBL059W	0.033	-1.982	-0.755
YBL060W	1.145	-1.265	0.206
YBL061C	-1.348	1.027	1.580
YBL062W	0.925	-0.211	0.511
YBL063W	1.415	-1.510	-2.194
YBL064C	0.952	-1.577	-1.686
YBL065W	0.668	-1.333	-0.863
YBL066C	0.022	-0.927	-2.169
YBL067C	-1.114	0.300	1.596
YBL068W	0.199	-0.596	-0.298
YBL069W	1.395	-2.604	-2.125
YBL070C	1.286	-0.790	-0.474
YBL071C	0.723	-0.057	-0.338
YBL072C	-1.950	0.449	-1.642
YBL075C	1.216	-1.704	-0.676
YBL078C	0.569	-2.421	-2.042
YBL079W	0.291	-2.291	-2.723
YBL080C	-0.479	1.088	2.770
YBL081W	0.925	-0.749	0.561
YBL082C	-0.388	-0.587	0.048
YBL083C	-0.150	0.096	-0.153
YBL085W	0.112	-1.065	0.529
YBL086C	0.112	-2.308	-1.042
YBL087C	-1.068	1.248	2.558
YBL088C	0.959	-1.979	-2.326
YBL089W	-0.698	-2.405	-0.987
YBL090W	-1.949	2.205	3.915
YBL091C	2.739	-3.477	-2.822
YPL158C	1.740	-1.080	-1.268
YBL094C	-5.256	0.747	-2.921
YGL002W	0.940	-1.511	-1.446
YGL003C	-1.042	-0.058	-1.723
YGL004C	-0.259	0.981	1.519
YGL005C	0.458	-2.164	-3.564
YGL006W	1.501	-1.429	-0.981
YGL007W	-7.457	11.758	10.127
YGL010W	1.170	-1.207	-0.385
YGL012W	-0.058	-2.687	-5.888
YGL013C	-0.805	0.035	-0.078
YGL014W	0.853	-2.330	0.093
YGL015C	3.191	-2.848	-2.916
YGL016W	0.458	-2.662	-0.948
YGL017W	0.801	-1.184	-0.074
YGL019W	0.798	-1.167	-2.378
YGL021W	-1.069	-0.524	1.168
YGL023C	2.200	-2.757	-3.246
YGL024W	-0.180	-1.911	-2.475
YGL025C	-3.816	-4.811	-5.777
YGL026C	1.453	-1.029	-0.274
YGL027C	0.029	-0.425	-0.843
YGL028C	0.426	-2.692	-1.049
YGL031C	-1.860	3.658	3.400
YGL032C	0.698	-1.146	-1.341
YGL033W	-0.094	-0.484	-2.851
YGL034C	0.618	-0.843	-0.674
YGL035C	-0.447	1.095	1.075
YGL036W	-0.156	-1.924	-1.517
