orf	hap a | growth (AUC) | standard | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [50 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004	hap a | growth (AUC) | hydroxyurea [150 mM] | minimal complete | Hartman JL 4th~Tippery NP, 2004
YNL273W	0.23056869106243327	-0.5768848100296761	-1.6058865947821206
YNL274C	-0.4706599706218077	0.5262895947531953	0.6001038463789335
YNL275W	0.014333977663374428	-0.07612468215649004	0.031014069985016494
YNL276C	0.24280437477556258	-0.5230854525600845	-0.7218939399130754
YNL277W	2.043297130705472	-2.1089506817088384	-2.476634013252748
YNL278W	0.21430036645306386	-0.12356571514617345	0.029559077361236797
YNL279W	0.1977189486064086	0.1604183743489579	0.1557649857184944
YNL280C	-0.25116282569023096	0.07970761270932995	0.05305454670799375
YNL281W	-0.2136104228101729	0.23699392314367446	0.1251348530403554
YNL283C	-0.01757648508079291	-0.16136306076832457	0.21576540257388807
YNL284C	0.6219665469934019	-0.6339513658224234	-0.4635889841520381
YNL285W	-0.10855511797129874	-0.11549993587699998	0.42012062521561255
YNL286W	0.08715320279130435	-0.14580271577269283	-0.04232428452865269
YNL288W	0.2392601593294875	-0.5339951789422858	-0.37352781378752803
YNL289W	-0.5179495731814541	0.29270509753621743	0.44588981043559256
YNL291C	0.38208077044977407	-0.2865923534817974	-0.3749560903055536
YNL292W	1.4462283272014678	-1.4683875552832497	-1.72212402421908
YNL293W	0.2837632320772897	-0.15270412229966063	-0.1595853150133063
YNL294C	-0.15952669700142538	-0.17069747837667035	-0.10994325450896021
YNL295W	0.18788782095563428	0.034415686415456524	0.12444607860654328
YNL296W	-0.06972529468311475	-0.5235148740131296	-1.3735334702908781
YNL297C	0.3099816597676013	-0.3752347749688971	-1.8989941666582795
YNL298W	-1.491062140259931	1.505976701046602	-0.8454069425827223
YNL299W	-0.07249303890072117	-0.3315198510773143	-0.7097341783335832
YNL300W	-0.2777945364537602	0.46851478643347927	0.7679932733994868
YNL301C	-0.24637249915975853	0.4116724147320086	0.17886397171010138
YNL302C	-1.457479759628657	1.7234075079322797	2.337060481191416
YNL303W	0.08538735693301154	-0.02833338334679694	-0.032039753161078495
YNL304W	0.02872374284902912	-0.23260480717699536	-0.42101185917025863
YNL305C	0.1506172019891334	0.132823414113763	0.09983551503993653
