orf	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | temperature [42 C], time [30 min] | unknown | Hill SM~Nystrom T, 2016
YBL056W	0.8397504423893448
YBL059W	0.9406868493314572
YBL060W	0.9359374783674752
YBL061C	0.9865724083674097
YBL062W	1.0195772477436884
YBL063W	0.7702542915426901
YBL064C	0.9097289546778505
YBL065W	0.8465976974853278
YBL066C	0.8850579607768853
YBL067C	0.8481657665824313
YBL068W	0.802080357839292
YBL069W	0.7795371977367646
YBL070C	0.8917746237512899
YBL071C	0.8876262951493846
YBL072C	0.7169055260870791
YBL075C	0.9534650176728229
YBL078C	0.9565200731683923
YBL079W	1.0993359910454799
YBL081W	0.9692224367467153
YBL082C	0.9650377032082783
YBL083C	0.7992030282855742
YBL085W	0.9613608282458259
YBL086C	0.8994360502829258
YBL087C	0.8394162509477601
YBL088C	0.9737255837409642
YBL089W	0.959833513164745
YBL091C	0.8787976961086436
YBL091C-A	0.8042434711016454
YBL094C	0.9170346781100482
YBL095W	0.8804253675572761
YBL096C	0.9824785863533627
YBL098W	1.0874821430793273
YBL100C	1.0150471806316292
YBL101C	1.1288217938236438
YBL103C	0.868591145255918
YBL104C	0.9076319639585385
YBL106C	0.890907113790925
YBL107C	0.8033057200873871
YBR001C	0.8636638960091969
YBR005W	0.8805541416543035
YBR006W	0.8808623978344884
YBR007C	0.7464309523137791
YBR008C	1.0034233872121119
YBR009C	0.737506853254339
YBR010W	0.9205116158315315
YBR012C	0.9821797654508315
YBR014C	0.6884046438936346
YBR015C	0.7909772497915137
YBR016W	0.8168339407263944
YBR018C	0.9547207139072994
YBR019C	0.9961941562755193
YBR020W	0.9888186663521484
YBR022W	0.9042255977629313
YBR023C	0.9632535102878634
YBR024W	0.9074073847368694
YBR025C	0.9108347666013243
YBR027C	0.8495241026574014
YBR028C	0.9055795102823067
YBR030W	0.9134215080008501
YBR031W	0.7977459430637278
YBR032W	0.8887180608383575
YBR033W	0.8983931872630984
YBR034C	0.8786072308703063
YBR036C	0.7494507682667364
YBR040W	0.8061146392136841
YBR041W	0.7589858637002158
YBR042C	0.7872771710056559
YBR043C	0.9094701759213
YBR044C	0.8014373476212301
YBR045C	0.820209724016537
YBR046C	1.0303443143569433
YBR047W	0.8770303273682852
YBR048W	0.796571210842322
YBR050C	0.8166708260387998
YBR051W	0.9362403893042327
YBR052C	1.0445470349081671
YBR053C	1.0184069490259653
YBR054W	1.0166825598852731
YBR056W	1.0121359308148656
YBR057C	0.9002838232766993
YBR058C	0.844842947054519
YBR059C	1.0349895398338995
YBR061C	0.8728162190999668
YBR062C	0.7505191434099625
YBR063C	0.9605551999907185
YBR064W	0.9702528386463207
YBR065C	0.9634225016131196
YBR066C	0.8745351672888411
YBR067C	1.0000053499445396
YBR068C	0.7696211808572972
YBR069C	0.9308504794128762
YBR071W	1.1232522027557659
YBR072W	0.9555260816568375
YBR074W	0.7924991417490833
YBR076W	0.9103060879894789
YBR077C	1.1652905137521805
YBR078W	1.1052335887280773
YBR082C	1.1843709541024248
YBR083W	0.9896081693974783
YBR084C-A	1.0271870057607926
YBR084W	0.9723499627226369
YBR085W	0.9088901910220962
YBR086C	0.8714707757486927
YBR089C-A	0.9364263303179462
YBR090C	0.9917695749446682
YBR092C	0.8788615437204456
YBR093C	1.0090617599826586
YBR094W	0.9416277065253276
YBR095C	0.8432828497838087
YBR098W	0.868201609292969
YBR099C	0.7153739406578663
YBR101C	1.0069488421257555
YBR103W	0.7718480057849784
YBR104W	1.0172962359135362
YBR107C	0.9466198558046638
YBR108W	1.0581639854859999
YBR111C	0.9754607248359703
YBR113W	1.0556412781213775
YBR114W	0.9953919981059596
YBR116C	0.7367690823744631
YBR118W	1.0480418827463447
YBR119W	1.1928775928177158
YBR121C	1.160840267139727
YBR122C	0.7410857197958499
YBR125C	1.0239015483472498
YBR126C	1.1822216772034713
YBR128C	1.0847131619661459
YBR129C	1.0064977173687604
YBR130C	1.1003479395109432
YBR131W	1.2759082146537315
YBR132C	1.1135521515943116
YBR134W	0.7798204442828888
YBR137W	1.070078614314094
YBR138C	1.103988837238829
YBR139W	1.1192743598976218
YBR141C	0.9746116923619422
YBR144C	0.9696384925102314
YBR145W	0.9342971168786466
YBR146W	0.9537372287468106
YBR147W	0.8905524893589377
YBR148W	1.0083005870924393
YBR149W	0.9621245596463456
