ORF	hap a | mother:daughter asymmetric inheritance of protein aggregates (Hsp104-GFP) | transient heat shock (42° [30 min]) | Hill SM~Nystroem T, 2016
YLR236C	0.910
YOR190W	0.910
YBR043C	0.909
YER034W	0.909
YNL072W	0.909
YOL044W	0.909
YKR041W	0.909
YBR085W	0.909
YJR060W	0.909
YPL081W	0.909
YMR036C	0.909
YNR063W	0.909
YOL117W	0.909
YDR134C	0.909
YPR098C	0.908
YPR089W	0.843
YOR253W	0.908
YJR049C	0.908
YPR009W	0.908
YER091C	0.908
YBR259W	0.908
YBL104C	0.908
YOR081C	0.907
YBR024W	0.907
YDL214C	0.907
YDR077W	0.907
YNL206C	0.907
YGR203W	0.907
YNL121C	0.906
YBR172C	0.906
YLR443W	0.906
YGL262W	0.906
YLR216C	0.906
YGL054C	0.906
YNL029C	0.906
YBR028C	0.906
YNL311C	0.906
YAL024C	0.905
YLR152C	0.905
YMR170C	0.905
YLR168C	0.905
YIL130W	0.905
YBR229C	0.905
YHR008C	0.905
YLR020C	0.905
YBR232C	0.905
YDR411C	0.904
YLR114C	0.904
YFR022W	0.904
YBR169C	0.904
YDR096W	0.904
YIR043C	0.904
YGL081W	0.904
YBR022W	0.904
YPR013C	0.904
YPR042C	0.904
YDR535C	0.904
YIL108W	0.904
YOR312C	0.904
YJL068C	0.904
YML012W	0.904
YLR366W	0.904
YNL201C	0.903
YPR064W	0.903
YLR165C	0.903
YBR270C	0.903
YBR201W	0.903
YLR144C	0.903
YFL004W	0.903
YOL032W	0.903
YML009C-A	0.903
YNR047W	0.903
YCR105W	0.902
YFL012W-A	0.902
YLR416C	0.902
YHR121W	0.902
YLR307W	0.902
YNR071C	0.902
YFL056C	0.902
YDR100W	0.902
YMR017W	0.902
YOR238W	0.902
YJL064W	0.901
YDL243C	0.901
YPL018W	0.901
YPL221W	0.901
YNL246W	0.901
YML111W	0.900
YBR241C	0.900
YBR057C	0.900
YJL077C	0.900
YOR126C	0.900
YPR003C	0.900
YGR022C	0.900
YPR069C	0.900
YDR423C	0.899
YBL086C	0.899
YBR159W	0.899
YIL100W	0.899
YJR103W	0.899
YNL157W	0.899
YNL324W	0.899
YJL212C	0.899
YCL042W	0.899
YNL058C	0.899
YDL081C	0.899
YGL166W	0.899
YNL123W	0.899
YKL005C	0.899
YER075C	0.899
YBR033W	0.898
YER060W-A	0.898
YLR043C	0.898
YHR109W	0.898
YPL194W	0.898
YPL127C	0.898
YNR025C	0.898
YLR023C	0.898
YAR018C	0.898
YFL054C	0.898
YGR183C	0.898
YOR299W	0.897
YLR371W	0.897
YFR023W	0.897
YHR117W	0.897
YIL132C	0.897
YML112W	0.897
YGL032C	0.896
YDR517W	0.896
YPL183W-A	0.896
YDR116C	0.896
YBR098W	0.868
YDL187C	0.896
YPR179C	0.896
YKR024C	0.896
YPL154C	0.896
YDL218W	0.895
YJL117W	0.895
YNL041C	0.895
YDR150W	0.895
YJL062W	0.895
YGR011W	0.895
YDR372C	0.894
YBR175W	0.894
YPL115C	0.894
YKR014C	0.894
YOL003C	0.894
YGR106C	0.894
YLR368W	0.894
YIR018W	0.894
YOR307C	0.894
YNL257C	0.893
YDL086W	0.893
YGR290W	0.893
YNL142W	0.893
YLR280C	0.893
YDL204W	0.893
YBR287W	0.893
YMR030W	0.893
YGR004W	0.893
YPR063C	0.893
YBR227C	0.893
YGL085W	0.892
YCL055W	0.892
YDR068W	0.892
YNL200C	0.892
YPR157W	0.892
YGL235W	0.892
YDR493W	0.892
YDL210W	0.892
YIL044C	0.892
YGL161C	0.892
YLR287C	0.892
YBR283C	0.892
YBL070C	0.892
YGR054W	0.892
YCL049C	0.892
YDL190C	0.892
YFR031C-A	0.891
YOL150C	0.891
YML026C	0.891
YGR041W	0.891
YBL106C	0.891
YEL040W	0.891
YJR115W	0.891
YGR096W	0.891
YPL141C	0.891
YJL044C	0.891
YGR169C	0.891
YBR147W	0.891
YGL224C	0.891
YOL151W	0.891
YLR177W	0.890
YER093C-A	0.890
YDR271C	0.890
YOR105W	0.890
YIL073C	0.890
YCL035C	0.890
YMR163C	0.889
YJL196C	0.889
YBR223C	0.889
YNL067W	0.889
YBR032W	0.889
YKL030W	0.889
YMR148W	0.889
YGR081C	0.888
YHR066W	0.888
YOL001W	0.888
YLR423C	0.888
YBL071C	0.888
YNR075W	0.888
YMR092C	0.888
YJR140C	0.887
YNL199C	0.887
YEL071W	0.887
YGL057C	0.886
YLR092W	0.886
YKL087C	0.885
YDL227C	0.885
YPR195C	0.885
YBL066C	0.885
YMR306C-A	0.885
YLR122C	0.885
YDR119W	0.885
YDR313C	0.884
YGR014W	0.884
YIR001C	0.884
YNR029C	0.884
YKL020C	0.884
YLR284C	0.884
YGL256W	0.884
YDL076C	0.883
YHR016C	0.883
YPL236C	0.883
YBR264C	0.883
YAL062W	0.883
YJL045W	0.883
YLR315W	0.882
YNL066W	0.882
YNL285W	0.882
YCR059C	0.882
YBR195C	0.882
YIL146C	0.882
YBL032W	0.882
YDR152W	0.882
YER066C-A	0.881
YGL230C	0.881
YDR316W	0.881
YDR142C	0.881
YLR422W	0.881
YOL039W	0.881
YOR213C	0.881
YBR006W	0.881
YBR005W	0.881
YNL077W	0.880
YBL095W	0.880
YLR164W	0.880
YJL004C	0.880
YCR024C-A	0.880
YGL175C	0.880
YJL013C	0.879
YMR133W	0.879
YER046W	0.879
YBR262C	0.879
YEL041W	0.879
YLR434C	0.879
YHL005C	0.879
YJR021C	0.879
YLR134W	0.879
YBR092C	0.879
YBL091C	0.879
YOR267C	0.879
YBR034C	0.879
YBL055C	0.879
YLR296W	0.879
YOR086C	0.879
YBL021C	0.878
YBL054W	0.878
YDR221W	0.878
YDR233C	0.878
YJR146W	0.878
YOR275C	0.878
YDR512C	0.878
YOR358W	0.877
YKL043W	0.877
YNL239W	0.877
YCL064C	0.877
YBR047W	0.877
YNL027W	0.877
YER056C	0.877
YDR070C	0.877
YEL008W	0.877
YJL107C	0.876
YBR272C	0.876
YOR298W	0.876
YOR223W	0.876
YLR263W	0.876
YDR371W	0.876
YBR273C	0.876
YAL034C	0.876
YAL068C	0.876
YJL161W	0.876
YLR232W	0.876
YGL261C	0.875
YLR107W	0.875
YGR088W	0.875
YGR053C	0.875
YGL259W	0.875
YNL249C	0.875
YGR031W	0.875
YDR151C	0.875
YBR181C	0.875
YBR066C	0.875
YDL231C	0.874
YBR174C	0.874
YER011W	0.874
YKR015C	0.874
YOR350C	0.874
YNL198C	0.874
YMR075W	0.874
YOR059C	0.874
YER121W	0.874
YGR084C	0.874
YBR061C	0.873
YBR165W	0.873
YGL257C	0.873
YLR123C	0.873
YBR255W	0.873
YGR040W	0.873
YBR162W-A	0.872
YIL049W	0.872
YDR538W	0.872
YMR087W	0.872
YGL056C	0.872
YBR086C	0.871
YBR245C	0.871
YGL059W	0.871
YHR151C	0.871
YJR011C	0.871
YDR370C	0.871
YER173W	0.870
YDR048C	0.870
YDR222W	0.870
YFR009W	0.870
YBR233W	0.870
YPL262W	0.870
YOR171C	0.870
YHR159W	0.870
YJL211C	0.869
YKL103C	0.869
YFR038W	0.869
YJR083C	0.869
YBL103C	0.869
YKL149C	0.869
YNR030W	0.868
YGL021W	0.868
YGL083W	0.868
YGR168C	0.867
YGL248W	0.867
YER010C	0.867
YOL013C	0.867
YMR154C	0.867
YJR111C	0.867
YFL034W	0.866
YFR049W	0.866
YGL042C	0.866
YDL066W	0.866
YCL069W	0.866
YDR537C	0.866
YLR081W	0.866
YGR117C	0.865
YDR219C	0.865
YPL095C	0.865
YGR178C	0.865
YNR061C	0.865
YPR071W	0.865
YDR458C	0.864
YML128C	0.864
YBR208C	0.864
YIL059C	0.864
YGR166W	0.864
YBR001C	0.864
YGL015C	0.864
YOL091W	0.863
YFR012W	0.863
YDR213W	0.863
YDR020C	0.863
YGL140C	0.862
YCR036W	0.862
YPL196W	0.862
YGR001C	0.862
YDR124W	0.862
YHR105W	0.862
YLR137W	0.862
YNL068C	0.862
YOR177C	0.861
YDR127W	0.861
YKR013W	0.861
YOR165W	0.861
YPR032W	0.860
YPL022W	0.860
YGR138C	0.860
YLR426W	0.860
YPR118W	0.860
YLR251W	0.860
YDR058C	0.860
YEL056W	0.859
YPL032C	0.859
YEL037C	0.859
YNL242W	0.859
YHR009C	0.859
YOR158W	0.859
YPL119C	0.858
YJL207C	0.858
YJL178C	0.858
YPL147W	0.858
YAR002C-A	0.857
YHR031C	0.857
YDR344C	0.857
YEL049W	0.857
YLR189C	0.857
YDR502C	0.857
YML005W	0.857
YLR082C	0.857
YOR144C	0.857
YPR134W	0.856
YJL193W	0.856
YMR198W	0.856
YLR441C	0.856
YMR143W	0.856
YDR008C	0.855
YAL060W	0.855
YLR200W	0.855
YDR216W	0.855
YMR167W	0.855
YNR040W	0.855
YNL226W	0.854
YKL046C	0.854
YHL003C	0.854
YNR041C	0.854
YER063W	0.854
YJR077C	0.854
YBR242W	0.853
YML038C	0.853
YPL096W	0.853
YPL138C	0.852
YGR124W	0.852
YHR076W	0.852
YBL008W	0.852
YDR026C	0.852
YER149C	0.852
YDR444W	0.852
YPL241C	0.852
YFR033C	0.851
YOR308C	0.851
YDR158W	0.851
YAL040C	0.850
YPR060C	0.850
YBR027C	0.850
YGL004C	0.849
YDR414C	0.849
YGL199C	0.849
YDR183W	0.849
YBR263W	0.848
YGL110C	0.848
YGR177C	0.848
YBL067C	0.848
YGL045W	0.684
YDR522C	0.848
YNL105W	0.847
YDR480W	0.847
YGR097W	0.847
YOL012C	0.847
YLR046C	0.847
YJL007C	0.847
YBL065W	0.847
YPR007C	0.846
YKL025C	0.846
YOL118C	0.846
YOL152W	0.846
YML017W	0.846
YFR008W	0.846
YEL068C	0.846
YER143W	0.846
YGR070W	0.846
YOR300W	0.846
YGR161C	0.845
YJL213W	0.845
YBR058C	0.845
YER030W	0.844
YOL089C	0.844
YHL030W	0.844
YLR313C	0.844
YHL012W	0.844
YHR021W-A	0.844
YMR153W	0.843
YBR095C	0.843
YML035C	0.843
YBL010C	0.842
YDR007W	0.842
YNL127W	0.842
YDR387C	0.842
YLR258W	0.842
YBR207W	0.842
YOR197W	0.842
YML002W	0.842
YGR018C	0.841
YKR027W	0.841
YDR459C	0.841
YJR116W	0.841
YLL057C	0.840
YPR040W	0.840
YBL056W	0.840
YER167W	0.840
YDR084C	0.840
YLR460C	0.839
YBL087C	0.839
YPR076W	0.839
YFL032W	0.838
YOL016C	0.838
YPL135W	0.838
YGL014W	0.838
YAR050W	0.838
YBR274W	0.838
YPL144W	0.837
YLR150W	0.837
YOL019W	0.837
YLR011W	0.837
YLR433C	0.837
YDR110W	0.836
YBR284W	0.836
YOL036W	0.836
YDR519W	0.836
YGR007W	0.836
YOR071C	0.836
YBR215W	0.835
YNL106C	0.835
YMR078C	0.834
YGR085C	0.834
YER119C	0.834
YGR134W	0.834
YGR148C	0.834
YJR127C	0.833
YDR121W	0.833
YNL214W	0.833
YBR225W	0.833
YDR485C	0.832
YBR276C	0.832
YDR059C	0.832
YER019C-A	0.831
YER024W	0.831
YKR044W	0.831
YER047C	0.831
YNL229C	0.831
YDR098C	0.831
YLR218C	0.831
YDR515W	0.830
YGR118W	0.830
YJR153W	0.830
YPR120C	0.829
YLR438W	0.829
YAL008W	0.829
YER077C	0.829
YMR039C	0.829
YOL002C	0.829
YOR306C	0.828
YGL104C	0.828
YFR043C	0.828
YFL051C	0.828
YEL028W	0.827
YBR224W	0.827
YEL017W	0.827
YNR031C	0.827
YOL090W	0.827
YGL226C-A	0.826
YER084W	0.826
YKL053C-A	0.826
YPR170C	0.826
YOR178C	0.826
YNL159C	0.826
YER089C	0.825
YBR210W	0.825
YDR263C	0.825
YKL010C	0.825
YPR122W	0.825
YJL047C	0.825
YML022W	0.825
YCL047C	0.824
YNL286W	0.824
YBR296C	0.822
YGR019W	0.822
YNR039C	0.822
YEL039C	0.821
YDR334W	0.821
YHR022C	0.821
YDR386W	0.821
YJL177W	0.821
YNR002C	0.821
YPR078C	0.821
YBR045C	0.820
YER170W	0.820
YKR001C	0.820
YOR386W	0.820
YFR053C	0.819
YBR295W	0.819
YDR352W	0.819
YFL044C	0.818
YDR516C	0.818
YDR351W	0.818
YGL227W	0.818
YJR142W	0.818
YDL059C	0.817
YBR016W	0.817
YDR384C	0.817
YBR050C	0.817
YDR066C	0.816
YGL017W	0.816
YCL048W	0.816
YMR018W	0.816
YML018C	0.816
YCL002C	0.815
YEL030W	0.815
YPR160W	0.815
YML004C	0.815
YPR006C	0.814
YBR281C	0.814
YAL061W	0.814
YLR121C	0.814
YKL206C	0.813
YMR115W	0.813
YBL013W	0.813
YLR271W	0.813
YCL014W	0.758
YOR192C	0.812
YGL051W	0.812
YJR150C	0.812
YAL067C	0.812
YOR375C	0.812
YDR153C	0.811
YLR190W	0.811
YPL017C	0.810
YML006C	0.810
YDR075W	0.810
YNR055C	0.809
YLR292C	0.809
YML034C-A	0.809
YJL168C	0.809
YDR425W	0.809
YPR194C	0.808
YGR066C	0.808
YLR454W	0.808
YLR099C	0.808
YNR051C	0.807
YPL019C	0.807
YLR176C	0.807
YDL052C	0.807
YJR038C	0.807
YDR083W	0.806
YBR040W	0.806
YBR285W	0.805
YPL003W	0.805
YKL009W	0.805
YLR281C	0.805
YOR078W	0.805
YPL004C	0.805
YBL091C-A	0.804
YDR408C	0.804
YPR146C	0.804
YBL107C	0.803
YPL088W	0.803
YGR071C	0.803
YOL043C	0.803
YBR275C	0.803
YNR066C	0.803
YPR068C	0.803
YBR292C	0.803
YDL230W	0.803
YLR234W	0.802
YBL068W	0.802
YBR044C	0.801
YML047C	0.801
YLR149C	0.801
YGR122W	0.801
YLR172C	0.801
YHL006C	0.801
YOR006C	0.801
YJR110W	0.800
YLR178C	0.800
YNL167C	0.800
YBR266C	0.800
YBL083C	0.799
YML011C	0.799
YLR084C	0.798
YGL006W	0.798
YBR031W	0.798
YHR158C	0.798
YDL070W	0.797
YBR048W	0.797
YPL223C	0.796
YFR015C	0.796
YPR172W	0.796
YNL208W	0.796
YJR119C	0.796
YLR456W	0.795
YNL108C	0.795
YFR013W	0.795
YLR445W	0.795
YDL061C	0.795
YNL176C	0.794
YLR436C	0.794
YBR150C	0.794
YDR165W	0.794
YOR298C-A	0.794
YNR024W	0.794
YDR430C	0.793
YPL034W	0.793
YDL223C	0.793
YBR298C	0.793
YPL001W	0.792
YPL137C	0.792
YBR286W	0.792
YNL120C	0.792
YFR006W	0.792
YPL225W	0.792
YBR015C	0.791
YJR117W	0.791
YBR271W	0.790
YLR450W	0.790
YKL034W	0.790
YDR071C	0.790
YFL052W	0.789
YER108C	0.789
YGL250W	0.789
YOR142W	0.788
YKL039W	0.788
YLR077W	0.788
YML051W	0.787
YBR042C	0.787
YDR330W	0.787
YJR147W	0.787
YCR025C	0.786
YGL027C	0.785
YPR074C	0.785
YBR297W	0.785
YGL028C	0.785
YGR153W	0.784
YOL014W	0.784
YNL302C	0.784
YCR023C	0.784
YJR149W	0.784
YER038W-A	0.783
YPL008W	0.783
YHL025W	0.782
YLR421C	0.782
YGR061C	0.782
YJL210W	0.781
YDR451C	0.781
YGR034W	0.781
YMR282C	0.781
YMR166C	0.781
YJR069C	0.780
YPR079W	0.780
YBR300C	0.780
YGL237C	0.780
YBR134W	0.780
YLR183C	0.780
YBL069W	0.780
YGL002W	0.780
YBR261C	0.779
YLR199C	0.779
YFR047C	0.779
YGL195W	0.778
YFR026C	0.778
YBR291C	0.778
YNR032W	0.777
YLR262C-A	0.777
YDR329C	0.776
YPL198W	0.776
YGR021W	0.775
YHR043C	0.775
YJR118C	0.775
YDL242W	0.775
YGL023C	0.774
YLR449W	0.774
YBR294W	0.774
YPR091C	0.774
YNL051W	0.773
YNR074C	0.773
YDR534C	0.772
YGL219C	0.772
YDR102C	0.772
YER090W	0.772
YER001W	0.772
YBR103W	0.772
YLR455W	0.772
YML034W	0.734
YGL050W	0.772
YBR231C	0.771
YBR277C	0.771
YHL017W	0.771
YNL329C	0.770
YBR244W	0.770
YLR049C	0.770
YBL063W	0.770
YPL036W	0.770
YOL031C	0.770
YBR068C	0.770
YOR324C	0.770
YKL023W	0.769
YLR238W	0.769
YDL238C	0.768
YNL034W	0.768
YCR053W	0.767
YER088C	0.767
YCR022C	0.767
YPR189W	0.767
YDR368W	0.766
YOL006C	0.765
YFR041C	0.765
YML030W	0.765
YGL168W	0.765
YLR096W	0.764
YKL168C	0.764
YJR137C	0.764
YNL227C	0.764
YBR301W	0.763
YGL010W	0.763
YDL241W	0.761
YDR279W	0.761
YKL001C	0.761
YEL020C	0.761
YDR297W	0.761
YNR059W	0.761
YOL042W	0.761
YOL017W	0.760
YOR385W	0.760
YJR129C	0.760
YDR131C	0.759
YBR041W	0.759
YJR154W	0.759
YKL008C	0.759
YEL011W	0.758
YOL110W	0.757
YFL027C	0.757
YKR003W	0.757
YOL141W	0.757
YOL138C	0.756
YCL029C	0.756
YHL016C	0.755
YLL042C	0.755
YCR033W	0.754
YPL259C	0.753
YPL038W	0.753
YHR044C	0.752
YLR110C	0.751
YHR028C	0.751
YGL228W	0.751
YBR062C	0.751
YCL001W-A	0.750
YGR174C	0.750
YBR293W	0.750
YJR126C	0.749
YBR036C	0.749
YGR025W	0.749
YOL015W	0.749
YNL301C	0.749
YPL162C	0.749
YJR125C	0.748
YER087C-B	0.748
YDR375C	0.748
YHR081W	0.748
YCL006C	0.748
YML047W-A	0.747
YBR007C	0.746
YLR453C	0.746
YDL056W	0.746
YNL179C	0.745
YDR149C	0.745
YGR037C	0.745
YLR427W	0.744
YPL186C	0.743
YDL053C	0.743
YER005W	0.743
YNR027W	0.743
YKR019C	0.743
YDR424C	0.742
YCL046W	0.742
YBR122C	0.741
YJL164C	0.740
YNL217W	0.740
YDL033C	0.739
YGR139W	0.739
YBR278W	0.739
YOL095C	0.739
YGL036W	0.738
YNL081C	0.738
YBR009C	0.738
YGL019W	0.737
YOR271C	0.737
YBR116C	0.737
YPL087W	0.736
YCL061C	0.661
YPL155C	0.736
YML013W	0.735
YPL207W	0.735
YGR110W	0.734
YKL033W-A	0.734
YGR108W	0.733
YDR092W	0.733
YDR447C	0.731
YPR138C	0.730
YPL025C	0.730
YIL139C	0.730
YDR072C	0.729
YGR008C	0.729
YGL226W	0.728
YDR528W	0.728
YGR109C	0.728
YDR471W	0.727
YER049W	0.727
YGR032W	0.726
YFR016C	0.725
YHL009C	0.725
YGR141W	0.725
YOR195W	0.724
YDR144C	0.724
YNR062C	0.723
YFR057W	0.723
YCR037C	0.723
YER091C-A	0.723
YFL028C	0.722
YEL067C	0.721
YPR077C	0.721
YAR014C	0.721
YBR280C	0.721
YGL041C	0.720
YEL047C	0.719
YDL071C	0.719
YGL005C	0.719
YML027W	0.718
YPL245W	0.717
YBL072C	0.717
YBR099C	0.715
YGL043W	0.715
YBR238C	0.715
YBL009W	0.715
YLR194C	0.715
YAR031W	0.714
YGR133W	0.714
YPL182C	0.712
YPR155C	0.712
YLL049W	0.712
YER113C	0.712
YPL026C	0.712
YNR015W	0.712
YFR046C	0.711
YEL048C	0.711
YOR234C	0.711
YMR205C	0.709
YGL031C	0.708
YEL042W	0.707
YJR133W	0.706
YGL080W	0.706
YGR055W	0.706
YJL106W	0.705
YGL194C	0.705
YGL215W	0.704
YPL178W	0.704
YEL012W	0.703
YHR015W	0.701
YOR359W	0.700
YNL065W	0.700
YER135C	0.699
YLR192C	0.699
YPL039W	0.699
YJL191W	0.695
YGR131W	0.694
YFR011C	0.694
YDR476C	0.692
YNR069C	0.692
YFR054C	0.691
YKL027W	0.691
YKL113C	0.691
YFR045W	0.691
YDR101C	0.690
YML021C	0.689
YCR034W	0.689
YBR014C	0.688
YDL216C	0.688
YPR093C	0.687
YOL092W	0.686
YNL162W	0.686
YLR125W	0.686
YPL183C	0.685
YGR072W	0.684
YKL026C	0.683
YML041C	0.682
YLR410W	0.682
YJR139C	0.682
YCL013W	0.681
YML003W	0.681
YPL171C	0.681
YPL130W	0.680
YGL211W	0.680
YOR127W	0.679
YKL120W	0.679
YJR128W	0.678
YDR479C	0.677
YAR015W	0.677
YJL082W	0.676
YLR065C	0.676
YPL041C	0.675
YGL053W	0.675
YJL120W	0.675
YFR056C	0.674
YML048W	0.674
YHR041C	0.673
YEL066W	0.673
YLR187W	0.673
YOL136C	0.672
YMR103C	0.670
YGR077C	0.670
YGL063W	0.669
YGL148W	0.669
YCL009C	0.669
YLR050C	0.668
YPR201W	0.668
YJR134C	0.668
YER007W	0.668
YLR111W	0.667
YOL018C	0.665
YLR461W	0.665
YJR120W	0.665
YER120W	0.661
YOL028C	0.658
YCL001W	0.657
YLR191W	0.657
YKL160W	0.656
YCR060W	0.655
YNL241C	0.654
YPR123C	0.653
YKL029C	0.652
YHR111W	0.649
YLR188W	0.648
YGL058W	0.646
YNR012W	0.644
YFR034C	0.643
YNR049C	0.643
YDR513W	0.642
YDR486C	0.642
YGR126W	0.641
YNR042W	0.641
YER142C	0.641
YFR032C	0.640
YJL119C	0.640
YGL034C	0.637
YJL192C	0.630
YLR425W	0.630
YER042W	0.627
YCL023C	0.625
YLR286C	0.623
YNR072W	0.621
YPL174C	0.620
YLR142W	0.618
YGR101W	0.617
YOL020W	0.613
YDR335W	0.613
YLR072W	0.611
YLR452C	0.610
YBR249C	0.608
YDR500C	0.605
YLR083C	0.599
YCL022C	0.599
YLR372W	0.599
YJR059W	0.595
YBL015W	0.594
YCL010C	0.594
YFR032C-A	0.593
YPL224C	0.592
YKL037W	0.590
YPR185W	0.586
YPR114W	0.581
YKL053W	0.580
YKL006W	0.580
YOL041C	0.579
YPR164W	0.574
YLR131C	0.572
YBL005W	0.571
YDR332W	0.570
YDR525W-A	0.567
YER028C	0.567
YFR044C	0.565
YEL007W	0.560
YKL056C	0.558
YPL239W	0.557
YER039C	0.555
YER002W	0.554
YCL011C	0.553
YGR027C	0.543
YLR085C	0.537
YJR131W	0.532
YPR199C	0.526
YLR053C	0.526
YOR080W	0.526
YBR267W	0.516
YLR428C	0.509
YOL027C	0.506
YML129C	0.505
YOL024W	0.502
YLR193C	0.497
YJR124C	0.493
YKL040C	0.493
YOL029C	0.487
YCL016C	0.478
YOL037C	0.476
YDL239C	0.469
YPR128C	0.461
YOL013W-B	0.448
YER041W	0.442
YEL003W	0.429
YGL035C	0.419
YDR483W	0.410
YJR130C	0.395
YCL024W	0.376
YJR145C	0.360
YKL032C	0.354
YDR315C	0.319
YER044C-A	0.291
