orf	hap a | growth (colony size) | thiamethoxam [10 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Actara | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | acetamiprid [15 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Mospilan | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | N-methylpyrrolidin-2-one [0.9% v/v], dimethyl sulfoxide [0.8% v/v] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Confidor | YPD | Mattiazzi Usaj M~Petrovic U, 2014
YAR020C	0.3729434775104514	0.09165723382108633	0.19140237459109033	0.3003701535194378	-0.37080563118300314	-0.2860930387786366
YAR023C	-0.18990907266554735	0.08597600031977931	0.2088420104210891	0.22925909374664866	-1.3989952068455664	1.2010844035096033
YAR027W	-0.4139014140621182	-0.12082089912779619	0.3161628462980045	0.3370367937147821	-1.130084087056896	1.3408395870545657
YAR028W	0.08577380905330921	-0.32648155187511024	0.2464043029780095	0.5559255245778987	-0.21714213416090583	0.09367648172397827
YAR029W	0.6141659990144508	-0.06173607071420319	-0.4981339959180912	-0.4007404514279049	0.9963475408518335	-0.8527091633685381
YAR030C	0.3499699040338801	0.24164179825559162	-0.003116640435818868	0.22814798343769882	0.2754849592334652	0.5964913268694404
YAR031W	0.46483777141673704	0.2814104327647407	-0.9743702051219034	-1.4829618923450392	0.7884498684101724	0.9549937542239089
YAR035W	0.5825773354841653	-0.24239929605576638	0.34567607616415624	-0.21518502983328336	-0.3527275727098152	-0.16456679221779985
YAR042W	0.3858661125910229	-0.5094172706171962	-1.1541326052157368	-3.1024051676394166	-0.17194698797793603	0.39825163716707535
YAR047C	-0.39379953727011835	0.12347214142840565	0.3403100343703105	0.12481472470536464	-0.7120289848644252	-0.3407798497310132
YAR050W	0.3528416007184515	0.043934872410107365	0.26518544925646964	0.5770366204479453	-0.3753251458013001	-0.7342210729717222
YBL001C	0.5998075155915937	-0.05605483721289616	0.7521537420479735	-0.26407388342707583	0.029171412536279674	-0.3909094264373583
YBL003C	-0.7068144758884033	-0.20490315494714004	-0.32910367941194946	-0.8296290306825393	0.5037204474574626	-0.7615644784479105
YBL005W	-0.5431277648678323	-0.22421934885158393	0.9426482257294984	-0.07518513090560475	-0.21262261954260886	-0.4106574415034943
YBL007C	1.125328008868164	-0.7923426989822857	-0.9072946826988313	0.057036995859425	-0.3843641750378941	0.3807822392239551
YBL008W	-0.8188106465866889	-0.16399827373772952	-0.34117727344810245	-0.5874069833314763	-1.3538000606625966	-0.2329253059082706
YBL009W	-2.71987385177297	0.09279348052134771	-0.28080930326733755	-1.4529619140033938	0.18509466686752554	-1.539332456437266
YBL010C	0.6170376956990222	0.015528704903572273	0.7239820226302831	-0.3562960390699117	-0.7436655871925042	-0.14633785523367435
YBL011W	0.4677094681013083	0.09847471402265474	-0.01921476581735618	-3.5851825968781172	0.25740690076027717	-1.6684540934081549
YBL013W	-0.2128826461421187	-0.2071756483476629	0.1377419566526326	0.4659255895529625	-1.107486513965411	-0.19646743194001953
YBL015W	-0.08078459865183328	-0.07423478441707862	0.20213445817878187	0.10037029790846838	-1.3402415168077055	0.6359873570017124
YBL016W	0.40453214104073715	0.07006854651611966	0.4905592045979921	-2.8096276012311368	-0.7685229175931375	-0.6415573099690842
YBL017C	0.0972605957915949	-0.42760750819837523	-0.8026568677188388	-0.4162959957532026	0.03595068446372515	-0.30128381959874123
YBL019W	0.6715999327058794	-0.17990572754138917	-0.9502230170495976	-0.21851836076013278	-1.0374340373818078	-0.07342210729717229
YBL021C	0.668728236021308	-0.246944282856812	-1.5780499069295526	-0.2207405813780325	-0.06347863713880846	-0.5807941866886658
YBL024W	0.9874865680087357	-0.1299108727298874	-2.6713809224256284	-0.23851834632122973	-0.04314082135647203	0.30786649128745314
YBL025W	-1.0858784382518312	-2.2490109687174056	4.893396496448447	1.0770362594753689	-0.6871716544637919	1.3742593048587959
YBL027W	0.5165283117390226	-0.39011136708974886	-2.016723823576444	-0.491851496761791	-1.5436196746310697	-7.778186139254223
YBL028C	0.12310586595273773	0.242778044955853	-0.4189848794588661	-1.0685177471067528	-0.5900020901704068	-0.03544515524691078
YBL029W	0.45047928799387993	0.062114819614289836	0.12700987306494108	-0.23407390508543047	-0.8182375783944044	0.9230931145016892
YBL031W	-0.7068144758884033	-0.08786974482021546	-0.9086361931472926	-0.39074045864735646	-0.2713763095804696	-1.22184513729708
YBL032W	0.0972605957915949	0.26777547236160393	-0.07421669420427533	-0.727406882259155	-0.5967813620978523	-1.196020809902902
YBL036C	0.24658882338930885	-0.2980753843685751	0.18067029100339876	0.28592571950309	-0.21714213416090583	0.06633307624779002
YBL037W	0.49642643494702254	-0.41170005439471546	0.7695933778779721	0.4881477957319591	-0.022803005574135657	0.09215740364196781
YBL039C	-0.90208985043926	-0.23444556915393652	0.08139851781725203	-0.5774069905509278	0.5308375351672445	-1.1094333592283059
YBL042C	0.4246340178327371	-0.3105740980714506	0.46909503742260905	0.07259254018472264	0.16475685108518912	0.5888959364593881
YBL043W	0.6170376956990222	-0.3128465914719734	0.2249401358026264	-0.1407406391336447	-0.06121887982965997	-0.29216935110667847
YBL046W	0.4878113448933083	-0.32193656507406465	0.033104141672640086	0.21814799065715035	-1.2792280694606963	-0.3377416935669923
YBL047C	0.772109316665879	0.25414051195846704	-1.5243894889910947	0.019259245355130794	0.42236918432811715	-0.41673375383153616
YBL048W	-0.21001094945754728	0.4348037373000303	-0.6242359780734668	-1.3285175594010128	-0.513170341659358	-1.5955383454716527
YBL049W	0.41601892777902283	-0.5798645660334033	-0.1708054464934992	0.029259238135679263	-0.7549643737382467	-0.002025437442680685
YBL051C	0.3930453543024514	0.2575492520592513	-0.7181417094657678	-1.001851128569763	0.8042681695742119	-1.18994449757486
YBL052C	-0.2157543428266901	0.26777547236160393	-0.7650945751619183	-1.3629619789784577	-0.5809630609338128	-0.8648617880246218
YBL053W	0.11736247258359488	-0.22081060875079972	-0.21641680174118827	-0.609629189510473	-0.22166164877920283	-0.16304771413578942
YBL054W	-0.9911124476609741	-1.0684506471458068	-1.119253333555739	0.04259256184307722	-0.22844092070664823	0.18178301048058493
YBL055C	0.7835961034041649	-0.23217307575341375	-0.17885450918426787	-0.4362959813142995	-0.16064820143219358	-0.2982456634347203
YBL056W	0.6170376956990222	0.1427883353328495	-0.4243509212527119	-0.6429624987789677	-0.21036286223346035	1.3241297281524507
YBL057C	0.35571329740302293	-0.020831189504792645	-0.35727539882963977	-0.8362956925362383	-0.1290115991041147	-1.5514850810933496
YBL059W	0.08290211236873786	-0.26739672346151727	-0.4699622765004009	-0.44074042255009876	-0.66005456675401	-0.15697140180774757
