orf	hap a | growth (colony size) | thiamethoxam [10 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Actara | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | acetamiprid [15 mM] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Mospilan | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | N-methylpyrrolidin-2-one [0.9% v/v], dimethyl sulfoxide [0.8% v/v] | YPD | Mattiazzi Usaj M~Petrovic U, 2014	hap a | growth (colony size) | Confidor | YPD | Mattiazzi Usaj M~Petrovic U, 2014
YBL016W	0.26	0.096	0.37200000000000005	-2.6060000000000003	-0.095	-0.455
YBL017C	0.153	-0.342	-0.5920000000000001	-0.452	0.261	-0.231
YBL019W	0.353	-0.124	-0.7020000000000001	-0.27399999999999997	-0.214	-0.081
YBL021C	0.35200000000000004	-0.183	-1.17	-0.276	0.217	-0.415
YBL024W	0.46299999999999997	-0.08	-1.985	-0.292	0.226	0.17
YBL025W	-0.259	-1.945	3.654	0.892	-0.059000000000000004	0.872
YBL027W	0.299	-0.309	-1.4969999999999999	-0.52	-0.43799999999999994	-5.153
YBL028C	0.162	0.248	-0.306	-1.0390000000000001	-0.016	-0.055999999999999994
YBL029W	0.276	0.08900000000000001	0.10099999999999999	-0.28800000000000003	-0.11699999999999999	0.575
YBL031W	-0.127	-0.043	-0.6709999999999999	-0.429	0.125	-0.8370000000000001
YBL032W	0.153	0.27	-0.049	-0.732	-0.019	-0.82
YBL036C	0.205	-0.228	0.141	0.18	0.149	0.011000000000000001
YBL037W	0.292	-0.32799999999999996	0.58	0.36200000000000004	0.235	0.027999999999999997
YBL039C	-0.195	-0.172	0.067	-0.597	0.48	-0.763
YBL042C	0.267	-0.239	0.35600000000000004	-0.012	0.318	0.355
YBL043W	0.33399999999999996	-0.24100000000000002	0.174	-0.204	0.218	-0.225
YBL046W	0.289	-0.249	0.031	0.11900000000000001	-0.321	-0.255
YBL047C	0.38799999999999996	0.258	-1.13	-0.06	0.43200000000000005	-0.307
YBL048W	0.046	0.41700000000000004	-0.45899999999999996	-1.273	0.018000000000000002	-1.083
YBL049W	0.264	-0.47600000000000003	-0.121	-0.051	-0.08900000000000001	-0.034
YBL051C	0.256	0.261	-0.529	-0.9790000000000001	0.601	-0.816
YBL052C	0.044000000000000004	0.27	-0.564	-1.304	-0.012	-0.602
YBL053W	0.16	-0.16	-0.155	-0.626	0.147	-0.14
YBL054W	-0.226	-0.9059999999999999	-0.828	-0.039	0.14400000000000002	0.087
YBL055C	0.392	-0.17	-0.127	-0.47	0.174	-0.22899999999999998
YBL056W	0.33399999999999996	0.16	-0.31	-0.6559999999999999	0.152	0.8390000000000001
YBL057C	0.243	0.016	-0.26	-0.83	0.188	-1.054
YBL059W	0.14800000000000002	-0.201	-0.344	-0.474	-0.047	-0.136
YBL060W	0.203	0.449	-0.927	-0.868	0.271	-0.861
YBL061C	0.259	-0.222	-5.295	-0.983	0.055999999999999994	0.715
YBL062W	0.16899999999999998	-0.14400000000000002	-5.149	-1.3030000000000002	-0.066	0.371
YBL063W	0.157	0.204	-0.145	-0.873	0.27399999999999997	-0.9840000000000001
YBL064C	0.1	-0.163	-0.019	0.303	-0.062	0.613
YBL065W	-0.08900000000000001	0.062	0.168	0.04	0.163	0.013999999999999999
YBL066C	-0.132	0.5760000000000001	-0.309	-0.551	0.308	-0.59
YBL067C	0.366	0.105	-0.48200000000000004	-0.494	0.33399999999999996	-1.3869999999999998
YBL068W	0.16899999999999998	0.122	-0.364	-0.745	0.261	0.71
YBL069W	0.222	0.248	-0.508	-0.203	0.63	-0.89
YBL070C	0.22699999999999998	0.188	-0.317	-0.642	-0.337	-0.293
YBL071C	0.207	0.078	-0.027000000000000003	-0.163	0.325	-0.212
YBL072C	0.23199999999999998	0.22	0.221	-0.055999999999999994	-0.085	-0.34299999999999997
YBL075C	0.261	0.05	0.257	0.1	0.073	0.263
YBL078C	0.247	-0.377	0.061	0.111	-0.14	0.483
YBL079W	0.20600000000000002	0.07	-0.05	0.023	0.28	-0.069
YBL081W	0.174	0.05	-0.691	0.36200000000000004	-0.031	0.15
YBL082C	0.25	-0.6920000000000001	-1.1520000000000001	-0.214	0.252	-0.597
YBL083C	0.316	-0.53	-0.337	-0.085	0.35	-0.177
YBL085W	0.271	-0.586	-0.05	-0.263	0.24600000000000002	0.055999999999999994
YBL086C	0.24600000000000002	-0.672	-0.46799999999999997	0.11699999999999999	0.222	-0.201
YBL087C	-0.313	-0.057	0.8270000000000001	0.147	0.006999999999999999	0.848
YBL088C	0.2	0.303	-0.213	-0.023	0.106	-0.039
YBL089W	0.20600000000000002	-0.131	-0.7609999999999999	-0.688	-0.612	-5.088
YBL091C	0.17800000000000002	0.406	-0.247	-0.32799999999999996	0.26899999999999996	-0.63
YBL091C-A	0.379	-0.09699999999999999	-1.3630000000000002	-0.633	0.272	-1.129
YBL094C	-0.109	0.447	-2.562	-0.14400000000000002	-0.256	-1.041
YBL095W	-0.111	0.159	-0.515	0.498	-0.168	-0.305
YBL096C	0.102	0.198	-0.361	-0.912	0.754	-0.795
YBL098W	0.29	0.201	-0.138	-1.157	0.531	-0.69
YBL100C	0.29100000000000004	-0.409	0.109	-0.242	0.34700000000000003	0.475
YBL101C	0.336	-0.325	0.096	0.375	0.345	0.523
YBL102W	0.376	-0.006999999999999999	-0.38	-1.044	0.327	-0.008
YBL103C	0.1995	-0.39299999999999996	-0.11299999999999996	0.06799999999999999	-0.1255	-0.471
YBL104C	0.25	-0.175	-0.63	-1.9269999999999998	0.19399999999999998	-0.13699999999999998
YBL106C	0.113	0.475	-0.27	-1.982	-0.042	-0.885
YBL107C	0.168	0.17	-0.168	-0.5710000000000001	-0.35100000000000003	0.7
YBR001C	0.191	0.21600000000000003	-0.298	-0.067	0.114	-0.943
YBR005W	0.165	0.213	0.314	-0.7759999999999999	0.31	-0.209
YBR006W	-0.177	0.298	-0.31	-0.892	0.344	-0.289
YBR007C	-0.228	0.268	-0.078	-0.5489999999999999	0.626	-0.436
YBR008C	0.405	-0.091	-0.276	0.096	0.083	0.342
YBR009C	-0.919	0.159	-0.9129999999999999	-0.28800000000000003	0.56	0.175
YBR010W	-0.745	0.326	-0.332	-0.615	0.038	-0.183
YBR012C	0.515	-0.033	-0.13699999999999998	0.109	-0.079	-0.233
YBR013C	-1.003	-0.226	-0.32	-0.966	0.24100000000000002	-0.746
YBR014C	0.251	0.132	-0.21100000000000002	-1.785	0.36200000000000004	-0.9670000000000001
YBR015C	0.147	-0.009000000000000001	-0.27899999999999997	-0.41200000000000003	0.24100000000000002	0.799
YBR016W	0.035	-0.047	-0.535	0.28300000000000003	-0.24100000000000002	0.273
YBR018C	0.06	0.41200000000000003	0.002	-1.1340000000000001	0.23600000000000002	0.26899999999999996
YBR019C	0.075	0.102	-0.5870000000000001	-5.421	0.67	-1.321
YBR020W	-0.056999999999999995	0.0405	-0.2955	-1.1235	-0.08199999999999999	-0.2525
YBR022W	0.066	0.36700000000000005	-0.063	-0.97	-0.052000000000000005	-0.9640000000000001
YBR023C	-0.42100000000000004	-0.41600000000000004	-5.062	-2.496	-0.474	-2.181
YBR024W	0.331	-0.122	0.182	-0.242	-0.7759999999999999	-0.105
YBR025C	0.373	0.331	0.147	-0.774	-0.055999999999999994	-0.68
YBR026C	0.374	-0.075	0.13	-0.16899999999999998	0.141	-0.389
YBR027C	-0.01	-0.18899999999999997	-0.141	-0.9159999999999999	0.09300000000000001	-0.825
YBR028C	0.34600000000000003	0.021	0.21600000000000003	-1.0659999999999998	0.025	-0.889
YBR030W	0.214	-0.01	-0.024	-0.282	-0.025	-0.276
YBR031W	-0.02	-0.165	0.27	0.444	-0.08	0.401
YBR032W	0.354	-0.24600000000000002	-0.629	0.397	0.21600000000000003	0.374
YBR033W	0.096	-0.02	-0.23199999999999998	0.09	-0.138	-0.875
YBR034C	-0.953	0.102	-0.6459999999999999	-0.551	-0.562	-0.21100000000000002
YBR036C	-0.063	0.17300000000000001	1.239	0.8009999999999999	0.632	-1.149
YBR040W	-0.10400000000000001	0.076	0.037000000000000005	0.555	-0.048	0.621
YBR041W	-0.28	0.268	-0.415	-0.264	-0.184	-0.305
YBR042C	0.42	-0.26	-0.528	-0.68	0.251	0.28
YBR043C	0.488	-0.157	-1.101	0.061	0.11	-0.8440000000000001
YBR044C	-0.013999999999999999	-0.17800000000000002	-0.46799999999999997	-0.022000000000000002	-0.18	-0.21600000000000003
YBR045C	0.248	0.155	0.166	0.67	-0.213	1.159
YBR046C	0.182	-0.248	0.14	-0.193	0.374	-0.026000000000000002
YBR047W	-0.242	0.257	-0.657	-0.83	-0.254	-0.284
YBR048W	-0.716	-0.233	0.249	0.539	0.067	0.08800000000000001
YBR050C	-0.344	0.27899999999999997	-0.147	-1.3840000000000001	-0.611	-1.224
YBR051W	0.409	0.035	0.042	-0.506	0.365	-0.083
YBR052C	0.19899999999999998	0.09300000000000001	0.3	-0.33799999999999997	0.113	0.01
YBR053C	0.242	-0.433	0.109	0.177	-0.441	0.254
YBR054W	0.35	-0.594	0.245	0.17300000000000001	-0.038	-0.222
YBR056W	-0.048	-0.003	0.073	-0.013999999999999999	-0.19699999999999998	0.198
YBR057C	-0.214	0.278	-0.541	-0.17300000000000001	0.341	-0.44299999999999995
YBR058C	-0.141	0.006	-0.22899999999999998	0.006	0.006999999999999999	0.14800000000000002
YBR059C	0.34299999999999997	-0.021	0.331	0.19399999999999998	0.298	-0.062
YBR061C	0.0645	-0.2845	0.46749999999999997	-0.3475	-0.13	0.064
YBR062C	-0.079	-0.35200000000000004	-0.154	-0.8220000000000001	0.45799999999999996	0.16899999999999998
YBR063C	0.35700000000000004	0.07400000000000001	0.222	-0.085	0.266	0.008
YBR064W	0.228	-0.155	-0.15	0.107	0.113	0.687
YBR065C	0.21	-0.39899999999999997	0.5479999999999999	0.196	-0.29	-0.16699999999999998
YBR066C	0.22399999999999998	0.158	0.16699999999999998	-0.009000000000000001	-0.294	-0.49
YBR067C	0.215	-0.179	-1.159	-0.33899999999999997	0.049	1.3319999999999999
YBR068C	-0.38	0.294	-0.254	-0.45	0.39299999999999996	-0.539
YBR069C	0.209	-0.059000000000000004	-0.01	-0.073	0.013000000000000001	0.43
YBR071W	0.05	-0.04	-0.019	-0.281	-0.048	0.737
YBR072W	0.295	-0.6709999999999999	-0.214	-1.008	0.145	-0.341
YBR073W	0.335	0.10300000000000001	-0.188	-0.736	0.524	0.8420000000000001
YBR074W	0.11466666666666665	-0.18233333333333332	-0.034666666666666644	-0.32766666666666666	0.25	0.022333333333333344
YBR076W	-0.8240000000000001	0.14800000000000002	-0.17300000000000001	-0.04	-0.21100000000000002	-1.3969999999999998
YBR077C	0.33	-0.064	-0.24	-1.122	1.063	-0.381
YBR078W	0.226	-1.3259999999999998	-0.3	-0.5539999999999999	-0.419	-1.247
YBR082C	-0.08200000000000002	0.0825	0.15549999999999997	0.42300000000000004	0.0295	0.3305
YBR083W	-0.024	0.155	-0.6509999999999999	-0.961	0.111	-0.687
YBR084C-A	0.198	-0.987	-0.903	-0.47600000000000003	-0.255	-1.3230000000000002
YBR084W	0.07400000000000001	-0.198	0.159	-0.049	-0.032	0.551
YBR085W	-0.508	-0.401	-1.321	-0.134	0.10099999999999999	-0.085
YBR086C	-0.6409999999999999	-0.436	0.376	0.17	0.063	0.063
YBR089C-A	0.09699999999999999	0.319	-0.396	-0.013000000000000001	-0.129	-0.687
YBR090C	0.23600000000000002	0.21600000000000003	0.09300000000000001	0.078	-0.395	0.191
YBR092C	0.311	0.363	-0.552	-0.711	0.41700000000000004	-0.584
YBR093C	0.243	0.42200000000000004	-0.366	-1.456	0.316	-1.368
YBR094W	0.305	-0.051	0.396	-0.537	0.37799999999999995	-0.36
YBR095C	0.05299999999999999	0.10300000000000001	-0.569	0.008000000000000007	0.021000000000000005	0.24850000000000003
YBR098W	0.257	0.2295	-0.368	-0.218	0.21950000000000003	0.09849999999999995
YBR099C	0.249	0.297	-0.245	-0.303	0.24100000000000002	-0.244
YBR101C	0.22699999999999998	-0.311	0.175	0.138	-0.397	0.52
YBR103W	-0.258	0.057999999999999996	-0.27	0.006999999999999999	-0.196	-2.71
YBR104W	0.077	0.252	-0.21600000000000003	-0.6559999999999999	-0.125	-0.961
YBR105C	-0.083	-0.29100000000000004	-1.161	0.737	0.737	0.531
YBR106W	0.314	0.28	-1.659	0.599	0.5660000000000001	0.39799999999999996
YBR107C	0.36700000000000005	-0.396	0.059000000000000004	-0.595	0.217	-0.045
YBR108W	0.38799999999999996	-0.17	-0.369	-0.228	0.272	0.506
YBR111C	0.43799999999999994	0.105	-1.702	-0.846	0.044000000000000004	0.551
YBR113W	-0.313	0.017	-0.055999999999999994	0.01	0.193	-0.069
YBR114W	-0.165	0.218	-0.41700000000000004	-0.669	0.155	-0.32299999999999995
YBR115C	0.1985	-0.15650000000000003	0.5680000000000001	-0.124	-0.2535	0.33749999999999997
YBR116C	0.245	0.201	-0.243	-0.9690000000000001	0.004	-0.8540000000000001
YBR118W	-0.337	-0.29	-0.013999999999999999	-0.7709999999999999	-0.192	-0.447
YBR119W	-0.022000000000000002	-0.076	0.124	0.257	-0.35700000000000004	0.157
YBR121C	0.04	0.036000000000000004	0.377	-5.069	-0.451	-0.21
YBR122C	0.071	-2.5869999999999997	-0.19899999999999998	-3.813	-0.059000000000000004	2.198
YBR125C	0.205	-0.488	0.131	-0.10800000000000001	0.198	-0.16699999999999998
YBR126C	0.095	0.16	0.37200000000000005	0.298	0.565	-0.154
YBR128C	0.331	-0.22899999999999998	-0.5589999999999999	0.053	-0.36700000000000005	-0.16
YBR129C	-0.096	0.028999999999999998	-0.5820000000000001	-0.307	-0.218	-0.18600000000000003
YBR130C	-0.046	0.284	0.22899999999999998	-0.21	0.5489999999999999	0.109
YBR131W	0.32799999999999996	0.342	-0.027000000000000003	-0.424	-0.004	1.006
YBR132C	-0.361	0.73	0.435	0.7440000000000001	0.154	-0.509
YBR134W	0.115	-0.10099999999999999	0.086	-0.484	0.004	0.934
YBR137W	0.314	0.183	0.135	-1.1540000000000001	0.21600000000000003	0.317
YBR138C	0.034	0.414	-0.585	-0.095	0.225	-0.22699999999999998
YBR139W	0.11	-0.122	0.203	-0.124	-0.087	0.29600000000000004
YBR141C	0.33299999999999996	0.11800000000000001	-0.141	0.48	-0.61	-1.094
YBR144C	0.319	-0.981	0.131	0.386	0.15	0.384
YBR145W	-0.5760000000000001	0.359	-0.348	0.055999999999999994	-0.68	-0.287
YBR146W	-0.17300000000000001	0.025	-0.603	-0.134	0.344	-0.617
YBR147W	0.409	0.11699999999999999	0.094	0.061	0.524	0.175
YBR148W	-0.337	-0.16399999999999998	-0.061	0.195	-0.657	-0.14400000000000002
YBR149W	0.39299999999999996	-0.382	0.237	0.483	-0.309	0.067
YBR150C	0.259	0.43	-0.27699999999999997	-0.532	0.24	0.951
YBR151W	0.129	-0.21100000000000002	0.076	0.616	-0.385	0.113
YBR156C	0.17800000000000002	0.03	-0.226	0.38	-0.142	0.424
YBR157C	0.273	-0.024	-0.31	0.08	-0.037000000000000005	-0.579
YBR158W	0.353	-0.17800000000000002	0.764	-0.084	0.23800000000000002	-0.10800000000000001
YBR159W	0.28800000000000003	0.431	-0.052000000000000005	-0.389	0.293	-0.35700000000000004
YBR161W	0.374	-0.428	-0.22399999999999998	-0.012	0.07400000000000001	-0.033
YBR162C	0.27899999999999997	-0.38299999999999995	0.20600000000000002	0.22699999999999998	0.218	-0.059000000000000004
YBR162W-A	0.384	-0.37	-0.11599999999999999	0.218	0.016	-0.20600000000000002
YBR164C	0.364	-0.081	-1.433	-1.0190000000000001	-0.141	-1.368
YBR165W	0.045	-0.3385	-0.11200000000000002	-1.038	-0.4255	-0.1705
YBR166C	0.34299999999999997	-0.295	0.17600000000000002	-0.024	-0.365	0.022000000000000002
YBR168W	0.366	-0.055	0.5479999999999999	0.316	-0.7120000000000001	
YBR169C	0.092	-0.06	-0.345	-0.669	0.073	-0.168
YBR170C	0.034	0.386	-0.113	-1.011	0.27699999999999997	-0.04
YBR171W	0.303	0.205	-0.071	0.43200000000000005	0.635	-0.249
YBR172C	-0.645	-2.4419999999999997	-1.3030000000000002	-0.013999999999999999	0.038	-0.87
YBR174C	-0.191	0.523	0.423	-0.053	-0.10400000000000001	-0.336
YBR175W	0.377	0.086	-0.644	-0.308	0.242	-1.3
YBR176W	0.209	-0.386	-0.006999999999999999	0.16	0.102	-0.040999999999999995
YBR177C	0.20199999999999999	-0.387	0.039	-0.069	-0.076	0.075
YBR178W	0.23600000000000002	-0.569	-0.42	-0.593	0.069	-0.897
YBR180W	0.222	0.29600000000000004	-0.701	-0.594	-0.018000000000000002	0.324
YBR181C	0.377	0.27699999999999997	0.182	0.299	-0.157	0.07
YBR182C	0.23800000000000002	0.159	-0.345	-0.802	0.053	-0.915
YBR183W	0.055999999999999994	0.098	0.607	0.49200000000000005	0.215	-0.075
YBR184W	0.381	0.385	-0.08800000000000001	-0.36200000000000004	0.32299999999999995	-0.12300000000000001
YBR185C	-0.737	-0.33799999999999997	-0.087	-0.777	0.285	-0.39399999999999996
YBR186W	0.253	-0.22899999999999998	0.4	0.48700000000000004	0.263	-0.109
YBR187W	0.114	-0.217	-0.8320000000000001	-1.047	0.616	0.111
YBR188C	0.311	-0.385	-0.073	-0.028999999999999998	-0.086	0.828
YBR189W	0.426	0.043	-0.017	0.07400000000000001	0.649	-0.23399999999999999
YBR194W	0.588	-0.726	0.66	0.19	0.023	1.078
YBR195C	-0.078	-0.42100000000000004	-0.13699999999999998	-0.081	-0.046	-0.015
YBR197C	0.213	-0.009000000000000001	0.249	0.344	0.009000000000000001	0.19
YBR199W	-0.071	0.242	-0.10800000000000001	-0.353	-0.10300000000000001	0.8170000000000001
YBR200W	0.201	-2.508	-1.4380000000000002	-0.41700000000000004	-0.642	-2.281
YBR201W	0.257	0.05	0.155	-0.18899999999999997	0.48100000000000004	0.91
YBR203W	0.223	-0.258	0.321	0.275	0.217	0.654
YBR204C	0.214	0.21600000000000003	0.025	-1.127	0.536	0.095
YBR205W	0.353	-0.831	0.429	0.32	0.155	0.83
YBR206W	0.301	-0.1	-0.145	-0.9420000000000001	0.504	-0.5429999999999999
YBR207W	0.284	-0.255	-0.245	-0.092	0.126	-0.152
YBR208C	0.373	-2.483	0.293	-0.324	0.294	-1.9780000000000002
YBR209W	0.19399999999999998	1.011	-0.040999999999999995	0.0	0.11699999999999999	0.231
YBR210W	0.2	-0.34600000000000003	0.379	0.309	-0.115	-0.304
YBR212W	0.09699999999999999	0.228	-0.494	-0.787	-0.11	-1.097
YBR213W	-0.017	-0.193	0.267	0.129	0.107	-0.07400000000000001
YBR214W	0.222	-0.08	0.297	-0.643	0.204	-0.428
YBR215W	0.371	0.057	0.031	0.12	0.003	-1.557
YBR216C	-0.256	-0.016	-0.42700000000000005	-0.713	0.519	0.37799999999999995
YBR217W	0.391	-0.278	0.091	-0.187	0.013999999999999999	-0.08
YBR218C	-0.912	0.066	-0.373	-0.539	0.151	0.27399999999999997
YBR219C	0.575	0.385	0.067	-0.217	0.02	0.308
YBR220C	0.43	-0.158	0.207	-0.499	0.066	0.37799999999999995
YBR221C	0.484	-0.375	-0.441	-0.47100000000000003	-0.063	0.748
YBR222C	0.0	-0.05	0.324	0.27399999999999997	0.013999999999999999	-0.16399999999999998
YBR223C	0.127	0.161	-0.314	-0.612	-0.14800000000000002	-0.214
YBR224W	0.07200000000000001	0.055	-0.40399999999999997	0.02	0.505	-0.212
YBR225W	-0.051	0.631	-0.18	-0.309	0.23800000000000002	-0.077
YBR226C	-0.049	0.664	0.11800000000000001	-0.07400000000000001	0.1	-0.34700000000000003
YBR227C	-0.561	0.307	-1.099	-0.642	0.35700000000000004	-0.536
YBR228W	-0.489	-0.07	-0.614	0.079	0.201	-0.19399999999999998
YBR229C	-0.507	-1.109	0.506	-0.14400000000000002	0.10300000000000001	0.33399999999999996
YBR230C	0.361	-0.16699999999999998	-0.823	0.0	0.33299999999999996	0.039
YBR231C	0.106	0.213	-0.799	-0.11599999999999999	-4.69	-5.62
YBR232C	0.33	0.037000000000000005	-0.361	-0.011000000000000001	0.309	0.36700000000000005
YBR233W	-0.155	0.10300000000000001	-0.6729999999999999	-0.402	0.434	
YBR235W	0.09300000000000001	0.19899999999999998	0.226	0.035	0.152	0.838
YBR238C	-0.126	-0.17600000000000002	-1.475	-0.182	-0.145	-0.804
YBR239C	0.51	0.105	0.42100000000000004	-0.003	0.48700000000000004	-0.19899999999999998
YBR240C	0.106	0.256	-0.474	-0.151	0.26	-0.45299999999999996
