ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YBR112C	NaN	NaN
YBR113W	0.058	NaN
YBR114W	-1.721	NaN
YBR115C	-0.452	NaN
YBR116C	-0.469	NaN
YBR118W	-0.095	NaN
YBR119W	0.058	NaN
YBR120C	-1.292	NaN
YBR121C	NaN	-0.079
YBR122C	NaN	NaN
YBR123C	NaN	2.020
YBR124W	NaN	1.448
YBR125C	-2.724	NaN
YBR126C	NaN	NaN
YBR127C	NaN	NaN
YBR128C	1.268	NaN
YBR129C	0.325	NaN
YBR130C	-0.256	NaN
YBR131W	-0.882	NaN
YBR133C	0.055	NaN
YBR134W	-0.160	NaN
YBR135W	NaN	1.601
YBR136W	NaN	1.136
YBR137W	-1.784	NaN
YBR138C	-0.735	NaN
YBR139W	-0.591	NaN
YBR140C	NaN	-8.902
YBR141C	1.141	NaN
YBR142W	NaN	0.734
YBR143C	NaN	0.981
YBR144C	1.161	NaN
YBR145W	-0.233	NaN
YBR146W	0.500	NaN
YBR147W	1.113	NaN
YBR148W	-0.202	NaN
YBR149W	-1.245	NaN
YBR150C	-0.537	NaN
YBR151W	-1.412	NaN
YBR152W	NaN	-0.528
YBR153W	NaN	-0.636
YBR154C	NaN	1.589
YBR155W	NaN	-0.083
YBR156C	2.571	NaN
YBR157C	-0.796	NaN
YBR158W	1.284	NaN
YBR159W	-0.142	NaN
YBR160W	NaN	0.471
YBR161W	0.687	NaN
YBR162C	1.175	NaN
YBR162W-A	0.435	NaN
YBR163W	-3.534	NaN
YBR164C	1.292	NaN
YBR165W	0.691	NaN
YBR167C	NaN	-0.665
YBR168W	1.372	NaN
YBR169C	0.554	NaN
YBR170C	-0.753	NaN
YBR171W	0.577	NaN
YBR172C	-0.336	NaN
YBR173C	0.037	NaN
YBR174C	0.827	NaN
YBR175W	0.651	NaN
YBR176W	-0.144	NaN
YBR177C	-0.411	NaN
YBR178W	-0.350	NaN
YBR179C	-2.995	NaN
YBR180W	-1.013	NaN
YBR181C	1.139	NaN
YBR182C	-1.281	NaN
YBR182C-A	-0.976	NaN
YBR183W	-0.412	NaN
YBR184W	-0.619	NaN
YBR185C	-0.146	NaN
YBR186W	-0.207	NaN
YBR187W	-1.527	NaN
YBR188C	2.030	NaN
YBR189W	1.005	2.056
YBR190W	NaN	-0.378
YBR191W	0.900	2.419
YBR192W	NaN	-5.720
YBR193C	NaN	0.559
YBR194W	0.703	NaN
YBR195C	-0.441	NaN
YBR196C	NaN	2.574
YBR196C-A	1.324	NaN
