orf	hom | growth (culture turbidity) | diarsenic trioxide [0.2-1.2 mM] | Dilda PJ~Hogg PJ, 2008
YOR024W	-0.2986511038223549
YOR082C	-1.5869650565820417
YOR104W	-0.4736466205242367
YOR208W	0.6102595207541776
YOR213C	-0.4795031526369495
YOR304W	-0.4182740664007455
YOR305W	-0.6521797420717224
YOR309C	0.7505580877732844
YOR322C	-0.5749601861018658
YOR349W	-1.0895624531481918
YPL024W	-1.2473232451995497
YPL031C	-2.608616304114023
YPL042C	-0.843970070294529
YPL079W	0.3134827183965142
YPL084W	-0.7301884522402944
YPL086C	0.5454905203834112
YPL161C	-1.4083540791846227
YPL173W	-0.4942963218147801
YPL183W-A	-0.5653138090500603
YPL193W	0.8960880245566357
YPL234C	-0.3923694140687028
YPL241C	-1.114187500453581
YPR036W	-2.6210388241125804
YPR067W	-0.4448676559741933
YPR070W	-1.1451323043030026
YPR116W	-0.7627896136156924
YPR119W	-0.3763477095374372
YPR124W	-1.0041288968397788
YPR129W	0.6645606327985286
YPR135W	-1.0267145494885281
YPR167C	-0.4765705992156719
YPR199C	-1.7666234959565128
YPR200C	-1.26649316130727
YPR201W	-1.6512073253103954
