ORF	hap alpha | cell size | YPD [standard] | Cook~Ho, 2008
YLR319C	-0.191
YKL130C	-0.191
YPR011C	-0.191
YHR081W	-0.190
YBR275C	-0.189
YKR077W	-0.188
YGR008C	-0.188
YDR233C	-0.187
YOR267C	-0.187
YER185W	-0.187
YFR009W	-0.187
YGL026C	-0.186
YFL033C	-0.186
YBL082C	-0.186
YIL130W	-0.185
YOR300W	-0.185
YPL253C	-0.185
YMR307W	-0.185
YEL043W	-0.185
YDR290W	-0.185
YOR214C	-0.184
YJR084W	-0.183
YML104C	-0.183
YPL123C	-0.183
YGR092W	-0.183
YEL056W	-0.183
YJL208C	-0.182
YDL238C	-0.182
YPL273W	-0.182
YBR149W	-0.182
YDL051W	-0.182
YEL004W	-0.182
YOR239W	-0.181
YDR158W	-0.181
YDR253C	-0.181
YDR439W	-0.180
YOL152W	-0.180
YDR383C	-0.179
YOR129C	-0.179
YHR209W	-0.179
YBL091C	-0.177
YKL008C	-0.176
YCL009C	-0.176
YER162C	-0.176
YOR152C	-0.175
YHR129C	-0.175
YDR522C	-0.174
YDL189W	-0.174
YPR064W	-0.174
YGL235W	-0.174
YFR013W	-0.173
YAL060W	-0.173
YKR023W	-0.173
YLR135W	-0.172
YJR145C	-0.171
YKL120W	-0.171
YDR277C	-0.171
YNL034W	-0.170
YMR017W	-0.170
YLR224W	-0.170
YDR312W	-0.170
YHR082C	-0.169
YNL153C	-0.169
YKL044W	-0.169
YDL134C-A	-0.168
YOR363C	-0.168
YGR023W	-0.168
YNL089C	-0.167
YJR053W	-0.167
YGL013C	-0.167
YHR123W	-0.167
YIL001W	-0.166
YIL015W	-0.165
YHR114W	-0.165
YMR138W	-0.165
YBR294W	-0.165
YAL037W	-0.164
YCR008W	-0.164
YDR336W	-0.164
YOL036W	-0.164
YPR013C	-0.163
YDR408C	-0.163
YGL156W	-0.163
YBL029W	-0.162
YPL164C	-0.162
YDR036C	-0.162
YNL144C	-0.162
YDR139C	-0.162
YEL038W	-0.161
YGR197C	-0.161
YLR429W	-0.160
YBR022W	-0.158
YOL020W	-0.157
YDR497C	-0.156
YFL003C	-0.156
