orf	hap a/hap alpha | low dye binding (ldb) (alcian blue) | standard [standard] | Corbacho I~Hernandez LM, 2005
YGL168W	-7.965202096899014
YGL206C	-7.965202096899014
YGL223C	-7.965202096899014
YGL240W	-2.6550673656330046
YGR020C	-5.310134731266009
YGR036C	-7.965202096899014
YGR056W	-2.6550673656330046
YGR078C	-2.6550673656330046
YGR092W	-2.6550673656330046
YGR105W	-2.6550673656330046
YGR262C	-7.965202096899014
YHR026W	-2.6550673656330046
YHR039C-A	-5.310134731266009
YHR041C	-2.6550673656330046
YHR050W	-5.310134731266009
YHR060W	-5.310134731266009
YHR167W	-2.6550673656330046
YHR191C	-2.6550673656330046
YIL052C	-2.6550673656330046
YIL097W	-2.6550673656330046
YIL154C	-2.6550673656330046
YJL062W	-5.310134731266009
YJL080C	-5.310134731266009
YJL127C	-2.6550673656330046
YJL140W	-5.310134731266009
YJL179W	-2.6550673656330046
YJL183W	-7.965202096899014
YJL184W	-7.965202096899014
YJL186W	-7.965202096899014
YJR001W	-2.6550673656330046
YJR075W	-5.310134731266009
YJR090C	-2.6550673656330046
YKL041W	-5.310134731266009
YKL048C	-5.310134731266009
YKL054C	-2.6550673656330046
YKL080W	-5.310134731266009
YKL118W	-5.310134731266009
YKL119C	-5.310134731266009
YKL179C	-2.6550673656330046
YKL201C	-7.965202096899014
YKL202W	-7.965202096899014
YLL049W	-2.6550673656330046
YLR182W	-7.965202096899014
YLR226W	-2.6550673656330046
YLR240W	-2.6550673656330046
YLR242C	-5.310134731266009
YLR244C	-5.310134731266009
YLR261C	-2.6550673656330046
YLR262C	-2.6550673656330046
YLR318W	-2.6550673656330046
YLR320W	-2.6550673656330046
YLR322W	-2.6550673656330046
YLR337C	-5.310134731266009
YLR338W	-5.310134731266009
YLR362W	-2.6550673656330046
YLR369W	-5.310134731266009
YLR370C	-5.310134731266009
YLR396C	-2.6550673656330046
YLR423C	-2.6550673656330046
YLR425W	-2.6550673656330046
YLR447C	-2.6550673656330046
YML062C	-2.6550673656330046
YML071C	-5.310134731266009
YML094C-A	-2.6550673656330046
YML094W	-2.6550673656330046
YML115C	-5.310134731266009
YMR032W	-5.310134731266009
YMR091C	-2.6550673656330046
YMR116C	-5.310134731266009
YMR125W	-2.6550673656330046
YMR294W	-2.6550673656330046
YMR307W	-5.310134731266009
YNL025C	-2.6550673656330046
YNL041C	-5.310134731266009
YNL051W	-5.310134731266009
YNL059C	-2.6550673656330046
YNL064C	-5.310134731266009
YNL084C	-2.6550673656330046
YNL133C	-2.6550673656330046
YNL139C	-5.310134731266009
YNL219C	-2.6550673656330046
YNL225C	-2.6550673656330046
YNL238W	-2.6550673656330046
YNL243W	-7.965202096899014
YNL250W	-2.6550673656330046
YNL296W	-2.6550673656330046
YNL297C	-2.6550673656330046
YNL298W	-2.6550673656330046
YNL322C	-2.6550673656330046
YNR010W	-2.6550673656330046
YNR027W	-2.6550673656330046
YNR051C	-5.310134731266009
YOL050C	-2.6550673656330046
YOL051W	-2.6550673656330046
YOL072W	-5.310134731266009
YOL081W	-2.6550673656330046
YOL148C	-2.6550673656330046
YOR002W	-2.6550673656330046
YOR035C	-2.6550673656330046
YOR036W	-2.6550673656330046
YOR085W	-5.310134731266009
YOR198C	-2.6550673656330046
YOR216C	-5.310134731266009
YOR258W	-2.6550673656330046
YOR322C	-2.6550673656330046
YOR332W	-5.310134731266009
YPL024W	-2.6550673656330046
YPL031C	-7.965202096899014
YPL045W	-5.310134731266009
YPL050C	-7.965202096899014
YPL053C	-7.965202096899014
YPL086C	-2.6550673656330046
YPL129W	-2.6550673656330046
YPL227C	-2.6550673656330046
YPL234C	-2.6550673656330046
YPL254W	-5.310134731266009
YPL262W	-2.6550673656330046
YPR036W	-2.6550673656330046
YPR072W	-5.310134731266009
YPR087W	-5.310134731266009
YPR139C	-5.310134731266009
YPR141C	-2.6550673656330046
YPR159W	-5.310134731266009
YPR163C	-5.310134731266009
