Line,As75,Ca44,Cd111,Cl35,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Se82,Zn66
YAL002W_oe,-0.085365333,-0.025525496,0.060609002,-0.075849635,0.055455353,-0.036756592,0.137287828,0.012368117,0.01972724,-0.018838799,.,.,-0.129530547,0.012929185,0.074003172,-0.015650759,0.011957978
YAL004W_oe,0.069707428,0.032413246,0.006881113,-0.019140967,-0.113950316,0.051540096,0.021250761,-0.016647336,-0.089845018,0.024878734,.,.,-0.024499951,0.002375946,0.039237321,0.245747661,0.057954193
YAL005C_oe,0.142199407,0.08651032,-0.038885956,0.121320232,-0.066003305,0.001143521,0.006458067,-0.055489856,-0.011894063,-0.016381584,-0.086371579,-0.088505939,-0.005460368,-0.024860687,0.078275993,0.273393553,0.033142121
YAL007C_oe,0.024649602,4.33E-06,0.018705687,0.007056526,0.123941777,-0.064868323,0.032878798,0.098527948,0.112816052,0.019103561,.,.,0.052822399,0.075220531,0.031042039,0.112691403,0.016234747
YAL008W_oe,0.09386712,-0.040583099,0.063380388,0.110552042,-0.014932234,-0.103700038,-0.000770745,-0.004366092,-0.011394745,0.052251506,.,.,-0.128886477,-0.013577632,-0.004170139,0.075296305,0.032810321
YAL009W_oe,0.019957004,0.004451664,0.088947245,0.018951457,0.207095183,0.015620204,0.018067889,-0.043635042,-0.007854412,-0.046113406,-0.06149845,0.524392807,-0.005293914,-0.043157139,-0.008551273,0.043568181,-0.068035464
YAL010C_oe,-0.034483224,0.066455435,0.012890716,0.034024814,-0.004431925,-0.037149845,-0.04629538,-0.020016224,-0.045146794,-0.065043292,.,2.950658776,-0.072817832,-0.039179988,0.260398551,0.522935747,0.009058452
YAL011W_oe,-0.036361034,-0.053078078,-0.011217363,0.019770905,0.052453547,-0.102243876,-0.048717178,-0.095878951,-0.094667493,-0.059949693,-0.126050882,.,-0.100409612,-0.114148115,-0.07314662,0.125088491,-0.045420307
YAL012W_oe,-0.044547775,0.01802847,-0.040651099,0.012508644,0.029530868,0.000104599,0.074818249,0.005047611,-0.008771377,-0.010714304,-0.028155135,-0.157344359,-0.045226089,-0.044341665,-0.018829244,-0.250344693,0.003401086
YAL016W_oe,-0.008575362,0.071281364,0.03973331,-0.337220419,0.052359791,-0.056775909,-0.061329538,-0.003820433,0.058974423,0.099396621,.,.,0.118766966,0.006693289,0.005368316,-0.147280608,0.010543988
YAL018C_oe,0.00536187,-0.049768527,0.066566303,-0.023332092,-0.01158685,0.046260752,-0.17174315,0.023450777,0.062937192,0.012063455,.,-0.219735614,0.036855172,0.012527396,-0.006087846,-0.183673442,-0.050022215
YAL019W_oe,-0.015987456,-0.036049912,-0.045756188,.,0.051164168,0.001180119,-0.006651808,-0.00232669,-0.027905464,-0.053904588,-0.028275137,.,-0.024680328,-0.026434064,-0.044337267,-0.023727373,-0.006922731
YAL020C_oe,0.074630945,-0.040365404,-0.032772816,-0.042566605,0.005591391,0.00991117,-0.027291728,-0.030005385,-0.022820743,-0.008539044,.,-0.078354322,0.016665026,-0.031320063,-0.03609202,0.307329532,0.013669041
YAL021C_oe,0.100152021,0.15002956,-0.023253985,0.040442417,0.033544041,0.026197629,0.026102276,0.003385785,0.032222883,-0.026013458,-0.11307893,-0.135241334,0.035376731,0.023410912,0.031383889,0.166326787,0.034563387
YAL022C_oe,0.004251709,-0.022386123,0.108174371,0.040925712,0.07395377,0.0117124,0.012829168,0.0096978,0.062696605,0.069285387,.,.,0.033805954,0.017664368,0.038780305,-0.126644724,0.057685751
YAL024C_oe,-0.003504883,-0.078414868,0.025480869,0.014810997,-0.053518193,-0.092295769,-0.035288217,-0.029583467,0.00221718,0.039747039,.,.,-0.016868417,-0.0376237,-0.007735011,-0.190725028,0.018530227
YAL026C_oe,0.010119366,0.013522347,-0.015793836,0.000642403,0.032406756,-0.072956339,-0.029108952,0.012707437,0.004514597,-0.007356034,.,-0.132636811,-0.029451513,-0.008796204,0.014769942,-0.21562712,0.035329154
YAL027W_oe,-0.017164003,0.149598376,-0.031643839,-0.423547179,-0.026809999,-0.005494595,0.024783129,-0.046103462,0.020164162,0.014586243,-0.045256849,.,-0.058185601,0.004766976,-0.029347884,-0.152550211,-0.000775073
YAL029C_oe,0.021372644,0.011087311,0.033261149,0.050233553,-0.035514881,-0.087400213,-0.084743673,-0.025864778,-0.000759887,0.042781803,.,.,-0.010172967,-0.054620343,-0.00672647,-0.066921061,-0.009371652
YAL030W_oe,-0.016843597,0.051886459,0.156802922,0.135582792,0.128091413,0.13072841,0.085261195,0.031131277,0.118190464,0.017989974,.,0.040257189,0.046693698,0.066045835,-0.015824831,-0.058310371,-0.168418436
YAL033W_oe,0.031809942,0.024634584,0.037363439,.,-0.087873765,-0.008578597,-0.093952072,-0.004108547,-0.014749986,0.084903345,.,-0.099427154,0.007898259,-0.013953358,0.041891782,-0.116744795,0.006880166
YAL034C_oe,0.03838532,-0.062695323,-0.025221931,-0.009539522,0.023331392,0.034772153,-0.075877922,-0.016710861,-0.029584549,-0.045678707,-0.017362464,.,-0.016268381,-0.023618331,-0.041108663,0.015684143,0.009144468
YAL034W-A_oe,0.098987532,-0.039644092,-0.057437841,0.240689158,-0.043516467,-0.02944994,1.397752342,0.006874294,0.094563374,-0.076990224,.,.,-0.000884442,0.060904037,0.032730863,0.148204394,-0.172012087
