ORF	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YBR266C	0.763	NaN
YBR267W	0.926	NaN
YBR269C	1.099	NaN
YBR270C	1.238	NaN
YBR271W	0.910	NaN
YBR272C	1.111	NaN
YBR273C	1.216	NaN
YBR274W	0.993	NaN
YBR275C	1.347	NaN
YBR276C	1.134	NaN
YBR277C	0.964	NaN
YBR278W	0.672	NaN
YBR280C	0.921	NaN
YBR281C	1.114	NaN
YBR283C	0.906	NaN
YBR284W	0.794	NaN
YBR285W	0.850	NaN
YBR286W	0.831	NaN
YBR287W	0.373	NaN
YBR288C	0.596	NaN
YBR290W	1.085	NaN
YBR291C	1.080	NaN
YBR292C	1.038	NaN
YBR293W	1.019	NaN
YBR294W	0.872	NaN
YBR295W	1.143	NaN
YBR296C	0.948	NaN
YBR297W	1.021	NaN
YBR298C	1.095	NaN
YBR299W	0.993	NaN
YBR300C	0.961	NaN
YBR301W	1.315	NaN
YCL001W	1.128	NaN
YCL001W-A	1.000	NaN
YCL002C	1.344	NaN
YCL006C	1.078	NaN
YCL008C	NaN	-3.000
YCL009C	1.143	-3.000
YCL010C	0.949	NaN
YCL011C	1.005	NaN
YCL013W	1.328	NaN
YCL014W	0.969	NaN
YCL016C	1.170	NaN
YCL022C	0.712	NaN
YCL023C	0.903	NaN
YCL024W	1.057	NaN
YCL025C	0.774	NaN
YCL026C	0.921	NaN
YCL026C-A	1.024	NaN
YCL027W	0.884	NaN
YCL028W	0.823	NaN
YCL029C	1.057	NaN
YCL032W	0.610	NaN
YCL033C	0.489	NaN
YCL034W	0.929	NaN
YCL035C	1.235	NaN
YCL036W	1.092	NaN
YCL037C	0.714	NaN
YCL038C	0.635	-3.000
YCL039W	1.201	NaN
YCL040W	0.881	NaN
YCL042W	0.978	NaN
YCL044C	0.951	NaN
YCL045C	0.901	NaN
YCL046W	1.202	NaN
YCL047C	0.898	NaN
YCL048W	1.174	NaN
YCL049C	1.167	NaN
YCL050C	0.735	NaN
YCL051W	1.075	NaN
YCL055W	0.726	NaN
YCL056C	0.670	NaN
YCL057W	0.909	NaN
YCL061C	1.068	NaN
YCL063W	0.848	NaN
YCL064C	0.819	NaN
YCL069W	0.982	NaN
YCL074W	1.084	NaN
YCL075W	0.976	NaN
YCL076W	0.788	NaN
YCR001W	1.157	NaN
YCR004C	NaN	-3.000
YCR005C	0.998	NaN
YCR006C	0.874	NaN
YCR007C	0.986	NaN
YCR008W	0.920	NaN
YCR009C	1.443	-3.000
YCR010C	0.974	NaN
YCR011C	1.028	NaN
YCR014C	1.348	NaN
YCR015C	0.807	NaN
YCR016W	1.082	NaN
YCR017C	0.898	NaN
YCR019W	0.521	NaN
YCR020C	0.960	NaN
YCR020C-A	1.053	NaN
YCR021C	1.007	NaN
YCR022C	1.063	NaN
YCR023C	1.003	NaN
YCR024C-A	1.091	NaN
YCR025C	0.977	NaN
YCR026C	0.780	NaN
YCR027C	0.800	NaN
YCR030C	0.815	NaN
YCR031C	1.131	NaN
YCR032W	1.017	NaN
YCR033W	1.476	NaN
YCR034W	0.660	NaN
YCR036W	0.974	NaN
YCR037C	0.959	NaN
YCR043C	1.026	NaN
YCR044C	0.973	NaN
YCR045C	0.862	NaN
YCR048W	1.180	NaN
YCR049C	0.833	NaN
YCR050C	1.311	NaN
YCR051W	1.210	NaN
YCR053W	1.207	NaN
YCR059C	1.160	NaN
YCR060W	1.238	NaN
YCR061W	1.082	NaN
YCR063W	1.301	NaN
YCR065W	1.008	NaN
YCR067C	1.073	NaN
YCR068W	1.058	NaN
YCR069W	0.957	NaN
YCR073C	0.831	NaN
YCR073W-A	0.857	NaN
YCR075C	1.222	NaN
YCR076C	1.219	NaN
YCR079W	0.646	NaN
YCR082W	0.640	NaN
YCR083W	0.332	NaN
YCR085W	0.767	NaN
YCR086W	0.708	NaN
YCR087C-A	0.571	NaN
YCR087W	0.774	NaN
YCR089W	0.639	NaN
YCR090C	1.212	NaN
YCR091W	1.206	NaN
YCR092C	0.797	NaN
YCR095C	1.275	NaN
YCR098C	1.226	NaN
YCR099C	1.193	NaN
YCR100C	0.977	NaN
YCR101C	0.994	NaN
YCR102C	1.012	NaN
YCR102W-A	0.940	NaN
YCR105W	0.893	NaN
YCR106W	1.007	NaN
YCR107W	1.632	NaN
YDL001W	0.999	NaN
YDL002C	0.092	-1.000
YDL006W	0.627	NaN
YDL010W	1.070	NaN
YDL011C	1.053	NaN
YDL012C	1.005	NaN
YDL013W	0.958	NaN
YDL018C	1.210	NaN
YDL019C	1.003	NaN
YDL020C	0.945	NaN
YDL023C	0.701	NaN
YDL024C	0.959	NaN
YDL025C	0.735	NaN
YDL026W	0.948	NaN
YDL027C	1.098	NaN
YDL033C	0.248	NaN
YDL034W	0.932	NaN
YDL035C	0.579	-1.000
YDL036C	0.954	NaN
YDL037C	0.869	NaN
YDL039C	1.090	NaN
YDL040C	1.063	NaN
YDL046W	1.262	NaN
YDL048C	0.860	NaN
YDL050C	0.965	NaN
YDL051W	0.860	NaN
YDL052C	0.879	NaN
YDL053C	1.039	NaN
YDL054C	1.075	NaN
YDL056W	1.075	NaN
YDL059C	0.922	NaN
YDL061C	0.606	NaN
YDL062W	1.159	NaN
YDL065C	0.913	NaN
YDL066W	1.302	NaN
YDL070W	0.872	NaN
YDL071C	0.591	NaN
YDL074C	0.430	-3.000
YDL076C	0.780	NaN
YDL077C	0.638	NaN
YDL078C	1.114	NaN
YDL079C	0.763	NaN
YDL080C	1.253	NaN
YDL081C	0.875	NaN
YDL082W	0.967	NaN
YDL083C	1.300	NaN
YDL085W	0.763	NaN
YDL086W	1.241	-2.000
YDL088C	0.923	NaN
YDL089W	1.095	NaN
YDL091C	0.569	NaN
YDL093W	0.533	NaN
YDL094C	0.625	NaN
YDL095W	0.655	NaN
YDL096C	0.843	NaN
YDL099W	0.583	NaN
YDL100C	0.828	NaN
YDL104C	0.505	NaN
YDL106C	0.528	NaN
YDL109C	0.620	NaN
YDL112W	1.056	NaN
YDL113C	0.988	NaN
YDL114W	1.094	NaN
YDL117W	0.892	NaN
YDL119C	1.033	NaN
YDL121C	1.208	NaN
YDL122W	1.124	NaN
YDL123W	1.127	NaN
YDL124W	0.778	NaN
YDL125C	1.075	NaN
YDL127W	1.073	NaN
YDL128W	0.916	NaN
YDL129W	0.764	NaN
YDL130W	0.872	NaN
YDL130W-A	0.981	NaN
YDL131W	1.005	NaN
YDL133C-A	0.887	NaN
YDL133W	1.106	-2.000
YDL134C	0.995	NaN
YDL135C	1.032	NaN
YDL137W	1.276	NaN
YDL138W	0.871	NaN
YDL142C	0.595	NaN
YDL144C	0.857	NaN
YDL146W	0.942	NaN
YDL149W	1.001	NaN
YDL154W	0.947	NaN
YDL155W	0.865	NaN
YDL156W	0.948	NaN
YDL157C	1.110	NaN
YDL161W	0.968	NaN
YDL162C	1.160	NaN
YDL167C	1.181	-3.000
YDL168W	1.429	NaN
YDL169C	1.316	NaN
YDL170W	0.898	NaN
YDL171C	0.946	NaN
YDL172C	0.949	NaN
YDL173W	1.211	NaN
YDL174C	1.084	NaN
YDL175C	0.758	NaN
YDL176W	1.102	NaN
YDL177C	0.984	NaN
YDL178W	0.969	NaN
YDL179W	0.965	NaN
YDL180W	0.796	NaN
YDL181W	1.040	NaN
YDL182W	0.781	NaN
YDL183C	0.795	NaN
YDL184C	1.363	NaN
YDL185W	1.003	NaN
YDL186W	1.023	NaN
YDL187C	0.867	NaN
YDL188C	0.910	NaN
YDL189W	1.130	NaN
YDL190C	0.760	NaN
YDL191W	0.853	NaN
YDL192W	0.986	NaN
YDL194W	0.940	NaN
YDL197C	1.164	NaN
YDL199C	1.170	NaN
YDL200C	0.875	NaN
YDL201W	0.805	NaN
YDL203C	0.905	NaN
YDL204W	0.850	NaN
YDL206W	1.375	NaN
YDL210W	0.839	NaN
YDL211C	0.820	NaN
YDL213C	1.243	NaN
YDL214C	0.893	NaN
YDL215C	0.847	NaN
YDL216C	1.180	-1.000
YDL218W	0.832	NaN
YDL219W	1.083	NaN
YDL222C	0.927	NaN
YDL223C	1.012	NaN
YDL224C	0.812	NaN
YDL226C	0.956	NaN
YDL227C	1.027	NaN
YDL229W	0.830	NaN
YDL230W	0.891	NaN
YDL231C	1.059	NaN
YDL232W	1.631	NaN
YDL233W	1.397	NaN
YDL234C	0.780	NaN
YDL236W	0.947	NaN
YDL237W	0.908	NaN
YDL238C	1.312	NaN
