orf	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YAR028W	-0.2438460173487462	0.0
YAR029W	-0.08388455608109402	0.0
YAR030C	0.13012945941828302	0.0
YAR031W	4.19594325372661	0.0
YAR035W	-0.42910023160724486	0.0
YAR042W	1.4557000988864095	0.0
YAR047C	1.3077814968140524	0.0
YAR050W	0.07327461848450538	0.0
YBL001C	-0.39378100967983315	0.0
YBL003C	0.45318837036729387	0.0
YBL005W	1.5371174708947615	0.0
YBL007C	-0.847496428041386	0.0
YBL008W	2.365347497870415	0.0
YBL009W	2.251345378408226	0.0
YBL010C	0.5438534402062484	0.0
YBL011W	3.3137458709719323	0.0
YBL013W	-0.5760487551083017	0.0
YBL015W	0.41110280831216034	0.0
YBL016W	0.8738790659637651	0.0
YBL017C	2.026242345435817	0.0
YBL019W	1.1706787755848282	0.0
YBL021C	1.980633395061094	0.0
YBL024W	-0.29999483540121097	0.0
YBL027W	1.6760754702416296	0.0
YBL028C	1.7142958714062073	0.0
YBL029W	2.9351970209316662	0.0
YBL031W	1.7970218929036228	0.0
YBL032W	1.6132036554222215	0.0
YBL036C	0.4571567299740865	-6.526231339887524
YBL037W	-0.8806605578988465	0.0
YBL039C	-1.203905347094419	0.0
YBL042C	-0.8708118750678954	0.0
YBL043W	0.5750126804206782	0.0
YBL046W	0.8330455617237866	0.0
YBL047C	-1.2357230138738282	0.0
YBL048W	0.17568567049938857	0.0
YBL049W	-0.3462103178424935	0.0
YBL051C	3.356094523099041	0.0
YBL052C	3.52506628235666	0.0
YBL053W	0.7516350042737234	0.0
YBL054W	1.0640330475950068	0.0
YBL055C	0.03486326787466421	0.0
YBL056W	0.029678353761663306	0.0
YBL057C	4.230214403982917	0.0
YBL059W	-0.8377034575869026	0.0
YBL060W	0.8903078913098418	0.0
YBL061C	-0.10663498067593509	0.0
YBL062W	-0.5774196136495467	0.0
YBL063W	1.6362115643903206	0.0
YBL064C	2.0782900896629983	0.0
YBL065W	-0.12277955701947935	0.0
YBL066C	0.7703519126191412	0.0
YBL067C	-0.5827359735332655	0.0
YBL068W	3.180801800493618	0.0
YBL069W	1.5604747572692053	0.0
YBL070C	1.6811159726521898	0.0
YBL071C	0.06713830110704605	0.0
YBL072C	-0.6589168762689046	0.0
YBL075C	-0.3998431626541614	0.0
YBL078C	-0.89066987199583	0.0
YBL079W	0.8731060690397634	0.0
YBL081W	1.193750262460938	0.0
YBL082C	0.45114263556077994	0.0
YBL083C	0.7422600677408455	0.0
YBL085W	-1.292415864045613	0.0
YBL086C	-1.055671190275565	0.0
YBL087C	0.9228757419425233	0.0
YBL088C	0.6234222616283759	0.0
YBL089W	1.9371942216922007	0.0
YBL091C	1.765393094632044	0.0
YBL091C-A	-0.4122516153398749	0.0
YBL094C	-0.6500001545513023	0.0
YBL095W	-1.244897222773776	0.0
YBL096C	1.7671920713115807	0.0
YBL098W	0.5273453243856564	0.0
YBL100C	0.4763982048711877	0.0
YBL101C	0.3296174719949279	0.0
YBL102W	3.532251054574303	0.0
YBL103C	0.387344349016942	0.0
YBL104C	0.4552044142951423	0.0
YBL106C	1.7869241539196814	0.0
YBL107C	0.3403137522096459	0.0
YBR001C	2.444547206537516	0.0
YBR005W	0.7798262372201124	0.0
YBR006W	1.1117353164354633	0.0
YBR007C	1.3493941057413354	0.0
YBR008C	-0.22748480239466268	0.0
YBR009C	1.3017745376935062	0.0
YBR010W	1.5637171970710877	0.0
YBR012C	0.9109747705675993	0.0
YBR013C	0.8643469958894873	0.0
YBR014C	1.1892802172584087	0.0
YBR015C	-0.2689113045875562	0.0
YBR016W	-0.5008572584771344	0.0
YBR022W	1.8215334182378453	0.0
YBR023C	0.6775162493713401	0.0
YBR024W	0.14598340083988076	0.0
YBR025C	1.168891117733374	0.0
YBR026C	-0.39358447747712844	0.0
YBR027C	1.219154988796845	0.0
YBR028C	1.5204256858327876	0.0
YBR030W	0.8369068277743423	0.0
