orf	hap a | growth (colony volume) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010	hap a | growth (colony size) | expression of the phospholipase A2 Atx [GAL] | Mattiazzi M~Petrovic U, 2010
YBL072C	0.750759155925072	
YBL075C	0.820778537778643	
YBL078C	0.688123694854547	
YBL079W	1.16481621373804	
YBL081W	1.25147613729815	
YBL082C	1.05077292325993	
YBL083C	1.12945270270818	
YBL085W	0.579544535537341	
YBL086C	0.64352908836293	
YBL087C	1.17826737280425	
YBL088C	1.09733462477302	
YBL089W	1.45240538535592	
YBL091C	1.40597300690016	
YBL091C-A	0.817424927816866	
YBL094C	0.753169062102413	
YBL095W	0.592387312374683	
YBL096C	1.40645921305868	
YBL098W	1.07136808551183	
YBL100C	1.05759870008924	
YBL101C	1.01792853810865	
YBL102W	1.88349849743367	
YBL103C	1.033530276274295	
YBL104C	1.0518706928184	
YBL106C	1.41179216717288	
YBL107C	1.02081940232763	
YBR001C	1.5895267547329	
YBR005W	1.13960564307733	
YBR006W	1.22931010685325	
YBR007C	1.2935417160238	
YBR008C	0.867361518638722	
YBR009C	1.28067166189009	
YBR010W	1.35146642850224	
YBR012C	1.17505091889427	
YBR013C	1.16244891495255	
YBR014C	1.25026802630313	
YBR015C	0.856165253161108	
YBR016W	0.793477641638559	
YBR022W	1.4211459501567	
YBR023C	1.11195450855401	
YBR024W	0.968298091352282	
YBR025C	1.24475750142056	
YBR026C	0.822470061249695	
YBR027C	1.25834222652573	
YBR028C	1.33976611041856	
YBR030W	1.1550327105736	
YBR031W	0.571556477106662	
YBR032W	0.8498162258275	
YBR033W	0.603836406737392	
YBR034C	0.764943914272763	
YBR036C	0.517017236190379	
YBR041W	0.637067611187157	
YBR042C	0.766867696911337	
YBR043C	0.937482048511184	
YBR044C	0.695908723305743	
YBR045C	0.707821187824404	
YBR046C	1.13546788845846	
YBR047W	1.12439049422341	
YBR048W	1.10578093457206	
YBR050C	1.18160581912686	
YBR051W	1.03309141538897	
YBR052C	0.797796019521111	
YBR053C	1.56489139844983	
YBR054W	0.767095058495749	
YBR056W	0.940295071459543	
YBR057C	1.46509830448884	
YBR058C	1.04169396743633	
YBR059C	1.16412929375311	
YBR061C	0.9963253067393736	
YBR062C	1.32068556508653	
YBR063C	0.988087046063263	
YBR064W	0.559981425880093	
YBR065C	0.815749603289638	
YBR066C	0.642617144952191	
YBR067C	0.954905599876122	
YBR068C	1.166422970297	
YBR069C	0.94701139175631	
YBR071W	1.03286889157058	
YBR072W	1.09934163325623	
YBR073W	1.0599268894765	
YBR074W	0.8693872947468604	
YBR076W	1.29680646918685	-1.0
YBR077C	1.63838357741348	
YBR078W	0.889106918337669	
YBR082C	0.7134673033327775	
YBR083W	0.828977834946241	
YBR084C-A	1.17548396616211	
YBR084W	0.816365093785083	
YBR085W	1.54837917996467	
YBR086C	0.868117521862014	
YBR089C-A	1.44170792195159	
YBR090C	1.14783262011041	
YBR092C	1.0853120890578	
YBR093C	1.2970140081567	
YBR094W	0.797522204222163	
YBR095C	1.31828152985075	
YBR098W	0.9893522798513994	
YBR099C	0.833353157857956	
YBR101C	0.852769009399215	
YBR103W	0.947145349807922	
YBR104W	1.41484332697255	
YBR105C	0.847715150224243	
YBR106W	0.727159146550134	
YBR107C	0.738708591348264	
YBR108W	0.87926997713369	
YBR111C	0.966356751626165	
YBR113W	0.801330172021839	
YBR114W	0.651097750742212	
YBR116C	1.0375555320777	
YBR118W	0.887427967265287	
YBR119W	0.952122791593028	
YBR121C	1.38333668084803	
YBR122C	1.07424461158142	
YBR125C	1.40412297686976	
YBR126C	1.60019193680062	-3.0
YBR128C	0.74900867323971	
YBR129C	1.34721840348993	
YBR130C	0.93714766957578	
YBR131W	0.359830799720347	
YBR132C	0.946258881362493	
YBR134W	1.16113326064763	
YBR137W	1.16391012899397	
YBR138C	0.677903543383872	
YBR139W	0.713053768807971	
YBR141C	0.76459776257907	
YBR144C	0.83917439741193	
YBR145W	0.577674019727487	
YBR146W	0.68578092692712	
YBR147W	0.763962310600326	
YBR148W	0.796478170490088	
YBR149W	0.583443907576202	
YBR150C	0.703803951653262	
