orf	hap a | growth (culture turbidity) | zymolyase [30 U/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (spot assay) | Congo Red [50 ug/ml] | YPD | García R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [10-30 ng/ml] | YPD | Garcia R~Arroyo J, 2015	hap a | growth (culture turbidity) | caspofungin [60-120 ng/ml] | YPD | Garcia R~Arroyo J, 2015
YBR006W	0.11562004027060253	0.0	0.0	0.0
YBR007C	0.1061758290603795	0.0	0.0	0.0
YBR008C	-0.06067190232021834	0.0	0.0	0.0
YBR009C	-0.2527041969280751	0.0	0.0	0.0
YBR010W	-0.01345084626910505	0.0	0.0	0.0
YBR012C	-0.0512276911099953	0.0	0.0	0.0
YBR013C	0.008585646554747443	0.0	0.0	0.0
YBR014C	-0.07011611353044044	0.0	0.0	0.0
YBR015C	-0.2527041969280751	-5.13794850611459	0.0	0.0
YBR016W	0.12821232188423198	0.0	0.0	0.0
YBR018C	-0.06696804312703307	0.0	0.0	0.0
YBR019C	0.06525091381608189	0.0	0.0	0.0
YBR020W	-0.018172951874216095	0.0	0.0	0.0
YBR021W	-0.5328824628313423	0.0	0.0	0.0
YBR022W	0.11247196986719424	0.0	0.0	0.0
YBR023C	-1.7732222017738961	0.0	-5.149512842734011	0.0
YBR024W	0.12191618107741727	0.0	0.0	0.0
YBR025C	-0.0732641839338478	0.0	0.0	0.0
YBR026C	-1.0460179385867643	0.0	0.0	13.769531582446804
YBR027C	0.16284109632171395	0.0	0.0	0.0
YBR028C	0.11876811067400896	0.0	0.0	0.0
YBR030W	0.08413933623652702	0.0	0.0	0.0
YBR031W	0.18487758914556737	0.0	0.0	0.0
YBR032W	0.11876811067400896	0.0	0.0	0.0
YBR033W	0.06839898421949019	0.0	0.0	0.0
YBR034C	0.1439526739012688	0.0	0.0	0.0
YBR035C	-0.17400243684288816	0.0	-7.724269264101017	0.0
YBR036C	0.09987968825356383	0.0	0.0	13.769531582446804
YBR037C	0.030622139378599936	0.0	0.0	0.0
YBR040W	0.21635829317964198	0.0	0.0	0.0
YBR041W	0.16284109632171395	0.0	0.0	0.0
YBR042C	0.12506425148082465	0.0	0.0	0.0
YBR043C	0.18172951874215906	0.0	0.0	0.0
YBR044C	0.0211779281683769	0.0	0.0	0.0
YBR045C	0.06210284341267452	0.0	0.0	0.0
YBR046C	0.07154705462289755	0.0	0.0	0.0
YBR047W	-0.0512276911099953	0.0	0.0	0.0
YBR048W	-0.17715050724629552	-1.7126495020381969	0.0	13.769531582446804
YBR050C	0.03691828018541466	0.0	0.0	0.0
YBR051W	0.043214420992230336	0.0	0.0	0.0
YBR052C	0.05265863220245243	0.0	0.0	0.0
YBR053C	0.1061758290603795	0.0	0.0	0.0
YBR054W	0.043214420992230336	0.0	0.0	0.0
YBR056W	0.024325998571785207	0.0	0.0	0.0
YBR057C	-0.17085436643947985	0.0	0.0	0.0
YBR058C	-0.04807962070658794	0.0	0.0	0.0
YBR059C	-0.4541807027461549	0.0	0.0	0.0
YBR061C	-0.0386354094963649	0.0	0.0	0.0
YBR062C	0.024325998571785207	0.0	0.0	0.0
YBR063C	0.030622139378599936	0.0	0.0	0.0
YBR064W	-0.04178347989977321	0.0	0.0	0.0
YBR065C	0.05580670260585979	0.0	0.0	0.0
YBR066C	0.09043547704334175	0.0	0.0	0.0
YBR067C	0.09987968825356383	0.0	0.0	0.0
YBR068C	0.16913723712852963	0.0	0.0	0.0
YBR069C	-3.6809528662388398	0.0	0.0	0.0
YBR071W	0.2006179411626042	0.0	0.0	13.769531582446804
YBR072W	-0.029191198286142812	0.0	0.0	0.0
YBR073W	0.1439526739012688	0.0	0.0	0.0
YBR074W	0.15260986751064048	0.0	0.0	0.0
YBR076W	0.12821232188423198	0.0	0.0	0.0
YBR077C	0.13136039228763935	0.0	0.0	0.0
YBR078W	-3.6903970774490626	0.0	0.0	0.0
YBR081C	-2.169879072603241	0.0	0.0	0.0
YBR082C	-0.1928908592633333	0.0	0.0	0.0
YBR083W	-0.12048523998496015	0.0	0.0	0.0
YBR084C-A	-0.3377020978200777	0.0	0.0	0.0
YBR084W	0.13450846269104672	0.0	0.0	0.0
YBR085W	0.07784319542971228	0.0	-2.5747564213670056	0.0
YBR089C-A	-0.33140595701326203	0.0	0.0	0.0
YBR090C	0.11876811067400896	0.0	0.0	0.0
YBR092C	-0.40381157629163517	0.0	0.0	0.0
YBR093C	-0.9389835448709093	-1.7126495020381969	0.0	0.0
YBR094W	-0.680841771791495	0.0	0.0	0.0
YBR095C	-0.8288010807516473	0.0	0.0	0.0
YBR097W	-4.206680623607892	-3.4252990040763938	0.0	0.0
YBR098W	-0.16062313762840547	0.0	0.0	0.0
YBR099C	0.05580670260585979	0.0	0.0	0.0
YBR101C	-4.301122735710117	-3.4252990040763938	0.0	0.0
YBR103W	-0.570659307672232	0.0	0.0	0.0
YBR104W	-0.6871379125983103	0.0	0.0	0.0
YBR105C	-0.54862281484838	0.0	0.0	13.769531582446804
YBR106W	-0.7658396726834972	0.0	-5.149512842734011	0.0
YBR107C	-0.17085436643947985	0.0	0.0	0.0
YBR108W	-0.14252173280881264	0.0	0.0	0.0
YBR111C	-0.11104102877473805	0.0	0.0	0.0
YBR112C	-4.332603439744192	0.0	-5.149512842734011	0.0
YBR113W	0.040066350588822026	0.0	0.0	0.0
YBR114W	-0.4101077170984499	0.0	0.0	0.0
YBR115C	-0.4573287731495623	0.0	0.0	0.0
YBR116C	-0.07641225433725517	0.0	0.0	0.0
YBR119W	-0.5234382516211202	0.0	0.0	0.0
YBR120C	-0.2936291121723727	0.0	0.0	0.0
YBR121C	0.030622139378599936	0.0	0.0	0.0
YBR122C	-0.46362491395637745	0.0	0.0	0.0
YBR125C	-0.14881787361562832	0.0	0.0	0.0
YBR126C	-0.41325578750185726	0.0	0.0	0.0
YBR127C	-3.5896588245400225	0.0	-5.149512842734011	0.0
YBR128C	-0.5863996596892703	0.0	0.0	0.0
YBR129C	-0.30936946418941047	0.0	0.0	0.0
YBR130C	-0.16141015522925775	0.0	0.0	0.0
YBR131W	0.10932389946378687	0.0	0.0	0.0
YBR132C	-0.5423266740415644	0.0	0.0	0.0
YBR133C	-0.4667729843597853	-1.7126495020381969	-2.5747564213670056	0.0
YBR134W	-0.14566980321222	0.0	0.0	0.0
YBR137W	0.10932389946378687	0.0	0.0	0.0
YBR138C	-0.46362491395637745	0.0	0.0	0.0
YBR139W	-0.39751543548482	-1.7126495020381969	0.0	0.0
YBR141C	-0.5076978996040824	0.0	0.0	0.0
YBR144C	-0.07641225433725517	0.0	0.0	0.0
YBR145W	-0.42899613951889504	0.0	0.0	0.0
YBR146W	0.09987968825356383	0.0	0.0	0.0
YBR147W	0.005437576151340079	0.0	0.0	0.0
YBR148W	-0.01345084626910505	0.0	0.0	0.0
YBR149W	0.1408046034978624	0.0	0.0	0.0
YBR150C	-0.4825133363768221	0.0	0.0	0.0
YBR151W	-0.6021400117063072	0.0	0.0	0.0
YBR156C	-0.27159261934852025	0.0	0.0	0.0
YBR157C	0.018029857764969535	0.0	0.0	0.0
YBR158W	-0.16770629603607248	0.0	0.0	0.0
YBR159W	-0.26214840813829815	0.0	0.0	0.0
YBR161W	-0.08900453595088462	0.0	0.0	0.0
YBR162C	-0.18344664805311026	-1.7126495020381969	0.0	0.0
YBR162W-A	0.16913723712852963	0.0	0.0	0.0
YBR163W	0.1439526739012688	0.0	0.0	0.0
YBR164C	0.0935835474467491	0.0	0.0	0.0
YBR165W	-0.016598916672513356	0.0	0.0	0.0
YBR166C	-0.03233926868955018	0.0	0.0	0.0
YBR168W	-1.7134088641091538	0.0	0.0	0.0
YBR169C	-0.3880712242745974	0.0	0.0	0.0
YBR170C	0.07154705462289755	0.0	0.0	0.0
YBR171W	-4.367232214181675	-5.13794850611459	0.0	0.0
YBR172C	0.172285307531937	0.0	0.0	0.0
YBR173C	-2.320986451966801	0.0	0.0	0.0
YBR174C	-0.0858564655474782	0.0	0.0	0.0
YBR175W	-0.11104102877473805	0.0	0.0	0.0
YBR176W	0.16598916672512226	0.0	0.0	0.0
YBR177C	0.172285307531937	0.0	0.0	0.0
YBR178W	0.172285307531937	0.0	0.0	0.0
YBR179C	0.08728740663993438	0.0	0.0	0.0
YBR180W	0.19746987075919684	0.0	0.0	0.0
YBR181C	0.06839898421949019	0.0	0.0	0.0
YBR182C	0.22895057479327235	0.0	0.0	0.0
YBR183W	0.1880256595489738	0.0	0.0	0.0
YBR184W	0.11562004027060253	0.0	0.0	0.0
YBR185C	-0.16770629603607248	0.0	0.0	0.0
YBR186W	-0.13307752159859054	0.0	0.0	0.0
YBR187W	-0.12992945119518318	0.0	0.0	0.0
YBR188C	-0.0071547054622903205	0.0	0.0	0.0
YBR189W	-1.5056362174842592	0.0	0.0	0.0
YBR191W	-3.1709654608868254	-5.13794850611459	0.0	0.0
YBR194W	-0.32196174580303993	0.0	0.0	0.0
YBR195C	-0.016598916672513356	0.0	0.0	0.0
YBR197C	-0.2558522673314834	0.0	0.0	0.0
YBR199W	-0.44158842113252494	0.0	0.0	0.0
YBR200W	-3.451143726790093	0.0	-5.149512842734011	0.0
YBR201W	-0.004006635058882956	0.0	0.0	0.0
YBR203W	0.05895477300926716	0.0	0.0	0.0
YBR204C	-0.03233926868955018	0.0	0.0	0.0
YBR205W	0.04636249139563676	0.0	0.0	0.0
YBR206W	0.040066350588822026	0.0	0.0	0.0
YBR207W	0.11876811067400896	0.0	0.0	0.0
YBR208C	0.15339688511149185	0.0	0.0	0.0
YBR209W	-0.18659471845651762	0.0	0.0	0.0
YBR210W	-0.13937366240540527	0.0	0.0	0.0
YBR212W	-0.12048523998496015	0.0	0.0	0.0
YBR213W	-0.0386354094963649	0.0	0.0	0.0
YBR214W	0.10302775865697214	0.0	0.0	0.0
YBR215W	0.08099126583311965	0.0	0.0	0.0
YBR216C	-0.035487339092957544	0.0	0.0	0.0
YBR217W	0.15339688511149185	0.0	0.0	0.0
YBR218C	0.0337702097820073	0.0	0.0	0.0
YBR219C	0.07469512502630492	0.0	0.0	0.0
YBR220C	0.07784319542971228	0.0	0.0	0.0
YBR221C	-0.14881787361562832	0.0	0.0	0.0
YBR222C	-0.09530067675770029	0.0	0.0	0.0
YBR223C	-0.5895477300926772	0.0	0.0	0.0
YBR224W	-0.08270839514406989	0.0	0.0	0.0
YBR225W	0.0935835474467491	0.0	0.0	0.0
YBR226C	-0.05437576151340267	0.0	0.0	0.0
YBR227C	0.03691828018541466	0.0	0.0	0.0
YBR228W	0.1502488147080845	0.0	0.0	0.0
YBR229C	-0.0008585646554746501	0.0	0.0	0.0
