ORF	hap alpha | growth (culture turbidity) | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008	hap alpha | abundance of calcium | Upshock (2-(N-morpholino)ethanesulfonic acid [20 mM], ethylene glycol bis(2-aminoethyl)tetraacetic acid [20 mM], sodium chloride [4 M]) | Loukin S~Saimi Y, 2008
YOR045W	4.000	2.073
YMR178W	4.000	2.073
YPL110C	4.000	2.072
YBR108W	4.000	2.072
YJL055W	4.000	2.071
YJR149W	4.000	2.071
YHL043W	4.000	2.070
YNL148C	4.000	2.070
YER048C	4.000	2.069
YKR087C	4.000	2.069
YAL060W	4.000	2.067
YBR037C	4.000	2.066
YOL099C	4.000	2.065
YML042W	4.000	2.065
YGR177C	4.000	2.065
YGR143W	4.000	2.063
YGL027C	4.000	2.063
YBR264C	4.000	2.063
YPL112C	4.000	2.062
YDL210W	4.000	2.062
YIL034C	4.000	2.062
YOR223W	4.000	2.059
YML029W	4.000	2.059
YHR005C	4.000	2.058
YGL255W	4.000	2.057
YJL012C-A	4.000	2.056
YLR194C	4.000	2.055
YDL012C	4.000	2.054
YGR019W	4.000	2.053
YGL147C	4.000	2.052
YOL148C	4.000	2.052
YPL248C	4.000	2.051
YCL029C	4.000	2.050
YPL274W	4.000	2.049
YBR242W	4.000	2.046
YOR247W	4.000	2.045
YOL162W	4.000	2.045
YHR093W	4.000	2.044
YGR256W	4.000	2.043
YPL098C	4.000	2.042
YGR038W	4.000	2.041
YEL049W	4.000	2.040
YOL128C	4.000	2.040
YJR021C	4.000	2.039
YJL129C	4.000	1.559
YMR189W	4.000	2.038
YNR018W	4.000	2.038
YOR198C	4.000	2.036
YNL197C	4.000	2.031
YGR130C	4.000	2.028
YBR195C	4.000	2.027
YOR201C	4.000	2.027
YIR034C	4.000	2.027
YDR004W	4.000	2.026
YBR059C	4.000	2.025
YML095C-A	4.000	2.025
YGR279C	4.000	2.024
YOL032W	4.000	2.024
YER001W	4.000	2.023
YJR038C	4.000	2.022
YJL154C	4.000	2.021
YCR002C	4.000	2.020
YKL190W	4.000	2.020
YBR262C	4.000	2.019
YPR138C	4.000	2.018
YKR013W	4.000	2.013
YKR031C	4.000	2.012
YHR043C	4.000	2.011
YHR048W	4.000	2.010
YLR311C	4.000	2.008
YOR031W	4.000	2.006
YKL127W	4.000	2.005
YGR001C	4.000	2.000
YNL328C	4.000	2.000
YML070W	4.000	1.997
YMR054W	4.000	1.996
YOR342C	4.000	1.996
YDR139C	4.000	1.994
YOR386W	4.000	1.991
YBR053C	4.000	1.991
YFL001W	4.000	1.990
YPL267W	4.000	1.990
YGR096W	4.000	1.987
YCL012W	4.000	1.984
YCR066W	4.000	1.984
YOR367W	4.000	1.983
YKL027W	4.000	1.983
YDL190C	4.000	1.982
YAL048C	4.000	1.982
YGR153W	4.000	1.981
YKL096W	4.000	1.979
YDR346C	4.000	1.977
YML078W	4.000	1.975
YOL091W	4.000	1.969
YGR101W	4.000	1.969
YJL051W	4.000	1.962
YLR028C	4.000	1.960
YLR024C	4.000	1.957
YDR015C	4.000	1.957
YML058W	0.000	1.954
YPL129W	4.000	1.950
YMR316C-B	4.000	1.950
YLR373C	4.000	1.950
YFR040W	4.000	1.949
YJR131W	4.000	1.949
YBR241C	4.000	1.948
YMR162C	4.000	1.943
YPL095C	4.000	1.943
YDR094W	4.000	1.942
YIL074C	4.000	1.939
YHL040C	4.000	1.939
YGL007C-A	4.000	1.936
YOR343C	4.000	1.935
YER057C	4.000	1.932
YOR073W	4.000	1.931
