orf	hap alpha | growth (colony size) | Ni(S-tcitr)2 [50-150 uM] | YPD | Baruffini E~Lodi T, 2020
YBR037C	0.021555735997362366
YBR040W	0.021555735997362366
YBR041W	0.021555735997362366
YBR042C	0.021555735997362366
YBR043C	0.021555735997362366
YBR044C	0.021555735997362366
YBR045C	0.021555735997362366
YBR046C	0.021555735997362366
YBR047W	0.021555735997362366
YBR048W	0.021555735997362366
YBR050C	0.021555735997362366
YBR051W	0.021555735997362366
YBR052C	0.021555735997362366
YBR053C	0.021555735997362366
YBR054W	0.021555735997362366
YBR056W	0.021555735997362366
YBR057C	0.021555735997362366
YBR058C	0.021555735997362366
YBR059C	0.021555735997362366
YBR062C	0.021555735997362366
YBR063C	0.021555735997362366
YBR064W	0.021555735997362366
YBR065C	0.021555735997362366
YBR066C	0.021555735997362366
YBR067C	0.021555735997362366
YBR068C	-4.246479991480452
YBR069C	0.021555735997362366
YBR071W	0.021555735997362366
YBR072W	0.021555735997362366
YBR073W	0.021555735997362366
YBR074W	0.021555735997362366
YBR076W	0.021555735997362366
YBR077C	0.021555735997362366
YBR078W	0.021555735997362366
YBR081C	0.021555735997362366
YBR083W	0.021555735997362366
YBR084C-A	0.021555735997362366
YBR084W	0.021555735997362366
YBR085W	0.021555735997362366
YBR090C	0.021555735997362366
YBR089C-A	0.021555735997362366
YBR092C	0.021555735997362366
YBR093C	0.021555735997362366
YBR094W	0.021555735997362366
YBR095C	-2.1124621277415447
YBR096W	0.021555735997362366
YBR098W	0.021555735997362366
YBR099C	0.021555735997362366
YBR101C	0.021555735997362366
YBR103W	-2.1124621277415447
YBR104W	0.021555735997362366
YBR105C	0.021555735997362366
YBR106W	-4.246479991480452
YBR107C	0.021555735997362366
YBR108W	0.021555735997362366
YBR111C	0.021555735997362366
YBR112C	0.021555735997362366
YBR113W	0.021555735997362366
YBR114W	0.021555735997362366
YBR115C	0.021555735997362366
YBR116C	0.021555735997362366
YBR117C	0.021555735997362366
YBR119W	0.021555735997362366
YBR120C	0.021555735997362366
YBR125C	0.021555735997362366
YBR126C	0.021555735997362366
YBR127C	-4.246479991480452
YBR128C	-2.1124621277415447
YBR129C	0.021555735997362366
YBR130C	0.021555735997362366
YBR131W	0.021555735997362366
YBR132C	-2.1124621277415447
YBR133C	0.021555735997362366
YBR134W	0.021555735997362366
YBR137W	0.021555735997362366
YBR138C	0.021555735997362366
YBR139W	0.021555735997362366
YBR141C	0.021555735997362366
YBR144C	0.021555735997362366
YBR145W	0.021555735997362366
YBR146W	-6.380497855219359
YBR147W	0.021555735997362366
YBR148W	0.021555735997362366
YBR149W	0.021555735997362366
YBR150C	0.021555735997362366
YBR151W	0.021555735997362366
YBR156C	2.1555735997362695
YBR157C	0.021555735997362366
YBR158W	0.021555735997362366
YBR159W	0.021555735997362366
YBR161W	0.021555735997362366
YBR162C	0.021555735997362366
YBR162W-A	0.021555735997362366
YBR163W	0.021555735997362366
YBR164C	0.021555735997362366
YBR165W	0.021555735997362366
YBR166C	-6.380497855219359
YBR168W	0.021555735997362366
YBR169C	0.021555735997362366
YBR170C	0.021555735997362366
YBR171W	-4.246479991480452
YBR172C	0.021555735997362366
YBR173C	0.021555735997362366
YBR174C	0.021555735997362366
YBR175W	0.021555735997362366
YBR176W	0.021555735997362366
YBR177C	0.021555735997362366
YBR178W	0.021555735997362366
YBR179C	-6.380497855219359
YBR180W	0.021555735997362366
YBR181C	0.021555735997362366
YBR182C	0.021555735997362366
YBR183W	0.021555735997362366
YBR184W	0.021555735997362366
YBR185C	0.021555735997362366
YBR186W	0.021555735997362366
YBR187W	0.021555735997362366
YBR188C	0.021555735997362366
YBR189W	-2.1124621277415447
YBR191W	0.021555735997362366
YBR194W	0.021555735997362366
YBR195C	0.021555735997362366
YBR197C	0.021555735997362366
YBR199W	0.021555735997362366
YBR200W	-4.246479991480452
YBR201W	0.021555735997362366
YBR203W	0.021555735997362366
YBR204C	0.021555735997362366
YBR205W	0.021555735997362366
YBR206W	0.021555735997362366
YBR207W	0.021555735997362366
YBR208C	0.021555735997362366
YBR209W	0.021555735997362366
YBR210W	0.021555735997362366
YBR212W	0.021555735997362366
YBR213W	0.021555735997362366
YBR214W	0.021555735997362366
YBR215W	0.021555735997362366
YBR216C	0.021555735997362366
YBR217W	0.021555735997362366
YBR218C	0.021555735997362366
YBR219C	0.021555735997362366
YBR220C	0.021555735997362366
YBR221C	0.021555735997362366
YBR222C	0.021555735997362366
YBR223C	0.021555735997362366
YBR224W	0.021555735997362366
YBR225W	0.021555735997362366
YBR226C	0.021555735997362366
YBR227C	0.021555735997362366
YBR228W	0.021555735997362366
YBR229C	0.021555735997362366
YBR230C	0.021555735997362366
YBR231C	-6.380497855219359
