orf	hap a | mtDNA copy number (mtDNA/nDNA) | standard | YPD | Goke A~Walter P, 2020
YPL101W	2.0
YPL102C	2.0
YPL118W	-1.0
YPL129W	1.0
YPL161C	1.0
YPL173W	-1.0
YPL183W-A	-1.0
YPL193W	1.0
YPL254W	1.0
YPL271W	-1.0
YPR036W	1.0
YPR039W	1.0
YPR040W	1.0
YPR044C	1.0
YPR045C	3.0
YPR047W	-1.0
YPR067W	-1.0
YPR098C	1.0
YPR099C	-1.0
YPR100W	-1.0
YPR116W	-1.0
YPR120C	1.0
YPR135W	3.0
YPR164W	2.0
