orf	hap a | mtDNA copy number (mtDNA/nDNA) | standard | YPD | Goke A~Walter P, 2020
YER110C	-2.476185754796909
YER122C	-2.476185754796909
YER154W	-2.476185754796909
YER169W	-2.476185754796909
YFL016C	-2.476185754796909
YFL033C	2.4266620397009704
YFL036W	-2.476185754796909
YGL019W	2.4266620397009704
YGL020C	2.4266620397009704
YGL023C	2.4266620397009704
YGL058W	2.4266620397009704
YGL064C	-2.476185754796909
YGL066W	2.4266620397009704
YGL081W	2.4266620397009704
YGL084C	4.87808593694991
YGL095C	-2.476185754796909
YGL105W	2.4266620397009704
YGL107C	-2.476185754796909
YGL108C	4.87808593694991
YGL127C	4.87808593694991
YGL129C	-2.476185754796909
YGL143C	-2.476185754796909
YGL144C	2.4266620397009704
YGL163C	4.87808593694991
YGL175C	2.4266620397009704
YGL186C	2.4266620397009704
YGL188C-A	2.4266620397009704
YGL211W	2.4266620397009704
YGL220W	-2.476185754796909
YGL223C	4.87808593694991
YGL235W	2.4266620397009704
YGL240W	-2.476185754796909
YGL246C	4.87808593694991
YGR020C	2.4266620397009704
YGR036C	2.4266620397009704
YGR101W	-2.476185754796909
YGR104C	2.4266620397009704
YGR130C	2.4266620397009704
YGR150C	-2.476185754796909
YGR159C	2.4266620397009704
YGR165W	-2.476185754796909
YGR168C	2.4266620397009704
YGR180C	-2.476185754796909
YGR200C	2.4266620397009704
YGR215W	-2.476185754796909
YGR219W	-2.476185754796909
YGR220C	-2.476185754796909
YGR229C	2.4266620397009704
YGR240C	2.4266620397009704
YGR252W	4.87808593694991
YGR257C	-2.476185754796909
YGR285C	2.4266620397009704
YHL004W	-2.476185754796909
YHL011C	4.87808593694991
YHR011W	-2.476185754796909
YHR021C	2.4266620397009704
YHR026W	4.87808593694991
YHR031C	4.87808593694991
YHR035W	2.4266620397009704
YHR039C-A	7.329509834198849
YHR064C	2.4266620397009704
YHR091C	-2.476185754796909
YHR111W	2.4266620397009704
YHR120W	-2.476185754796909
YHR129C	2.4266620397009704
YHR134W	2.4266620397009704
YHR135C	2.4266620397009704
YHR147C	-2.476185754796909
YHR154W	2.4266620397009704
YHR167W	4.87808593694991
YHR168W	-2.476185754796909
YHR175W-A	-2.476185754796909
YHR187W	2.4266620397009704
YHR191C	4.87808593694991
YHR200W	2.4266620397009704
YIL008W	2.4266620397009704
YIL024C	2.4266620397009704
YIL052C	2.4266620397009704
YIL076W	2.4266620397009704
YIL087C	2.4266620397009704
YIL128W	7.329509834198849
YJL016W	2.4266620397009704
YJL023C	-2.476185754796909
YJL027C	-2.476185754796909
YJL047C	7.329509834198849
YJL051W	2.4266620397009704
YJL063C	-2.476185754796909
YJL096W	-2.476185754796909
YJL102W	-2.476185754796909
YJL115W	7.329509834198849
YJL127C	4.87808593694991
YJL139C	2.4266620397009704
YJL140W	-2.476185754796909
YJL176C	4.87808593694991
YJR015W	2.4266620397009704
YJR018W	4.87808593694991
YJR043C	4.87808593694991
YJR055W	2.4266620397009704
YJR074W	2.4266620397009704
YJR101W	-2.476185754796909
YJR104C	4.87808593694991
YJR113C	-2.476185754796909
YJR114W	-2.476185754796909
YJR122W	-2.476185754796909
YJR144W	-2.476185754796909
YKL003C	-2.476185754796909
YKL007W	2.4266620397009704
YKL016C	-2.476185754796909
YKL037W	2.4266620397009704
YKL053W	4.87808593694991
YKL055C	2.4266620397009704
YKL073W	2.4266620397009704
YKL113C	2.4266620397009704
YKL118W	2.4266620397009704
YKL119C	2.4266620397009704
YKL134C	-2.476185754796909
YKL139W	2.4266620397009704
YKL155C	-2.476185754796909
YKL169C	-2.476185754796909
YKL170W	-2.476185754796909
YKL191W	2.4266620397009704
YKL194C	-2.476185754796909
YKL212W	2.4266620397009704
YKR001C	2.4266620397009704
YKR004C	2.4266620397009704
YKR006C	-2.476185754796909
YKR020W	2.4266620397009704
YKR055W	2.4266620397009704
YLL002W	7.329509834198849
YLL006W	-2.476185754796909
YLL020C	2.4266620397009704
YLL027W	-2.476185754796909
YLR024C	4.87808593694991
YLR047C	2.4266620397009704
YLR056W	4.87808593694991
YLR068W	2.4266620397009704
YLR069C	-2.476185754796909
YLR079W	4.87808593694991
YLR091W	-2.476185754796909
YLR114C	-2.476185754796909
YLR139C	-2.476185754796909
YLR148W	-2.476185754796909
YLR176C	7.329509834198849
YLR204W	-2.476185754796909
YLR220W	2.4266620397009704
YLR233C	4.87808593694991
YLR242C	2.4266620397009704
YLR260W	-2.476185754796909
YLR267W	2.4266620397009704
YLR270W	-2.476185754796909
YLR288C	-2.476185754796909
YLR312W-A	-2.476185754796909
YLR318W	2.4266620397009704
YLR320W	4.87808593694991
YLR353W	2.4266620397009704
YLR369W	-2.476185754796909
YLR371W	2.4266620397009704
YLR382C	-2.476185754796909
YLR396C	-2.476185754796909
YLR399C	2.4266620397009704
YLR423C	4.87808593694991
YML001W	2.4266620397009704
YML028W	4.87808593694991
YML032C	7.329509834198849
YML058W	7.329509834198849
YML080W	4.87808593694991
YML088W	-2.476185754796909
YMR032W	2.4266620397009704
YMR038C	7.329509834198849
YMR060C	2.4266620397009704
YMR064W	-2.476185754796909
YMR066W	-2.476185754796909
YMR071C	-2.476185754796909
YMR072W	-2.476185754796909
YMR084W	-2.476185754796909
YMR089C	-2.476185754796909
YMR097C	-2.476185754796909
YMR098C	-2.476185754796909
YMR100W	4.87808593694991
YMR123W	2.4266620397009704
YMR158W	-2.476185754796909
YMR179W	4.87808593694991
YMR184W	-2.476185754796909
YMR190C	2.4266620397009704
YMR224C	7.329509834198849
YMR228W	-2.476185754796909
YMR267W	-2.476185754796909
YMR280C	2.4266620397009704
YMR284W	7.329509834198849
YMR286W	-2.476185754796909
YMR287C	-2.476185754796909
YMR293C	-2.476185754796909
YMR307W	2.4266620397009704
YMR312W	2.4266620397009704
YNL005C	-2.476185754796909
YNL021W	2.4266620397009704
YNL072W	2.4266620397009704
YNL073W	-2.476185754796909
YNL081C	-2.476185754796909
YNL119W	2.4266620397009704
YNL133C	2.4266620397009704
YNL148C	4.87808593694991
YNL160W	-2.476185754796909
YNL170W	-2.476185754796909
YNL177C	-2.476185754796909
YNL184C	-2.476185754796909
YNL199C	2.4266620397009704
YNL213C	-2.476185754796909
YNL238W	2.4266620397009704
YNL250W	4.87808593694991
YNL252C	-2.476185754796909
YNL271C	2.4266620397009704
YNL273W	2.4266620397009704
YNL284C	-2.476185754796909
YNL295W	4.87808593694991
YNR036C	-2.476185754796909
YNR037C	-2.476185754796909
YNR072W	2.4266620397009704
YOL033W	-2.476185754796909
YOL061W	2.4266620397009704
YOL064C	2.4266620397009704
YOL072W	4.87808593694991
YOL076W	2.4266620397009704
YOL100W	-2.476185754796909
YOL145C	2.4266620397009704
YOR014W	4.87808593694991
YOR026W	2.4266620397009704
YOR039W	2.4266620397009704
YOR066W	2.4266620397009704
YOR069W	2.4266620397009704
YOR080W	7.329509834198849
YOR114W	7.329509834198849
YOR150W	-2.476185754796909
YOR156C	2.4266620397009704
YOR158W	-2.476185754796909
YOR187W	-2.476185754796909
YOR199W	-2.476185754796909
YOR200W	-2.476185754796909
YOR201C	-2.476185754796909
YOR205C	-2.476185754796909
YOR211C	-2.476185754796909
YOR241W	-2.476185754796909
YOR290C	4.87808593694991
YOR293W	4.87808593694991
YOR305W	-2.476185754796909
YOR306C	2.4266620397009704
YOR330C	-2.476185754796909
YOR359W	2.4266620397009704
YPL005W	-2.476185754796909
YPL013C	-2.476185754796909
YPL024W	2.4266620397009704
YPL029W	-2.476185754796909
YPL031C	-2.476185754796909
YPL045W	7.329509834198849
YPL055C	2.4266620397009704
YPL059W	-2.476185754796909
YPL078C	-2.476185754796909
YPL097W	-2.476185754796909
YPL101W	4.87808593694991
YPL102C	4.87808593694991
YPL118W	-2.476185754796909
YPL129W	2.4266620397009704
YPL161C	2.4266620397009704
YPL173W	-2.476185754796909
YPL183W-A	-2.476185754796909
YPL193W	2.4266620397009704
YPL254W	2.4266620397009704
YPL271W	-2.476185754796909
YPR036W	2.4266620397009704
YPR039W	2.4266620397009704
YPR040W	2.4266620397009704
YPR044C	2.4266620397009704
YPR045C	7.329509834198849
YPR047W	-2.476185754796909
YPR067W	-2.476185754796909
YPR098C	2.4266620397009704
YPR099C	-2.476185754796909
YPR100W	-2.476185754796909
YPR116W	-2.476185754796909
YPR120C	2.4266620397009704
YPR135W	7.329509834198849
YPR164W	4.87808593694991
