orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YAL038W	0.4370170019534322	-0.0919823455535716
YAL039C	0.036533976456265424	-0.06551662965053577
YAL040C	0.12655773064716086	-0.06114468718093072
YAL041W	0.4237251239967003	-0.08742153741624743
YAL042W	0.35879035258403286	-0.07656895867327351
YAL043C	0.3644620735598681	-0.09088554535722054
YAL044C	1.769369618888162	-0.07627690489253164
YAL045C	0.5672439606542251	-0.07899973659649771
YAL046C	0.7145816021244897	-0.052578172033095526
YAL047C	-0.8977018062074321	-0.06009259817350486
YAL048C	2.5203662263597835	0.017561355624363645
YAL049C	0.510568805465484	-0.06194900257901138
YAL051W	0.595803484912872	-0.07952720202063442
YAL053W	-0.3831037408133689	-0.08987775591722257
YAL054C	0.032904818477324856	-0.07036109765944243
YAL055W	-0.00797927788231548	-0.06616192611438736
YAL056C-A	-1.4586132884618943	-0.061497811669199355
YAL056W	-0.38578931159509394	-0.06907567369748169
YAL058W	-1.2165690375158726	-0.0750165956663484
YAL059W	-0.6587264492358241	-0.05915836334627771
YAL060W	0.1694607655520679	-0.07168670463590236
YAL061W	0.10159150810085224	-0.07466171664097489
YAL062W	-0.2964776861492139	-0.08519161206658177
YAL064C-A	0.35744408928997884	-0.07801840396952545
YAL065C	0.19723652050907195	-0.050530860755681625
YAL066W	0.06689539666692218	-0.0836129915871858
YAL067C	0.1304311747513718	-0.04774076794616516
YAL068C	0.06024447653124865	-0.05864033484698644
YAR002C-A	0.4256103279521587	-0.07726083739681665
YAR002W	-0.8696950325170218	-0.07477937225496822
YAR003W	-0.1329087864940097	-0.023240435593483204
YAR007C	0.24357689537934585	-0.09217897334407514
YAR008W	0.10549720364364436	-0.09277963145367937
YAR014C	-1.989289878123726	-0.08085563196947967
YAR015W	-0.6885761626841518	-0.09876446377750701
YAR018C	-1.565121216586718	-0.08939807724601237
YAR019C	0.15532695839477986	-0.09185657074566336
YAR020C	0.05256693625619489	-0.08029480232870208
YAR023C	0.6075487609178497	-0.07385907066194393
YAR027W	0.5752210877842077	-0.0647809873905553
YAR028W	0.03697118820211945	-0.07518909276209147
YAR029W	-1.577421428401721	-0.07384188462531693
YAR030C	0.0588400350554326	-0.07376944559830877
YAR031W	-0.2864765440223064	-0.08229693818063587
YAR035W	0.3284035074748671	-0.07693715401710927
YAR042W	0.029881995584700824	-0.0860084241352113
YAR047C	0.4082616640095911	-0.07751632739491782
YAR050W	0.13894630512604678	-0.07755636373441464
YBL001C	0.1560539018692243	-0.08485997948600621
YBL003C	0.2101358494576884	-0.08676377868140096
YBL004W	0.16051895000665525	-0.09757743329417957
YBL005W	0.4404939611074391	-0.08495980020418326
YBL006C	0.8769406197570861	-0.05328516740926294
YBL007C	0.19127262003854634	-0.08974827412876472
YBL008W	-0.12642730131736993	-0.09195840885917132
YBL009W	-0.07868653522315251	-0.08329982584192845
YBL010C	-0.030538308016087087	-0.0889367801627099
YBL011W	0.48937871203935257	-0.08555376135351865
YBL012C	1.3012499451610253	-0.05240315408889364
YBL013W	0.8168249893368158	-0.08298325900339432
YBL014C	0.16096524790133418	-0.09648968360518075
YBL015W	0.4465033774329147	-0.08436138351895801
YBL016W	0.199515643459756	-0.07324782348159682
YBL017C	0.35788305177532315	-0.08690524908932101
YBL018C	0.21504481440489487	-0.09770993532979061
YBL019W	0.030219041991036123	-0.08782668271913119
YBL020W	0.40884140956661624	-0.09304358193425645
YBL021C	1.5471164608589676	0.028343502262287035
YBL022C	1.4953660709311618	-0.03218804675182734
YBL023C	0.23825781191496181	-0.08988367034327942
YBL024W	-0.4779677350161348	-0.08787805300950571
YBL025W	-2.8406136531978152	-0.12966085660824206
YBL026W	0.3488339192104329	-0.09103133660488522
YBL027W	-0.0035800808808765664	-0.09235638255268327
YBL028C	0.6797793360340969	-0.08754586333468577
YBL029W	0.35178550045563994	-0.08583941616265593
YBL030C	0.08189441180518987	-0.09362757542778678
YBL031W	0.09550955601779879	-0.08697141523532295
YBL032W	0.4908226870201223	-0.08486159578624555
YBL033C	0.6143944796922629	0.14523950493304102
YBL034C	-0.3547452230623711	-0.09536913871331432
YBL035C	-0.20826680534027933	-0.09543597380602933
YBL036C	0.468429525700909	-0.08155578582744703
YBL037W	0.04359692564658635	-0.08657033047085877
YBL038W	-0.3353810535408164	-0.06833165797139795
YBL039C	0.44815375304615207	-0.07244139881952737
YBL040C	0.039728256774079033	-0.09167091878966485
YBL041W	0.09872500984425388	-0.09176334280020597
YBL042C	0.01451345510955462	-0.08061464639978697
YBL043W	0.40883401660322227	-0.08423544820291048
YBL044W	2.976096620522789	-0.017027102514246436
YBL045C	1.6446844719153486	-0.05079075475211047
YBL046W	0.30976129571254907	-0.08463346216461361
YBL047C	-0.19512003387719187	-0.0877561581263929
YBL048W	0.46596107432393846	-0.08272991061709288
YBL049W	0.4585748969072536	-0.08565222418655816
YBL050W	-0.27117080791958736	-0.09405469221642958
YBL051C	-2.411087037989468	-0.09495443961034693
YBL052C	0.587575404210895	-0.08717005980383379
YBL053W	0.16526326707303926	-0.08585551332092174
YBL054W	0.1711795078330239	-0.07863931529547759
YBL055C	0.5077304304438564	-0.08355318207029473
YBL056W	0.528349004629701	-0.07907850538874861
YBL057C	0.25468693039539814	-0.09231983339467159
YBL058W	0.8392215969770929	-0.0900535351539712
YBL059W	0.6461149660347237	-0.07822774739681149
YBL060W	0.656840703674313	-0.0820121417061303
YBL061C	-0.67658982832296	-0.08522844893849328
YBL062W	-0.7119252334426389	-0.08750295533686486
YBL063W	0.2891050224943639	-0.08991080339293801
YBL064C	0.1709773791165765	-0.0881020853915684
YBL065W	0.41241696863836735	-0.08542023251920673
YBL066C	0.5929529582517464	-0.07918545518638077
YBL067C	0.2699792496220731	-0.09086472502389838
YBL068W	-0.15327983838609943	-0.0854782639666395
YBL069W	-0.06989430728776057	-0.08420323664106419
YBL070C	-0.49904183417119863	-0.08968323701184962
YBL071C	-1.5449627547614273	-0.09209177330791793
YBL072C	-2.045577920363242	-0.09278795828976423
YBL073W	-0.14271156844498717	-0.09510420479086477
YBL074C	-0.13602307887615311	-0.09461351452016623
YBL075C	0.2667777004823045	-0.08190722879843597
