orf	hap a | vacuolar morphology | FM 4-64 dye [1 uM], tunicamycin [1 ug/ml] | Stauffer B~Powers T, 2015
YLR061W	-1
YLR109W	-1
YLR143W	-1
YLR228C	-1
YLR281C	-1
YLR337C	-1
YLR346C	-1
YLR357W	-1
YLR358C	-1
YLR386W	-1
YLR402W	-1
YLR405W	-1
YLR443W	-1
YLR447C	-1
YML016C	-1
YML027W	-1
YML053C	-1
YML057C-A	-1
YML068W	-1
YML074C	-1
YML083C	-1
YML097C	-1
YML103C	-1
YML109W	-1
YMR012W	-1
YMR032W	-1
YMR053C	-1
YMR078C	-1
YMR100W	-1
YMR124W	-1
YMR162C	-1
YMR167W	-1
YMR180C	-1
YMR242C	-1
YMR244C-A	-1
YMR244W	-1
YMR246W	-1
YMR251W-A	-1
YMR278W	-1
YMR307W	-1
YMR312W	-1
YNL025C	-1
YNL065W	-1
YNL070W	-1
YNL082W	-1
YNL085W	-1
YNL095C	-1
YNL116W	-1
YNL121C	-1
YNL141W	-1
YNL183C	-1
YNL191W	-1
YNL201C	-1
YNL213C	-1
YNL219C	-1
YNL224C	-1
YNL231C	-1
YNL236W	-1
YNL241C	-1
YNL264C	-1
YNL268W	-1
YNL298W	-1
YNL303W	-1
YNL318C	-1
YNL324W	-1
YNL325C	-1
YNR010W	-1
YNR013C	-1
YNR025C	-1
YNR027W	-1
YNR052C	-1
YNR070W	-1
YOL014W	-1
YOL065C	-1
YOL087C	-1
YOL143C	-1
YOL151W	-1
YOR007C	-1
YOR009W	-1
YOR025W	-1
YOR036W	-1
YOR043W	-1
YOR064C	-1
YOR067C	-1
YOR096W	-1
YOR097C	-1
YOR131C	-1
YOR163W	-1
YOR225W	-1
YOR227W	-1
YOR251C	-1
YOR258W	-1
YOR263C	-1
YOR271C	-1
YOR322C	-1
YOR327C	-1
YOR328W	-1
YOR331C	-1
YOR364W	-1
YPL009C	-1
YPL021W	-1
YPL073C	-1
YPL078C	-1
YPL095C	-1
YPL098C	-1
YPL111W	-1
YPL129W	-1
YPL164C	-1
YPL168W	-1
YPL179W	-1
YPL189W	-1
YPL195W	-1
YPL224C	-1
YPL225W	-1
YPL234C	-1
YPL246C	-1
YPL249C	-1
YPR008W	-1
YPR015C	-1
YPR036W	-1
YPR042C	-1
YPR053C	-1
YPR057W	-1
YPR087W	-1
YPR098C	-1
YPR099C	-1
YPR101W	-1
YPR114W	-1
YPR127W	-1
YPR129W	-1
YPR151C	-1
YPR166C	-1
YPR174C	-1
