ORF	hap a | growth (relative abundance in pooled culture) | MMS + time [10 generations] (methyl methanesulfonate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [10 generation] (carmustine [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [10 generations] (dimethyl sulfoxide [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [10 generations] (N-ethyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [10 generations] (methyl carbamate [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [10 generations (menadione [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [10 generation] (hydroquinone [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [10 generations] (N-methyl-N-nitrosourea [unknown], time [10 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MMS + time [20 generations] (methyl methanesulfonate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | BCNU + time [20 generation] (carmustine [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | DMSO + time [20 generations] (dimethyl sulfoxide [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | ENU + time [20 generations] (N-ethyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MC + time [20 generations] (methyl carbamate [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | Menadione + time [20 generations] (menadione [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | HQ + time [20 generation] (hydroquinone [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013	hap a | growth (relative abundance in pooled culture) | MNU + time [20 generations] (N-methyl-N-nitrosourea [unknown], time [20 generations]) | Svensson JP~Samson LD, 2013
YAL034C	-0.495	-0.736	-0.178	0.000	0.000	0.000	0.000	-0.094	-0.323	0.000	-0.177	0.000	0.000	0.000	0.000	-0.057
YAL036C	0.000	-0.136	0.000	-0.124	0.000	0.000	0.000	-0.194	0.000	-0.155	-0.024	0.000	0.000	-0.009	0.000	-0.202
YAL037W	-0.000	0.000	-0.135	-0.109	-0.018	0.000	-0.044	-0.026	-0.005	-0.084	-0.152	0.000	0.000	0.000	-0.051	-0.097
YAL039C	0.000	-0.286	0.000	-0.163	-0.115	0.000	-0.281	0.000	0.000	-0.953	0.000	0.000	-0.306	0.000	0.000	0.000
YAL040C	0.000	0.000	-1.257	0.000	-0.253	0.000	0.000	0.000	0.000	-0.146	-1.220	-0.107	-0.371	0.000	0.000	0.000
YAL042W	-0.088	0.000	0.000	0.000	0.000	0.000	-0.173	0.000	-0.060	-0.125	-0.021	0.000	-0.049	0.000	-0.290	0.000
YAL043C-A	0.000	0.000	0.000	-0.019	-0.091	-0.036	-0.216	0.000	0.000	0.000	0.000	0.000	-0.191	0.000	-0.446	-0.003
YAL045C	0.000	0.000	-0.036	0.000	0.000	-0.359	-0.657	0.000	-0.249	-0.127	0.000	0.000	0.000	-0.094	-0.189	0.000
YAL048C	0.000	0.000	-0.532	-0.026	0.000	0.000	0.000	0.000	0.000	-0.078	-0.078	-0.316	0.000	0.000	0.000	0.000
YAL051W	-0.385	0.000	-0.072	-0.018	-0.056	-0.011	-0.442	0.000	-0.443	-0.453	0.000	0.000	0.000	-0.002	0.000	-0.022
YAL054C	-0.005	-0.118	-0.193	-0.051	-0.077	-0.101	-0.134	0.000	-0.219	-0.443	-0.051	0.000	-0.019	-0.036	-0.023	-0.023
YAL055W	-0.728	-1.813	-0.732	-0.107	-0.195	-0.075	-0.040	0.000	-1.460	-1.544	-0.504	-0.088	-1.385	0.000	0.000	-0.132
YAL056W	0.000	-0.067	-0.046	0.000	0.000	0.000	-0.143	-0.051	0.000	0.000	0.000	-0.026	0.000	0.000	0.000	0.000
YAL058C-A	0.000	0.000	-0.084	0.000	0.000	0.000	-0.029	0.000	-0.035	-0.122	-0.142	-0.029	-0.514	-0.106	-1.833	0.000
YAL058W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.277	0.000	0.000	0.000
YAL059W	0.000	0.000	-1.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.367	0.000	-0.040	0.000	-0.268	0.000
YAL060W	0.000	-0.511	-0.001	0.000	0.000	-0.003	0.000	0.000	0.000	-0.072	-0.059	0.000	-0.057	-0.357	-0.136	-0.065
YAL061W	0.000	-0.338	-0.378	-0.018	-0.110	-0.328	-0.077	-0.017	0.000	-0.100	-0.117	0.000	-0.026	-0.089	0.000	0.000
YAL062W	0.000	-0.279	-0.099	0.000	0.000	-0.057	0.000	0.000	0.000	-0.164	-0.106	0.000	-0.069	-0.079	0.000	0.000
YAL064C-A	-0.157	-1.306	-0.266	-0.387	0.000	-0.038	-0.121	-0.186	-0.957	-0.955	-0.066	-0.080	-0.059	0.000	0.000	-0.050
YAL065C	-0.068	-0.118	-0.079	-0.006	-0.011	-0.036	-0.067	0.000	-0.089	-0.347	0.000	0.000	-0.089	0.000	0.000	0.000
YAL066W	0.000	-0.571	0.000	0.000	-0.027	-0.030	0.000	0.000	-0.002	-0.045	-0.186	-0.094	0.000	0.000	0.000	0.000
YAL067C	0.000	-0.540	-0.074	0.000	0.000	0.000	-0.077	0.000	0.000	-0.122	-0.305	-0.101	-0.147	-0.033	0.000	0.000
YAL068C	0.000	-0.881	0.000	0.000	0.000	-0.517	-0.147	0.000	-0.333	-0.122	0.000	0.000	0.000	0.000	0.000	0.000
YAR002C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.270	-0.544	0.000	0.000	0.000	0.000	0.000	0.000
YAR003W	0.000	0.000	-1.055	-0.127	-0.794	-0.561	-0.807	0.000	0.000	0.000	-1.532	-0.283	-1.985	-0.638	-0.616	0.000
YAR020C	0.000	-0.415	-0.047	0.000	0.000	0.000	0.000	0.000	-0.083	-0.311	0.000	0.000	0.000	0.000	0.000	-0.004
YAR023C	0.000	0.000	-0.180	0.000	0.000	-0.067	0.000	-0.105	-0.043	-0.110	-0.223	0.000	-0.062	-0.040	-0.013	-0.048
YAR027W	0.000	0.000	0.000	-0.182	0.000	-0.073	0.000	0.000	0.000	-0.074	-0.148	-0.083	-0.068	-0.008	0.000	0.000
YAR028W	0.000	0.000	0.000	-0.062	0.000	0.000	0.000	-0.068	-0.047	0.000	-0.045	0.000	-0.143	-0.045	0.000	-0.143
YAR030C	0.000	0.000	-0.164	-0.034	-0.011	0.000	0.000	-0.015	-0.034	-0.390	-0.147	0.000	0.000	0.000	0.000	-0.081
YAR031W	-0.170	-0.661	-0.368	0.000	-0.998	-3.846	-4.000	-0.163	0.000	-0.392	-1.821	-0.008	-1.464	-2.876	-3.113	-0.377
YAR035W	-0.023	0.000	0.000	0.000	0.000	-0.092	0.000	-0.016	0.000	-0.156	-0.241	0.000	0.000	-0.053	0.000	-0.075
YAR037W	-0.024	-0.059	-0.216	-0.006	-0.040	-0.421	0.000	-0.089	-0.056	-0.129	-0.173	0.000	0.000	0.000	0.000	0.000
YAR040C	-0.013	0.000	-0.078	0.000	-0.022	-0.053	0.000	-0.091	-0.262	-0.119	0.000	0.000	0.000	0.000	0.000	-0.222
YAR043C	0.000	-0.093	0.000	0.000	-0.051	-0.466	-0.100	0.000	0.000	-0.142	-0.094	0.000	0.000	-0.169	-0.025	-0.047
YAR044W	0.000	-0.585	-0.103	0.000	-0.659	-2.767	-2.738	-0.520	0.000	-0.128	-1.550	0.000	-1.256	-1.982	-1.816	-0.584
YAR047C	0.000	0.000	-0.156	0.000	-0.053	-0.007	0.000	-0.084	0.000	-0.078	-0.200	0.000	0.000	0.000	0.000	-0.024
YAR050W	-0.003	-0.041	-0.170	-0.114	-0.120	0.000	-0.033	0.000	0.000	-0.046	-0.146	0.000	0.000	0.000	-0.038	-0.003
YBL001C	0.000	-0.003	0.000	-0.051	0.000	0.000	0.000	-0.019	0.000	-0.018	0.000	0.000	0.000	-0.149	0.000	0.000
YBL003C	0.000	-0.014	-0.321	-0.050	-0.120	-0.014	0.000	0.000	0.000	-0.007	-0.194	-0.248	-0.127	-0.041	-0.089	-0.239
YBL005W	0.000	-0.584	-0.379	-0.111	-0.217	0.000	0.000	0.000	0.000	-0.044	-0.101	-0.148	-0.514	0.000	0.000	0.000
YBL006C	0.000	0.000	-0.252	0.000	-1.135	-0.328	-1.716	0.000	0.000	-0.374	-0.903	0.000	-2.818	-0.749	-2.270	0.000
YBL007C	0.000	0.000	-2.065	-0.657	-2.155	-1.122	-3.828	-0.503	0.000	0.000	-2.818	-0.708	-4.559	-0.710	-3.598	-0.355
YBL008W	-0.372	0.000	-4.110	0.000	-0.764	-0.529	0.000	-0.041	0.000	0.000	-5.237	-0.162	-2.092	-0.408	-0.148	-0.079
YBL009W	-0.660	-0.873	-0.163	-0.012	-0.031	-0.031	-0.069	-0.213	-0.798	-0.233	-0.214	-0.212	-0.181	-0.210	-0.950	-0.308
YBL010C	-0.081	-0.347	-0.212	0.000	0.000	-0.161	-0.058	0.000	-0.133	0.000	-0.346	-0.000	0.000	-0.225	-0.152	0.000
YBL012C	0.000	-0.188	-0.549	-0.214	-1.221	0.000	-2.154	0.000	0.000	-0.334	-0.494	-0.503	-1.425	0.000	-2.143	0.000
YBL013W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.508	0.000	0.000	0.000	-0.753	0.000	0.000	0.000
YBL015W	-0.932	-1.211	-0.398	0.000	0.000	-0.155	0.000	-0.014	-1.934	-0.270	-0.374	-0.191	0.000	-0.311	-0.015	0.000
YBL019W	-0.195	-0.189	-0.318	0.000	-0.211	-0.103	0.000	-0.149	-0.293	0.000	-0.280	-0.054	0.000	-0.016	0.000	-0.152
YBL021C	0.000	-0.315	0.000	0.000	-0.368	0.000	0.000	-0.003	0.000	-1.623	0.000	0.000	-2.401	0.000	0.000	0.000
YBL022C	0.000	-0.253	-0.728	-0.280	-0.737	0.000	-1.303	0.000	0.000	-1.090	-0.055	0.000	-0.895	-0.063	-1.381	-0.155
YBL025W	0.000	0.000	0.000	0.000	-0.051	-0.082	-0.025	-0.025	0.000	0.000	0.000	-0.082	0.000	0.000	0.000	-0.026
YBL027W	-0.653	-0.120	-0.613	-0.023	-0.588	-0.024	-0.536	-0.469	0.000	0.000	-1.129	-0.177	-2.031	-0.511	-0.572	-0.414
YBL028C	-0.341	0.000	-0.042	0.000	-0.066	-0.241	-0.349	0.000	-0.065	-0.050	-0.173	-0.156	-0.200	-0.284	-0.809	0.000
YBL029W	0.000	-0.001	0.000	-0.077	-0.099	0.000	0.000	-0.037	-0.243	-0.012	-0.087	-0.024	-0.057	-0.061	-0.026	-0.026
YBL031W	0.000	0.000	-0.597	-0.181	-1.570	0.000	-0.158	-0.081	-0.174	-0.048	-0.517	-0.207	-2.330	-0.022	-0.177	-0.134
YBL032W	0.000	0.000	-2.212	-0.190	-0.083	0.000	0.000	-0.035	-0.012	-0.497	-1.430	-0.417	0.000	-0.093	-0.435	0.000
YBL036C	-1.791	0.000	-0.500	-0.059	-0.136	-0.569	-1.172	-0.611	-1.997	-0.174	-0.490	-0.158	-0.088	-0.578	-1.133	-0.279
YBL038W	0.000	0.000	-0.259	-0.585	-0.059	0.000	0.000	0.000	0.000	-0.281	-0.173	-1.237	0.000	0.000	0.000	0.000
YBL039C	-0.162	0.000	0.000	0.000	0.000	-0.644	-1.227	0.000	-1.247	0.000	-0.230	-0.486	0.000	-0.593	-1.204	-0.606
YBL042C	0.000	0.000	-0.855	-0.031	0.000	0.000	0.000	0.000	0.000	-0.326	-0.923	-0.190	-1.275	0.000	0.000	0.000
YBL043W	-0.235	0.000	-0.652	-0.085	-0.014	-0.047	-0.313	0.000	-0.180	0.000	-0.393	0.000	-0.255	-0.525	-0.602	0.000
YBL044W	0.000	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.242	0.000	0.000	-0.745	0.000
YBL045C	0.000	0.000	0.000	-0.058	0.000	0.000	-0.056	0.000	0.000	-0.537	0.000	0.000	0.000	0.000	0.000	0.000
YBL046W	-0.552	0.000	0.000	-0.212	0.000	0.000	0.000	0.000	-0.667	-0.065	-0.016	-0.320	0.000	-0.047	-0.179	-0.035
YBL047C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.192	0.000
YBL048W	-0.062	-0.073	0.000	0.000	0.000	-0.049	-0.421	0.000	0.000	0.000	-0.187	-0.048	-0.155	-0.298	-0.756	-0.008
YBL049W	-0.315	-0.419	-0.509	-0.109	-0.414	-3.342	-6.180	-0.246	0.000	-0.179	-1.696	-0.245	-0.958	-2.067	-5.519	0.000
YBL051C	0.000	-0.008	0.000	0.000	-1.025	-2.209	-4.260	-0.127	-2.023	-0.188	0.000	0.000	-0.214	-2.085	-2.729	-0.345
YBL052C	0.000	0.000	-0.356	-0.133	-0.425	-0.660	-0.437	-0.208	0.000	0.000	-0.582	0.000	-0.460	-0.338	0.000	-0.018
YBL053W	-0.410	-1.569	-0.207	0.000	-1.000	-7.287	-8.000	-0.592	0.000	-1.504	-2.680	-0.156	-1.915	-6.112	-7.108	-0.435
YBL054W	-0.489	0.000	-0.156	0.000	-0.013	-0.171	-0.758	-0.082	-1.103	-0.114	-0.409	-0.056	-0.150	-0.575	-0.337	-0.589
YBL055C	0.000	0.000	-0.035	-0.011	0.000	-0.008	-0.215	-0.087	-0.184	-0.242	-0.008	-0.048	0.000	-0.023	-0.186	-0.154
YBL056W	0.000	-0.027	-0.796	-0.115	0.000	0.000	0.000	0.000	0.000	-0.044	-0.499	-0.464	-0.522	0.000	-0.339	0.000
YBL057C	-0.295	-0.819	-0.093	0.000	-1.310	-0.517	-0.391	0.000	-0.703	-0.192	-0.130	-0.030	-1.633	-0.301	-0.537	-0.169
YBL058W	-0.011	-0.121	-0.026	0.000	0.000	-0.043	-0.172	0.000	-0.025	0.000	-0.026	-0.026	0.000	0.000	-0.044	-0.186
YBL060W	-0.305	0.000	-0.083	-0.077	-0.110	0.000	-0.049	0.000	-0.069	0.000	-0.065	-0.288	-0.085	0.000	0.000	0.000
YBL061C	-0.062	0.000	-0.295	-0.054	-0.617	-0.074	-0.624	-0.118	0.000	-0.133	-0.661	-0.015	-1.386	0.000	-0.496	-0.111
YBL062W	0.000	-0.273	-0.340	-0.061	-0.494	0.000	-0.545	-0.102	0.000	0.000	-0.686	-0.016	-0.987	0.000	-0.619	-0.338
YBL063W	-0.162	-0.192	0.000	-0.001	-0.065	0.000	-0.181	0.000	-0.113	-0.039	-0.198	0.000	-0.214	-0.038	-0.393	0.000
YBL064C	-0.760	0.000	-1.448	-0.025	-0.112	-0.317	-0.018	-0.090	-2.211	-0.008	-0.930	-0.213	-0.193	-0.650	-0.818	-0.063
YBL065W	0.000	0.000	-0.122	-0.006	-0.069	0.000	0.000	0.000	-0.129	0.000	-0.191	0.000	-0.247	-0.094	-0.143	0.000
YBL066C	-0.181	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	-0.238	0.000	-0.291	0.000	-0.241	-0.053	-0.363	0.000
YBL067C	0.000	-0.607	-0.029	-0.071	-0.512	-0.768	-0.540	-0.205	0.000	-0.013	-0.545	-0.217	-1.880	-0.862	-0.968	-0.355
YBL068W	-0.079	0.000	-0.435	-0.111	-0.592	0.000	-0.074	0.000	-0.031	0.000	-0.183	-0.228	-0.508	0.000	-0.237	0.000
YBL069W	-0.061	-0.370	-0.275	0.000	-0.057	-0.093	-0.079	-0.021	-0.053	0.000	-0.194	-0.022	-0.007	-0.245	-0.344	-0.135
YBL070C	-0.317	-0.029	-0.258	-0.175	0.000	-0.351	-0.460	0.000	-0.175	0.000	-0.225	-0.204	0.000	-0.229	-0.515	-0.066
YBL071C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.025	-0.022
YBL072C	0.000	-1.685	-0.449	-0.011	-0.291	-1.511	-1.717	-1.140	0.000	-0.535	-0.908	-0.105	-1.685	-1.438	-2.699	-2.204
YBL078C	-0.087	-0.098	-0.170	0.000	-0.143	-0.081	0.000	0.000	-0.240	0.000	-0.703	0.000	-0.188	0.000	-0.973	-0.128
YBL080C	0.000	-0.027	-1.255	-0.058	-0.452	0.000	0.000	0.000	0.000	0.000	-0.181	-0.539	-0.492	0.000	0.000	0.000
YBL083C	0.000	0.000	0.000	-0.044	-1.519	-0.345	-2.230	-0.082	0.000	-0.004	-0.527	-0.138	-2.761	0.000	-3.090	-0.202
YBL085W	0.000	-1.201	0.000	0.000	-0.198	-3.148	-2.051	-0.605	0.000	-0.404	-0.262	-0.018	-0.867	-2.060	-3.189	-0.118
YBL086C	-0.403	-0.041	-0.174	-0.374	-0.129	0.000	0.000	0.000	-0.213	0.000	-0.703	-0.124	-0.638	-0.092	0.000	0.000
YBL088C	-3.688	-0.030	0.000	0.000	-0.011	-0.012	0.000	-0.446	-2.810	0.000	-0.224	-0.106	-0.561	0.000	-1.023	-0.850
YBL089W	-0.875	-0.172	-0.513	-0.035	-0.237	-0.688	-0.104	0.000	-0.009	0.000	-0.964	-0.173	-1.406	-0.416	-0.390	-0.013
YBL090W	0.000	-0.194	-0.714	-0.059	0.000	0.000	0.000	0.000	0.000	-0.153	-0.298	-0.445	-0.176	0.000	0.000	0.000
YBL091C	0.000	-1.014	-0.094	-0.080	0.000	-0.131	0.000	0.000	0.000	0.000	-0.201	-0.087	0.000	-0.046	-0.839	-0.004
YBL091C-A	-0.170	-0.357	0.000	0.000	0.000	-0.130	-0.388	0.000	-0.159	-0.027	0.000	0.000	0.000	-0.109	-0.012	0.000
YBL095W	-0.221	0.000	0.000	-0.016	0.000	-0.023	0.000	0.000	-0.507	0.000	0.000	0.000	0.000	-0.139	0.000	-0.141
YBL096C	-0.402	0.000	-0.035	-0.160	0.000	-0.332	0.000	0.000	-0.848	0.000	0.000	0.000	0.000	-0.104	0.000	-0.042
YBL098W	0.000	0.000	-0.162	-0.010	0.000	-0.282	0.000	-0.146	-0.205	-0.026	-0.165	0.000	0.000	-0.197	0.000	-0.033
YBL102W	-0.042	0.000	0.000	-0.001	0.000	-0.037	-0.010	-0.028	-0.521	-0.023	0.000	-0.017	0.000	-0.121	0.000	-0.068
YBL103C	-0.070	-0.279	0.000	-0.227	-0.053	-0.144	0.000	-0.052	-0.435	0.000	0.000	-0.152	-0.332	-0.104	0.000	0.000
YBL104C	0.000	0.000	0.000	0.000	0.000	0.000	-0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.381	0.000
YBL106C	0.000	0.000	-0.152	0.000	-0.001	-0.301	-0.444	-0.089	-0.155	0.000	-0.044	-0.075	-0.126	-0.220	-0.245	0.000
YBL107C	0.000	-0.241	-0.394	-0.183	-0.224	-0.067	0.000	-0.009	0.000	0.000	-0.298	-0.217	-0.257	-0.345	0.000	0.000
YBR001C	-0.057	-0.260	-0.157	-0.079	-0.091	-0.022	0.000	-0.241	-0.173	0.000	-0.377	-0.071	0.000	-0.051	0.000	0.000
YBR003W	0.000	-0.270	-0.408	-0.069	-0.226	0.000	0.000	0.000	0.000	-0.060	0.000	-0.252	0.000	0.000	0.000	0.000
YBR006W	-0.056	0.000	-0.141	0.000	-0.139	-0.050	0.000	-0.048	-0.030	0.000	0.000	0.000	-0.026	-0.057	0.000	-0.242
YBR007C	0.000	0.000	0.000	-0.022	0.000	0.000	0.000	-0.019	0.000	0.000	0.000	0.000	-0.027	0.000	0.000	-0.133
YBR008C	0.000	-0.396	-0.780	0.000	-0.163	-0.095	0.000	-0.150	0.000	-0.196	-0.222	0.000	-0.095	-0.029	0.000	0.000
YBR009C	0.000	0.000	-0.274	-0.017	0.000	-0.103	0.000	0.000	0.000	0.000	-0.186	-0.146	0.000	0.000	0.000	-0.002
YBR010W	0.000	0.000	-1.253	-0.037	0.000	0.000	0.000	0.000	-0.051	0.000	-0.813	-0.116	-0.027	-0.165	0.000	0.000
YBR013C	-0.149	0.000	-0.205	-0.033	0.000	-0.090	0.000	-0.028	-0.231	0.000	-0.359	0.000	0.000	-0.044	0.000	0.000
YBR014C	0.000	-1.350	-0.314	-0.053	-0.122	-0.287	0.000	0.000	-0.013	0.000	0.000	-0.069	-0.024	-0.364	0.000	0.000
YBR016W	0.000	-0.062	-0.185	-0.066	0.000	-0.070	0.000	0.000	0.000	0.000	-0.122	-0.009	0.000	-0.017	-0.140	0.000
YBR018C	0.000	-0.657	-0.407	-0.143	-0.036	-0.326	-0.326	0.000	-0.177	0.000	-0.091	-0.076	0.000	-0.070	-0.144	-0.044
YBR019C	-0.044	-1.697	-0.955	-0.104	-1.154	-3.857	-4.000	-0.018	0.000	-1.626	-1.574	-0.321	-1.423	-4.000	-4.000	0.000
YBR020W	-0.412	-0.027	-0.462	0.000	0.000	-0.313	0.000	-0.020	-0.323	-0.124	-0.632	0.000	0.000	-0.122	0.000	-0.012
YBR021W	0.000	-0.134	0.000	0.000	-0.416	-0.349	-0.760	-0.003	0.000	-0.155	-0.018	0.000	-0.788	-0.824	-0.925	-0.003
YBR022W	0.000	0.000	-0.077	-0.153	0.000	-0.134	-0.244	0.000	-0.210	-0.022	-0.335	-0.149	0.000	-0.135	-0.342	0.000
YBR023C	0.000	0.000	-0.640	0.000	-1.212	-0.006	-1.441	-0.590	0.000	-0.015	-1.735	-0.042	-1.894	0.000	-1.766	-0.084
YBR024W	-0.187	-0.109	-0.156	-0.049	0.000	0.000	-0.187	-0.140	-0.012	-0.284	-0.308	-0.062	0.000	-0.001	-0.063	-0.091
YBR025C	0.000	0.000	0.000	-0.079	-0.114	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	-0.429	-0.126	0.000	-0.028
YBR027C	-0.370	-0.195	-0.621	-0.051	-0.119	0.000	-0.154	-0.194	-0.251	-0.127	-0.359	-0.074	-0.117	0.000	-0.017	-0.175
YBR028C	-1.395	-0.020	-0.437	-0.237	-0.332	-0.318	-0.195	-0.681	-0.145	-0.015	-0.450	-0.421	-0.178	-0.556	-0.738	-0.990
YBR030W	-0.488	-2.057	-0.039	-0.019	-1.311	-3.922	-3.971	-0.071	0.000	-1.623	-0.958	-0.273	-1.960	-3.559	-3.247	-0.071
