orf	hap a | growth (colony size) | lithium hexafluorophosphate [3 mM] | YPD | Jin X~Liu B, 2021
YBL082C	0.06372333333333334
YBL083C	0.03369
YBL085W	0.00398
YBL086C	0.10323333333333333
YBL087C	-0.008613333333333336
YBL088C	-0.036893333333333334
YBL089W	0.05628666666666667
YBL091C	-0.029080000000000005
YBL091C-A	-0.0039499999999999995
YBL094C	0.12137666666666667
YBL095W	-0.09989999999999999
YBL096C	-0.009909999999999997
YBL098W	-0.006306666666666668
YBL100C	0.04649
YBL101C	-0.06932333333333333
YBL102W	0.047389999999999995
YBL103C	0.008918333333333332
YBL104C	0.10253666666666668
YBL106C	0.007386666666666666
YBL107C	-0.1521866666666667
YBR001C	-0.013129999999999998
YBR005W	0.025055
YBR006W	-0.01043
YBR007C	-0.07269333333333333
YBR008C	-0.03225
YBR009C	0.036213333333333333
YBR010W	-0.015803333333333332
YBR012C	-0.03777333333333333
YBR013C	0.015859999999999996
YBR014C	0.029226666666666665
YBR015C	0.04655
YBR016W	0.020716666666666664
YBR018C	-0.22830333333333333
YBR019C	-0.18218
YBR020W	0.021521666666666665
YBR022W	0.08388
YBR023C	0.06387666666666668
YBR024W	-0.05526999999999999
YBR025C	-0.08270666666666666
YBR026C	-0.04147666666666667
YBR027C	0.08372666666666667
YBR028C	0.052586666666666664
YBR030W	-0.11296666666666666
YBR031W	-0.01557
YBR032W	0.07527333333333333
YBR033W	0.0657
YBR034C	0.036373333333333334
YBR036C	0.008016666666666667
YBR040W	-0.08935666666666668
YBR041W	0.03199333333333334
YBR042C	0.027433333333333334
YBR043C	-0.018036666666666666
YBR044C	-0.15509333333333333
YBR045C	-0.03479
YBR046C	0.03993333333333333
YBR047W	0.025863333333333332
YBR048W	0.02376666666666667
YBR050C	-0.01444
YBR051W	-0.002493333333333334
YBR052C	0.030586666666666668
YBR053C	-0.09136999999999999
YBR054W	0.00768
YBR056W	0.0019599999999999995
YBR057C	-0.020356666666666665
YBR062C	-0.02756
YBR063C	-0.029983333333333334
YBR064W	0.04237333333333334
YBR065C	-0.0153
YBR066C	-0.031273333333333334
YBR067C	-0.24171333333333334
YBR068C	0.06408666666666667
YBR069C	-0.040676666666666667
YBR071W	-0.014596666666666666
YBR072W	0.007586666666666669
YBR073W	0.03162
YBR074W	-0.0020744444444444447
YBR076W	0.19090666666666667
YBR078W	0.06518
YBR082C	-0.30948000000000003
YBR083W	0.014406666666666665
YBR084W	-0.26754
YBR085W	0.03976
YBR086C	-0.0012466666666666668
YBR090C	0.13790666666666665
YBR092C	-0.08561333333333333
YBR094W	0.008056666666666667
YBR095C	0.014906666666666665
YBR098W	0.06011833333333333
YBR099C	0.04299
YBR103W	-0.025783333333333335
YBR104W	-0.0053900000000000016
YBR105C	-0.042276666666666664
YBR106W	-0.008673333333333333
YBR107C	0.02397666666666667
YBR108W	-0.02945333333333333
YBR111C	-0.05578333333333333
YBR114W	-0.006263333333333333
YBR116C	0.05206666666666667
YBR118W	-0.07576666666666666
YBR119W	-0.013233333333333333
YBR125C	-0.12370999999999999
YBR126C	-0.032156666666666674
YBR128C	-0.026029999999999998
YBR129C	0.08610666666666666
YBR130C	0.03774
YBR131W	-0.08712666666666667
YBR132C	-0.44798333333333334
YBR134W	0.049190000000000005
YBR137W	0.08481333333333334
YBR138C	-0.003653333333333333
YBR139W	-0.06724333333333334
YBR141C	0.045266666666666656
YBR145W	0.03666666666666667
YBR147W	0.03155333333333333
