orf	hap a | growth (colony size) | lithium hexafluorophosphate [3 mM] | YPD | Jin X~Liu B, 2021
YBR015C	0.40187361837488805
YBR016W	0.14402104083357029
YBR018C	-2.341544721463421
YBR019C	-1.8811697388261033
YBR020W	0.15205605986276102
YBR022W	0.7744789107471741
YBR023C	0.5748178374793745
YBR024W	-0.6144315214415108
YBR025C	-0.8882875944405543
YBR026C	-0.47675488068461114
YBR027C	0.7729484309320902
YBR028C	0.4621279432687366
YBR030W	-1.190324458817339
YBR031W	-0.21817033453607934
YBR032W	0.6885724133005054
YBR033W	0.5930172387587422
YBR034C	0.3002963384737728
YBR036C	0.017257386584225723
YBR040W	-0.9546638385947388
YBR041W	0.25657784984289655
YBR042C	0.21106271099431292
YBR043C	-0.2427910967787342
YBR044C	-1.6108071523614904
YBR045C	-0.41001265222681976
YBR046C	0.3358300872239827
YBR047W	0.19539192853986637
YBR048W	0.17446428063360978
YBR050C	-0.2068913637249172
YBR051W	-0.0876470233496807
YBR052C	0.24253736110451765
YBR053C	-0.9747597039927973
YBR054W	0.013896985251106615
YBR056W	-0.04319656611159032
YBR057C	-0.2659479218069609
YBR062C	-0.3378472018155787
YBR063C	-0.3620354371539707
YBR064W	0.3601846790640144
YBR065C	-0.2154753592095185
YBR066C	-0.3749114303808726
YBR067C	-2.4753951626826107
YBR068C	0.5769139294000329
YBR069C	-0.4687697686059123
YBR071W	-0.20845511484032905
YBR072W	0.012965388841925099
YBR073W	0.2528514642061704
YBR074W	-0.08346592994180643
YBR076W	1.8427538216757715
YBR078W	0.5878269159075881
YBR082C	-3.1518006983490614
YBR083W	0.08103846931283294
YBR084W	-2.733181197623273
YBR085W	0.33409997960693133
YBR086C	-0.07520355702704164
YBR090C	1.3137401464619711
YBR092C	-0.9173001683264935
YBR094W	0.017656642188160668
YBR095C	0.08602916436201974
YBR098W	0.5373044463596537
YBR099C	0.36633986962467807
YBR103W	-0.32011359874080164
YBR104W	-0.11655978333463622
YBR105C	-0.48473999276331
YBR106W	-0.14933201415762948
YBR107C	0.17656037255426826
YBR108W	-0.35674530040183267
YBR111C	-0.6195553016920092
YBR114W	-0.12527686402054913
YBR116C	0.4569376204175824
YBR118W	-0.8190167471578415
YBR119W	-0.19484715300621305
YBR125C	-1.2975578597741992
YBR126C	-0.3837283249677694
YBR128C	-0.32257567496506706
YBR129C	0.7967041393662193
YBR130C	0.3139375716082167
YBR131W	-0.9324053386753656
YBR132C	-4.534256498274131
YBR134W	0.42822448823459436
YBR137W	0.7837948748389896
YBR138C	-0.09922543586379406
YBR139W	-0.7339420322193707
YBR141C	0.38906416774864183
YBR145W	0.3032242129026291
YBR147W	0.25218603819961205
YBR148W	1.7425739363884287
YBR149W	0.005545888868800709
YBR150C	-0.3381799148188578
YBR151W	-1.0263302195010608
YBR157C	0.6096528889226983
YBR158W	0.4059327170148933
YBR161W	0.33769328004234583
YBR162C	0.09980348269777532
YBR162W-A	-1.1572527862913944
YBR164C	0.4018403470745602
YBR165W	-0.007363375658429121
YBR168W	-0.8968383186248275
YBR169C	0.6105844853318798
YBR170C	0.17685981425721942
YBR171W	-0.5245990105561487
YBR172C	1.6160764525417073
YBR176W	-0.28245048676960527
YBR177C	-0.284047509185345
YBR178W	0.4438287280883851
YBR180W	0.06067643351215084
YBR181C	-0.5854854901562274
YBR182C	0.0605433483108392
YBR183W	0.6512420143325882
YBR184W	0.04280974523606209
YBR185C	-1.9536013596399677
YBR186W	-0.9544642107927712
YBR187W	-1.369556953683801
YBR188C	-0.09766168474838219
YBR189W	-0.026427830746322694
YBR194W	0.4064983291204678
YBR195C	-0.15169427648091124
YBR197C	-0.6206199833025025
YBR199W	-0.13722126083826952
YBR201W	-0.1694611508560162
YBR203W	-0.2525728590751403
YBR204C	0.04227740443081549
YBR205W	-0.5979622277791944
YBR206W	0.3179301276475662
YBR207W	-0.3136589664771867
YBR208C	0.09694215086957485
YBR210W	0.7542499601478037
YBR212W	-0.1816717180763599
YBR213W	-2.1611810023858102
YBR214W	-0.8120963166896359
YBR215W	-0.1027189223982248
YBR216C	-0.5304880307141889
YBR217W	-1.220168815211476
YBR218C	-0.185431375013414
YBR219C	0.26962019957143796
YBR220C	0.5249441582878344
YBR221C	-2.308007250732886
YBR222C	1.083702375994788
YBR223C	-0.015448301638111728
YBR224W	0.45953278184315943
YBR225W	0.03672109727605421
YBR226C	-0.9493071592419448
YBR227C	0.9503842755808447
YBR228W	0.6325435435483017
YBR229C	-0.15748348273796792
YBR230C	0.5889581401187369
YBR231C	-1.2808223957092595
YBR232C	0.327445719541349
YBR233W	1.1548364160958637
YBR235W	-1.0472911387076456
YBR238C	-0.1749509154101217
YBR239C	0.9055678340391473
YBR240C	0.16761039276605988
YBR241C	0.11344471583221921
YBR242W	0.4763015172084271
YBR244W	0.20314414151626983
YBR245C	0.054288343849191754
YBR246W	0.21255991950906894
YBR249C	0.279435233168172
YBR250W	-0.7895716463676393
YBR255W	-0.3443683766798494
YBR258C	-0.37561012768775875
YBR259W	0.31310578910001896
YBR260C	-0.9048234307035264
YBR261C	-0.24601841291054163
YBR262C	-1.2940976445400965
YBR263W	-0.233042605782656
YBR264C	-0.011156303895811112
YBR266C	-0.3254037354929397
YBR267W	-0.5418668154263347
YBR269C	0.2412397803917291
YBR270C	0.01100238212257828
YBR271W	0.5828029495580732
YBR272C	0.21039728498775465
YBR273C	-0.44168693013899185
YBR274W	0.10309734143023858
YBR275C	0.9166471770483421
YBR276C	-0.043995077319460216
YBR277C	-0.7036651489209708
YBR278W	-1.0776678359070293
YBR280C	-0.6213852232100444
YBR281C	0.23950967277467763
YBR283C	-1.2385013016921558
YBR284W	0.27920233406587663
YBR285W	0.2280976167622039
YBR286W	-0.18024105216225975
YBR287W	0.5752503643836373
YBR288C	0.05096121381640054
YBR289W	1.248794568221887
YBR290W	-0.32566990589556294
YBR291C	-0.13695509043564624
YBR292C	0.1415589646093048
YBR293W	0.18627559225001855
YBR294W	0.00018920951600689585
YBR295W	0.1840131438277205
YBR296C	0.01556055026750223
YBR297W	1.2013496939542845
YBR298C	-0.7458198864364352
YBR299W	1.38227902513747
YBR300C	0.020717601818328622
YBR301W	-0.4440491924622737
YCL001W	0.8729952310181215
YCL001W-A	-0.6258768487543126
YCL002C	-0.9761570986065697
YCL009C	-2.1938534193078194
YCL010C	-0.4039572755671398
YCL011C	-0.10238620939494572
YCL014W	-0.004202602127277503
YCL016C	0.6484472251050436
YCL022C	-0.8152903615211153
YCL023C	0.7972364801714661
YCL024W	0.4409341249598567
YCL025C	-0.4455131296767018
YCL026C-A	0.19622371104806416
YCL027W	0.5971096086990755
YCL028W	-0.21853631883968636
YCL029C	0.36710510953222
YCL032W	-1.0740745354716144
YCL033C	-1.966211182464246
YCL034W	-0.3249712085886768
YCL035C	0.7852920833537456
YCL036W	-3.8339621689722403
YCL037C	-2.6534964333379234
YCL038C	0.4898096651415594
YCL039W	0.38457254220437387
YCL040W	1.9626635880575662
YCL042W	0.8827437220141997
YCL044C	-0.18925757455112385
YCL045C	-0.48716879768724763
YCL046W	-0.27020664824893365
YCL047C	-0.8484618479480436
YCL048W	0.11687165976599412
YCL049C	0.04194469142753644
YCL050C	0.34414791230596076
YCL051W	0.05325693353902645
YCL055W	0.611615895642045
YCL056C	0.07395168234298773
YCL057W	0.40769609593227263
YCL061C	0.3292257341088922
YCL063W	0.31664918258494146
YCL064C	0.7152227248631629
YCL069W	-0.5612639835175075
YCL076W	0.3417523786823511
YCR001W	0.10409548044007597
YCR005C	0.056650606172473486
YCR006C	-1.0184449213233457
YCR007C	0.15120764170439932
YCR008W	0.9668868405434892
YCR009C	1.3222575993459167
YCR010C	0.02234789553439627
YCR011C	-0.07473775882245089
YCR014C	-1.5000469935698717
YCR015C	0.012133606333727278
YCR016W	0.4008089367643949
YCR017C	0.09840608808400304
YCR019W	-0.2069911776259009
YCR020C	0.47560281990154096
YCR020C-A	-0.3271671144103189
YCR021C	-0.2861436011060035
YCR022C	-0.3311596704496684
YCR023C	0.15829442867424454
YCR024C-A	0.47310747237694756
YCR025C	-0.638619756779903
YCR026C	-0.49548662276922556
YCR027C	-1.780623869235153
YCR028C-A	-4.893553270515253
YCR030C	0.21951362127760254
YCR031C	-0.3249712085886768
YCR032W	0.218981280472356
YCR033W	0.024144545752103497
YCR034W	-1.817787911701431
