ORF	hom | transport to vacuoles (CPY) | standard [standard] | Bonangelino CJ~Bonifacino JS, 2002
YER031C	-1.000
YGR085C	-1.000
YEL054C	-1.000
YMR142C	-1.000
YNL069C	-1.000
YJL177W	-1.000
YFR031C-A	-1.000
YMR194W	-1.000
YLR185W	-1.000
YJL189W	-1.000
YIL148W	-1.000
YML073C	-1.000
YGL076C	-1.000
YDL130W	-1.000
YJL136C	-1.000
YLR388W	-1.000
YBR189W	-1.000
YGR204W	-1.000
YJR105W	-1.000
YKL114C	-1.000
YGL148W	-1.000
YNL315C	-1.000
YKR099W	-1.000
YER016W	-1.000
YBR290W	-1.000
YPL069C	-1.000
YCR063W	-1.000
YCR002C	-1.000
YPL008W	-1.000
YPL018W	-1.000
YPR135W	-1.000
YKL139W	-1.000
YML112W	-1.000
YBR291C	-1.000
YDL117W	-1.000
YIR027C	-1.000
YKR024C	-1.000
YIL010W	-1.000
YDR284C	-1.000
YOR144C	-1.000
YKL048C	-1.000
YNL280C	-1.000
YER044C	-1.000
YDR363W	-1.000
YMR307W	-1.000
YGR252W	-1.000
YEL042W	-1.000
YJR040W	-1.000
YIR024C	-1.000
YCR065W	-1.000
YBR034C	-1.000
YOR258W	-1.000
YDR138W	-1.000
YDR225W	-1.000
YCR020W-B	-1.000
YOL012C	-1.000
YLR095C	-1.000
YER019W	-1.000
YBR245C	-1.000
YPR164W	-1.000
YAL058C-A	-1.000
YDR532C	-1.000
YJL062W	-1.000
YFR001W	-1.000
YDR503C	-1.000
YDR378C	-1.000
YNL268W	-1.000
YKL029C	-1.000
YGR289C	-1.000
YMR036C	-1.000
YIR025W	-1.000
YKL009W	-1.000
YML128C	-1.000
YIR009W	-1.000
YPR134W	-1.000
YKL074C	-1.000
YHR004C	-1.000
YMR285C	-1.000
YPL174C	-1.000
YKL057C	-1.000
YDL116W	-1.000
YJR051W	-1.000
YJL179W	-1.000
YOR104W	-1.000
YPL268W	-1.000
YGL006W	-1.000
YPL188W	-1.000
YDR300C	-1.000
YDR014W	-1.000
YDL090C	-1.000
YDR195W	-1.000
YNL139C	-1.000
YGR056W	-1.000
YHL034C	-1.000
YMR190C	-1.000
YBL058W	-1.000
YLR079W	-1.000
YHR206W	-1.000
YNR015W	-1.000
YDR477W	-1.000
YBR289W	-1.000
YAL009W	-1.000
YMR125W	-1.000
YDR310C	-1.000
YDR334W	-1.000
YDR395W	-1.000
YDR161W	-1.000
YJL052W	-1.000
YPR163C	-1.000
YDR207C	-1.000
YGR072W	-1.000
YIL008W	-1.000
YJL141C	-1.000
YGR270W	-1.000
YIR026C	-1.000
YJR127C	-1.000
YDL033C	-1.000
YNL080C	-1.000
YNL099C	-1.000
YAL004W	-1.000
YAL011W	-1.000
YAL014C	-1.000
YBR246W	-1.000
YBR266C	-1.000
YBR267W	-1.000
YCR033W	-1.000
YCR050C	-1.000
YDL096C	-1.000
YDL119C	-1.000
YDR105C	-1.000
YDR186C	-1.000
YDR203W	-1.000
YDR425W	-1.000
YDR426C	-1.000
YEL043W	-1.000
YGL020C	-1.000
YGL072C	-1.000
YGL198W	-1.000
YGR064W	-1.000
YGR206W	-1.000
YHL029C	-1.000
YHR009C	-1.000
YHR111W	-1.000
YHR199C	-1.000
YIL067C	-1.000
YIL110W	-1.000
YJL075C	-1.000
YJR018W	-1.000
YJR079W	-1.000
YJR100C	-1.000
YKR035C	-1.000
YLR111W	-1.000
YLR181C	-1.000
YLR225C	-1.000
YLR350W	-1.000
YLR374C	-1.000
YLR381W	-1.000
YLR426W	-1.000
YLR435W	-1.000
YML013C-A	-1.000
YMR299C	-1.000
YNL127W	-1.000
YNL136W	-1.000
YOR135C	-1.000
YOR292C	-1.000
YPL184C	-1.000
