orf	hom | transport to vacuoles (CPY) | standard [standard] | Bonangelino CJ~Bonifacino JS, 2002
YML067C	-1.0
YML071C	-2.0
YML073C	-1.0
YML097C	-3.0
YML112W	-1.0
YML115C	-2.0
YML128C	-1.0
YMR004W	-2.0
YMR032W	-2.0
YMR036C	-1.0
YMR060C	-2.0
YMR077C	-2.0
YMR091C	-2.0
YMR123W	-2.0
YMR125W	-1.0
YMR142C	-1.0
YMR190C	-1.0
YMR194W	-1.0
YMR285C	-1.0
YMR299C	-1.0
YMR307W	-1.0
YNL041C	-3.0
YNL051W	-3.0
YNL059C	-3.0
YNL069C	-1.0
YNL079C	-1.5
YNL080C	-1.0
YNL099C	-1.0
YNL107W	-2.0
YNL127W	-1.0
YNL136W	-1.0
YNL139C	-1.0
YNL246W	-2.0
YNL268W	-1.0
YNL271C	-1.0
YNL280C	-1.0
YNL296W	-2.0
YNL297C	-2.0
YNL315C	-1.0
YNL322C	-1.0
YNR006W	-3.0
YNR015W	-1.0
YNR051C	-1.0
YOL012C	-1.0
YOL018C	-3.0
YOL072W	-2.0
YOL076W	-2.0
YOL086C	-3.0
YOL129W	-2.0
YOR036W	-3.0
YOR069W	-3.0
YOR070C	-2.0
YOR085W	-2.0
YOR089C	-3.0
YOR104W	-1.0
YOR106W	-1.0
YOR132W	-3.0
YOR135C	-1.0
YOR144C	-1.0
YOR198C	-1.0
YOR216C	-1.0
YOR258W	-1.0
YOR270C	-2.0
YOR292C	-1.0
YOR332W	-3.0
YOR357C	-1.0
YPL002C	-2.0
YPL008W	-1.0
YPL018W	-1.0
YPL045W	-3.0
YPL050C	-2.0
YPL051W	-2.0
YPL065W	-2.0
YPL069C	-1.0
YPL084W	-2.0
YPL090C	-2.0
YPL120W	-3.0
YPL174C	-1.0
YPL184C	-1.0
YPL188W	-1.0
YPL195W	-2.0
YPL227C	-1.0
YPL234C	-2.0
YPL268W	-1.0
YPR036W	-2.0
YPR051W	-2.0
YPR079W	-2.0
YPR087W	-2.0
YPR134W	-1.0
YPR135W	-1.0
YPR139C	-2.0
YPR159W	-1.5
YPR163C	-1.0
YPR164W	-1.0
YPR173C	-3.0
