orf	hom | transport to vacuoles (CPY) | standard [standard] | Bonangelino CJ~Bonifacino JS, 2002
YGR166W	-2.115029463920499
YGR204W	-2.115029463920499
YGR206W	-2.115029463920499
YGR229C	-2.115029463920499
YGR252W	-2.115029463920499
YGR261C	-4.230058927840998
YGR262C	-4.230058927840998
YGR270W	-2.115029463920499
YGR289C	-2.115029463920499
YHL029C	-2.115029463920499
YHL031C	-6.3450883917614975
YHL034C	-2.115029463920499
YHR004C	-2.115029463920499
YHR009C	-2.115029463920499
YHR010W	-4.230058927840998
YHR012W	-6.3450883917614975
YHR039C-A	-4.230058927840998
YHR060W	-4.230058927840998
YHR111W	-2.115029463920499
YHR199C	-2.115029463920499
YHR206W	-2.115029463920499
YIL008W	-2.115029463920499
YIL010W	-2.115029463920499
YIL044C	-2.115029463920499
YIL067C	-2.115029463920499
YIL110W	-2.115029463920499
YIL148W	-2.115029463920499
YIR009W	-2.115029463920499
YIR024C	-2.115029463920499
YIR025W	-2.115029463920499
YIR026C	-2.115029463920499
YIR027C	-2.115029463920499
YJL004C	-4.230058927840998
YJL029C	-6.3450883917614975
YJL036W	-2.115029463920499
YJL052W	-2.115029463920499
YJL053W	-6.3450883917614975
YJL062W	-2.115029463920499
YJL075C	-2.115029463920499
YJL136C	-2.115029463920499
YJL139C	-2.115029463920499
YJL141C	-2.115029463920499
YJL154C	-6.3450883917614975
YJL177W	-2.115029463920499
YJL179W	-2.115029463920499
YJL183W	-4.230058927840998
YJL189W	-2.115029463920499
YJR018W	-2.115029463920499
YJR033C	-2.115029463920499
YJR040W	-2.115029463920499
YJR044C	-6.3450883917614975
YJR051W	-2.115029463920499
YJR075W	-2.115029463920499
YJR079W	-2.115029463920499
YJR100C	-2.115029463920499
YJR102C	-4.230058927840998
YJR105W	-2.115029463920499
YJR126C	-4.230058927840998
YJR127C	-2.115029463920499
YKL002W	-4.230058927840998
YKL009W	-2.115029463920499
YKL029C	-2.115029463920499
YKL041W	-4.230058927840998
YKL048C	-2.115029463920499
YKL054C	-2.115029463920499
YKL055C	-4.230058927840998
YKL057C	-2.115029463920499
YKL073W	-2.115029463920499
YKL074C	-2.115029463920499
YKL080W	-2.115029463920499
YKL114C	-2.115029463920499
YKL119C	-4.230058927840998
YKL139W	-2.115029463920499
YKL212W	-2.115029463920499
YKR001C	-6.3450883917614975
YKR019C	-6.3450883917614975
YKR020W	-6.3450883917614975
YKR024C	-2.115029463920499
YKR035C	-2.115029463920499
YKR099W	-2.115029463920499
YLL040C	-6.3450883917614975
YLR025W	-4.230058927840998
YLR039C	-4.230058927840998
YLR079W	-2.115029463920499
YLR085C	-4.230058927840998
YLR095C	-2.115029463920499
YLR111W	-2.115029463920499
YLR119W	-6.3450883917614975
YLR148W	-6.3450883917614975
YLR181C	-2.115029463920499
YLR185W	-2.115029463920499
YLR208W	-2.115029463920499
YLR225C	-2.115029463920499
YLR240W	-6.3450883917614975
YLR261C	-4.230058927840998
YLR262C	-4.230058927840998
YLR268W	-2.115029463920499
YLR309C	-2.115029463920499
YLR322W	-4.230058927840998
YLR342W	-4.230058927840998
YLR350W	-2.115029463920499
YLR357W	-4.230058927840998
YLR360W	-6.3450883917614975
YLR373C	-2.115029463920499
YLR374C	-2.115029463920499
YLR381W	-2.115029463920499
YLR386W	-2.115029463920499
YLR388W	-2.115029463920499
YLR396C	-6.3450883917614975
YLR399C	-4.230058927840998
YLR417W	-4.230058927840998
YLR423C	-2.115029463920499
YLR426W	-2.115029463920499
YLR435W	-2.115029463920499
YLR447C	-4.230058927840998
YML001W	-4.230058927840998
YML012C-A	-2.115029463920499
YML041C	-4.230058927840998
YML067C	-2.115029463920499
YML071C	-4.230058927840998
YML073C	-2.115029463920499
YML097C	-6.3450883917614975
YML112W	-2.115029463920499
YML115C	-4.230058927840998
YML128C	-2.115029463920499
YMR004W	-4.230058927840998
YMR032W	-4.230058927840998
YMR036C	-2.115029463920499
YMR060C	-4.230058927840998
YMR077C	-4.230058927840998
YMR091C	-4.230058927840998
YMR123W	-4.230058927840998
YMR125W	-2.115029463920499
YMR142C	-2.115029463920499
YMR190C	-2.115029463920499
YMR194W	-2.115029463920499
YMR285C	-2.115029463920499
YMR299C	-2.115029463920499
YMR307W	-2.115029463920499
YNL041C	-6.3450883917614975
YNL051W	-6.3450883917614975
YNL059C	-6.3450883917614975
YNL069C	-2.115029463920499
YNL079C	-3.1725441958807488
YNL080C	-2.115029463920499
YNL099C	-2.115029463920499
YNL107W	-4.230058927840998
YNL127W	-2.115029463920499
YNL136W	-2.115029463920499
YNL139C	-2.115029463920499
YNL246W	-4.230058927840998
YNL268W	-2.115029463920499
YNL271C	-2.115029463920499
YNL280C	-2.115029463920499
YNL296W	-4.230058927840998
YNL297C	-4.230058927840998
YNL315C	-2.115029463920499
YNL322C	-2.115029463920499
YNR006W	-6.3450883917614975
YNR015W	-2.115029463920499
YNR051C	-2.115029463920499
YOL012C	-2.115029463920499
YOL018C	-6.3450883917614975
YOL072W	-4.230058927840998
YOL076W	-4.230058927840998
YOL086C	-6.3450883917614975
YOL129W	-4.230058927840998
YOR036W	-6.3450883917614975
YOR069W	-6.3450883917614975
YOR070C	-4.230058927840998
YOR085W	-4.230058927840998
YOR089C	-6.3450883917614975
YOR104W	-2.115029463920499
YOR106W	-2.115029463920499
YOR132W	-6.3450883917614975
YOR135C	-2.115029463920499
YOR144C	-2.115029463920499
YOR198C	-2.115029463920499
YOR216C	-2.115029463920499
YOR258W	-2.115029463920499
YOR270C	-4.230058927840998
YOR292C	-2.115029463920499
YOR332W	-6.3450883917614975
YOR357C	-2.115029463920499
YPL002C	-4.230058927840998
YPL008W	-2.115029463920499
YPL018W	-2.115029463920499
YPL045W	-6.3450883917614975
YPL050C	-4.230058927840998
YPL051W	-4.230058927840998
YPL065W	-4.230058927840998
YPL069C	-2.115029463920499
YPL084W	-4.230058927840998
YPL090C	-4.230058927840998
YPL120W	-6.3450883917614975
YPL174C	-2.115029463920499
YPL184C	-2.115029463920499
YPL188W	-2.115029463920499
YPL195W	-4.230058927840998
YPL227C	-2.115029463920499
YPL234C	-4.230058927840998
YPL268W	-2.115029463920499
YPR036W	-4.230058927840998
YPR051W	-4.230058927840998
YPR079W	-4.230058927840998
YPR087W	-4.230058927840998
YPR134W	-2.115029463920499
YPR135W	-2.115029463920499
YPR139C	-4.230058927840998
YPR159W	-3.1725441958807488
YPR163C	-2.115029463920499
YPR164W	-2.115029463920499
YPR173C	-6.3450883917614975
