orf	hom | glutathione excretion | standard | SD + Ade + His + Ile + Leu + Ura + Val | Perrone GG~Dawes IW, 2005
YGL212W	2.321928094887362
YGL223C	1.584962500721156
YGL227W	1.584962500721156
YGL237C	1.584962500721156
YGL244W	1.584962500721156
YGR062C	2.584962500721156
YGR150C	3.321928094887362
YGR171C	3.4594316186372973
YGR217W	1.0
YGR252W	2.807354922057604
YGR257C	3.807354922057604
YGR284C	2.0
YHL011C	3.0
YHL023C	2.584962500721156
YHL025W	1.584962500721156
YHL031C	4.459431618637297
YHL038C	2.0
YHR011W	3.9068905956085187
YHR012W	3.0
YHR030C	2.321928094887362
YHR051W	2.807354922057604
YHR116W	3.0
YHR120W	3.4594316186372973
YHR129C	1.584962500721156
YHR147C	3.4594316186372973
YHR169W	2.321928094887362
YHR171W	2.0
YHR185C	1.0
YIL006W	2.584962500721156
YIL008W	1.0
YIL017C	3.169925001442312
YIL018W	2.0
YIL029C	3.321928094887362
YIL041W	3.700439718141092
YIL065C	3.321928094887362
YIL070C	3.4594316186372973
YIL077C	3.584962500721156
YIL092W	1.584962500721156
YIL093C	2.807354922057604
YIL097W	1.0
YIL098C	3.807354922057604
YIL110W	2.321928094887362
YIR021W	3.169925001442312
YJL029C	3.700439718141092
YJL042W	3.321928094887362
YJL053W	2.807354922057604
YJL056C	2.321928094887362
YJL063C	2.584962500721156
YJL095W	1.0
YJL102W	3.0
YJL138C	2.584962500721156
YJL153C	3.807354922057604
YJL154C	4.247927513443585
YJL166W	3.0
YJL176C	1.584962500721156
YJL183W	1.584962500721156
YJL188C	2.807354922057604
YJL201W	4.392317422778761
YJL209W	3.0
YJL212C	1.584962500721156
YJR059W	3.4594316186372973
YJR063W	2.807354922057604
YJR075W	2.0
YJR102C	4.906890595608519
YJR144W	3.4594316186372973
YKL002W	5.20945336562895
YKL003C	4.857980995127572
YKL041W	4.700439718141092
YKL212W	1.584962500721156
YKL213C	4.643856189774724
YKR001C	3.0
YKR006C	3.0
YKR035C	3.584962500721156
YKR035W-A	4.392317422778761
YLL009C	1.0
YLL010C	1.0
YLL018C-A	3.321928094887362
YLL040C	1.584962500721156
YLL042C	1.0
YLR006C	2.584962500721156
YLR025W	4.523561956057013
YLR067C	1.0
YLR114C	3.9068905956085187
YLR119W	4.643856189774724
YLR139C	2.0
YLR148W	4.392317422778761
YLR193C	3.4594316186372973
YLR226W	2.584962500721156
YLR257W	2.0
YLR261C	2.0
YLR262C	1.584962500721156
YLR264W	2.807354922057604
YLR322W	3.584962500721156
YLR330W	2.321928094887362
YLR357W	1.0
YLR360W	2.584962500721156
YLR369W	2.0
YLR373C	2.0
YLR396C	3.807354922057604
YLR417W	4.700439718141092
YLR423C	1.584962500721156
YLR439W	3.321928094887362
YML001W	3.700439718141092
YML048W	1.0
YML071C	2.321928094887362
YML097C	1.0
YMR004W	1.584962500721156
YMR064W	3.4594316186372973
YMR066W	2.584962500721156
YMR072W	3.321928094887362
YMR077C	4.857980995127572
YMR123W	2.0
YMR150C	3.0
YMR151W	2.807354922057604
YMR193W	3.584962500721156
YMR228W	3.0
YNL041C	1.584962500721156
YNL051W	1.0
YNL177C	3.0
YNL183C	1.584962500721156
YNL215W	1.584962500721156
YNL225C	1.0
YNL229C	4.584962500721156
YNL280C	2.0
YNL296W	2.321928094887362
YNL297C	3.0
YNR006W	5.087462841250339
YNR036C	3.4594316186372973
YNR037C	2.0
YNR045W	3.321928094887362
YNR051C	3.169925001442312
YOL001W	2.0
YOL004W	2.807354922057604
YOL008W	2.321928094887362
YOL009C	1.0
YOL027C	2.807354922057604
YOL033W	3.169925001442312
YOL050C	2.0
YOL081W	4.643856189774724
YOL095C	3.321928094887362
YOL108C	3.700439718141092
YOL138C	2.807354922057604
YOR026W	2.321928094887362
YOR036W	4.392317422778761
YOR043W	2.0
YOR069W	3.0
YOR070C	2.0
YOR087W	1.584962500721156
YOR089C	3.169925001442312
YOR106W	2.584962500721156
YOR132W	1.584962500721156
YOR332W	2.584962500721156
YOR360C	4.459431618637297
YOR375C	2.321928094887362
YOR384W	1.0
YPL002C	5.129283016944966
YPL017C	1.0
YPL037C	3.4594316186372973
YPL045W	1.0
YPL058C	2.807354922057604
YPL065W	4.857980995127572
YPL074W	3.4594316186372973
YPL084W	4.321928094887363
YPL091W	1.0
YPL120W	2.0
YPL132W	3.0
YPL149W	1.584962500721156
YPL183W-A	3.584962500721156
YPL254W	2.321928094887362
YPR004C	4.643856189774724
YPR036W	1.0
YPR099C	3.584962500721156
YPR100W	3.0
YPR159W	2.321928094887362
YPR166C	3.0
YPR173C	3.584962500721156
YPR191W	2.807354922057604
