orf	gene	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_250_1	cisplatin_250_2	cisplatin_500_1	cisplatin_500_2	cisplatin_66_1	cisplatin_66_2
YBL056W	PTC3	8.830973	7.253391	10.028964	5.982231	2.965039	5.557852	6.396912	4.423108	10.1232
YBL057C	YBL057C	2.460954	7.514988	9.989289	-0.575121	-7.073156	-2.740634	0.823358	6.385727	8.710498
YBL058W	SHP1	10.028105	9.716413	10.055376	10.07415	9.170768	8.2044	9.531776	7.69315	10.097474
YBL059W	YBL059W	8.636652	8.737522	8.425609	8.51972	8.357524	8.597132	7.869879	8.347689	8.613677
YBL060W	YBL060W	8.791185	7.920807	7.996781	8.545514	8.61103	7.53849	8.271402	6.390622	8.732155
YBL061C	SKT5	8.345403	9.027906	9.675073	9.580485	9.398723	5.699876	9.556976	8.509516	9.503783
YBL062W	YBL062W	9.700597	9.68493	8.023061	8.223409	9.641441	4.591348	9.703779	8.618006	8.227685
YBL063W	KIP1	6.949032	9.492869	9.683676	5.975459	8.018333	6.44155	8.426136	9.011009	8.700737
YBL064C	YBL064C	6.040579	5.8968	9.65712	6.180183	2.972408	4.659217	8.238096	7.162265	7.089384
YBL065W	YBL065W	7.658033	5.977323	9.102223	9.240663	9.51085	9.224649	9.480059	8.876898	5.57137
YBL066C	SEF1	8.480696	7.937237	10.228525	4.030993	5.576874	4.599141	7.222847	8.405193	8.971901
YBL067C	UBP13	5.975846	7.160431	8.913325	4.716382	2.056333	5.721191	5.849265	8.87869	6.487304
YBL068W	PRS4	9.946634	7.20146	10.31935	5.054614	4.656312	1.290933	8.515062	7.127485	7.958452
YBL069W	AST1	2.406742	5.930425	10.560784	-2.417526	-0.262475	-4.699522	3.944951	0.251664	2.987249
YBL070C	YBL070C	7.003507	8.645124	9.643928	1.722117	7.343447	7.897185	6.40522	8.956414	2.686281
YBL071C	YBL071C	7.819178	7.640073	7.659595	8.029344	7.842514	8.008082	7.974894	7.518223	8.012707
YBL072C	RPS8A	7.296179	7.451559	7.099426	5.580489	0.999698	1.245519	2.983071	7.635412	7.131157
YBL073W	YBL073W	0	0	0	0	0	0	0	0	0
YBL074C	AAR2	0	0	0	0	0	0	0	0	0
YBL075C	SSA3	4.714696	6.111138	10.600152	3.751527	-1.116331	3.03303	8.512027	4.664969	4.7372
YBL076C	ILS1	0	0	0	0	0	0	0	0	0
YBL077W	YBL077W	0	0	0	0	0	0	0	0	0
YBL078C	AUT7	8.835192	9.006521	9.799144	7.864989	8.18502	7.256449	8.005264	6.937975	8.079549
YBL079W	NUP170	4.463876	7.494226	8.027519	3.384266	5.037629	7.354214	8.058022	5.912226	6.958846
