orf	hap a | growth (pooled culture, barseq) | paraquat [1 mM] | YPD | Helsen J~Jelier R, 2020
YBR025C	0.292186842
YBR026C	5.098791742
YBR027C	0.385852447
YBR028C	-0.1263034125
YBR030W	0.150590253
YBR031W	0.45844963699999997
YBR032W	0.07130178
YBR033W	0.28548295300000004
YBR034C	0.5180058305
YBR035C	-1.3326425735
YBR036C	4.1996368175
YBR037C	1.2344059724999998
YBR040W	-0.07405823900000001
YBR041W	0.634616067
YBR042C	-0.427024209
YBR043C	0.2660955
YBR044C	-2.215581804
YBR045C	0.1549357475
YBR046C	0.181963229
YBR047W	0.989432149
YBR048W	-0.873407805
YBR050C	-0.490777402
YBR051W	0.035454177
YBR052C	-0.12708312200000002
YBR053C	0.0305442775
YBR054W	-0.0874812835
YBR056W	-0.359589459
YBR057C	0.5297192895
YBR058C	1.1436461160000002
YBR059C	-0.125926975
YBR061C	1.5420108570000002
YBR062C	-0.1513723055
YBR063C	-0.3260988195
YBR064W	-0.352873466
YBR065C	-0.8084127285
YBR066C	1.4792359830000001
YBR067C	-0.025855093
YBR068C	-0.12066416699999999
YBR069C	0.6260515865
YBR071W	0.2249059425
YBR072W	0.187756849
YBR073W	0.039561896000000006
YBR074W	-0.14814164349999998
YBR076W	-0.1624884015
YBR077C	-1.921177059
YBR078W	2.7946937865
YBR082C	1.278444114
YBR083W	0.416789909
YBR084C-A	-0.634340592
YBR084W	1.397418376
YBR085W	1.552233482
YBR089C-A	0.4105540915
YBR090C	-0.006369553
YBR092C	0.11852717049999999
YBR095C	7.942853168
YBR098W	-0.07451880849999998
YBR099C	-1.0146329545000001
YBR103W	2.0024983595
YBR104W	0.6797168115000001
YBR105C	-0.188741147
YBR106W	1.82145295
YBR107C	-0.46125408450000005
YBR108W	-0.113214136
YBR111C	0.005521627000000001
YBR113W	-0.23345010300000002
YBR114W	0.33288732899999995
YBR115C	-0.34755300899999997
YBR116C	-0.051405214000000005
YBR119W	-1.1106499445
YBR120C	0.126555908
YBR125C	-0.9736451415
YBR126C	-2.5545512765
YBR128C	-0.012395295500000004
YBR129C	-0.11343718700000001
YBR130C	-0.008993355000000001
YBR131W	-3.3550303355
YBR133C	0.349898767
YBR134W	-0.7311972775
YBR137W	-0.3752083985
YBR138C	0.4677568125
YBR139W	0.0805797575
YBR141C	0.2868016295
YBR144C	1.152273374
YBR145W	-0.042888838500000005
YBR146W	1.602859986
YBR147W	-2.1170833395
YBR148W	0.0823220655
YBR149W	-0.201981305
YBR150C	-0.826539972
YBR151W	-2.1536460325
YBR156C	0.897709276
YBR157C	-0.178610856
YBR158W	-0.053485358000000004
YBR161W	0.289516022
YBR162C	0.5526638779999999
YBR162W-A	0.1286861535
YBR163W	3.4097328765
YBR164C	-0.8318236955
YBR165W	0.1182588565
YBR166C	1.8123391825000001
YBR168W	1.326904093
YBR169C	0.2835585275
YBR170C	0.608624915
YBR171W	3.615894988
YBR172C	-0.643485011
YBR173C	2.5824611555
YBR174C	-1.0706249749999999
YBR175W	0.029088740499999988
YBR176W	0.398274392
YBR177C	0.248134836
YBR179C	5.0336369125000004
YBR180W	0.080426318
YBR181C	0.35459111050000003
YBR182C	-0.132488793
YBR183W	-0.07278744749999999
YBR184W	0.0601211935
YBR185C	0.6976219465
YBR186W	-0.21930548049999998
YBR187W	-6.529889551
YBR188C	-1.0017261965
YBR195C	-1.010207009
YBR197C	-0.754520583
YBR199W	0.1684932355
YBR200W	0.0
YBR201W	-1.216269634
YBR203W	0.0641037365
YBR204C	0.94704894
YBR205W	-0.16266993899999999
YBR206W	0.300380164
YBR207W	-0.1182205595
YBR208C	-0.22560982149999997
YBR209W	0.504130085
YBR210W	-0.09247853149999999
YBR212W	-0.237881368
YBR213W	0.7621474875
YBR214W	0.311672573
YBR215W	-3.6013528735
YBR216C	-5.478386531
YBR217W	-0.023047965
YBR218C	-0.108815381
YBR219C	0.424998598
YBR220C	0.1723678715
YBR221C	4.381236049
YBR222C	0.173491094
YBR223C	0.424559776
YBR224W	-0.099686353
YBR225W	-0.42287613150000003
YBR226C	-0.442964484
YBR227C	-0.5770631715
YBR228W	0.07631312900000001
YBR229C	-1.2203057755
YBR230C	0.2649493015
YBR231C	-2.649215907
YBR232C	-0.2456155535
YBR233W	-0.355083404
YBR235W	-0.8864574505
YBR238C	3.892106757
YBR239C	0.895951374
YBR240C	0.1598461675
YBR241C	-0.0627541675
YBR242W	-0.11556387600000001
YBR244W	-0.116145456
YBR245C	0.603687732
YBR246W	1.4643561995
YBR248C	3.7420333059999997
YBR249C	-1.001213582
YBR250W	-0.1381657715
YBR255W	-1.847753654
YBR258C	0.336803962
YBR259W	0.256350093
YBR260C	-0.1819198985
YBR261C	0.5676212214999999
YBR262C	-0.464672985
YBR263W	-0.21937994600000002
YBR264C	-0.170311262
YBR266C	4.4352128555
YBR267W	-0.8205561270000001
YBR268W	0.3916511235
YBR269C	0.2579360115
YBR270C	1.0474875955
YBR271W	0.06061384
YBR272C	0.059687691
YBR273C	-0.16024059
YBR275C	0.9139917705
YBR276C	0.566369688
YBR277C	1.172256344
YBR278W	1.156305568
YBR279W	3.867843283
YBR281C	-0.07386487150000001
YBR283C	1.464093386
YBR284W	0.0281875945
YBR285W	-0.21111473849999998
YBR286W	-0.30208795200000005
YBR287W	-1.504437969
YBR288C	-6.168903949
YBR290W	-5.112653337499999
YBR291C	-0.27785914
YBR292C	-0.5412696690000001
YBR293W	-0.067514605
YBR294W	0.184295469
YBR295W	-0.089754828
YBR296C	0.053791887
YBR297W	-0.307987342
YBR298C	0.066935683
YBR299W	-0.26445938750000003
YBR300C	0.003910989
YBR301W	-0.1610598445
YCL001W	-1.532387533
YCL001W-A	0.14878455
YCL002C	-0.313827817
YCL005W	0.906272599
YCL008C	-3.1676383255
YCL009C	-1.1366449515000001
YCL010C	-2.0617707285
YCL011C	0.022195213
YCL014W	0.6455032765000001
YCL016C	-0.590705329
YCL022C	0.126450297
YCL023C	0.044237171500000005
YCL024W	0.13112329849999999
YCL025C	-0.024308859
YCL026C-A	0.403754519
YCL027W	-0.0197380605
YCL028W	0.12038298500000001
YCL029C	0.47626248899999996
YCL030C	0.165396222
YCL032W	1.1125552355
YCL033C	1.235404808
YCL034W	0.026880821
YCL035C	-0.388240425
YCL036W	1.0509310964999998
YCL037C	0.823151842
YCL038C	-0.2602948735
YCL039W	-0.0265572185
YCL040W	0.283024355
YCL042W	0.287494322
YCL044C	1.269879793
YCL045C	-1.355751774
YCL046W	-1.414443979
YCL047C	-1.178672256
YCL048W	-0.015580262000000001
YCL049C	-0.3233675855
YCL050C	0.9196859515
YCL051W	0.368121046
YCL055W	-0.058607607000000006
YCL056C	1.2595084165000001
YCL057W	-0.5537520665
YCL058C	4.5981884115
YCL061C	0.69255851825
YCL063W	-0.23819408775
YCL064C	0.604845545
YCL069W	0.0709551265
YCL076W	-0.90990171
YCR001W	-0.3542330375
YCR002C	0.3446856265
YCR003W	2.1961471035
YCR004C	2.7968656635
YCR005C	0.8522749709999999
YCR006C	0.249040543
YCR007C	0.36180991650000005
YCR008W	-2.2670110855
YCR010C	0.6213003415
YCR011C	-0.1729009705
YCR014C	-2.0492370815
YCR015C	-0.603396392
YCR016W	-0.8950289185
YCR017C	1.019417842
YCR019W	1.4551832475
YCR020C	0.4739575345
YCR020C-A	1.049703219
YCR021C	0.088790824
YCR022C	0.189885529
YCR023C	0.028790143
YCR024C-A	-0.110171429
YCR025C	-0.003325518500000001
YCR026C	-0.288177018
YCR027C	-2.004662981
YCR028C	2.37611951
YCR030C	0.710761361
YCR031C	0.2857489005
YCR032W	-0.21373548050000002
YCR033W	2.049428152
YCR034W	2.353059119
YCR036W	0.24091674349999997
YCR037C	0.735366642
YCR043C	1.0082868225
YCR044C	0.439953313
YCR045C	0.214848671
YCR048W	-0.330053869
YCR049C	-0.342391596
YCR050C	-0.22777986749999998
YCR051W	0.100447227
YCR053W	-0.38577009700000003
YCR059C	-0.021431628
YCR060W	-0.258700372
YCR061W	1.0816922255
YCR063W	5.4511718715
YCR065W	-0.670471216
YCR066W	0.037972861499999996
YCR067C	0.058792212499999996
YCR068W	0.16538122449999998
YCR069W	0.2826147255
YCR073C	0.172090276
YCR073W-A	0.6314795424999999
YCR075C	0.3385557285
YCR076C	0.106742984
YCR079W	0.324754533
YCR082W	0.156397385
YCR083W	-0.362263611
YCR084C	-6.876483896
YCR085W	-0.2718672665
YCR086W	1.130464776
YCR087C-A	0.058927072
YCR087W	0.260667979
YCR088W	-0.22012179450000002
YCR089W	-0.169206045
YCR090C	0.057887961
YCR091W	0.100329442
YCR092C	-0.140536218
YCR094W	-3.2096936305
YCR095C	-4.7873486204999995
YCR098C	-0.1384200595
YCR099C	-0.174894905
YCR100C	-0.01038848
YCR101C	-0.274747347
YCR102C	-0.05131216
YCR102W-A	-0.219047856
YCR105W	-0.41971390649999996
YCR106W	-0.009315907
YCR107W	0.0659601125
YDL001W	0.851085749
YDL002C	3.6858037085
YDL006W	-0.9341942025
YDL009C	-8.940100456
YDL010W	1.095451812
YDL011C	0.9691136355000001
YDL012C	0.2518346985
YDL013W	0.7490713280000001
YDL018C	-0.2695656605
YDL019C	0.001910513
YDL020C	0.962327198
YDL021W	0.5863486555
YDL022W	-0.394611697
YDL023C	-0.177356212
YDL024C	0.054636832499999996
YDL025C	0.537430896
YDL026W	0.15953277400000002
YDL027C	-0.0303828685
YDL032W	0.417480495
YDL033C	2.962684382
YDL034W	-0.44469517
YDL035C	0.149773766
YDL036C	0.038035388499999996
YDL037C	3.3829386435
YDL039C	-0.23453743700000002
YDL041W	-0.5747972665
YDL042C	-1.1703477334999999
YDL044C	3.078807522
YDL045W-A	2.331744137
YDL046W	0.12777645
YDL048C	-0.20357806350000002
YDL049C	2.643509208
YDL050C	-0.164247933
YDL051W	-0.25918238650000003
YDL052C	-1.177644628
YDL053C	-0.736846468
YDL054C	-0.2802107145
YDL056W	0.023843836500000007
YDL057W	2.7756671595
YDL059C	0.2077117955
YDL061C	1.653304956
YDL063C	2.060869185
YDL065C	-0.764384547
YDL066W	-0.3526649035
YDL067C	1.2668939245000002
YDL068W	0.847029461
YDL069C	1.2054833600000001
YDL070W	-0.0514401855
YDL071C	0.484674932
YDL074C	2.0023038585000004
YDL075W	0.0
YDL076C	1.709161315
YDL077C	-4.208028025
YDL078C	0.077558757
YDL079C	0.043256033
YDL080C	1.00446328
YDL081C	-5.0099536879999995
YDL082W	-0.826425836
YDL083C	-0.377850835
YDL085W	-0.366645329
YDL086W	-0.33750078949999995
YDL088C	-0.09762051
YDL089W	0.243176193
YDL090C	-3.666232155
YDL091C	-0.546639125
YDL093W	-0.075330227
YDL094C	0.030061439500000002
YDL095W	1.227941462
YDL096C	1.533957211
YDL099W	1.487119121
YDL100C	-1.677680825
YDL101C	-0.2625699945
YDL104C	3.805063214
YDL107W	1.495439206
YDL109C	-0.09050757100000001
YDL110C	0.3087031215
YDL112W	0.11368835999999999
YDL113C	3.4572391155
YDL114W	0.018195283499999992
YDL116W	2.466565816
YDL117W	-1.500647937
YDL118W	-0.6479201945
YDL119C	1.0563380605
YDL121C	0.0552315375
YDL122W	0.97281867
YDL124W	-0.320678496
YDL125C	1.212676994
YDL127W	-0.025909382
YDL128W	-0.527139946
YDL129W	-0.22593546
YDL130W	0.6486705135
YDL130W-A	0.2251952305
YDL131W	0.177533769
YDL133C-A	0.8490513065
YDL133W	-0.681753446
YDL134C	0.13766856249999998
YDL136W	-0.05287850899999999
YDL137W	-0.449008393
YDL138W	-0.884171271
YDL142C	4.6044329125
YDL144C	-0.31553859
YDL146W	2.726687643
YDL149W	-0.2843263515
YDL151C	5.190165088
YDL154W	0.128745614
YDL156W	0.224619405
YDL157C	1.87138329
YDL159W	-0.1257748965
YDL160C	0.733226759
YDL161W	0.1726215415
YDL162C	-0.161416682
YDL167C	-1.0228234
YDL168W	0.092803922
YDL169C	-0.053633217000000004
YDL170W	-0.1089548045
YDL171C	-0.4530492655
YDL172C	-0.240761008
YDL173W	-1.052947373
YDL174C	0.515742297
YDL175C	0.624488113
YDL176W	-0.163288062
YDL177C	0.2716662595
YDL178W	-0.2180824725
YDL179W	-0.20590049049999998
YDL180W	-0.1340641525
YDL181W	3.0331296180000002
YDL182W	1.9129757375
YDL183C	0.1180955175
YDL184C	0.4345764475
YDL186W	-0.0445998685
YDL187C	-0.262973334
YDL188C	-0.104537437
YDL189W	1.6271662724999998
YDL190C	0.104236243
YDL194W	-0.650860925
YDL202W	2.4978756325
YDR007W	0.20106168
YDR026C	0.23884603050000003
YDR027C	-4.765329749
YDR029W	-0.016622555499999997
YDR030C	0.0319009815
YDR031W	0.19106245649999998
YDR033W	0.331586958
YDR034C	-0.7731916245
YDR035W	-0.0485668395
YDR036C	0.3538765365
YDR043C	0.8784027205
YDR046C	0.200477798
YDR048C	-1.320178654
YDR049W	-1.1385954905
YDR051C	-0.3429505175
YDR055W	0.321295439
YDR056C	-0.021387652000000007
YDR057W	0.29930229399999997
YDR058C	0.06103772
YDR059C	-0.08917777049999999
YDR061W	-0.323035631
YDR063W	-0.21998241400000001
YDR065W	3.797758081
YDR066C	-0.471813523
YDR067C	-4.0405653345
YDR068W	-0.27954309050000004
YDR069C	-3.428791476
YDR070C	0.0043943834999999945
YDR071C	-0.815023132
YDR072C	3.0747648955
YDR073W	0.2712931585
YDR074W	1.696207191
YDR075W	0.262123537
YDR076W	-0.7210348175
YDR077W	-0.44799886
YDR078C	2.831083629
YDR079W	3.1083272315
YDR080W	-1.259744735
YDR083W	1.0283795169999999
YDR084C	0.017418308
YDR085C	0.056182763000000004
YDR089W	-0.369081356
YDR092W	-0.009451552
YDR093W	0.2172183265
YDR094W	-0.200573113
YDR095C	-0.463528347
YDR096W	2.330638512
YDR097C	-1.4097472535
YDR098C	-8.7071213315
YDR099W	-0.7117086365
YDR100W	-0.136519234
YDR101C	1.0136960105
YDR102C	-0.062179882500000005
YDR103W	0.01841356
YDR104C	-0.027612662999999996
YDR105C	-0.466079776
YDR107C	0.19174300100000002
YDR108W	0.2621395635
YDR109C	-0.1038069575
YDR110W	0.7033854715000001
YDR111C	-0.28564969
YDR112W	0.916350917
YDR116C	3.530137461
YDR117C	-0.075830884
YDR119W	-0.6142808989999999
YDR120C	-0.24383135
YDR121W	1.495865557
YDR122W	0.139693174
YDR123C	-0.084683366
YDR124W	-0.206943781
YDR125C	-0.398645868
YDR126W	0.0181898275
YDR128W	0.382139933
YDR129C	-3.90379098
YDR130C	0.1261714785
YDR131C	0.275919437
YDR132C	0.015229400500000004
YDR133C	-0.28452141999999997
YDR135C	-1.0161916065
YDR136C	-6.342883909999999
YDR137W	-2.863969634
YDR139C	0.114057048
YDR142C	-0.1101206825
YDR143C	0.301565056
YDR144C	0.082583486
YDR148C	0.640904847
YDR149C	-0.288188997
YDR150W	-0.219599905
YDR151C	0.4935522215
YDR152W	0.0497487375
YDR153C	1.3617457245
YDR154C	-0.923232861
YDR155C	-0.725781852
YDR156W	0.11933007250000001
YDR157W	-0.219206085
YDR158W	-0.32503569
YDR159W	1.3952834585
YDR161W	0.1427501745
YDR162C	-1.034140638
YDR163W	-0.943016801
YDR165W	0.496500293
YDR169C	-0.046024801
YDR171W	0.1564166835
YDR174W	1.9396189295
YDR175C	2.4650504499999997
YDR176W	-4.190996489
YDR178W	-0.064407394
YDR179C	-0.384775729
YDR179W-A	-0.687192253
YDR181C	-2.0472961855
YDR183W	-0.068135687
YDR184C	-0.691194147
YDR185C	0.31435261800000003
YDR186C	-0.648170748
YDR191W	-0.695584011
YDR192C	-0.20542673449999999
YDR193W	0.010094629
YDR194C	2.8721455495
YDR195W	2.3690805245
YDR197W	1.06065163
YDR198C	0.166560127
YDR199W	-0.637803679
YDR200C	-1.663543471
YDR202C	1.103695944
YDR203W	1.1217588015
YDR204W	1.314377708
YDR205W	0.34640726499999996
YDR206W	-0.434900716
YDR207C	-2.483806574
YDR209C	-0.219444418
YDR210W	-0.618965407
YDR213W	-1.279456817
YDR214W	-0.2505286115
YDR215C	-0.294869914
YDR216W	-0.294184338
YDR217C	0.21257828
YDR218C	0.056618784000000005
YDR219C	0.759100771
YDR220C	-0.368404024
YDR221W	-0.136673422
YDR222W	-0.234060111
YDR223W	-0.2117282855
YDR225W	1.722855401
YDR226W	-0.6628502065
YDR227W	-3.702255657
YDR229W	0.101555428
YDR230W	1.0586195355
YDR234W	0.2103344815
YDR237W	3.8343098255
YDR239C	0.34337043899999997
YDR241W	1.049895046
YDR244W	-0.8378716495
YDR245W	0.765380896
YDR247W	-2.4326545145000003
YDR249C	-0.43200527850000003
YDR250C	0.21101260100000002
YDR251W	0.405967342
YDR252W	-2.858578458
YDR253C	-0.152926722
YDR254W	-2.528666556
YDR255C	-1.9036031095
YDR256C	-3.3635341995
YDR257C	-0.8525601445000001
YDR258C	-2.1556394764999998
YDR259C	0.7812964215
YDR260C	0.09063512
YDR261C	-0.003489956999999995
YDR262W	0.6006314340000001
YDR263C	-2.908839347
YDR265W	-0.6134994175
YDR266C	-3.0078302505
YDR268W	2.3009139065
YDR270W	-1.6597342895
YDR271C	-1.65650316
YDR272W	-0.031298324
YDR273W	-0.062383478500000006
YDR274C	-0.120004073
YDR275W	0.17572019649999998
YDR277C	-0.20935334249999998
YDR278C	0.1499872435
YDR279W	-0.256322887
YDR281C	-0.109613139
YDR282C	0.135375021
YDR284C	-0.780224945
YDR285W	-0.26996953749999997
YDR286C	-0.0711714385
YDR287W	0.010369264
YDR289C	1.4893134670000001
YDR290W	0.863595183
YDR291W	-0.30349335499999996
YDR293C	2.7917882069999997
YDR294C	-1.017877653
YDR295C	-0.08757211199999998
YDR296W	3.179263995
YDR297W	0.303701829
YDR298C	3.6106932069999997
YDR304C	-0.1714553905
YDR305C	-0.2568847555
YDR306C	-0.1806941695
YDR307W	-0.016969623500000003
YDR309C	-0.507058954
YDR310C	-9.5591485355
YDR312W	-0.09367996049999999
YDR313C	-0.0970347835
YDR315C	-3.266039591
YDR316W	0.3816645385
YDR317W	-0.07893932099999999
YDR318W	-0.973398893
YDR319C	-0.577443336
YDR320C	0.121432305
YDR321W	1.06601761
YDR322W	-1.723543093
YDR323C	-4.8195083555
YDR326C	-0.4643238155
YDR329C	-1.303789895
YDR330W	-0.9339657735
YDR333C	-0.46252119950000004
YDR334W	-1.4766259505
YDR335W	0.383040774
YDR336W	0.144982007
YDR338C	-0.34796081850000005
YDR340W	-0.180525926
YDR344C	-0.018965521
YDR345C	-0.8195200565
YDR346C	-1.205511836
YDR348C	1.072884429
YDR349C	-0.7978476645
YDR350C	1.7864104360000002
YDR351W	-0.673288738
YDR352W	-0.08555376149999999
YDR354W	-0.3458423595
YDR357C	-0.881383976
YDR358W	-0.141369752
YDR360W	-3.3056697405
YDR363W	0.03487421700000001
YDR363W-A	1.9160584754999999
YDR368W	-0.08965224899999999
YDR369C	-3.948771068
YDR370C	-0.012391988
YDR371W	0.0426214135
YDR372C	1.2535665329999999
YDR374C	-0.094845386
YDR375C	0.173208214
YDR377W	1.535552519
YDR378C	2.1777857244999996
YDR379W	-0.01972279
YDR380W	0.111777106
YDR382W	1.0073930875000001
YDR383C	-0.034415353499999995
YDR384C	0.1031507215
YDR385W	0.5412648225
YDR386W	-0.24726398
YDR387C	-0.0140564735
YDR388W	-2.570532437
YDR389W	-2.309699794
YDR391C	0.4156948785
YDR392W	8.873048459
YDR393W	2.615536271
YDR395W	0.639434612
YDR399W	0.067036858
YDR400W	-0.159279053
YDR401W	0.092836297
YDR402C	0.09849731
YDR403W	-0.09923497049999999
YDR405W	3.1350166225000002
YDR406W	-0.088481929
YDR408C	-0.482193678
YDR409W	-1.250691658
YDR410C	-1.865665002
YDR411C	0.049827013
YDR414C	5.729099284
YDR415C	0.20290735
YDR417C	0.515253765
YDR418W	0.7298534584999999
YDR419W	-0.728028789
YDR420W	0.14263151
YDR421W	-0.042530975
YDR422C	0.255806261
YDR423C	0.017478992
YDR424C	0.3620016055
YDR425W	-0.04719253350000001
YDR426C	-0.1983298075
YDR428C	-0.026385593
YDR430C	-0.2424317755
YDR431W	0.5824056744999999
YDR435C	0.50769172
YDR436W	0.29318577749999997
YDR438W	0.5334309335
YDR439W	-0.4169365445
YDR441C	-0.14152665799999997
YDR442W	-2.858782844
YDR443C	-0.6933884335
YDR444W	0.7064965015
YDR445C	0.4883147015
YDR446W	0.328312312
YDR447C	-0.1209642195
YDR450W	0.447801421
YDR451C	0.23495889550000001
YDR452W	0.152046769
YDR453C	0.103016181
YDR455C	-2.5952418415
YDR456W	-3.556904218
YDR457W	0.650892899
YDR458C	0.343312864
YDR459C	0.64701935
YDR461W	-1.951586684
YDR462W	-0.272436414
YDR463W	0.5497658910000001
YDR465C	0.096223595
YDR466W	0.765846532
YDR467C	0.233958691
YDR469W	-0.221627058
YDR471W	-0.51099039
YDR475C	-1.12181273575
YDR476C	-0.43995042650000005
YDR479C	1.473557848
YDR480W	0.586871504
YDR481C	-0.018577134499999995
YDR482C	-0.289601973
YDR483W	-0.2979642225
YDR484W	-0.121698943
YDR485C	-1.9639509419999999
YDR486C	-3.512636838
YDR488C	-0.483403173
YDR490C	0.356669299
YDR491C	-0.302389266
YDR492W	-0.108556046
YDR493W	0.6272899615
YDR494W	2.361142937
YDR495C	-4.5231544435
YDR496C	0.285270947
YDR497C	-0.033835525000000005
YDR501W	-0.08829016199999999
YDR502C	-0.12082857899999999
YDR503C	-0.050678792
YDR504C	-0.404924516
YDR505C	-0.3530940325
YDR507C	2.288997727
YDR509W	1.8745388790000002
YDR511W	0.144387413
YDR513W	-0.273796967
YDR514C	0.890700594
YDR515W	1.272435425
YDR516C	-0.004544537000000001
YDR517W	0.322964146
YDR518W	2.935631723
YDR519W	-0.641814299
YDR520C	-0.9396302885000001
YDR522C	-0.32229904200000004
YDR523C	1.5086664985
YDR524C	-0.41920522299999996
YDR525W	0.895364217
YDR525W-A	-0.6988351125000001
YDR528W	0.471502663
YDR529C	0.0505833585
YDR530C	0.740892528
YDR532C	3.117104065
YDR533C	-0.2892673315
YDR534C	-0.3261108835
YDR535C	-0.211573029
YDR536W	-0.147327867
YDR537C	1.153068188
YDR538W	-0.29787378600000003
YDR539W	-0.194765135
YDR540C	0.0041821179999999986
YDR541C	0.1438430695
YEL001C	-0.2864252885
YEL003W	0.3107046215
YEL004W	0.8218272565
YEL005C	-0.8334398995
YEL006W	-0.012198563
YEL007W	-0.601952309
YEL008W	1.140552858
YEL009C	0.433367678
YEL010W	0.30384709249999997
YEL011W	0.1979470335
YEL012W	0.5947157495
YEL013W	0.6337120375
YEL014C	-0.138749382
YEL015W	0.29025979150000003
YEL016C	0.024264145
YEL017C-A	0.2685894995
YEL017W	0.1350555175
YEL020C	0.019114218
YEL023C	-0.0859011985
YEL024W	1.165457374
YEL025C	0.023258685499999987
YEL028W	-0.100800684
YEL029C	-3.0860938305000003
YEL030W	0.20471831
YEL033W	-1.4913952965
YEL037C	0.19096602550000003
YEL038W	-0.011069485
YEL039C	0.4297633165
YEL040W	0.40440895
YEL041W	-0.025980205
YEL042W	0.9728698295
YEL043W	0.5001696735
YEL044W	0.0
YEL045C	0.0
YEL047C	0.2705372345
YEL048C	-1.038131685
YEL049W	0.0468574965
YEL050C	1.8296344445
YEL052W	0.38193394599999997
YEL053C	0.7312001495
YEL054C	0.011823952500000012
YEL056W	0.20483111250000002
YEL057C	-4.126228696
YEL059W	0.155403505
YEL060C	-1.25972209
YEL061C	1.2338003025
YEL062W	0.6069516665
YEL063C	-1.6822161465
