orf	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YGL143C	-0.2682926829268293	
YGL173C	0.6585365853658536	
YGL214W	0.024390243902439046	
YGL218W	-0.09756097560975607	
YGL220W	-0.12195121951219512	
YGL246C	-0.04878048780487809	
YGL253W	-0.1707317073170732	
YGR006W	0.6829268292682926	
YGR036C	0.2195121951219512	
YGR056W	0.5609756097560976	
YGR063C	0.2682926829268293	
YGR064W	-0.07317073170731703	
YGR078C	0.3414634146341464	
YGR092W	0.2682926829268293	
YGR102C	-0.1707317073170732	
YGR104C	0.41463414634146334	
YGR111W	-0.07317073170731703	
YGR150C	-0.14634146341463417	
YGR160W	-0.09756097560975607	
YGR165W	-0.07317073170731703	
YGR167W	0.9268292682926829	
YGR171C	-0.14634146341463417	
YGR180C	0.6585365853658536	
YGR214W	-0.04878048780487809	
YGR219W	-0.1707317073170732	
YGR220C	-0.36585365853658536	
YGR262C	1.0	
YGR285C	-0.14634146341463417	
YHL011C	-0.2195121951219512	
YHR001W-A	-0.024390243902439046	
YHR009C	0.3414634146341464	
YHR011W	-0.09756097560975607	
YHR021C	0.19512195121951215	
YHR034C	-0.14634146341463417	
YHR064C	-0.1707317073170732	
YHR066W	-0.12195121951219512	
YHR091C	-0.04878048780487809	
YHR147C	-0.09756097560975607	
YHR158C	-0.12195121951219512	
YHR205W	-0.3414634146341463	
YIL009W	0.6585365853658536	
YIL011W	0.3414634146341464	
YIL018W	-0.024390243902439046	
YIL034C	0.14634146341463405	
YIL040W	0.3170731707317074	
YIL047C	0.5853658536585367	
YIL054W	0.41463414634146334	
YIL110W	-0.2195121951219512	
YIL121W	0.5365853658536586	
YIL125W	0.6829268292682926	
YIL133C	-0.14634146341463417	
YIL154C	0.5365853658536586	
YIR026C	-0.14634146341463417	
YJL006C	0.8780487804878048	
YJL029C	0.7804878048780488	
YJL046W	-0.09756097560975607	
YJL063C	-0.12195121951219512	
YJL080C	1.292682926829268	
YJL127C	0.6097560975609757	
YJL136C	0.24390243902439024	
YJL140W	-0.09756097560975607	
YJL180C	-0.14634146341463417	
YJL187C	-0.09756097560975607	
YJL188C	-0.07317073170731703	
YJL204C	0.3414634146341464	
YJL209W	-0.07317073170731703	
YJR018W	0.9024390243902438	
YJR054W	0.5365853658536586	
YJR055W	-0.024390243902439046	
YJR059W	-0.14634146341463417	
YJR074W	0.5609756097560976	
YJR075W	0.2682926829268293	
YJR113C	-0.14634146341463417	
YJR144W	-0.14634146341463417	
YJR145C	0.09756097560975618	
YKL009W	-0.12195121951219512	
YKL023W	0.1707317073170731	
YKL053W	0.3170731707317074	
YKL054C	1.1707317073170733	
YKL101W	0.2682926829268293	
YKL109W	-0.14634146341463417	
YKL138C	-0.29268292682926833	
YKL143W	-0.12195121951219512	
YKL169C	-0.12195121951219512	
YKL170W	-0.3414634146341463	
YKL204W	0.6585365853658536	
YKR006C	-0.1707317073170732	
YKR020W	-0.07317073170731703	
YKR024C	0.19512195121951215	
YKR055W	0.3902439024390243	
YKR057W	-0.07317073170731703	
YLL002W	0.29268292682926833	
YLL006W	0.07317073170731714	
YLL044W	-0.04878048780487809	
YLL045C	-0.14634146341463417	
YLR032W	0.2682926829268293	
YLR048W	-0.024390243902439046	
YLR068W	-0.09756097560975607	
YLR069C	-0.09756097560975607	
YLR074C	-0.41463414634146345	
YLR114C	-0.14634146341463417	
YLR131C	0.4390243902439024	
YLR148W	-0.04878048780487809	
YLR181C	0.24390243902439024	
YLR182W	0.41463414634146334	
YLR184W	-0.1707317073170732	
YLR185W	-0.1707317073170732	
YLR200W	0.3170731707317074	
YLR204W	-0.1707317073170732	
