ORF	hap ? | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002	het | cell size | YPD [standard] | Jorgensen P~Tyers M, 2002
YNL324W	1.195	NaN
YNL325C	1.195	NaN
YNR023W	1.049	NaN
YNR052C	1.366	NaN
YOL004W	1.220	NaN
YOL009C	0.878	NaN
YOL023W	0.854	NaN
YOL033W	0.805	NaN
YOL040C	NaN	0.900
YOL051W	1.220	NaN
YOL076W	1.317	NaN
YOL081W	1.220	NaN
YOL086C	1.366	NaN
YOL115W	1.854	NaN
YOL120C	NaN	0.886
YOL144W	NaN	1.129
YOR014W	1.341	NaN
YOR026W	1.293	NaN
YOR033C	0.951	NaN
YOR035C	1.122	NaN
YOR065W	0.683	NaN
YOR073W	1.244	NaN
YOR078W	0.927	NaN
YOR080W	1.780	NaN
YOR083W	0.780	NaN
YOR117W	NaN	1.186
YOR141C	1.439	NaN
YOR150W	0.829	NaN
YOR187W	0.854	NaN
YOR198C	1.512	NaN
YOR200W	0.854	NaN
YOR206W	NaN	0.957
YOR241W	1.805	NaN
YOR258W	1.732	NaN
YOR259C	NaN	1.129
YOR293W	1.000	NaN
YOR295W	0.780	NaN
YOR309C	0.854	NaN
YOR310C	NaN	0.943
YOR330C	0.951	NaN
YOR341W	NaN	0.914
YOR360C	1.024	NaN
YOR369C	1.610	NaN
YPL005W	0.902	NaN
YPL029W	0.829	NaN
YPL031C	0.976	NaN
YPL040C	0.805	NaN
YPL042C	1.244	NaN
YPL050C	1.122	NaN
YPL055C	1.341	NaN
YPL078C	0.854	NaN
YPL079W	0.878	NaN
YPL080C	0.902	NaN
YPL093W	NaN	0.929
YPL104W	0.854	NaN
YPL129W	1.366	NaN
YPL131W	NaN	0.929
YPL142C	NaN	0.957
YPL148C	0.902	NaN
YPL161C	1.293	NaN
YPL169C	NaN	0.929
YPL172C	0.878	NaN
YPL180W	1.317	NaN
YPL193W	0.829	NaN
YPL235W	NaN	0.957
YPL254W	1.293	NaN
YPL268W	1.220	NaN
YPR016C	NaN	0.943
YPR043W	1.195	NaN
YPR044C	1.146	NaN
YPR045C	1.341	NaN
YPR047W	0.927	NaN
YPR067W	0.976	NaN
YPR087W	1.683	NaN
YPR099C	0.878	NaN
YPR100W	1.000	NaN
YPR108W	NaN	1.129
YPR119W	1.512	NaN
YPR135W	1.732	NaN
YPR139C	1.537	NaN
YPR141C	1.341	NaN
YPR159W	1.610	NaN
YPR163C	1.829	NaN
