ORF	hom | growth (culture turbidity) | freeze-thaw | YP4D, YPD | Ando A~Shima J, 2007
YDL180W	0.003
YDL182W	-0.033
YDL183C	NaN
YDL184C	NaN
YDL185W	-0.974
YDL186W	0.025
YDL187C	0.001
YDL188C	-0.002
YDL189W	0.015
YDL190C	0.015
YDL191W	-0.714
YDL192W	0.038
YDL194W	-0.005
YDL197C	-0.000
YDL198C	NaN
YDL199C	-0.003
YDL200C	-0.016
YDL201W	-0.012
YDL202W	NaN
YDL203C	0.000
YDL204W	-0.000
YDL206W	0.010
YDL210W	-0.007
YDL211C	0.003
YDL213C	-0.012
YDL214C	-0.002
YDL215C	-0.002
YDL216C	0.000
YDL218W	0.003
YDL219W	0.003
YDL222C	-0.008
YDL223C	-0.022
YDL224C	0.003
YDL225W	0.011
YDL226C	-0.026
YDL227C	-0.007
YDL229W	-0.005
YDL230W	-0.020
YDL231C	0.002
YDL232W	0.009
YDL233W	0.001
YDL234C	-0.001
YDL236W	-0.027
YDL237W	-0.007
YDL238C	-0.003
YDL239C	-0.007
YDL240W	0.000
YDL241W	-0.004
YDL242W	0.011
YDL243C	-0.003
YDR001C	0.003
YDR003W	-0.011
YDR004W	0.005
YDR005C	0.006
YDR006C	0.009
YDR007W	0.341
YDR008C	0.136
YDR009W	0.015
YDR010C	0.001
YDR011W	-0.017
YDR014W	0.018
YDR015C	0.002
YDR017C	NaN
YDR018C	0.005
YDR019C	0.003
YDR020C	0.018
YDR022C	-0.018
YDR024W	-0.160
YDR025W	-0.249
YDR026C	-0.014
YDR027C	-0.162
YDR028C	-0.042
YDR029W	-0.006
YDR030C	-0.005
YDR031W	0.002
YDR032C	0.007
YDR033W	0.014
YDR034C	-0.034
YDR035W	-0.002
YDR036C	-0.012
YDR042C	0.006
YDR043C	-0.021
YDR046C	-0.006
YDR048C	0.018
YDR049W	-0.047
YDR051C	-0.015
YDR055W	-0.022
YDR056C	-0.013
YDR057W	-0.026
YDR058C	0.006
YDR059C	0.022
YDR061W	-0.016
YDR063W	-0.020
YDR065W	NaN
YDR066C	-0.007
YDR067C	-0.064
YDR068W	-0.006
YDR069C	NaN
YDR070C	-0.009
YDR071C	-0.017
YDR072C	-0.002
YDR073W	0.010
YDR074W	0.022
YDR075W	-0.022
YDR076W	0.010
YDR077W	-0.022
YDR078C	-0.031
YDR079W	NaN
YDR080W	0.005
YDR083W	0.099
YDR084C	0.015
YDR085C	0.012
YDR089W	-0.004
YDR090C	-0.007
YDR092W	-0.018
YDR093W	0.037
YDR094W	0.016
YDR095C	0.022
YDR096W	0.000
YDR097C	0.008
YDR098C	-0.022
YDR099W	-0.006
YDR100W	-0.048
YDR101C	0.015
YDR102C	-0.015
YDR104C	-0.018
YDR105C	0.001
YDR107C	-0.111
YDR108W	-0.001
YDR109C	0.018
YDR110W	0.002
YDR111C	-0.013
YDR112W	-0.011
YDR114C	NaN
YDR115W	NaN
YDR116C	-0.042
YDR117C	0.007
YDR119W	0.054
YDR120C	0.002
YDR121W	0.031
YDR122W	0.033
YDR123C	-0.029
YDR124W	-0.009
YDR125C	-0.007
YDR126W	-0.709
YDR127W	0.746
YDR128W	0.005
YDR129C	NaN
YDR130C	0.008
YDR131C	0.016
YDR132C	0.022
YDR133C	0.011
YDR134C	-0.004
YDR135C	-0.008
YDR136C	-0.167
YDR137W	0.031
YDR138W	NaN
YDR139C	-0.008
YDR140W	-0.545
YDR142C	0.022
YDR143C	0.001
YDR144C	0.017
YDR146C	0.029
YDR147W	-0.002
YDR148C	-0.026
YDR149C	0.008
YDR150W	0.013
YDR151C	0.006
YDR152W	-0.011
YDR153C	-0.002
YDR154C	-0.003
YDR155C	-0.011
YDR156W	0.033
YDR157W	-0.002
YDR158W	-0.005
YDR159W	0.135
YDR161W	-0.755
YDR162C	-0.013
YDR163W	-0.003
YDR165W	-0.015
YDR169C	-0.004
YDR171W	-0.020
YDR173C	-0.461
YDR174W	-0.555
YDR175C	NaN
YDR176W	0.100
YDR178W	-0.007
YDR179C	0.004
YDR179W-A	0.006
YDR181C	-0.004
YDR183W	-0.021
YDR184C	-0.018
YDR185C	-0.007
YDR186C	0.026
YDR191W	NaN
YDR192C	-0.002
