ORF	hom | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	hom | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [12 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 1 [22.02 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.05 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | voriconazole [0.53 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.5 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [0.75 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 2 [2 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 4 [200 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.1 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.25 uM] | None | Hoepfner D~Parker CN, 2012	het | growth (pooled culture) | compound 3 [0.5 uM] | None | Hoepfner D~Parker CN, 2012
YAL012W	-0.079	-10.187	NaN	0.001	-0.434	-0.226	2.711	-0.289	-9.306	NaN	-0.548	-0.031	1.383	0.876	2.603	-4.434	-0.146	0.005	0.772	1.200	-3.436	-3.305	-2.470	2.378	0.039	-0.724	-0.049	-0.962	-0.466	-3.048	1.245	-1.619	-0.721
YAL013W	-0.256	-0.018	-1.877	-0.440	-1.584	0.087	-0.296	-0.786	-0.009	1.621	-0.623	-0.708	-1.097	-0.319	-1.852	-0.485	0.810	-0.166	1.336	3.005	-4.221	-0.887	0.127	0.071	0.609	-0.235	-1.064	-0.176	0.055	-0.057	0.542	-0.867	-0.052
YAL014C	-0.314	0.590	0.182	-2.624	-2.760	-0.152	-0.076	0.100	0.004	1.217	-1.260	-1.218	-0.050	-0.716	-0.182	-0.289	0.077	-0.904	2.029	0.033	-2.686	-2.089	0.035	1.222	0.890	-0.312	0.065	-2.258	-2.170	-0.141	0.715	-2.172	-0.992
YAL015C	0.123	0.311	-0.482	-2.015	-1.470	-2.461	0.312	0.296	-0.065	0.163	-1.427	-1.061	-0.251	-1.137	-0.049	-1.377	0.074	-1.775	2.351	-0.035	-1.628	-0.034	-2.476	0.105	0.027	-1.847	-0.062	-2.524	-4.057	-1.244	0.181	-2.677	-4.037
YAL016W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.124	0.154	0.403	-0.075	-1.658	-1.309	0.612	1.438	1.509	-1.515	-0.114	-1.899	-0.107	-2.381	0.476	-2.912	-1.469
YAL017W	0.046	0.242	0.135	-0.002	0.001	-0.799	1.116	0.339	-0.388	0.023	-0.357	-0.240	0.234	0.192	1.280	-0.922	-0.148	-1.164	-0.089	0.838	-0.455	-0.932	-1.154	-0.055	0.499	-1.655	-0.063	-0.650	-2.111	-0.167	0.119	-1.329	-1.418
YAL018C	-0.689	0.610	-0.784	-2.372	-2.241	-0.102	-0.057	-0.609	-0.407	-0.011	-2.168	-2.546	0.363	-0.022	-0.574	-3.411	0.110	-2.177	2.140	0.323	-1.938	-2.050	0.184	-0.131	0.079	-2.689	-1.186	-0.423	-1.389	-2.834	0.083	-3.128	-0.309
YAL019W	0.991	-0.019	0.013	0.845	0.967	-0.927	0.191	0.778	-0.008	2.182	-0.531	-1.554	0.005	-1.111	-0.896	-1.737	0.402	-0.295	0.700	-0.031	-0.092	-0.001	-3.153	0.815	1.494	-0.466	-3.643	-0.933	-0.121	-0.922	0.221	-0.611	-0.057
YAL020C	0.805	0.217	-0.033	0.623	0.601	-1.662	0.132	0.311	0.670	2.914	0.333	1.455	-0.181	-0.046	0.688	1.867	1.040	-1.485	0.302	-0.937	-0.922	0.004	-0.970	0.868	0.477	-0.274	-2.781	-1.703	-0.712	-1.040	0.120	-1.389	-1.310
YAL021C	0.023	-0.400	0.327	-8.950	-10.763	-4.205	0.382	-0.025	-5.529	-1.162	-10.658	-10.601	0.428	-2.316	-7.972	-11.510	-4.027	-6.586	-0.536	0.074	-5.526	-4.923	-0.690	-0.096	-0.119	-3.521	-7.319	-11.020	-13.702	-0.111	-0.659	-6.003	-12.481
YAL022C	0.010	0.294	1.158	-0.136	-0.083	-2.010	1.272	0.033	-0.007	1.392	0.024	-0.049	-0.064	-0.105	-0.086	0.107	0.171	0.790	-0.093	-2.756	-0.307	-0.250	-1.451	0.327	0.641	-0.136	-0.731	-0.337	0.538	-0.244	0.351	-1.045	0.073
YAL023C	0.974	0.124	-0.484	-5.566	-4.866	-0.319	-0.035	-0.292	-2.715	-2.969	-0.858	-2.833	0.419	-0.404	-2.601	-2.093	-0.542	-3.053	1.852	-2.554	-8.050	-1.466	-1.126	-0.101	1.763	-0.060	-0.537	-0.045	-1.475	-2.816	0.385	-1.645	-0.072
YAL024C	-2.373	0.021	0.016	-2.285	-2.751	-1.510	-3.165	-0.015	-2.517	0.031	-3.323	-2.571	0.230	-1.048	-0.237	-2.682	-0.117	0.005	1.101	0.235	-1.788	-1.100	-1.385	2.168	1.646	-0.313	-0.011	-0.227	-0.976	-0.287	0.713	-1.714	-0.212
YAL025C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.255	0.161	2.539	-1.301	0.000	0.729	-2.903	0.539	1.073	-0.164	-0.741	-0.710	-3.408	-0.201	0.602	-0.677	-1.536
YAL026C	-7.582	-4.123	-5.799	-6.831	-7.683	-5.402	-8.428	-14.218	-12.712	-11.740	-11.191	-8.141	1.306	-12.076	-12.093	-7.978	-1.020	-1.895	0.951	-0.138	-2.579	-1.070	-0.048	1.470	0.079	-3.050	-3.682	-4.712	-7.441	-0.072	0.345	-2.947	-6.178
YAL027W	0.066	0.496	0.220	-0.616	-0.014	-0.011	-0.308	0.012	-0.166	0.297	-1.667	-0.167	-0.168	-0.710	-0.016	-0.107	-0.078	0.122	1.675	1.202	0.741	0.352	0.196	0.532	0.461	-0.017	0.090	-0.028	0.062	0.135	0.472	0.063	-0.338
YAL028W	-0.114	0.212	1.136	-0.533	-0.109	-1.069	0.035	0.145	0.106	0.998	-0.010	-0.085	-0.065	-0.025	0.070	-0.495	-0.896	-0.151	-2.514	0.191	-1.884	-1.770	-3.145	0.060	-0.034	-0.074	0.409	0.024	0.024	-0.231	0.010	-0.016	-0.270
YAL029C	-0.169	-0.022	0.021	0.028	-0.260	-0.926	0.001	0.024	-0.075	0.020	-0.347	-0.703	0.100	-0.220	-0.240	-0.828	1.920	-0.648	0.840	-0.244	-0.395	-0.040	0.059	0.004	1.127	-0.796	0.061	-0.851	-0.313	-0.909	0.183	-1.945	-0.496
YAL030W	-0.494	0.318	1.006	-0.173	-0.474	0.010	0.179	0.054	-0.009	0.943	-0.484	-0.548	-0.164	-0.134	-0.097	-0.411	1.267	0.005	0.214	-0.043	-0.146	-0.058	0.122	0.064	0.899	-0.087	-0.308	-0.966	-0.083	-1.206	0.208	-1.662	-0.099
YAL031C	-0.028	0.083	0.526	0.070	0.031	-0.096	0.216	0.263	-0.064	-0.090	-1.468	-0.911	0.075	-0.067	-0.356	-1.779	0.206	-1.182	0.750	-1.803	-0.678	-0.061	0.112	0.393	0.996	-0.311	-0.428	-1.987	-0.545	-0.632	0.136	-1.836	-0.803
YAL032C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.480	0.032	0.848	-0.046	-1.133	-1.193	-0.008	0.188	1.072	-1.015	0.033	-0.885	-0.361	-1.723	0.005	-1.681	-0.570
YAL033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.224	-1.022	-1.004	-2.117	-0.074	0.012	0.102	0.027	2.170	-1.629	-0.003	-2.263	-0.257	-0.769	1.775	-2.659	-0.588
YAL034C	-0.104	0.253	-0.380	-3.859	-2.248	-0.188	-0.028	-0.088	-3.838	-0.261	-3.636	-3.307	0.000	-1.848	-1.876	-3.742	-0.914	-1.641	2.915	-0.018	-0.879	0.005	NaN	0.507	0.917	-0.375	-2.651	-0.624	-1.146	-0.915	0.964	-3.386	-0.227
YAL034C-B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.026	1.283	1.018	0.007	0.323	0.176	-0.354	1.499	1.909	0.050	-0.697	-0.011	-0.068	-2.417	0.342	-0.631	-0.067
YAL034W-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.484	0.077	0.908	1.211	0.378	0.192	0.321	0.718	0.771	0.000	1.310	0.269	0.053	-0.523	1.437	-0.784	0.597
YAL035W	0.457	-0.318	-0.229	2.724	0.071	0.134	0.490	1.953	2.702	0.520	2.757	2.233	0.406	0.245	4.265	0.544	-7.462	-5.780	0.847	0.274	-4.607	-3.675	-0.230	-1.957	0.019	-1.688	-4.004	-11.622	-13.345	-1.357	-0.012	-9.282	-15.998
YAL036C	-0.345	1.129	1.019	0.002	-0.077	-0.467	-0.006	-0.074	-0.040	0.349	-0.073	-0.250	-0.034	-1.110	-0.051	-0.466	0.121	0.050	-0.940	0.120	-0.828	-0.038	0.091	0.070	1.752	-0.108	-0.771	-1.335	-0.656	-0.447	1.506	-1.391	-0.309
YAL037W	-0.059	-0.146	-0.013	-0.706	-0.535	-0.079	0.138	-0.103	-0.033	0.024	-1.080	-2.486	-1.827	-0.080	-1.074	-2.245	-0.010	-0.025	2.188	0.143	0.160	1.499	-1.180	0.956	0.101	-0.975	-0.870	-0.027	-0.663	-0.187	1.126	-0.220	-0.005
YAL038W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.063	-0.095	1.294	0.044	0.612	0.791	-0.454	0.173	0.774	-0.049	-0.302	-0.407	-3.965	-0.045	1.240	-1.709	-2.794
YAL039C	NaN	-0.282	-0.760	0.364	1.413	NaN	0.651	-0.030	-0.393	-0.013	-0.219	-0.697	-0.063	-1.296	-1.191	-0.072	0.115	-0.523	3.369	-0.058	-2.955	-2.133	0.004	0.784	0.539	-0.146	-1.331	-1.230	-1.971	-1.622	0.257	-3.504	-2.445
YAL040C	0.025	0.012	-0.344	-1.601	-0.501	-0.340	0.407	3.696	0.413	-0.081	0.060	-0.235	-0.024	0.181	0.672	-1.090	-0.020	0.046	1.479	0.631	-1.523	-1.542	-0.236	0.024	0.939	-0.035	0.125	0.008	-0.554	-1.307	0.331	-0.924	-0.112
YAL041W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	-0.018	1.302	-0.003	0.604	0.284	-0.782	0.140	1.116	-0.464	-0.052	-2.715	-2.637	-0.108	0.709	-1.644	-3.841
YAL042C-A	0.444	0.033	0.075	-0.382	-0.541	-0.534	0.000	0.027	-0.177	0.358	-0.482	-0.153	-0.074	-0.439	0.064	-0.568	0.090	0.342	-0.358	0.127	-0.686	-0.718	-0.552	0.033	-0.086	-0.951	-0.009	-0.019	-0.295	-0.860	0.012	-1.395	-0.283
YAL042W	0.227	0.113	0.053	-1.052	-0.832	-0.304	1.563	0.780	-0.052	1.297	-0.111	-0.069	1.235	-0.739	0.046	-0.142	0.096	0.103	1.631	-2.543	-3.906	-4.216	-0.033	0.250	1.117	-0.026	-0.055	-0.254	-1.318	-1.098	0.184	-0.594	0.014
YAL043C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.029	0.729	-3.868	-2.008	0.269	2.613	-3.267	-0.001	-0.389	-3.571	-1.759	-0.340	-1.910	-0.522	-0.613	-2.278	-0.512
YAL044C	0.029	0.045	-0.141	-1.244	-3.402	-0.966	0.092	0.489	-0.498	-0.103	-0.210	-2.714	0.044	-0.470	-0.027	-2.018	-6.016	-1.602	-6.211	-0.399	-0.111	0.384	-3.077	-0.325	-0.102	-0.106	-0.207	-1.235	-0.010	-0.449	-0.106	-2.997	-0.735
YAL045C	-0.005	0.291	1.148	0.017	-0.255	0.046	1.000	0.309	-0.020	0.074	0.014	-0.773	-0.003	-0.037	0.514	-0.032	0.006	0.125	0.936	0.061	0.372	1.313	-1.697	0.129	1.995	-2.426	-0.058	0.007	1.135	-0.634	0.309	-0.133	1.283
YAL046C	-0.005	1.234	1.480	-0.089	-0.063	0.052	0.020	0.022	0.238	0.291	-0.168	-0.867	-0.040	-0.004	-0.358	-0.462	0.824	-0.097	0.454	-0.109	-0.068	-0.191	-0.259	0.215	0.688	-0.208	-2.458	-0.184	0.009	-0.030	0.043	-1.543	-0.860
YAL047C	1.246	-0.105	-0.001	-0.048	-0.978	-3.467	-0.331	0.140	-0.002	0.060	-3.021	-0.198	0.056	2.840	0.075	-0.749	-2.664	0.005	1.068	-0.035	-1.838	-0.787	0.038	0.604	0.965	-0.321	-0.120	-1.153	-1.288	-0.292	1.352	-2.191	-0.794
YAL048C	0.099	0.076	-0.277	0.033	-0.241	-2.376	-0.667	-1.896	-0.611	-0.275	-0.030	-1.001	0.084	-0.778	-0.574	-0.983	1.107	-0.011	0.853	-0.461	-0.943	-1.558	-3.046	0.186	0.446	-0.091	-2.235	-0.174	-0.216	-0.747	0.096	-0.992	-0.790
YAL049C	-0.001	0.115	-0.048	-0.080	0.040	-0.227	-1.115	-0.013	-1.178	-0.201	-0.508	-1.255	0.112	-0.091	-0.035	-0.814	0.040	-1.589	-5.163	-0.381	0.046	0.122	-2.947	-1.441	-0.520	-0.160	0.056	-0.176	-0.014	-1.845	-0.198	-2.575	-1.088
YAL051W	0.012	0.816	0.702	0.673	0.095	-0.778	0.355	0.215	0.030	0.074	-0.094	-0.271	0.641	-0.004	0.004	-0.032	-0.050	-0.023	-0.187	-0.057	-0.382	0.003	-0.849	0.118	1.109	-0.088	-0.215	-0.153	-0.039	-0.022	0.500	-1.486	-0.434
YAL053W	-0.441	0.059	0.227	-2.467	-2.134	-1.015	-0.020	-0.053	-0.455	-0.880	-1.836	-2.580	-0.005	-1.291	-0.984	-2.814	0.548	-0.408	-0.334	-1.077	-0.350	-0.441	-0.088	0.033	1.569	-0.024	-1.703	-0.292	-0.559	-0.667	0.182	-1.526	-1.019
YAL054C	0.017	0.333	0.857	-1.190	-1.753	-1.801	0.225	0.084	-0.026	0.973	-0.866	-1.473	-0.063	-0.094	-0.623	-0.407	0.537	-0.050	-0.689	-0.562	-0.819	-0.503	-0.900	1.091	0.920	-0.087	-0.137	-0.010	-0.144	-0.931	1.092	-1.585	0.005
YAL055W	0.660	0.372	0.514	-0.333	-0.037	-1.080	-0.080	-0.047	-0.034	1.318	-0.019	-0.879	-0.438	-0.208	-0.106	-0.948	0.001	-0.093	0.013	0.158	-0.710	-1.996	-0.985	0.078	1.759	-0.056	-0.116	-0.627	-1.973	-0.711	1.130	-1.110	-1.750
YAL056C-A	-0.008	0.879	0.928	-1.750	-3.050	-2.082	-0.282	-0.209	-0.394	0.348	0.446	-1.071	-0.244	-0.255	-0.510	-0.395	0.152	-0.132	-0.405	-0.161	-0.746	-0.890	-0.053	-0.023	0.758	-1.366	-0.278	-1.104	-0.178	-0.179	0.073	-1.204	-0.301
YAL056W	-0.012	0.169	0.378	0.001	0.020	0.627	0.089	0.072	0.061	-0.007	-0.082	-1.225	-0.015	0.010	-0.064	-0.878	-0.010	-0.999	1.104	-0.186	0.368	0.160	-0.590	0.239	0.852	-0.122	-0.018	-0.465	0.361	-0.279	0.355	-1.070	-0.005
YAL058W	0.134	1.071	0.927	-1.704	-2.400	-0.041	0.154	0.215	-0.092	0.610	-0.183	-0.029	0.030	-0.280	-0.132	-0.071	-0.153	1.039	1.574	-0.061	-0.016	0.172	0.041	2.325	0.494	-0.110	-0.055	-1.116	-0.151	-0.292	0.189	-1.424	-0.324
YAL059W	-0.126	-1.098	0.083	-1.907	-2.023	-2.310	-0.174	-0.146	-1.005	-0.007	-2.046	-1.825	-0.854	-1.083	-0.913	-2.517	1.101	0.093	-0.215	-0.055	-0.931	-0.696	-1.010	0.126	1.262	-0.000	-0.601	-1.156	-1.357	-0.160	-0.007	-1.317	-1.185
YAL060W	0.025	1.376	1.179	0.037	-0.197	-1.548	0.100	0.070	-0.013	0.501	0.021	-0.436	-0.010	-1.008	-0.021	0.009	-0.117	0.047	0.599	-0.123	-0.149	-0.028	0.285	0.341	0.716	-0.026	0.013	-0.056	0.237	-0.103	0.999	-1.208	0.193
YAL061W	-0.396	0.645	1.438	-0.485	-1.345	-0.948	-0.191	0.018	-0.097	0.199	-0.098	-0.887	-0.422	-1.181	-0.063	-0.091	1.362	1.650	-0.418	-0.010	0.046	0.198	-0.047	0.276	1.416	-0.177	0.540	0.044	0.983	-0.053	0.827	-0.064	1.011
YAL062W	-0.268	1.220	0.245	0.012	-0.241	-0.032	-0.060	0.004	-0.034	0.930	0.002	-0.654	-0.791	-0.024	-0.052	-0.313	-0.017	0.197	0.391	-0.720	-0.018	-0.001	-0.066	0.141	0.738	-0.066	-0.198	-0.534	-0.013	-0.237	0.319	-1.007	-0.014
YAL064C-A	-0.553	-0.011	-0.005	-0.144	0.023	-0.189	-0.194	-0.473	0.092	0.296	0.044	-1.388	-0.040	0.103	-0.321	-0.578	-0.060	-0.067	-0.587	0.205	-1.389	-2.248	-2.944	0.037	0.096	-2.423	1.689	-0.478	-0.781	-2.505	0.171	-2.840	-2.482
YAL065C	0.047	0.167	0.491	-0.647	-0.244	-0.469	0.037	-0.059	1.014	0.517	-0.266	-0.408	-0.003	-0.984	-0.125	-0.077	0.012	-0.019	0.252	1.209	-0.752	-0.927	-0.530	0.900	1.463	-0.131	-1.455	-0.973	-0.372	-1.369	0.552	-1.993	-1.164
YAL066W	0.012	0.049	0.065	-2.939	-0.455	-0.002	0.144	0.741	0.241	0.086	-1.787	-0.559	-0.461	-0.340	-0.136	-2.164	-0.043	0.011	0.442	-0.439	-0.795	-1.209	-0.024	0.291	2.738	-2.333	0.014	-0.342	-1.038	-0.263	1.332	-0.941	-1.714
YAL067C	0.020	-0.115	-0.063	-2.531	-1.498	-0.323	0.402	-0.060	-0.477	-0.311	-1.765	-1.559	0.229	-0.406	-0.159	-1.931	0.604	0.416	2.006	0.035	-1.287	-1.779	NaN	1.219	0.531	-0.082	-0.003	-1.012	-0.016	-0.428	0.574	-0.289	0.029
YAL068C	-0.206	0.139	1.080	0.154	-0.008	-0.245	-0.009	0.077	-0.017	0.085	0.001	-0.259	-0.089	-0.069	0.062	-0.002	0.254	-0.055	0.325	-0.878	-0.014	-0.004	-1.846	0.065	0.525	-0.084	-0.869	-1.104	-0.725	-1.021	0.024	-1.597	-0.984
YAR002C-A	-0.161	1.331	0.081	0.005	-0.013	-1.083	0.019	0.015	-0.014	0.068	-0.060	-1.293	0.025	-0.256	0.012	-1.563	0.000	-0.112	1.172	0.061	-0.457	-1.069	0.093	0.083	1.226	-0.053	-0.344	-0.278	-0.574	-1.721	1.370	-1.803	-1.317
YAR002W	0.424	1.632	-0.021	2.071	1.538	-0.195	0.309	3.157	0.384	0.002	-0.073	-0.009	-0.132	2.019	1.994	-0.022	0.736	1.172	2.835	0.709	0.381	0.048	-4.353	0.851	0.672	0.447	0.630	2.990	6.866	-2.429	0.780	2.320	2.721
