orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBL078C	-0.03463887004131219	-0.11945830348609542			0.0	0.0
YBL079W	-1.2527107059005256	1.3497919390595987			0.0	0.0
YBL080C	-1.6111076565180098	-0.4240583938939546			-4.351823693785461	0.0
YBL081W	-0.4210404039373266	-1.0147727818672243				
YBL082C	-0.2108091872514648	-0.510505486028559			0.0	0.0
YBL083C	-0.45859655710689623	-0.9375320470108006				
YBL085W	1.3797226108033611	0.935528463073238			0.0	0.0
YBL086C	-0.1405939813094674	0.6021634031696156			0.0	0.0
YBL087C	0.7874979038159597	1.1392888059093103			0.0	0.0
YBL088C	-0.8006781348075229	-0.5206935031703627			0.0	0.0
YBL089W	0.4150096968946875	-1.4031349024342838			0.0	0.0
YBL090W					-5.053008927433221	0.0
YBL091C	0.11283779212509759	1.0244730244694766			0.0	0.0
YBL091C-A	-0.13769304890245057	-2.482591594066884			0.0	0.0
YBL093C					0.0	0.0
YBL094C	-0.7692673869257596	0.26319391676907133				
YBL095W	0.04603714954836901	-0.7682126716847151			0.0	0.0
YBL096C	-0.947630340944613	-0.5374796608229935				
YBL098W	-0.648292240698809	-0.5402912913763627			0.0	0.0
YBL099W	-1.599075652239191	-0.733959296888498			0.0	0.0
YBL100C						
YBL101C	-0.011597021929904446	-0.474705413074232			0.0	0.0
YBL102W	-0.5520610916891011	-1.330154556318295			0.0	0.0
YBL103C	-0.5101581125683365	-0.5938682224596552			0.0	0.0
YBL104C	0.6204434162798417	0.7096788898446726			0.0	0.0
YBL106C	0.2750676574697865	0.32344206664927805			0.0	0.0
YBL107C	0.5210953933592297	0.09915802618863899			0.0	0.0
YBR001C	0.0756704705312395	0.13557813449811695				
YBR003W	-4.358827980094078	0.02435674999561552			0.0	0.0
YBR005W	-0.35602216530366	-0.4498309205821126			0.0	0.0
YBR006W	-0.3258631440304274	0.30260194757979847			0.0	0.0
