ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR080C	-0.784	-0.881	NaN	NaN	NaN	NaN
YBR081C	NaN	NaN	1.048	0.938	NaN	NaN
YBR082C	NaN	NaN	0.735	0.596	NaN	NaN
YBR083W	NaN	NaN	0.098	0.280	NaN	NaN
YBR084C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBR084W	NaN	NaN	1.216	-0.103	0.546	NaN
YBR085W	NaN	NaN	-0.839	-0.608	NaN	NaN
YBR086C	NaN	NaN	-0.464	0.265	NaN	NaN
YBR087W	-2.142	-0.118	NaN	NaN	NaN	NaN
YBR088C	-0.894	-0.263	NaN	NaN	NaN	NaN
YBR089W	0.224	-0.111	NaN	NaN	NaN	NaN
YBR090C	NaN	NaN	-0.110	-0.979	NaN	NaN
YBR090C-A	NaN	NaN	0.088	-0.120	NaN	NaN
YBR091C	3.069	1.390	NaN	NaN	NaN	NaN
YBR092C	NaN	NaN	0.094	-0.369	NaN	NaN
YBR093C	NaN	NaN	-0.146	-0.613	NaN	NaN
YBR094W	NaN	NaN	-1.126	-0.973	NaN	NaN
YBR095C	NaN	NaN	1.136	2.040	NaN	NaN
YBR097W	NaN	NaN	NaN	NaN	NaN	NaN
YBR098W	NaN	NaN	0.343	3.618	NaN	1.775
YBR099C	NaN	NaN	1.367	5.776	NaN	2.727
YBR100W	NaN	NaN	0.333	1.770	NaN	1.918
YBR101C	NaN	NaN	-0.768	-1.087	NaN	NaN
YBR102C	8.536	0.988	NaN	NaN	NaN	NaN
YBR103W	NaN	NaN	0.902	-1.677	0.610	NaN
YBR104W	NaN	NaN	0.525	-0.197	NaN	NaN
YBR105C	NaN	NaN	2.199	0.209	NaN	NaN
YBR106W	NaN	NaN	-0.609	-0.951	NaN	NaN
YBR107C	NaN	NaN	0.385	0.682	NaN	NaN
YBR108W	NaN	NaN	-0.931	-1.246	NaN	NaN
YBR109C	0.677	-3.630	NaN	NaN	NaN	NaN
YBR110W	0.799	-0.677	NaN	NaN	NaN	NaN
YBR112C	NaN	NaN	NaN	NaN	NaN	NaN
YBR113W	NaN	NaN	-1.315	-1.429	NaN	NaN
YBR114W	NaN	NaN	1.092	3.916	NaN	3.234
YBR115C	NaN	NaN	-0.688	-0.399	NaN	NaN
YBR116C	NaN	NaN	0.503	1.332	NaN	NaN
YBR118W	NaN	NaN	-0.827	-0.595	NaN	NaN
YBR119W	NaN	NaN	-0.884	-0.340	NaN	NaN
YBR120C	NaN	NaN	0.896	0.281	1.041	NaN
YBR121C	-0.273	0.163	NaN	NaN	NaN	NaN
YBR123C	1.240	-0.320	NaN	NaN	NaN	NaN
YBR124W	-0.906	-0.376	NaN	NaN	NaN	NaN
YBR125C	NaN	NaN	0.869	0.882	NaN	NaN
YBR126C	NaN	NaN	0.092	0.162	NaN	NaN
YBR127C	NaN	NaN	NaN	NaN	NaN	NaN
YBR128C	NaN	NaN	0.679	0.386	NaN	NaN
YBR129C	NaN	NaN	-0.034	0.492	NaN	NaN
YBR130C	NaN	NaN	0.954	-0.012	NaN	NaN
