ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YJL175W	NaN	NaN	NaN	NaN	0.522	NaN
YJL176C	NaN	NaN	NaN	NaN	NaN	NaN
YJL177W	NaN	NaN	-0.250	-0.896	NaN	NaN
YJL178C	NaN	NaN	0.276	0.172	NaN	NaN
YJL179W	NaN	NaN	NaN	NaN	NaN	NaN
YJL180C	NaN	NaN	NaN	NaN	NaN	NaN
YJL181W	NaN	NaN	-0.185	0.448	NaN	NaN
YJL182C	NaN	NaN	-0.731	-0.146	NaN	NaN
YJL183W	NaN	NaN	-0.102	-0.043	NaN	NaN
YJL184W	NaN	NaN	NaN	NaN	NaN	NaN
YJL185C	NaN	NaN	1.213	0.644	NaN	NaN
YJL186W	NaN	NaN	0.091	-0.615	NaN	NaN
YJL187C	NaN	NaN	-0.870	-1.298	NaN	NaN
YJL188C	NaN	NaN	NaN	NaN	NaN	NaN
YJL189W	NaN	NaN	NaN	NaN	NaN	NaN
YJL190C	NaN	NaN	-0.881	-0.887	NaN	NaN
YJL191W	NaN	NaN	-0.766	-0.725	NaN	NaN
YJL192C	NaN	NaN	0.325	1.051	NaN	NaN
YJL193W	NaN	NaN	1.840	1.528	NaN	NaN
YJL194W	0.399	-0.001	NaN	NaN	NaN	NaN
YJL195C	0.199	-1.029	NaN	NaN	NaN	NaN
YJL196C	NaN	NaN	1.278	0.665	NaN	NaN
YJL197W	NaN	NaN	0.455	0.061	NaN	NaN
YJL198W	NaN	NaN	-1.901	-0.004	NaN	NaN
YJL199C	NaN	NaN	-0.168	0.328	NaN	NaN
YJL200C	NaN	NaN	-0.092	1.879	NaN	NaN
YJL201W	NaN	NaN	0.695	1.222	NaN	NaN
YJL202C	-0.627	-1.009	NaN	NaN	NaN	NaN
YJL203W	-0.942	-0.490	NaN	NaN	NaN	NaN
YJL204C	NaN	NaN	2.697	4.618	0.811	0.798
YJL206C	NaN	NaN	-0.550	-0.442	NaN	NaN
YJL206C-A	NaN	NaN	0.371	0.856	NaN	NaN
YJL207C	NaN	NaN	0.252	1.042	NaN	NaN
YJL208C	NaN	NaN	-0.970	0.228	NaN	NaN
YJL209W	NaN	NaN	4.813	-0.447	1.221	NaN
YJL210W	NaN	NaN	0.139	1.185	0.565	NaN
YJL211C	NaN	NaN	0.526	-1.164	0.651	NaN
YJL212C	NaN	NaN	0.272	0.501	NaN	NaN
YJL213W	NaN	NaN	-0.169	-1.055	NaN	NaN
YJL214W	NaN	NaN	1.078	-0.464	NaN	NaN
YJL215C	NaN	NaN	0.473	-0.307	NaN	NaN
YJL216C	NaN	NaN	-0.778	0.617	NaN	NaN
YJL217W	NaN	NaN	1.062	1.115	NaN	NaN
YJL218W	NaN	NaN	0.727	0.318	NaN	NaN
YJR001W	NaN	NaN	-1.032	-0.622	NaN	NaN
YJR002W	1.163	0.384	NaN	NaN	NaN	NaN
YJR003C	NaN	NaN	0.062	1.035	NaN	NaN
YJR004C	NaN	NaN	-0.744	-0.769	0.840	NaN
YJR005W	NaN	NaN	0.879	1.610	NaN	NaN
YJR006W	1.894	1.510	NaN	NaN	NaN	NaN
YJR007W	NaN	NaN	NaN	NaN	NaN	NaN
YJR008W	NaN	NaN	-0.923	-0.255	NaN	NaN
YJR009C	NaN	NaN	0.237	0.260	NaN	NaN
YJR010C-A	NaN	NaN	NaN	NaN	NaN	NaN
YJR010W	NaN	NaN	0.555	0.289	NaN	NaN
YJR011C	NaN	NaN	0.828	1.251	NaN	NaN
YJR012C	2.214	1.309	NaN	NaN	NaN	NaN
YJR013W	NaN	NaN	NaN	NaN	NaN	NaN
YJR014W	NaN	NaN	-0.519	-1.756	NaN	NaN
YJR015W	NaN	NaN	0.603	0.577	NaN	NaN
YJR016C	1.277	0.984	NaN	NaN	NaN	NaN
YJR017C	-0.546	-1.051	NaN	NaN	NaN	NaN
YJR018W	NaN	NaN	NaN	NaN	NaN	NaN
YJR019C	NaN	NaN	0.044	-0.003	NaN	NaN
YJR020W	NaN	NaN	-0.077	-0.485	NaN	NaN
YJR021C	NaN	NaN	0.171	0.378	NaN	NaN
YJR022W	-1.275	-0.484	NaN	NaN	NaN	NaN
YJR023C	-0.427	0.386	NaN	NaN	NaN	NaN
YJR024C	NaN	NaN	-0.501	0.199	NaN	NaN
YJR025C	NaN	NaN	0.061	0.174	NaN	NaN
YJR026W	NaN	NaN	-0.774	-0.173	NaN	NaN
YJR030C	NaN	NaN	NaN	NaN	NaN	NaN
YJR031C	NaN	NaN	0.131	0.157	NaN	NaN
YJR032W	NaN	NaN	NaN	NaN	NaN	NaN
YJR033C	NaN	NaN	-0.529	-0.671	NaN	NaN
YJR034W	NaN	NaN	3.365	-0.131	NaN	NaN
YJR035W	NaN	NaN	0.396	3.057	NaN	NaN
YJR036C	NaN	NaN	0.502	0.861	NaN	NaN
YJR037W	NaN	NaN	0.785	0.826	NaN	NaN
YJR038C	NaN	NaN	0.751	0.969	NaN	NaN
YJR039W	NaN	NaN	-0.050	-0.337	NaN	NaN
YJR040W	NaN	NaN	-0.403	0.546	NaN	0.505
YJR041C	-1.794	-1.244	NaN	NaN	NaN	NaN
YJR042W	-0.666	-0.172	NaN	NaN	NaN	NaN
YJR043C	NaN	NaN	-0.067	6.280	NaN	2.959
YJR044C	NaN	NaN	-0.030	0.385	NaN	NaN
YJR045C	-2.463	-1.835	NaN	NaN	NaN	NaN
YJR046W	NaN	NaN	NaN	NaN	NaN	NaN
YJR047C	NaN	NaN	2.089	3.204	NaN	NaN
YJR048W	NaN	NaN	0.360	-0.608	NaN	NaN
YJR049C	NaN	NaN	3.866	-0.768	NaN	NaN
YJR050W	NaN	NaN	-1.435	-1.138	NaN	NaN
YJR051W	NaN	NaN	-1.254	-0.389	NaN	NaN
YJR052W	NaN	NaN	-0.114	14.602	NaN	2.544
YJR053W	NaN	NaN	-0.334	-0.430	NaN	NaN
YJR054W	NaN	NaN	0.216	1.064	NaN	NaN
YJR055W	NaN	NaN	NaN	NaN	NaN	NaN
YJR056C	NaN	NaN	-0.213	-0.582	NaN	NaN
YJR057W	-1.729	-0.407	NaN	NaN	NaN	NaN
YJR058C	NaN	NaN	-1.348	-0.494	NaN	NaN
YJR059W	NaN	NaN	-1.125	-0.950	NaN	NaN
YJR060W	NaN	NaN	-0.233	-0.665	NaN	NaN
YJR061W	NaN	NaN	0.063	0.408	NaN	NaN
YJR062C	NaN	NaN	0.485	-0.015	NaN	NaN
YJR063W	NaN	NaN	NaN	NaN	NaN	NaN
YJR064W	-2.633	0.168	NaN	NaN	0.667	NaN
YJR065C	0.088	0.413	NaN	NaN	NaN	NaN
YJR066W	NaN	NaN	-0.790	-0.987	NaN	NaN
YJR067C	-0.759	-0.859	NaN	NaN	NaN	NaN
YJR068W	0.011	-1.416	NaN	NaN	NaN	NaN
YJR069C	NaN	NaN	0.951	0.797	NaN	NaN
YJR070C	NaN	NaN	-0.529	-0.074	NaN	NaN
YJR072C	0.919	-0.345	NaN	NaN	NaN	NaN
YJR073C	NaN	NaN	1.882	0.753	NaN	NaN
YJR074W	NaN	NaN	-0.305	0.522	NaN	NaN
YJR075W	NaN	NaN	-0.823	-1.565	NaN	NaN
YJR076C	0.677	-0.103	NaN	NaN	NaN	NaN
YJR077C	NaN	NaN	2.559	-0.250	NaN	NaN
YJR078W	NaN	NaN	-1.115	-0.719	NaN	NaN
YJR079W	NaN	NaN	NaN	NaN	NaN	NaN
YJR080C	NaN	NaN	0.564	-0.539	NaN	NaN
YJR082C	NaN	NaN	-0.722	-1.804	NaN	NaN
YJR083C	NaN	NaN	0.858	3.819	NaN	NaN
YJR084W	NaN	NaN	0.372	0.185	NaN	NaN
YJR087W	NaN	NaN	-0.840	0.129	NaN	NaN
YJR088C	NaN	NaN	-0.588	-0.063	NaN	NaN
YJR090C	NaN	NaN	NaN	NaN	NaN	NaN
YJR091C	NaN	NaN	0.050	0.971	NaN	NaN
YJR092W	NaN	NaN	-0.328	-0.714	NaN	NaN
YJR093C	0.277	-0.170	NaN	NaN	NaN	NaN
YJR094C	NaN	NaN	-0.024	0.288	NaN	NaN
YJR094W-A	NaN	NaN	-1.385	-2.780	NaN	NaN
YJR095W	NaN	NaN	-0.611	-0.052	NaN	NaN
YJR096W	NaN	NaN	-0.789	0.294	NaN	NaN
YJR097W	NaN	NaN	-0.336	-1.487	NaN	NaN
YJR098C	NaN	NaN	-0.451	-0.117	NaN	NaN
YJR099W	NaN	NaN	-0.793	-0.712	NaN	NaN
YJR100C	NaN	NaN	-0.483	-0.355	NaN	NaN
YJR102C	NaN	NaN	-0.233	-0.014	NaN	NaN
YJR103W	NaN	NaN	0.771	0.868	NaN	NaN
YJR104C	NaN	NaN	2.437	0.694	1.940	1.261
YJR105W	NaN	NaN	0.135	-0.409	NaN	NaN
YJR106W	NaN	NaN	-0.475	0.624	NaN	NaN
YJR107W	NaN	NaN	-1.012	-1.024	NaN	NaN
YJR108W	NaN	NaN	-0.079	0.369	NaN	NaN
YJR109C	NaN	NaN	0.093	-0.200	NaN	NaN
YJR110W	NaN	NaN	-0.627	-0.695	NaN	NaN
YJR111C	NaN	NaN	-0.401	1.344	NaN	NaN
YJR112W	0.197	-0.336	NaN	NaN	NaN	NaN
YJR113C	NaN	NaN	5.344	-0.571	2.228	NaN
YJR115W	NaN	NaN	-0.921	-0.902	NaN	NaN
YJR116W	NaN	NaN	-0.857	-0.367	NaN	NaN
YJR117W	NaN	NaN	1.147	0.458	NaN	NaN
YJR118C	NaN	NaN	1.782	-0.497	0.894	0.813
YJR119C	NaN	NaN	1.449	1.539	NaN	NaN
YJR120W	NaN	NaN	1.377	-0.747	NaN	NaN
YJR121W	NaN	NaN	4.866	0.845	NaN	NaN
YJR122W	NaN	NaN	3.731	0.104	1.508	NaN
YJR123W	-0.775	0.299	NaN	NaN	NaN	NaN
YJR124C	NaN	NaN	-0.813	-0.995	NaN	NaN
YJR125C	NaN	NaN	-0.327	-0.665	NaN	NaN
YJR126C	NaN	NaN	-1.030	-0.481	NaN	NaN
YJR127C	NaN	NaN	-0.610	-0.103	NaN	NaN
YJR128W	NaN	NaN	-0.085	2.347	NaN	NaN
YJR129C	NaN	NaN	1.034	1.596	NaN	NaN
YJR130C	NaN	NaN	-1.078	-0.616	NaN	NaN
YJR131W	NaN	NaN	0.451	0.312	NaN	NaN
YJR133W	NaN	NaN	-1.052	-0.435	NaN	NaN
YJR134C	NaN	NaN	-0.956	-1.012	NaN	NaN
YJR135C	NaN	NaN	-1.007	-1.172	NaN	NaN
YJR137C	NaN	NaN	-0.378	0.183	NaN	NaN
YJR139C	NaN	NaN	1.383	0.251	1.366	NaN
YJR140C	NaN	NaN	-0.520	-0.196	NaN	NaN
YJR141W	0.566	1.126	NaN	NaN	NaN	NaN
YJR142W	NaN	NaN	-0.525	2.599	NaN	NaN
YJR144W	NaN	NaN	4.354	-0.616	1.350	NaN
YJR145C	NaN	NaN	-3.191	-2.012	NaN	NaN
YJR146W	NaN	NaN	-0.440	-0.631	NaN	NaN
YJR147W	NaN	NaN	-0.169	-0.662	NaN	NaN
YJR148W	NaN	NaN	-1.110	-0.779	NaN	NaN
YJR149W	NaN	NaN	-0.895	0.073	NaN	NaN
YJR150C	NaN	NaN	-0.193	0.307	NaN	NaN
YJR152W	NaN	NaN	0.450	0.537	NaN	NaN
YJR153W	NaN	NaN	-0.347	-1.113	NaN	NaN
YJR154W	NaN	NaN	0.109	0.789	NaN	NaN
YKL001C	NaN	NaN	0.489	0.695	NaN	NaN
YKL002W	NaN	NaN	NaN	NaN	NaN	NaN
YKL003C	NaN	NaN	NaN	NaN	0.664	NaN
YKL004W	1.631	0.039	NaN	NaN	NaN	NaN
YKL005C	NaN	NaN	-0.905	-0.910	NaN	NaN
YKL006C-A	1.356	-0.395	NaN	NaN	NaN	NaN
YKL006W	NaN	NaN	NaN	NaN	NaN	NaN
YKL007W	NaN	NaN	0.061	0.443	NaN	NaN
YKL008C	NaN	NaN	-0.575	0.101	NaN	NaN
YKL009W	NaN	NaN	NaN	NaN	NaN	NaN
YKL010C	NaN	NaN	-1.477	-1.326	NaN	NaN
YKL011C	NaN	NaN	-0.493	-0.364	NaN	NaN
YKL012W	0.843	0.777	NaN	NaN	NaN	NaN
YKL013C	2.715	0.086	NaN	NaN	NaN	NaN
YKL014C	1.226	-0.563	NaN	NaN	NaN	NaN
YKL015W	NaN	NaN	-0.552	-0.037	NaN	NaN
YKL016C	NaN	NaN	1.886	-0.525	1.097	NaN
YKL017C	NaN	NaN	-0.009	-0.466	NaN	NaN
YKL018W	1.458	-1.421	NaN	NaN	NaN	NaN
YKL019W	1.768	1.081	NaN	NaN	NaN	NaN
YKL020C	NaN	NaN	2.791	0.772	NaN	NaN
YKL021C	-2.777	-0.673	NaN	NaN	NaN	NaN
YKL022C	0.686	0.189	NaN	NaN	NaN	NaN
YKL023W	NaN	NaN	-0.510	-1.496	NaN	NaN
YKL024C	NaN	NaN	NaN	NaN	NaN	NaN
YKL025C	NaN	NaN	-0.054	-1.908	0.632	NaN
YKL026C	NaN	NaN	-0.843	-0.985	NaN	NaN
YKL027W	NaN	NaN	0.183	0.635	NaN	NaN
YKL028W	1.072	0.972	NaN	NaN	NaN	NaN
YKL029C	NaN	NaN	0.495	0.417	NaN	NaN
YKL030W	NaN	NaN	-1.275	-0.707	NaN	NaN
YKL031W	NaN	NaN	-1.923	-1.224	NaN	NaN
YKL032C	NaN	NaN	-0.265	0.785	NaN	NaN
YKL033W	0.995	0.222	NaN	NaN	NaN	NaN
YKL033W-A	NaN	NaN	-0.453	2.689	NaN	NaN
YKL034W	NaN	NaN	-0.004	-0.333	NaN	NaN
YKL035W	1.116	-1.402	NaN	NaN	NaN	NaN
YKL036C	-0.373	-0.850	NaN	NaN	NaN	NaN
YKL037W	NaN	NaN	1.945	0.291	NaN	NaN
YKL038W	NaN	NaN	-0.918	-0.471	NaN	NaN
YKL039W	NaN	NaN	-1.362	-0.232	NaN	NaN
YKL040C	NaN	NaN	0.405	0.543	NaN	NaN
YKL041W	NaN	NaN	2.776	-0.513	NaN	NaN
YKL042W	0.761	-0.165	NaN	NaN	NaN	NaN
YKL043W	NaN	NaN	-0.854	-1.229	NaN	NaN
YKL044W	NaN	NaN	-1.326	-1.003	NaN	NaN
YKL045W	0.062	1.418	NaN	NaN	NaN	NaN
YKL046C	NaN	NaN	-1.680	-1.538	NaN	NaN
YKL047W	NaN	NaN	-0.681	-0.107	NaN	NaN
YKL048C	NaN	NaN	0.300	0.907	NaN	1.061
YKL049C	0.704	-1.496	NaN	NaN	NaN	NaN
YKL050C	NaN	NaN	-0.123	-0.214	NaN	NaN
YKL051W	NaN	NaN	-1.367	-1.306	NaN	NaN
YKL052C	3.008	1.425	NaN	NaN	NaN	NaN
YKL053C-A	NaN	NaN	0.488	-0.035	NaN	NaN
YKL053W	NaN	NaN	-1.416	-2.602	NaN	NaN
YKL054C	NaN	NaN	NaN	NaN	NaN	NaN
YKL055C	NaN	NaN	NaN	NaN	0.927	NaN
YKL056C	NaN	NaN	-0.641	-0.026	NaN	NaN
YKL057C	NaN	NaN	-1.805	0.972	NaN	NaN
YKL058W	-0.422	-0.365	NaN	NaN	NaN	NaN
YKL059C	1.043	0.280	NaN	NaN	NaN	NaN
YKL060C	0.862	0.447	NaN	NaN	NaN	NaN
YKL061W	NaN	NaN	-1.096	-1.026	NaN	NaN
YKL062W	NaN	NaN	0.439	0.181	NaN	NaN
YKL063C	NaN	NaN	-0.434	-0.272	NaN	NaN
YKL064W	NaN	NaN	-0.290	-0.029	NaN	NaN
YKL065C	NaN	NaN	0.603	-0.608	NaN	NaN
YKL066W	NaN	NaN	0.618	0.618	NaN	NaN
YKL067W	NaN	NaN	-0.358	-0.283	NaN	NaN
YKL068W	NaN	NaN	0.189	0.532	NaN	NaN
YKL069W	NaN	NaN	-2.372	-1.751	NaN	NaN
YKL070W	NaN	NaN	0.231	-0.238	NaN	NaN
YKL071W	NaN	NaN	-0.443	-0.540	NaN	NaN
YKL072W	NaN	NaN	-1.052	-0.101	NaN	NaN
YKL073W	NaN	NaN	NaN	NaN	NaN	NaN
YKL074C	NaN	NaN	0.067	0.084	NaN	NaN
YKL075C	NaN	NaN	0.182	1.773	NaN	NaN
YKL076C	NaN	NaN	1.340	1.879	NaN	NaN
YKL077W	NaN	NaN	0.879	-0.864	NaN	NaN
YKL078W	-0.260	-0.500	NaN	NaN	NaN	NaN
YKL079W	NaN	NaN	-1.086	0.410	NaN	NaN
YKL080W	NaN	NaN	NaN	NaN	NaN	NaN
YKL081W	NaN	NaN	-1.124	-1.233	NaN	NaN
YKL082C	-1.510	1.612	NaN	NaN	NaN	NaN
YKL083W	NaN	NaN	NaN	NaN	NaN	NaN
YKL084W	NaN	NaN	-0.983	-0.616	NaN	NaN
YKL085W	NaN	NaN	0.383	0.763	NaN	NaN
YKL086W	NaN	NaN	-0.298	-0.405	NaN	NaN
YKL087C	NaN	NaN	2.409	-0.013	0.675	NaN
YKL088W	0.942	0.708	NaN	NaN	NaN	NaN
YKL089W	2.166	0.220	NaN	NaN	NaN	NaN
YKL090W	NaN	NaN	0.785	0.600	NaN	NaN
YKL091C	NaN	NaN	-0.451	0.031	NaN	NaN
YKL092C	NaN	NaN	-0.689	-1.122	NaN	NaN
YKL093W	NaN	NaN	-0.867	-0.295	NaN	NaN
YKL094W	NaN	NaN	-0.476	-0.304	NaN	NaN
YKL095W	0.918	1.621	NaN	NaN	NaN	NaN
YKL096W	NaN	NaN	-1.750	-1.344	NaN	NaN
YKL096W-A	NaN	NaN	-0.279	-0.213	NaN	NaN
YKL097C	NaN	NaN	-0.157	0.035	NaN	NaN
YKL098W	NaN	NaN	-0.987	-0.111	NaN	NaN
YKL099C	-1.545	0.362	NaN	NaN	NaN	NaN
YKL100C	NaN	NaN	0.190	0.603	NaN	NaN
YKL101W	NaN	NaN	NaN	NaN	NaN	NaN
YKL102C	NaN	NaN	-0.686	0.511	NaN	NaN
YKL103C	NaN	NaN	0.119	-0.235	NaN	NaN
YKL104C	1.019	-0.206	NaN	NaN	NaN	NaN
YKL105C	NaN	NaN	-0.570	-0.066	NaN	NaN
YKL106W	NaN	NaN	0.755	0.572	NaN	NaN
YKL107W	NaN	NaN	-0.065	0.071	NaN	NaN
YKL108W	2.365	0.685	NaN	NaN	NaN	NaN
YKL109W	NaN	NaN	1.353	-0.816	0.839	NaN
YKL110C	NaN	NaN	0.144	-0.318	NaN	NaN
YKL111C	3.225	0.538	NaN	NaN	NaN	NaN
YKL112W	4.563	-0.503	NaN	NaN	NaN	NaN
YKL113C	NaN	NaN	NaN	NaN	NaN	0.604
YKL114C	NaN	NaN	NaN	NaN	NaN	NaN
YKL115C	NaN	NaN	0.510	0.419	NaN	NaN
YKL116C	NaN	NaN	-0.254	0.129	NaN	NaN
YKL117W	NaN	NaN	0.300	0.050	NaN	NaN
YKL118W	NaN	NaN	NaN	NaN	NaN	0.595
YKL119C	NaN	NaN	NaN	NaN	NaN	NaN
YKL120W	NaN	NaN	-1.156	-0.277	NaN	NaN
YKL121W	NaN	NaN	1.702	6.480	NaN	NaN
YKL122C	1.670	0.707	NaN	NaN	NaN	NaN
YKL123W	NaN	NaN	-0.242	0.445	NaN	NaN
YKL124W	NaN	NaN	-0.131	0.088	NaN	NaN
YKL125W	-0.481	-0.244	NaN	NaN	NaN	NaN
YKL126W	NaN	NaN	2.510	1.142	NaN	NaN
YKL127W	NaN	NaN	0.430	0.579	NaN	NaN
YKL128C	NaN	NaN	-0.284	-0.566	NaN	NaN
YKL129C	NaN	NaN	-0.894	0.243	NaN	NaN
YKL130C	NaN	NaN	-0.030	-0.548	NaN	NaN
YKL131W	NaN	NaN	0.555	0.615	NaN	NaN
YKL132C	NaN	NaN	-0.049	0.008	NaN	NaN
YKL133C	NaN	NaN	0.454	0.961	NaN	NaN
YKL134C	NaN	NaN	NaN	NaN	1.426	NaN
YKL135C	NaN	NaN	0.102	0.728	NaN	NaN
YKL136W	NaN	NaN	-0.600	1.563	NaN	NaN
YKL137W	NaN	NaN	2.067	0.481	NaN	NaN
YKL138C	NaN	NaN	2.727	0.108	0.946	NaN
YKL138C-A	-0.130	0.711	NaN	NaN	NaN	NaN
YKL139W	NaN	NaN	NaN	NaN	NaN	NaN
YKL140W	NaN	NaN	-0.214	-0.097	NaN	NaN
YKL141W	1.143	0.443	NaN	NaN	NaN	NaN
YKL142W	NaN	NaN	0.952	1.145	NaN	NaN
YKL143W	NaN	NaN	-0.591	0.303	NaN	NaN
YKL144C	0.106	0.313	NaN	NaN	NaN	NaN
YKL145W	-1.430	0.340	NaN	NaN	NaN	NaN
YKL146W	NaN	NaN	-0.165	-0.249	NaN	NaN
YKL147C	NaN	NaN	0.112	1.188	NaN	NaN
YKL148C	NaN	NaN	NaN	NaN	NaN	NaN
YKL149C	NaN	NaN	-1.605	-1.171	NaN	NaN
YKL150W	NaN	NaN	NaN	NaN	NaN	NaN
YKL151C	NaN	NaN	0.366	0.190	NaN	NaN
YKL152C	1.418	1.797	NaN	NaN	NaN	NaN
YKL153W	0.086	0.298	NaN	NaN	NaN	NaN
YKL154W	2.126	1.579	NaN	NaN	NaN	NaN
YKL155C	NaN	NaN	5.007	1.308	2.216	NaN
YKL156W	NaN	NaN	-0.914	-0.278	NaN	NaN
YKL157W	NaN	NaN	0.509	1.061	NaN	NaN
YKL158W	NaN	NaN	-0.546	-0.406	NaN	NaN
YKL159C	NaN	NaN	-0.791	1.055	NaN	NaN
YKL160W	NaN	NaN	0.848	-1.147	NaN	NaN
YKL161C	NaN	NaN	-0.109	-0.720	NaN	NaN
YKL162C	NaN	NaN	1.269	-0.138	NaN	NaN
YKL162C-A	NaN	NaN	-0.145	0.415	NaN	NaN
YKL163W	NaN	NaN	0.351	0.213	NaN	NaN
YKL164C	NaN	NaN	-0.459	0.328	NaN	NaN
YKL165C	3.653	0.068	NaN	NaN	NaN	NaN
YKL166C	NaN	NaN	1.599	0.454	NaN	NaN
YKL167C	NaN	NaN	2.574	-0.345	0.899	NaN
YKL168C	NaN	NaN	0.850	1.268	NaN	NaN
YKL169C	NaN	NaN	3.772	-1.563	1.486	NaN
YKL170W	NaN	NaN	NaN	NaN	1.920	NaN
YKL171W	NaN	NaN	-0.206	-0.534	NaN	NaN
YKL172W	-4.010	-2.678	NaN	NaN	NaN	NaN
YKL173W	1.275	-0.048	NaN	NaN	NaN	NaN
YKL174C	NaN	NaN	1.216	0.929	NaN	NaN
YKL175W	NaN	NaN	0.024	0.063	NaN	NaN
YKL176C	NaN	NaN	-0.680	-0.613	NaN	NaN
YKL177W	-1.387	-1.180	NaN	NaN	NaN	NaN
YKL178C	-0.617	1.265	NaN	NaN	NaN	NaN
YKL179C	NaN	NaN	-0.178	0.029	NaN	NaN
YKL180W	NaN	NaN	NaN	NaN	NaN	NaN
YKL181W	NaN	NaN	0.007	0.082	NaN	NaN
YKL182W	13.720	1.560	NaN	NaN	NaN	NaN
YKL183W	NaN	NaN	0.115	0.638	NaN	NaN
YKL184W	NaN	NaN	0.540	0.992	NaN	NaN
YKL185W	NaN	NaN	1.732	2.481	NaN	NaN
YKL186C	-0.184	1.069	NaN	NaN	NaN	NaN
YKL187C	NaN	NaN	0.579	0.998	NaN	NaN
YKL188C	NaN	NaN	0.484	0.597	NaN	NaN
YKL189W	2.503	0.785	NaN	NaN	NaN	NaN
YKL190W	NaN	NaN	1.882	1.131	NaN	NaN
YKL191W	NaN	NaN	-0.352	1.225	NaN	NaN
YKL192C	0.508	0.101	NaN	NaN	NaN	NaN
YKL193C	-0.947	-1.771	NaN	NaN	NaN	NaN
YKL194C	NaN	NaN	12.972	-0.906	1.832	NaN
YKL195W	1.187	0.242	NaN	NaN	NaN	NaN
YKL196C	1.193	1.071	NaN	NaN	NaN	NaN
YKL197C	NaN	NaN	1.406	0.766	NaN	NaN
YKL198C	NaN	NaN	0.268	0.577	NaN	NaN
YKL199C	NaN	NaN	0.547	1.589	NaN	NaN
YKL200C	NaN	NaN	0.248	0.766	NaN	NaN
YKL201C	NaN	NaN	0.403	0.640	NaN	NaN
YKL202W	NaN	NaN	-0.567	0.353	NaN	NaN
YKL203C	NaN	NaN	NaN	NaN	NaN	NaN
YKL204W	NaN	NaN	NaN	NaN	NaN	1.895
YKL205W	NaN	NaN	-0.387	-0.778	NaN	NaN
YKL206C	NaN	NaN	-0.281	1.018	NaN	NaN
YKL207W	NaN	NaN	1.436	1.624	NaN	NaN
YKL208W	NaN	NaN	1.907	-0.037	0.561	NaN
YKL209C	-1.097	-0.427	NaN	NaN	NaN	NaN
YKL210W	0.897	0.750	NaN	NaN	NaN	NaN
YKL211C	NaN	NaN	8.763	-0.032	1.199	NaN
YKL212W	NaN	NaN	0.400	0.318	1.278	NaN
YKL213C	NaN	NaN	2.005	3.965	NaN	NaN
YKL214C	NaN	NaN	-0.256	0.330	NaN	NaN
YKL215C	NaN	NaN	0.365	0.821	NaN	NaN
YKL216W	NaN	NaN	-1.165	0.663	NaN	NaN
YKL217W	NaN	NaN	0.252	0.645	NaN	NaN
YKL218C	NaN	NaN	-0.700	-0.107	NaN	NaN
YKL220C	NaN	NaN	0.519	2.412	NaN	NaN
YKL221W	NaN	NaN	1.453	0.484	NaN	NaN
YKL222C	NaN	NaN	0.115	0.288	NaN	NaN
YKR001C	NaN	NaN	NaN	NaN	NaN	NaN
YKR002W	0.719	0.591	NaN	NaN	NaN	NaN
YKR003W	NaN	NaN	0.182	-0.090	NaN	NaN
YKR004C	0.452	0.899	NaN	NaN	NaN	NaN
YKR005C	NaN	NaN	0.451	0.862	NaN	NaN
YKR006C	NaN	NaN	3.483	1.310	2.074	NaN
YKR007W	NaN	NaN	-0.212	-0.952	NaN	NaN
YKR008W	0.498	0.143	NaN	NaN	NaN	NaN
YKR009C	NaN	NaN	0.934	0.706	NaN	NaN
YKR010C	NaN	NaN	2.202	0.231	NaN	NaN
YKR011C	NaN	NaN	-0.647	-0.199	NaN	NaN
YKR012C	NaN	NaN	0.107	0.240	NaN	NaN
YKR013W	NaN	NaN	-0.116	0.983	NaN	NaN
YKR014C	NaN	NaN	1.369	2.160	NaN	NaN
YKR015C	NaN	NaN	0.038	0.780	NaN	NaN
YKR016W	NaN	NaN	1.484	-0.233	NaN	NaN
YKR017C	NaN	NaN	0.666	-0.678	NaN	NaN
YKR018C	NaN	NaN	-0.007	0.473	NaN	NaN
YKR019C	NaN	NaN	-2.651	-1.725	NaN	NaN
YKR020W	NaN	NaN	-0.848	-1.737	NaN	NaN
YKR021W	NaN	NaN	0.598	0.839	NaN	NaN
YKR022C	0.706	-0.142	NaN	NaN	NaN	NaN
YKR023W	NaN	NaN	0.397	0.129	NaN	NaN
YKR024C	NaN	NaN	NaN	NaN	NaN	NaN
YKR025W	1.029	-0.043	NaN	NaN	NaN	NaN
YKR026C	NaN	NaN	3.624	0.649	NaN	NaN
YKR027W	NaN	NaN	-0.689	-1.211	0.532	NaN
