orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR036C	-0.0427269	1.74807			-0.0	-0.0
YBR037C	-4.07044	1.6934			-1.34998813705592	-0.0
YBR039W	-4.46353	0.178901				
YBR040W	-1.3265	0.394126				
YBR041W	-0.780671	0.467061			-0.0	-0.0
YBR042C	-0.384985	0.367267			-0.0	-0.0
YBR043C	0.957464	0.953635				
YBR044C	-1.11265	-1.32792			-0.0	-0.0
YBR045C	-0.466494	-0.808848			-0.0	-0.0
YBR046C	-0.582258	-0.544672				
YBR047W	0.381988	0.0997617			-0.0	-0.0
YBR048W	0.101703	1.11265			-0.0	-0.0
YBR050C	1.0638	0.947221				
YBR051W	1.61425	1.11117				
YBR052C	1.03633	0.999482			-0.0	-0.0
YBR053C	0.709853	0.950354			-0.0	-0.0
YBR054W	0.375119	0.45812				
YBR056W	1.23271	0.776549				
YBR057C	-0.240284	0.220983			-0.0	-0.0
YBR058C	-0.979173	-0.490743			-0.0	-0.0
YBR059C	-0.224234	-1.32565			-0.0	-0.0
YBR061C	0.286364	0.806639				
YBR062C	1.48984	1.07165			-0.0	-0.0
YBR063C	1.06428	1.43881			-0.0	-0.0
YBR064W	0.888027	0.546405				
YBR065C	0.490909	1.29795			-0.0	-0.0
YBR066C	0.881068	-0.140782			-0.0	-0.0
YBR067C	0.0916192	0.585068			-0.0	-0.0
YBR068C	0.28024	1.0415			-0.0	-0.0
YBR069C	-8.75318	2.81426			-1.2349570282142701	-0.0
YBR071W	0.821789	0.773745			-0.0	-0.0
YBR072W	0.237212	0.715189				
YBR073W	-0.275871	-1.16871			-0.0	-0.0
YBR074W	-0.5632686666666666	-1.170182			-0.0	-0.0
YBR076W	1.18097	1.88167			-0.0	-0.0
YBR077C	1.39189	1.01917				
YBR078W	-2.01407	-0.211308				
YBR081C	-1.04831	-0.937837			-0.0	-0.0
YBR082C	-0.735229	-0.596433				
YBR083W	-0.0977481	-0.280192			-0.0	-0.0
YBR084C-A					-0.0	-0.0
YBR084W	-1.21613	0.103291			-0.5458322714150555	-0.0
YBR085W	0.839024	0.607982			-0.0	-0.0
YBR086C	0.463512	-0.26501				
YBR089C-A	-0.0875741	0.119926				
YBR090C	0.110111	0.979425				
YBR092C	-0.0938199	0.368602				
YBR093C	0.145691	0.613332			-0.0	-0.0
YBR094W	1.12572	0.973295			-0.0	-0.0
YBR095C	-1.13557	-2.04036			-0.0	-0.0
YBR097W					-0.0	-0.0
YBR098W	-0.3381495	-2.69395			-0.0	-1.7748824131331502
YBR099C	-1.36723	-5.77619				
YBR101C	0.768491	1.0865			-0.0	-0.0
YBR103W	-0.901603	1.67716			-0.6099098032216845	-0.0
YBR104W	-0.525056	0.197207			-0.0	-0.0
YBR105C	-2.1988	-0.208794			-0.0	-0.0
YBR106W	0.60863	0.951146				
YBR107C	-0.384732	-0.682466			-0.0	-0.0
YBR108W	0.930792	1.24575				
YBR112C						
YBR113W	1.31453	1.42877				
YBR114W	-1.09222	-3.91593				
YBR115C	0.688093	0.398831				
YBR116C	-0.503146	-1.33174				
YBR118W	0.827482	0.594616				
YBR119W	0.884182	0.34014			-0.0	-0.0
YBR120C	-0.896398	-0.280738			-1.0407202246749325	-0.0
YBR125C	-0.86871	-0.881724			-0.0	-0.0
YBR126C	-0.0916494	-0.161629			-0.0	-0.0
YBR127C					-0.0	-0.0
YBR128C	-0.678929	-0.385924			-0.0	-0.0
YBR129C	0.033593	-0.491616			-0.0	-0.0
YBR130C	-0.953843	0.0119937			-0.0	-0.0
YBR131W	1.48969	2.91032			-0.0	-0.0
YBR133C					-0.0	-0.0
YBR134W	-0.821273	-1.99261				
YBR137W	0.394243	0.916562			-0.0	-0.0
YBR138C	-0.949151	-0.94272			-0.0	-0.0
YBR139W	0.152083	-0.274452			-0.0	-0.0
YBR141C	-1.26301	-1.38572			-0.0	-0.0
YBR144C	0.300605	1.70332				
YBR145W	-0.224962	-0.0345464			-0.0	-0.0
YBR146W	-0.475083	-0.733181			-0.0	-0.0
YBR147W	-0.745307	-1.18372			-0.0	-0.0
YBR148W	-0.474116	0.117845			-0.0	-0.0
YBR149W	-1.69586	-1.11797			-0.0	-0.0
YBR150C	0.421366	-0.175821			-0.0	-0.0
YBR151W	1.71056	1.55903			-0.0	-0.0
YBR156C	-1.95206	-2.8317			-0.0	-0.0
YBR157C	0.677649	1.04518			-0.0	-0.0
YBR158W	-0.710503	-0.84776			-0.0	-0.0
YBR159W	1.16019	0.689649				
YBR161W	0.945608	1.4165				
YBR162C	-1.04076	-0.688397			-0.0	-0.0
YBR162W-A	-0.171425	0.44965			-0.0	-0.0
YBR163W					-1.9228241997264002	-0.0
YBR164C	2.41421	2.23762				
YBR165W	0.0515337	-0.545882			-0.0	-0.0
YBR168W					-0.0	-0.0
YBR169C	0.0680803	-0.904482			-0.0	-0.0
YBR170C					-0.0	-0.0
YBR171W	-1.50552	1.05848				
YBR172C	0.125901	0.907916				
YBR173C	-0.231475	-0.151321			-1.77264005117383	-0.0
YBR174C	-0.402665	-0.455001				
YBR175W	-0.356231	-0.424808			-0.0	-0.0
YBR176W	0.739006	0.869218				
YBR177C	0.302667	0.568077			-0.0	-0.0
YBR178W	0.70502	1.08404				
YBR179C	-4.56794	0.0447802			-1.1793125196042848	-0.0
YBR180W	-1.05481	-0.366417			-0.0	-0.0
YBR181C	2.76583	1.72245			-0.0	-0.0
YBR182C	1.82611	0.920449			-0.0	-0.0
YBR183W	1.50234	1.1251			-0.0	-0.0
YBR184W	0.00831835	-0.779002				
YBR185C	-2.66834	0.443414			-0.0	-0.0
YBR186W	-0.293406	0.390651				
YBR187W	-0.890465	-0.508274			-0.0	-0.0
YBR188C					-0.0	-0.0
YBR189W	0.0383255	-0.197081	2.18627	0.460401	-0.0	-0.0
YBR191W	-1.30595	-0.195644			-0.0	-0.0
YBR194W					-0.0	-0.0
YBR195C	0.201155	-1.55826			-0.0	-0.0
YBR197C	-0.469857	-0.460257			-0.0	-0.0
YBR199W	0.919504	2.04511			-0.0	-0.0
YBR200W					-0.0	-0.0
YBR201W	0.0746826	-0.0570077			-0.0	-0.0
YBR203W	0.75974	0.720896			-0.0	-0.0
YBR204C	0.37026	1.06659			-0.0	-0.0
YBR205W	0.771524	1.09899			-0.0	-0.0
YBR206W						
YBR207W	0.0469488	0.205974			-0.0	-0.0
YBR208C	-1.19324	-3.44362			-0.0	-0.0
YBR210W	0.959522	0.511368			-0.0	-0.0
YBR212W	-0.0122265	-0.18006			-0.0	-0.0
YBR213W					-0.0	-0.0
YBR214W					-0.0	-0.0
YBR215W	-0.158722	-0.415847			-0.0	-0.0
YBR216C					-0.0	-0.0
YBR217W	-0.030917	-0.14468			-0.0	-0.0
YBR218C					-0.0	-0.0
YBR219C					-0.0	-0.0
YBR220C					-0.0	-0.0
YBR221C						
YBR222C					-0.0	-0.0
YBR223C					-0.0	-0.0
YBR224W						
YBR225W					-0.0	-0.0
YBR226C	0.0758495	0.262975				
YBR227C	-0.0312076	-1.03584			-0.0	-0.0
YBR228W	0.210911	0.833845			-0.0	-0.0
YBR229C	-0.134719	0.902852				
YBR230C	0.137412	-1.50809			-0.0	-0.0
YBR231C						
YBR232C	0.653324	0.226361				
YBR233W	0.708706	1.35389			-0.0	-0.0
YBR235W	-0.223764	-0.0631619			-0.0	-0.0
YBR238C	0.352203	0.796702			-0.0	-0.0
YBR239C	-1.51752	-1.10846			-0.0	-0.0
YBR240C					-0.0	-0.0
YBR241C	0.398356	-0.0626121			-0.0	-0.0
YBR242W	0.0448616	0.387335			-0.0	-0.0
YBR244W	-0.225992	0.0322534			-0.0	-2.0984348053727553
YBR245C	0.560627	1.5932			-0.0	-0.0
YBR246W	0.261303	1.01356			-0.0	-0.0
YBR248C	1.18471	0.762809			-0.0	-0.0
YBR249C	0.371807	0.0905194			-0.0	-0.0
YBR250W	1.25328	0.28203			-0.0	-0.0
YBR251W					-1.503851038893695	-0.0
