orf	hap a | growth (general) | overexpression of the [PSI+] prion [GAL for 3 d at 30C] | None | Tyedmers J~Lindquist S, 2008
YJL164C	-4.237195745881251
YJL187C	-4.237195745881251
YJR010C-A	4.3236691284502555
YJR010W	4.3236691284502555
YJR051W	4.3236691284502555
YJR058C	4.3236691284502555
YJR059W	4.3236691284502555
YJR062C	4.3236691284502555
YJR083C	-4.237195745881251
YJR088C	-4.237195745881251
YJR110W	-4.237195745881251
YJR115W	4.3236691284502555
YJR129C	-4.237195745881251
YJR140C	-4.237195745881251
YKL046C	4.3236691284502555
YKL047W	4.3236691284502555
YKL054C	4.3236691284502555
YKL185W	4.3236691284502555
YKL211C	-4.237195745881251
YKL212W	-4.237195745881251
YKR015C	4.3236691284502555
YKR036C	-4.237195745881251
YKR091W	-4.237195745881251
YLL007C	-4.237195745881251
YLL013C	4.3236691284502555
YLL020C	4.3236691284502555
YLL026W	4.3236691284502555
YLL029W	-4.237195745881251
YLL055W	4.3236691284502555
YLR050C	4.3236691284502555
YLR079W	-4.237195745881251
YLR085C	4.3236691284502555
YLR102C	4.3236691284502555
YLR113W	-4.237195745881251
YLR237W	4.3236691284502555
YLR238W	4.3236691284502555
YLR318W	4.3236691284502555
YLR370C	-4.237195745881251
YLR372W	4.3236691284502555
YLR394W	-4.237195745881251
YLR437C	4.3236691284502555
YLR452C	-4.237195745881251
YML021C	-4.237195745881251
YML027W	-4.237195745881251
YML034W	4.3236691284502555
YML061C	4.3236691284502555
YML099C	4.3236691284502555
YML107C	4.3236691284502555
YMR037C	-4.237195745881251
YMR048W	4.3236691284502555
YMR052W	4.3236691284502555
YMR069W	4.3236691284502555
YMR086W	4.3236691284502555
YMR106C	4.3236691284502555
YMR126C	4.3236691284502555
YMR161W	4.3236691284502555
YMR214W	4.3236691284502555
YMR223W	-4.237195745881251
YMR224C	-4.237195745881251
YNL012W	4.3236691284502555
YNL016W	4.3236691284502555
YNL035C	4.3236691284502555
YNL047C	4.3236691284502555
YNL068C	-4.237195745881251
YNL095C	-4.237195745881251
YNL096C	4.3236691284502555
YNL107W	4.3236691284502555
YNL127W	4.3236691284502555
YNL136W	-4.237195745881251
YNL148C	-4.237195745881251
YNL175C	4.3236691284502555
YNL183C	-4.237195745881251
YNL198C	4.3236691284502555
YNL293W	4.3236691284502555
YNL311C	-4.237195745881251
YNL322C	-4.237195745881251
YNL327W	4.3236691284502555
YNL329C	-4.237195745881251
YNR031C	-4.237195745881251
YNR032W	4.3236691284502555
YNR059W	-4.237195745881251
YOL015W	4.3236691284502555
YOL045W	4.3236691284502555
YOL076W	-4.237195745881251
YOL101C	-4.237195745881251
YOL105C	-4.237195745881251
YOL117W	-4.237195745881251
YOR008C	-4.237195745881251
YOR014W	4.3236691284502555
YOR042W	4.3236691284502555
YOR043W	-4.237195745881251
YOR058C	4.3236691284502555
YOR070C	-4.237195745881251
YOR089C	-4.237195745881251
YOR094W	4.3236691284502555
YOR127W	4.3236691284502555
YOR161C	4.3236691284502555
YOR177C	4.3236691284502555
YOR183W	-4.237195745881251
YOR192C	4.3236691284502555
YOR198C	4.3236691284502555
YOR267C	4.3236691284502555
YOR276W	4.3236691284502555
YOR298C-A	4.3236691284502555
YOR301W	4.3236691284502555
YOR344C	4.3236691284502555
YOR360C	-4.237195745881251
YPL019C	4.3236691284502555
YPL133C	-4.237195745881251
YPL158C	4.3236691284502555
YPL177C	4.3236691284502555
YPL179W	-4.237195745881251
YPL195W	4.3236691284502555
YPL220W	4.3236691284502555
YPR070W	-4.237195745881251
YPR096C	-4.237195745881251
YPR132W	4.3236691284502555
YPR151C	4.3236691284502555
YPR167C	4.3236691284502555
YPR170C	-4.237195745881251
YPR188C	-4.237195745881251
YPR197C	-4.237195745881251
