ORF	hap a | cell size | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | round cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pointed cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | elongated cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | pseudohyphal-like cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | budding cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | polarized bud growth cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | clumped cell shape | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006	hap a | slight shmoo | YPD [standard] | Narayanaswamy R~Marcotte EM, 2006
YBL059W	0.000	0.000	0.500	0.250	0.000	0.000	0.000	0.000	-1.500
YBL060W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL061C	0.000	0.000	0.125	0.375	0.000	0.000	0.000	0.000	-1.500
YBL062W	0.000	0.000	1.125	1.500	0.000	0.000	0.000	0.125	0.000
YBL063W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL064C	0.750	0.000	0.000	1.000	0.000	0.000	0.000	0.000	-1.500
YBL065W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL066C	0.250	0.000	0.000	0.500	0.000	0.000	0.000	0.000	-0.500
YBL067C	-0.375	0.000	0.375	0.375	0.000	0.000	0.000	0.000	-2.500
YBL068W	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	-2.000
YBL069W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL070C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL071C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL072C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL075C	0.000	0.000	0.000	0.750	0.000	0.500	0.000	0.000	-2.000
YBL078C	0.000	0.000	0.250	1.625	0.000	0.000	0.000	0.000	-1.000
YBL079W	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	-0.500
YBL080C	0.000	0.000	1.250	0.000	0.000	0.000	0.000	0.000	-1.000
YBL081W	0.000	0.000	0.250	0.250	0.000	0.000	0.000	0.000	-1.500
YBL082C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL083C	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL085W	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000
YBL086C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL087C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBL088C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBL089W	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-1.000
YBL090W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBL091C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000
YBL091C-A	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBL093C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL094C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBL095W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL096C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL098W	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.500
YBL099W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL100C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL101C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YBL102W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBL103C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBL104C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBL106C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBL107C	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-2.000
YBR001C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR003W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR005W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR006W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR007C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR008C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBR009C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR010W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR012C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR013C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR014C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR015C	0.000	0.000	0.750	0.125	0.000	0.000	0.000	0.500	-2.500
YBR016W	0.000	0.000	0.000	0.750	0.000	0.000	0.000	0.250	-2.000
YBR018C	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.000
YBR019C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR020W	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.062	0.000
YBR021W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR022W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBR023C	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR024W	0.000	0.000	1.250	0.000	0.000	0.000	0.000	0.250	0.000
YBR025C	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000
YBR026C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR027C	0.750	0.000	1.500	0.750	0.000	0.000	0.000	0.000	-3.000
YBR028C	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBR030W	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-2.500
YBR031W	0.000	0.000	0.125	0.125	0.000	0.000	0.000	0.000	-2.000
YBR032W	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-2.000
YBR033W	-1.750	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-1.500
YBR034C	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-2.000
YBR035C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR036C	1.000	0.250	0.000	0.250	0.000	0.000	0.000	0.000	-2.500
YBR037C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR040W	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR041W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR042C	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	0.000
YBR043C	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-1.500
YBR044C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR045C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR046C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR047W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR048W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR050C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR051W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR052C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR053C	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	-1.500
YBR054W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR057C	0.500	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBR058C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR059C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR061C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBR062C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR063C	0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR064W	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR065C	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YBR066C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR067C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR068C	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000
YBR069C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR071W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR072W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR073W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR074W	0.000	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-3.500
YBR075W	0.000	0.000	0.062	0.188	0.000	0.000	0.000	0.000	0.000
YBR076W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR077C	0.000	0.000	0.000	0.375	0.000	0.000	0.000	0.000	-2.000
YBR078W	0.500	1.000	0.125	0.250	0.000	0.000	0.000	0.000	-1.000
YBR081C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR082C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR083W	-0.125	0.000	0.000	0.375	0.000	0.000	0.000	0.000	-1.500
YBR084C-A	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR084W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR085W	2.625	0.000	0.000	1.500	0.000	0.000	0.000	0.000	-3.500
YBR090C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR090C-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR092C	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR093C	0.000	0.000	0.125	0.500	0.000	0.000	0.000	0.000	-3.000
YBR094W	-2.000	0.000	1.875	0.000	0.000	0.000	0.000	0.000	-1.500
YBR095C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR097W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR098W	0.125	0.250	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR099C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBR100W	0.000	0.000	0.188	0.000	0.000	0.000	0.000	0.000	-2.250
YBR101C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR103W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR104W	0.000	0.000	0.750	0.000	0.000	0.000	0.000	0.000	-2.000
YBR105C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR106W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR107C	0.000	0.000	0.125	0.125	0.000	0.000	0.000	0.000	-2.000
YBR108W	0.000	0.250	0.500	0.000	0.000	0.000	0.000	0.000	-1.500
YBR111C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR112C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR113W	0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR114W	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.000	-2.500
YBR115C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR116C	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR119W	0.000	0.000	1.500	0.250	0.000	0.000	0.000	0.000	-0.500
YBR120C	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR121C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR122C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR125C	0.000	0.000	0.750	0.500	0.000	0.000	0.000	0.000	-2.000
YBR126C	-1.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR127C	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR128C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR129C	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-2.000
YBR130C	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-1.500
YBR131W	0.000	0.250	0.250	0.000	0.000	0.000	0.000	0.000	-3.000
YBR132C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.500
YBR133C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBR134W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR137W	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	-2.000
YBR138C	0.000	0.000	0.000	0.250	0.000	0.000	0.000	0.000	-2.000
YBR139W	0.000	0.250	0.750	0.000	0.000	0.000	0.000	0.000	-1.500
YBR141C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR144C	-0.375	0.000	0.250	0.000	0.000	0.000	0.000	0.000	-3.000
YBR145W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR146W	0.000	0.000	0.125	0.125	0.000	0.000	0.000	0.000	-2.000
YBR147W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR148W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR149W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR150C	-0.500	0.000	0.500	0.000	0.000	0.000	0.000	0.000	-1.000
YBR151W	-0.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR156C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.000
YBR157C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YBR158W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR159W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR161W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR162C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-1.500
YBR162W-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR163W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.500
YBR164C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR165W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR166C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-3.000
YBR168W	0.000	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000
YBR169C	0.000	0.000	0.125	0.375	0.000	0.000	0.000	0.000	-1.500
YBR170C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR171W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.500
YBR172C	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.000
YBR173C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR174C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000
YBR175W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000
