orf	hom | rDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (CUP1 copy number) | standard | None | Puddu F~Jackson SP, 2019	hom | mtDNA copy number | standard | None | Puddu F~Jackson SP, 2019	hom | 2micron copy number | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty1) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty2) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty3) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty4) | standard | None | Puddu F~Jackson SP, 2019	hom | transposable element copy number (Ty5) | standard | None | Puddu F~Jackson SP, 2019	hom | telomere length | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 1) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 2) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 3) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 4) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 5) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 6) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 7) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 8) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 9) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 10) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 11) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 12) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 13) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 14) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 15) | standard | None | Puddu F~Jackson SP, 2019	hom | chromosome ploidy (chromosome 16) | standard | None | Puddu F~Jackson SP, 2019	hom | genome instability (number of subchromosomal deletions/amplifications) | standard | None | Puddu F~Jackson SP, 2019
YAL014C	109.6836407292075	18.46687973588785	17.19802258749075	55.82657365730095	37.153369043272	11.0378173029238	1.89217943679142	2.573407595444075	0.9756283176043814	685.223390861488	2.0	2.0	2.0	2.0	2.0	1.85107261862143	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL015C	127.2249385801305	14.2092418226967	16.4941144868018	54.213911968950754	37.77908757584005	11.30865760731835	2.835644895121125	2.96433702193749	1.101796802033145	700.4043186210861	2.856950661524915	2.0	2.0	2.0	2.0	1.866194650761965	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL017W	104.83037065106069	14.17285309081995	15.4483828713407	44.09437261612885	38.059045095602755	11.646600674238151	1.920782209369815	2.923503151260515	1.0828287433155102	871.9736180431335	2.0	2.0	2.0	2.0	2.0	1.8917390336228	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL018C	116.909622744272	14.03790486453495	13.32664787782755	27.5257382577039	37.7077524708715	11.662337402221851	2.43928003983682	3.06397016637981	1.048453104171445	744.8850997499794	2.0	2.0	2.0	2.0	2.0	1.880068029276885	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL019W	127.5362703889385	15.02638569936055	17.29719092446965	19.48880201643405	37.36797709708255	11.275214950443651	1.92545719069449	3.090685176892075	1.05875814572053	746.2586746694265	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
YAL020C	116.644768463661	14.489082281705748	16.2397874562138	65.73114753333775	38.195030247039	11.17152977121755	1.92491292379857	3.03810457516341	1.1295148068924599	724.799553926038	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL021C	167.267192698281	13.72232518400415	19.231064866278302	74.0360416422236	38.335022681428995	11.75469221022705	1.940998214496575	3.044112794112805	1.1593803418803401	796.4478901438705	2.0	2.0	2.0	2.0	2.0	1.883042635658915	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL022C	110.406779418594	13.902155099719199	16.20497411242615	41.2076063017032	37.07076651406245	11.17945624185985	1.92661107076287	3.038507160110425	1.142002278216955	745.5194424319509	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL023C	140.51463674886298	14.4414509429644	16.57072898764175	21.9821337742962	37.1682828526189	10.67077206506335	1.961398614035255	3.07055555555556	0.9947417406624379	675.33445689363	2.0	2.0	2.0	2.0	2.0	1.87931321332313	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL024C	119.079986431928	14.34373992647645	30.82841867204025	56.8030526639267	38.0633505325937	11.4959708983826	1.9386110437481499	3.14744573941013	1.0856999306615296	846.1518538068925	2.1628022456556053	2.0	2.0	2.0	2.5	1.76106871132318	2.0	2.3926186029137098	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL026C	146.534889511042	14.33671611160765	21.18579672773625	32.81291389306325	37.858479197218955	12.1042777653879	1.856891896608785	2.94776522554301	0.9333126169098409	779.4980138690895	1.6711568667515349	2.0	1.85020939021484	2.0	2.0	1.661106818220625	2.0	1.891678866909535	2.0	2.0	2.0	2.16049845085288	2.0	3.0	2.0	2.0	0.0
YAL027W	145.796108142104	15.223786614282549	15.3734652366865	32.89671003403685	37.204367019519054	11.6204529681538	1.942921726921435	3.091645100069015	1.0265669397782184	745.4254487985645	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL028W	94.6610411069522	13.777114351613449	16.4367851122173	34.029395134615754	37.68633602700875	11.569554191233099	1.9614010055477151	3.02284376104631	1.0746157552459925	764.3403998084029	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL029C	148.60501435549048	13.697206207863701	15.11270623313065	39.071346300061805	37.486462128434454	11.1233171345056	1.91853161965075	2.973169538446855	1.012096791503409	667.9810091738475	2.0	2.0	2.0	2.0	2.0	1.759010389086885	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL030W	134.4365153876955	15.105081789608949	16.95606920116715	19.6869620688758	36.861615398988846	11.5474062524868	1.9898872020245801	3.0405097834948904	0.9184057467909935	667.433856143234	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL031C	119.2325478663765	14.0132437825398	17.9462545637669	30.440975221154652	37.1290180007573	11.2863814928441	1.953031493346535	2.9200561343418503	1.0675455998546899	794.3712816374291	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL034C	130.4535521478415	9.82678941122599	15.15837285100795	40.341025536437044	37.18955050854355	11.5373484903999	1.9444227178729898	3.057777777777785	1.028434032921815	664.9305772711909	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL035W	109.1004985957165	14.4012072691092	22.92713788293065	30.852655516465802	36.37761794205835	11.331430977592799	2.0590882532518853	2.992615441562045	0.7682948600527391	615.6279019381435	1.61688388276228	2.0	1.632504667387245	2.0	2.0	1.8732381907177	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL036C	137.0773742199535	15.191762925937951	14.778240589880099	46.93078187031635	37.862173973976695	11.6000179888996	1.90354798990672	3.024841355827275	0.9803313525285375	729.308882421343	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL037W	103.62588417076219	14.17744176521065	14.01695387239505	39.50968614462655	36.883238035318996	11.119182643378299	1.93133561596221	3.06387335054504	1.00979736559876	655.4397446044909	2.0	2.0	2.0	2.0	2.0	1.8867038266424498	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL039C	97.86320334282601	16.69751037707455	11.149757003016699	45.87416681951055	37.5613587394098	11.71144729337905	1.99411318503007	2.8993185727517403	0.9655070331284454	731.321321855969	2.0	2.0	2.0	2.0	2.0	1.896077190762415	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL040C	132.686850331987	13.3608444938333	37.08677262880785	44.532761212523646	37.47121609702195	11.930885515945	1.93231669337505	2.945373224336645	0.9631260328424975	707.2941871809419	2.0	2.0	2.0	2.0	2.0	1.8780188557406698	2.0	2.0	2.0	2.0	2.0	2.1159821565912953	2.0	2.0	2.0	2.0	0.0
YAL042C-A	137.227016043082	14.56685371991125	14.138647656884501	38.0393844923923	37.7546605308656	11.537353371804649	1.940558602773885	3.093727761374825	0.8623775846702331	605.856318876882	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL042W	107.892957196481	13.2996202687229	17.9023523373266	60.4673666843729	37.4044637694498	11.4020617849885	2.00634700825111	3.04892726321298	1.1411043956044	719.830047918787	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL044C	136.7734543143835	13.8188382485009	5.270761432870785	34.6106683534514	39.0492055202499	11.757125564846849	1.9545509079381649	2.9646822753085296	1.150568868229265	755.616684976507	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.13033752220541	2.0	2.0	2.0	2.0	0.0
YAL045C	118.9815127004405	13.261904498809901	14.5421792212343	42.067226045837344	37.573589537183	11.2035099356249	1.96211794387348	2.9052579365079447	1.086499632957485	796.403866470501	2.0	2.0	2.0	2.0	2.0	1.83396496978388	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL046C	147.62292408877602	14.81980060759545	15.30068166482515	26.399983523203097	38.1561133689464	11.81432084848765	1.946569605513405	3.053681060723315	1.0002724048252265	652.2239367184314	1.89612211221122	2.0	2.0	2.0	2.0	1.7433443568115998	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.5
YAL047C	133.901644575045	15.0678632727743	33.1536771507864	20.826591531756	38.9239464695944	10.8078043286405	1.93697360990498	2.9755896590792	1.57026196406333	675.76750555621	1.76100107158906	2.0	2.64388675723323	2.0	2.0	1.76245290193232	2.0	2.0	2.0	2.0	2.0	2.30032147671886	2.0	2.0	2.0	2.0	0.0
YAL048C	139.90925892705098	14.1153238471904	15.64464304304475	30.13084735583595	37.21944828845995	10.8481082356878	1.924324211438965	3.00874020494274	1.025041405741252	689.7925718777195	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL049C	137.303117817349	16.132546164187602	16.69317008686905	43.60485200424605	37.54679513193905	11.32916190874985	2.033831213843595	2.935788836082385	1.13007545662101	698.484621279279	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL051W	125.53543637901049	13.4449301620521	15.20193849275325	31.651301454948147	37.49913974742875	11.60003236545395	1.98190600413536	3.056518047534795	1.120740390326295	809.0948468450761	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL053W	131.2670760799065	13.728442786684901	14.5181506468885	87.8827118248894	37.2791145045327	11.629142720709	1.90799666470939	2.95740429505136	0.9863716339869306	656.1356114376465	1.8931963624115848	2.0	2.0	2.0	2.0	1.681198738052815	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL054C	102.302873388004	14.38033985128515	15.3773740030976	26.870090198545952	37.53254815141355	11.241816091569	1.878862243660395	2.99697539302802	1.073583812967335	721.865079130455	1.73069104283771	2.0	1.872783037738365	2.0	2.0	1.702484497766575	2.0	2.0	2.0	2.0	2.0	2.30821840176337	2.0	2.0	2.0	2.0	0.0
YAL055W	89.3052239741173	14.129918092731401	18.1907524462575	39.360811699855205	37.25600315320695	11.1969758899525	1.915449409043565	3.056732740943275	1.14958022962883	731.4805036943885	2.0	2.0	2.0	2.0	2.0	1.8885353969618799	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL056C-A	142.0642164127715	13.85647603398045	14.6648649417356	32.247486744727446	37.43886171739835	11.42951353409655	1.947339588812345	3.032265643948575	1.13917172517223	637.6982844275985	1.77831440237166	2.0	1.859716272210125	2.0	2.0	1.694263466184545	2.0	2.0	2.0	2.0	2.0	2.373671823760925	2.0	2.0	2.0	2.0	0.0
YAL056W	119.7023821294775	14.3527462128829	17.48604116832435	71.93876646167709	37.4357998527809	11.6764110733905	1.991912110003345	3.020662032929115	1.1020987044356652	768.6857602308535	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL058W	144.22490456653202	13.36949948213815	18.6332987337411	43.08033097687195	38.07337213466055	11.33944643568295	1.959796237752655	2.9694068504594853	1.167400552897395	728.32462415647	1.8971291066475051	2.0	2.0	2.0	2.0	1.71451451388541	2.0	2.0	2.0	2.0	2.0	2.11156044249858	2.0	2.0	2.0	2.0	0.0
YAL059W	123.413385086795	14.46486043304655	19.3497910091125	20.99602391534785	39.02061959694815	11.64167757202815	1.9849179446071101	2.879422708004585	1.6203673430208552	713.3280305414476	2.0	2.0	3.0	2.0	2.0	1.7884231879160102	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL060W	106.3229321409014	14.923761852007651	15.079564352406301	48.389731814962296	37.3338489488278	11.5622585699788	1.928048980691135	3.13413242009133	1.10419561093574	681.8548365508835	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL061W	123.3818508317755	13.540852876177901	13.6701271529984	30.80893067047535	37.3177079418697	11.268750362580949	1.94348993425844	2.9751224382158	1.009394452435752	675.8949743403984	1.873361209796585	2.0	2.0	2.0	2.0	1.7465114786279798	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
YAL062W	127.03471795439	14.27301692513295	15.89678635106225	37.3077167054942	37.55307123388965	11.407115366526	2.01312520760331	2.960417049702765	1.080954725829725	776.137981092618	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL064C-A	113.54625964335	14.4464346988311	15.6090638176624	48.47448629618685	37.803687924651996	11.391950842296051	1.986395466441385	3.089562622717645	1.2048829974928	633.159652855911	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.1187724614192103	2.0	2.0	2.0	2.0	0.0
YAL065C	105.507984007869	14.09267621068545	16.37660180421025	41.17925869102485	36.74142183639225	11.0388797424424	1.913848116223515	3.04251005308666	1.13558698403427	786.7946014478845	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL066W	151.1953531197735	15.474990088081	19.71532632641655	52.07181022126075	38.42021644090925	11.390134765826051	1.8334264328874799	3.04488645882515	0.8499426537208575	610.9905315785005	1.6701911011216448	2.0	1.709245154255035	2.0	2.0	1.58825225709632	2.0	1.795608502938685	2.0	2.0	2.0	2.1066875724316603	2.0	2.0	2.0	2.0	1.0
YAL067C	105.312207010798	14.06724206385195	18.83139743511725	29.563531393115902	36.8270679513993	11.77888228114335	2.42437196276948	2.98043075497916	0.966761353409169	620.0400012900154	1.892903901544905	2.0	2.0	2.0	2.0	1.829507433592275	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAL068C	149.931528279546	13.60463505441915	18.2067351088629	50.0709945246464	37.03234964359985	11.7701772997746	1.8860512771743752	3.070308919718375	0.9671522556390955	662.6894579714145	1.84866505799019	2.0	2.0	2.0	2.0	1.852806102592045	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR002C-A	124.33825728713649	11.4097501237422	16.08285756655605	34.5891792887485	37.245647499902645	11.5680325994884	1.97515766597828	2.97849765258216	1.016021938197866	716.706470705543	1.730103726378165	2.0	1.89822359699514	2.0	2.0	1.659836135795845	2.0	2.0	2.0	2.0	2.0	2.115156871409635	2.0	2.0	2.0	2.0	0.0
YAR002W	109.8760788236775	13.363978635164251	23.52343529544565	182.44975399473498	38.1534606265442	11.825308267177	1.960282918775955	2.98388961495929	1.076266552754854	819.313261080164	1.6941590175541	2.0	1.84612405102515	2.0	2.0	1.760341889170065	2.0	2.0	1.89887930589268	2.0	2.0	2.144993027939885	2.0	2.0	2.0	2.0	0.0
YAR003W	140.8507387603185	14.2764003897808	18.24995101971715	105.71122741973599	37.50172778747795	11.768553450174348	2.076173846151325	2.921957671957675	1.098696074113225	765.0094550895735	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR014C	138.2240578639325	13.48824290518385	19.36734671279865	22.16790776191355	38.063523790753706	11.37183418411915	1.90769873595787	2.965875747889525	0.9015192258210345	602.1999512368459	1.7404322790924551	2.0	2.0	2.0	2.0	1.6268435166440849	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR018C	142.2905639697395	11.6544991492746	18.97571554045185	26.7703916247219	38.26022117828765	11.853440284781499	1.901090240102675	2.90886640401146	0.969783948863633	611.8770055066285	1.69776535271692	2.0	1.8841265075314	2.0	2.0	1.7237677891423102	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR020C	132.23462488614	14.0329842795144	14.72161440987745	41.3228193328781	37.4388533132698	11.098718491411201	1.86149680508804	3.03015168961933	0.99442275401242	699.6715756036131	1.87906467864231	2.0	2.0	2.0	2.0	1.897369317714515	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR023C	133.87697309850148	14.869801015924601	20.033608738924052	39.2333014411533	37.74860309501565	11.79360648261685	1.8852701157120149	2.906889030661255	1.0209919017113784	689.3640655436966	1.84663149962321	2.0	2.0	2.0	2.0	1.84509419743783	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR027W	115.4108399247385	13.76397081974125	15.456975071299802	50.82918615765285	37.698378328206005	11.431880291491801	2.0278874319713	2.955780433909205	0.9883994211942825	680.1142447087254	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR028W	108.6028457366765	14.2725954395874	17.618031386881498	36.01480662640575	38.293917649501694	11.07427191594795	1.960809795616365	2.978723321389625	1.023873965555118	738.003712012691	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR029W	132.320480480481	13.8894192239314	14.5416184568576	32.8940577336111	37.0775092524658	10.9337733212244	2.01003514613393	3.03282442748091	1.09104366028708	705.742923977236	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR030C	139.734524654354	14.41501934807065	21.15417830312415	67.80969317588395	37.39891504402415	11.1117176437339	1.95544470474331	2.957722797580945	1.009795728138042	703.0431982163095	2.0	2.0	2.0	2.0	2.0	1.88958688245315	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR031W	112.5627728823865	14.13220093066155	17.342491765543002	34.790948980627405	37.6589983599632	11.66157282269165	1.9759982209376998	2.9826199563795	1.0003472969011455	733.7961922822925	2.0	2.0	2.0	2.0	2.0	1.748317755451065	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR035W	121.326514831922	14.72214999042085	20.5985003845168	89.84106442635846	37.330252648016	11.18849972275055	1.9760636685971948	3.0369585211073353	1.021301578923345	678.68469112633	1.897650854919935	2.0	2.0	2.0	2.0	1.858418021169445	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR042W	94.62558746862612	14.078932820341825	14.852052707094426	57.4251587653015	37.44237739625213	10.9089990413956	1.9406203064847074	2.9869251625309974	1.1461998938918825	784.9910114727835	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.051330641839005	0.0
YAR047C	115.5580343252445	9.271444328810745	14.8697855859398	33.802506160042896	37.1010303042074	11.2154869677123	2.009596911727065	3.049073539854435	1.1617711998929	780.9875025308785	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YAR050W	105.9802522206365	11.348906789595901	15.1746315558616	35.3430335065949	37.33954223829995	11.975797239401949	1.92989102571235	3.0215072565133703	1.134269027484145	719.4211237954605	1.762751582207275	2.0	1.895222855129485	2.0	2.0	1.68071948664769	2.0	2.0	2.0	2.0	2.0	2.215044923366025	2.0	2.0	2.0	2.0	0.0
YBL001C	119.9513986291375	13.0218924217337	17.104542918272152	25.073283974292384	37.1549760158019	11.3344519228863	1.928443236584265	3.06389774642746	1.12574086061032	721.710591210541	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
YBL002W	120.325974100318	12.46570975992135	17.54922429742685	38.019605557453346	36.82422234946685	11.3979642500227	1.930557740455685	3.019078883797575	1.1415616712064351	773.70634342019	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0
