orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YGL070C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YGL080W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YGL084C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL095C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL104C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YGL135W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL143C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YGL148W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL168W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YGL177W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YGL188C-A	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL194C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGL200C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YGL203C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YGL206C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGL212W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YGR020C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGR036C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YGR063C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YGR064W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YGR105W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YGR163W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGR166W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YGR167W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGR196C	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YGR206W	9.98150463520449	9.38800380190674	0.0	0.0	0.0	0.0
YGR217W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YGR227W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YGR229C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YGR240C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YGR262C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YGR270W	0.0	9.38800380190674	0.0	0.0	0.0	0.0
YGR285C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
