ORF	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YCL032W	0.002	0.037
YCL033C	0.002	0.023
YCL034W	0.003	0.070
YCL035C	-0.001	0.014
YCL036W	0.002	0.027
YCL037C	0.005	0.048
YCL038C	0.008	0.027
YCL039W	0.003	0.029
YCL040W	0.004	0.032
YCL042W	0.005	0.032
YCL044C	0.001	0.027
YCL045C	0.002	0.025
YCL046W	0.002	0.026
YCL047C	0.002	0.017
YCL048W	0.005	NaN
YCL049C	0.000	0.025
YCL050C	0.002	0.030
YCL051W	0.002	0.033
YCL055W	0.002	0.025
YCL056C	0.002	0.032
YCL057W	0.000	0.022
YCL058C	0.007	0.037
YCL061C	0.002	0.015
YCL063W	0.002	0.019
YCL064C	0.002	0.025
YCL069W	0.001	0.023
YCL076W	0.002	0.028
YCR001W	0.002	0.029
YCR002C	0.004	0.076
YCR003W	0.003	0.056
YCR004C	0.002	0.027
YCR005C	0.002	0.018
YCR007C	0.002	0.031
YCR008W	0.002	0.042
YCR009C	0.004	0.040
YCR010C	0.002	0.032
YCR011C	0.003	0.034
YCR015C	0.002	0.031
YCR016W	0.003	0.032
YCR017C	0.002	0.019
YCR019W	0.002	0.028
YCR020C	0.002	0.030
YCR020C-A	0.003	0.022
YCR021C	0.002	0.029
YCR022C	0.003	0.021
YCR023C	0.002	0.030
YCR024C	0.004	0.074
YCR024C-A	0.001	0.019
YCR025C	0.036	0.054
YCR026C	0.032	0.051
YCR027C	0.002	0.022
YCR028C	0.002	0.034
YCR028C-A	0.006	0.035
YCR031C	0.002	0.035
YCR032W	NaN	0.018
YCR033W	0.004	0.035
YCR034W	0.001	0.032
YCR036W	0.029	0.050
YCR037C	0.002	0.030
YCR043C	0.003	0.050
YCR044C	0.005	0.041
YCR045C	0.030	0.052
YCR046C	0.005	0.096
YCR048W	-0.001	0.043
YCR049C	0.034	0.049
YCR050C	0.031	0.046
YCR051W	0.005	0.063
YCR060W	0.002	0.031
YCR061W	0.002	0.039
YCR063W	0.008	0.062
YCR066W	-0.000	0.030
YCR067C	0.002	0.035
YCR068W	0.023	0.045
YCR069W	0.003	0.029
YCR071C	0.003	0.054
YCR073C	0.002	0.030
YCR073W-A	0.002	0.031
YCR075C	0.002	0.033
YCR076C	0.002	0.033
YCR077C	0.019	0.019
YCR079W	0.022	0.059
YCR082W	0.001	0.030
YCR083W	0.002	0.033
YCR084C	0.005	NaN
YCR085W	0.002	0.032
YCR086W	0.012	0.037
YCR087C-A	0.041	0.052
YCR087W	0.038	0.057
YCR088W	0.002	0.030
YCR090C	0.002	0.032
YCR091W	0.002	0.029
YCR092C	0.002	0.032
YCR094W	0.003	0.094
YCR095C	0.001	0.016
YCR098C	0.002	0.031
YCR099C	0.002	0.029
YCR100C	0.002	0.030
YCR101C	0.000	0.033
YCR102C	0.002	0.031
YCR102W-A	0.001	0.028
YCR105W	0.002	0.033
YCR106W	0.002	0.033
YCR107W	0.002	0.029
YDL001W	0.005	0.021
YDL002C	0.009	0.027
YDL005C	0.010	0.053
YDL006W	0.003	0.013
YDL009C	0.002	0.030
YDL010W	0.001	0.033
YDL011C	0.005	0.031
YDL012C	0.006	0.097
YDL018C	0.001	0.035
YDL019C	0.004	0.021
YDL020C	0.003	0.052
YDL021W	0.002	0.029
YDL022W	0.001	0.017
YDL023C	0.002	0.028
YDL024C	0.002	0.031
YDL025C	0.002	0.028
YDL026W	0.002	0.031
YDL027C	0.002	0.030
YDL032W	0.003	-0.001
YDL034W	-0.001	0.014
YDL035C	0.000	0.015
YDL036C	0.002	0.029
YDL037C	0.002	0.029
YDL039C	0.004	0.053
YDL041W	-0.002	0.013
YDL042C	-0.002	0.034
YDL044C	0.005	0.075
YDL045W-A	0.005	0.128
YDL047W	0.004	-0.002
YDL048C	0.002	0.024
YDL049C	0.002	0.027
YDL050C	0.003	0.030
YDL051W	0.003	0.028
YDL052C	0.003	0.031
YDL053C	0.002	0.026
YDL054C	0.003	0.029
YDL056W	-0.001	0.017
YDL057W	0.002	0.037
YDL059C	0.002	0.024
YDL061C	0.003	0.035
YDL062W	0.003	0.031
YDL063C	0.003	0.031
YDL065C	0.006	0.014
YDL066W	0.005	0.030
YDL067C	0.006	0.042
YDL068W	0.004	0.045
YDL070W	0.002	0.026
YDL071C	0.002	0.030
YDL072C	0.005	0.035
YDL073W	0.002	0.024
YDL074C	0.009	0.028
YDL075W	0.003	0.033
YDL076C	0.002	0.017
YDL077C	NaN	0.033
YDL078C	0.002	0.032
YDL079C	0.002	0.027
YDL080C	-0.000	0.029
YDL081C	0.005	0.057
YDL082W	0.002	0.030
YDL083C	0.002	0.028
YDL086W	0.002	0.030
YDL088C	0.003	0.041
YDL089W	0.002	0.028
YDL090C	0.029	0.065
YDL091C	0.005	0.070
YDL094C	0.002	0.025
YDL096C	0.004	0.026
YDL099W	0.006	0.051
YDL100C	0.003	0.051
YDL101C	0.002	0.028
YDL104C	0.003	0.030
YDL106C	0.013	0.026
YDL109C	0.002	0.025
YDL110C	0.003	0.030
YDL112W	0.003	0.030
YDL114W	0.005	0.079
YDL115C	0.003	0.037
YDL117W	0.002	0.027
YDL118W	0.001	NaN
YDL119C	0.004	0.049
YDL121C	0.002	0.026
YDL122W	-0.004	NaN
YDL124W	0.002	0.010
YDL125C	0.003	0.063
YDL127W	0.002	0.030
YDL128W	-0.002	0.031
YDL129W	0.004	0.115
YDL130W	0.000	0.032
YDL130W-A	0.002	0.032
YDL131W	0.002	0.032
YDL133C-A	0.001	0.023
YDL134C	0.002	0.016
YDL135C	0.003	0.031
YDL136W	0.002	0.036
YDL137W	0.002	0.029
YDL138W	0.002	0.028
YDL142C	0.001	0.032
YDL144C	0.003	0.022
YDL146W	0.002	0.030
YDL149W	0.012	0.041
YDL151C	0.004	0.040
YDL154W	0.002	0.035
YDL155W	0.002	0.028
YDL156W	0.002	0.035
YDL157C	0.004	0.048
YDL158C	0.002	0.045
YDL159W	0.003	0.042
YDL160C	0.005	0.020
YDL161W	0.004	0.025
YDL162C	0.003	0.026
YDL167C	0.003	0.033
YDL168W	0.002	0.030
YDL169C	0.001	0.023
YDL170W	0.003	0.031
YDL171C	0.002	0.031
YDL172C	0.004	0.032
YDL173W	0.004	0.032
YDL174C	0.002	0.027
YDL176W	0.001	0.037
YDL177C	0.002	0.035
YDL178W	0.003	0.029
YDL179W	0.002	0.027
YDL180W	0.003	0.041
YDL181W	0.002	0.032
YDL182W	0.002	0.032
YDL183C	0.002	0.030
YDL184C	0.002	0.031
YDL185W	NaN	0.068
YDL186W	0.002	0.030
YDL187C	0.002	0.031
YDL188C	0.002	0.022
YDL189W	0.002	0.036
YDL190C	0.003	0.045
YDL191W	0.005	0.021
YDL192W	0.004	0.062
YDL194W	0.002	0.027
YDL197C	0.002	0.029
YDL198C	0.004	0.026
YDL199C	0.002	0.030
YDL200C	0.002	0.030
YDL201W	0.002	0.036
YDL203C	0.004	0.034
YDL204W	0.001	0.044
YDL206W	0.002	0.030
YDL210W	0.002	0.032
YDL211C	0.002	0.029
YDL213C	0.002	0.022
YDL214C	0.003	0.032
YDL215C	0.002	0.032
YDL216C	0.004	0.034
YDL218W	0.002	0.028
YDL219W	0.002	0.029
YDL222C	0.001	0.028
YDL224C	0.002	0.032
YDL225W	0.004	0.029
YDL226C	0.002	0.029
YDL227C	0.002	0.028
YDL230W	0.003	0.035
YDL232W	0.006	0.016
YDL234C	0.002	0.025
YDL236W	0.003	0.032
YDL237W	0.002	0.035
YDL238C	0.002	0.030
YDL239C	0.002	0.028
YDL240W	0.002	0.031
YDL241W	0.003	0.036
YDL242W	0.003	0.032
YDL243C	0.002	0.027
YDR001C	0.004	0.070
YDR003W	0.000	0.038
YDR004W	0.001	0.028
YDR005C	0.016	0.098
YDR006C	0.003	0.024
YDR009W	-0.001	0.033
YDR010C	0.004	0.058
YDR011W	0.002	0.029
YDR014W	-0.002	0.042
YDR015C	0.002	0.069
YDR017C	0.003	0.090
YDR018C	0.002	0.027
YDR019C	0.004	0.036
YDR020C	0.003	0.033
YDR022C	0.004	0.036
YDR024W	0.007	0.010
YDR025W	0.006	0.036
YDR026C	0.003	0.032
YDR028C	0.002	0.014
YDR029W	0.002	0.027
YDR030C	0.003	0.031
YDR031W	0.002	0.032
YDR032C	0.003	0.027
YDR033W	0.003	0.034
YDR034C	0.004	0.035
YDR035W	0.002	0.030
YDR036C	0.002	0.031
YDR042C	0.002	0.030
YDR043C	0.003	0.020
YDR048C	0.016	0.053
YDR049W	0.035	0.055
YDR051C	0.002	0.033
YDR056C	0.002	0.033
YDR057W	0.002	0.046
YDR058C	0.001	0.032
YDR059C	0.002	0.027
YDR061W	0.002	0.031
YDR063W	0.002	0.032
YDR065W	0.004	0.066
YDR067C	0.001	0.012
YDR068W	0.003	0.031
YDR069C	0.014	0.045
YDR070C	0.003	0.030
YDR071C	0.000	0.045
YDR072C	0.003	0.024
YDR073W	0.002	0.045
YDR074W	0.012	0.048
YDR075W	0.001	0.002
YDR076W	0.002	0.028
YDR077W	0.003	0.031
YDR079W	0.005	0.029
YDR080W	0.060	0.027
YDR083W	0.003	0.029
YDR084C	0.002	0.031
YDR085C	0.003	0.029
YDR089W	0.002	0.039
YDR090C	0.002	0.026
YDR092W	0.005	0.003
YDR093W	0.002	0.030
YDR094W	0.002	0.032
YDR095C	0.001	0.035
YDR096W	0.000	0.031
YDR097C	0.002	0.031
YDR098C	0.002	0.023
YDR099W	0.002	0.030
YDR100W	0.002	0.031
YDR101C	0.002	0.029
YDR102C	0.002	0.037
YDR103W	0.002	0.033
YDR104C	0.002	0.030
YDR105C	0.005	0.024
YDR107C	0.002	0.033
YDR108W	0.004	0.034
YDR109C	0.001	0.030
YDR110W	0.002	0.032
YDR111C	0.002	0.032
YDR112W	0.002	0.030
YDR114C	0.005	0.053
YDR115W	0.009	0.057
YDR116C	0.003	0.035
YDR117C	0.002	0.035
YDR119W	0.002	0.033
YDR120C	0.002	0.047
YDR121W	0.002	0.017
YDR122W	0.003	0.047
YDR123C	0.003	0.060
YDR124W	0.003	0.037
YDR125C	0.002	0.033
YDR126W	0.005	0.030
YDR128W	0.002	0.027
YDR130C	0.002	0.030
YDR131C	0.000	0.038
YDR132C	0.002	0.030
YDR133C	0.002	0.032
YDR135C	0.002	0.033
YDR136C	0.002	0.036
YDR137W	0.002	0.037
YDR138W	0.020	0.028
YDR139C	0.001	0.031
YDR142C	0.004	0.013
YDR144C	0.002	0.029
YDR147W	0.003	0.031
YDR149C	0.005	0.028
YDR150W	0.006	0.025
YDR151C	0.001	0.027
YDR153C	0.003	0.038
YDR154C	0.002	0.030
YDR156W	0.001	0.031
YDR157W	0.006	0.043
YDR159W	0.021	0.009
YDR161W	0.003	0.022
YDR162C	0.003	0.011
YDR165W	0.002	0.039
YDR169C	0.007	0.033
YDR171W	0.002	0.034
YDR173C	0.017	0.047
YDR174W	0.002	0.032
YDR175C	0.004	0.037
YDR176W	0.007	0.033
YDR178W	0.002	0.014
YDR179C	0.004	0.032
YDR179W-A	0.002	0.027
YDR183W	0.002	0.032
YDR184C	0.003	0.033
YDR185C	0.002	0.023
YDR186C	0.003	0.036
YDR191W	0.002	0.026
YDR192C	0.004	0.059
YDR193W	0.003	0.029
YDR194C	0.004	0.079
YDR195W	0.004	0.016
YDR197W	0.005	0.042
YDR198C	0.002	0.033
YDR200C	-0.001	0.030
YDR202C	0.000	0.043
YDR203W	0.000	0.036
YDR204W	0.006	0.057
YDR205W	0.002	0.025
YDR206W	0.002	0.018
YDR207C	0.001	0.017
YDR209C	0.002	0.030
YDR210W	0.002	0.029
YDR213W	0.002	0.029
YDR214W	0.002	0.029
YDR215C	0.002	0.029
YDR216W	0.002	0.028
YDR217C	0.002	0.028
YDR218C	0.002	0.031
YDR219C	0.002	0.025
YDR220C	0.002	0.032
YDR221W	0.002	0.026
YDR222W	0.002	0.029
YDR223W	0.002	0.030
YDR225W	0.001	0.030
YDR226W	0.009	0.032
YDR227W	-0.002	0.043
YDR229W	0.003	0.025
YDR230W	0.006	0.046
YDR231C	0.008	0.100
YDR233C	0.002	0.036
YDR234W	0.002	0.029
YDR237W	0.005	0.065
YDR239C	0.001	0.033
YDR241W	0.002	0.016
YDR242W	0.003	0.031
YDR247W	0.003	0.027
YDR248C	0.003	0.029
YDR249C	0.002	0.028
YDR250C	0.003	0.029
YDR251W	0.002	0.029
YDR252W	0.002	0.031
YDR253C	0.002	0.067
YDR254W	0.002	0.033
YDR255C	0.009	0.034
YDR256C	0.003	0.033
YDR257C	0.003	0.025
YDR258C	0.003	0.035
YDR259C	0.002	0.031
YDR260C	0.003	0.027
YDR261C	0.002	0.038
YDR262W	0.003	0.029
YDR263C	-0.000	NaN
YDR264C	0.026	0.040
YDR265W	0.014	0.018
YDR266C	0.003	0.032
YDR269C	0.003	0.005
YDR270W	0.004	0.004
YDR271C	0.004	0.004
YDR272W	0.003	0.027
YDR273W	0.000	0.048
YDR274C	0.002	0.033
YDR275W	0.002	0.032
YDR276C	0.003	0.040
YDR277C	0.003	0.034
YDR278C	0.003	0.031
YDR279W	0.002	0.030
YDR281C	0.003	0.035
YDR282C	0.003	0.032
YDR284C	0.003	0.026
YDR286C	0.003	0.030
YDR287W	0.002	0.020
YDR289C	0.004	0.015
YDR290W	0.003	0.028
YDR291W	0.002	0.029
YDR293C	0.003	0.015
YDR294C	0.003	0.041
YDR295C	0.004	0.030
YDR296W	0.005	0.053
YDR297W	0.003	0.028
YDR298C	0.005	0.084
YDR300C	0.009	0.020
YDR304C	0.002	0.031
YDR305C	0.003	0.029
YDR306C	0.003	0.031
YDR307W	0.005	0.030
YDR309C	0.002	0.028
YDR310C	0.002	0.028
YDR312W	0.003	0.033
YDR314C	0.002	0.031
YDR316W	0.004	0.043
YDR317W	0.024	0.053
YDR318W	0.002	0.025
YDR319C	0.002	0.030
YDR321W	0.002	0.031
YDR323C	0.011	0.052
YDR326C	0.002	0.029
YDR329C	0.005	0.023
YDR330W	0.004	0.042
YDR332W	0.005	0.036
YDR333C	0.002	0.061
YDR334W	0.005	0.037
YDR335W	0.001	0.030
YDR336W	0.003	0.029
YDR337W	0.002	0.050
YDR338C	0.003	0.032
YDR340W	0.002	0.029
YDR344C	0.003	0.030
YDR346C	0.002	0.030
YDR347W	0.005	0.077
YDR348C	0.011	0.006
YDR349C	0.003	0.031
YDR350C	0.004	0.075
YDR351W	0.002	0.030
YDR352W	0.001	0.037
YDR357C	0.003	0.030
YDR358W	0.001	0.023
YDR359C	0.007	0.016
YDR360W	0.006	0.029
YDR363W	0.001	0.029
YDR363W-A	0.006	0.032
YDR364C	0.001	NaN
YDR368W	0.002	0.032
YDR370C	0.002	0.027
YDR371W	0.002	0.023
YDR372C	0.004	0.033
YDR374C	0.002	0.024
YDR377W	0.005	0.089
YDR378C	0.033	0.066
YDR379W	0.002	0.030
YDR380W	0.002	0.031
YDR382W	0.003	0.034
YDR383C	0.002	0.029
YDR384C	0.002	0.032
YDR385W	0.003	0.035
YDR386W	0.002	0.028
YDR387C	0.002	0.030
YDR389W	0.004	0.035
YDR391C	0.002	0.038
YDR392W	0.011	0.094
YDR393W	0.004	0.045
YDR395W	0.003	0.037
YDR400W	0.002	0.024
YDR401W	0.002	0.023
YDR402C	0.003	0.027
YDR403W	0.002	0.039
YDR406W	0.002	0.030
YDR408C	0.006	NaN
YDR409W	0.003	0.029
YDR410C	0.003	0.040
YDR411C	0.002	0.025
YDR414C	0.002	0.041
YDR415C	0.003	0.025
YDR417C	0.003	0.066
YDR418W	0.002	0.039
YDR419W	0.002	0.033
YDR420W	0.002	0.031
YDR421W	0.002	0.028
YDR422C	0.002	0.025
YDR423C	0.002	0.029
YDR424C	0.002	0.027
YDR425W	0.003	0.022
YDR426C	0.003	0.020
YDR428C	0.002	0.031
YDR430C	0.003	0.029
YDR431W	0.003	0.037
YDR432W	0.018	0.051
YDR433W	0.020	0.035
YDR435C	0.004	-0.000
YDR436W	0.003	0.030
YDR438W	0.002	0.028
YDR439W	0.003	0.028
YDR440W	0.002	0.024
YDR441C	0.001	0.030
YDR443C	0.002	0.017
YDR444W	0.002	0.029
YDR446W	0.002	0.029
YDR447C	0.002	0.028
YDR451C	0.002	0.024
YDR452W	0.013	NaN
YDR453C	-0.001	0.028
YDR455C	0.006	0.035
YDR456W	0.005	0.019
YDR457W	0.001	0.042
YDR458C	0.005	0.062
YDR461W	0.003	0.012
YDR463W	0.002	0.015
YDR465C	0.002	0.029
YDR466W	0.000	0.025
YDR467C	0.002	0.024
YDR469W	0.004	0.023
YDR471W	0.002	0.033
YDR475C	0.002	0.026
YDR476C	0.002	0.024
YDR479C	0.003	0.040
YDR480W	0.002	0.029
YDR481C	-0.003	0.027
YDR482C	0.002	0.028
YDR483W	0.002	0.025
YDR485C	0.002	0.024
YDR486C	0.004	0.019
