orf	hap alpha | cell death | phosphate starvation [unknown] | Gresham D~Botstein D, 2011	hap alpha | cell death | leucine starvation [unknown] | Gresham D~Botstein D, 2011
YBL006C	0.0058071588147405	0.04323975876188
YBL007C	0.00244463592668274	0.0508520471488453
YBL008W	0.00221084166728248	0.0340728579954651
YBL009W	0.00233936161834059	0.0284022770147129
YBL010C	0.0029293656435497497	0.0374456079633355
YBL011W	0.00295146830492084	0.0303789315415866
YBL012C	0.00294239896205417	0.0297689740229798
YBL013W	0.0025837169011172154	0.03453979608502495
YBL015W	0.0010618348000310876	0.0277961906236286
YBL016W	0.002174611250527465	0.043334047664251696
YBL017C	0.0018330418497042049	0.0294002550646252
YBL019W	0.0047402615373977105	0.0548490231966001
YBL021C	0.0052481419467998	0.06736207745310681
YBL024W	0.00182740892965403	0.0401777766117635
YBL027W	0.00573551031912133	0.0090768093126376
YBL028C	0.00218643581634107	0.02225852903318005
YBL029W	0.00208954800799388	0.025793355608091
YBL031W	0.0064367439495660855	0.09964673121454
YBL032W	0.003602081537543625	0.120367863611914
YBL036C	0.004030371467433555	0.0564902251979836
YBL037W	0.0013773797313094	0.02459937062217315
YBL038W	0.00444722138909211	0.130378511839411
YBL039C	0.0018918224506050052	0.0255774076210971
YBL042C	0.00259186935565293	0.0271613822353811
YBL043W	0.00041735552545388505	0.042238189039912
YBL044W	0.00182834854917424	0.032003139897556
YBL045C	0.00559186846993555	0.0652051746245945
YBL046W	0.00651093738171464	0.0544564487113362
YBL047C	0.00300631940412743	0.034993075766853
YBL048W	0.00252486691928346	0.0291360106143835
YBL049W	0.00281161065163714	0.031498105800204
YBL051C	0.00471186741208837	0.02176142637844885
YBL053W	0.0024386392377809	0.0817085458332516
YBL054W	0.00119804443432088	0.0420924712879964
YBL055C	0.002402083829859705	0.034538716717791754
YBL056W	0.00251348454175985	0.0339762331132333
YBL057C	0.0037268327146469803	0.06046309191988544
YBL059W	0.00231597230556631	0.03013561227033785
YBL060W	0.00312543093133312	0.0121229869400296
YBL061C	0.003551757537400525	0.0375109487000093
YBL062W	0.00384285399710779	0.0790768084201006
YBL063W	0.00210703215392257	0.0280509040585026
YBL064C	0.0027080615275576004	0.048125839220153455
YBL065W	0.003691083898735025	0.0253939566915503
YBL066C	0.005698541892965765	0.02097243506386285
YBL067C	0.002833393805052735	0.023304296838691597
YBL068W	0.002245485548039315	0.02991267558164005
YBL069W	0.00249293048060587	0.0309367062731439
YBL070C	0.002367892396286205	0.0293306622885774
YBL071C	0.002708058287746925	0.031248858583675
YBL072C	0.003529368364678025	0.03185710520004425
YBL075C	0.00199667609931726	0.031934391917049
YBL078C	0.0107555679319584	0.0351617362383963
YBL079W	0.0048530846717403	0.0755300880056714
YBL080C	0.0062010597130915	0.0657667495996845
YBL081W	0.00238937212451756	0.0321365828220901
YBL082C	0.0043546995335719	0.0606875137500293
YBL083C	0.00515920852244852	0.0417505045086008
YBL085W	0.00220126582711429	0.0334908474844787
YBL086C	0.0021276176708238297	0.0240239629923027
YBL087C	0.000670034504212762	0.0343416928488884
YBL089W	0.002422146483856425	0.03154137964401955
YBL090W	0.004831111381140595	0.0891773406001443
YBL091C	0.00228377507347882	0.0286660676461539
YBL091C-A	0.00120290005897221	0.035182468469324
YBL093C	0.00941118048218592	
YBL094C	0.00888030065169709	0.0302377537514007
YBL095W	0.00269233390290626	0.0322974450020965
YBL096C	0.00278891658833403	0.0322345806674526
YBL098W	0.00233148153931201	0.0277475969363805
YBL099W	0.0046245004009799855	0.06990538299924684
YBL100C	0.00613790789651548	0.0689892022081807
YBL102W	0.00239770884981409	0.0354926856356864
YBL103C	0.00266106788794944	0.036695968222638
YBL104C	0.0023807082754425052	0.02784999720109985
YBL106C	0.002250347600800695	0.03199502043896375
YBL107C	0.0023065573393025902	0.0322294178293826
YBR001C	0.001430574798872105	0.0242753332200686
YBR003W	0.007201117416567905	0.052831747348206295
YBR005W	0.00207529991443397	0.0285719191599952
YBR006W	0.0029136707923812753	0.0206717457842863
YBR007C	0.002692753720171955	0.02976171067128415
YBR008C	0.00245459231016446	0.024059534540395548
YBR009C	0.00248955378349709	0.0184780098800156
YBR010W	0.002673492023747985	0.024192175566422
YBR011C	0.0225820903865424	
YBR012C	0.0024410355257003	0.0216273130739906
YBR013C	0.0021889941814705353	0.030032561270949852
YBR014C	0.0023799978295273	0.0293650144594596
YBR015C	0.00167069634372872	0.04316660194194
YBR016W	0.0025418207513841547	0.0306808829861436
YBR019C	0.002366615897821785	0.028808403328211052
YBR020W	-0.0006396241787981201	0.0270932338203409
YBR021W	0.0108050835000747	0.0255981677111297
YBR022W	0.00353952128710364	0.034254209295335
YBR023C	0.00252621929431607	0.0395816135238771
YBR024W	0.00203347658709835	0.03321803748072185
YBR025C	0.00239941385808674	0.0290306898161506
YBR026C	0.00431352716993928	0.0496965346187433
YBR027C	0.0023317036192535097	0.02538230789609145
YBR028C	0.00139621486625293	0.0288413350466375
YBR030W	0.0021754416059133	0.0344929554030966
YBR031W	0.00498384663901258	0.01982209618972085
YBR032W	0.00228718363017763	0.0311682031833104
YBR033W	0.00241641100916274	0.0305118132104163
YBR034C	0.001989992871591	0.0438253266176835
YBR035C	-0.000806799684050349	0.0173766799047606
YBR036C	0.00291711219733617	0.00899958176824602
YBR037C	0.00453372092285399	0.05688529948095
YBR039W	0.01166234472487275	0.037032697562267056
YBR040W	0.002159121469848645	0.03113703157816615
YBR041W	0.0057859303826948046	0.0485689751742243
YBR042C	0.00337831504264012	0.03934883277167775
