orf	hap alpha | chronological lifespan | phosphate starvation | phosphate limiting | Gresham D~Botstein D, 2011	hap alpha | chronological lifespan | leucine starvation | leucine limiting | Gresham D~Botstein D, 2011
YBR036C	-0.12275858814239078	-0.3563457114450692
YBR037C	-0.1418820332732372	-0.35634799872399536
YBR039W	-0.16273087446312365	-0.35634776370196247
YBR040W	-0.10283710759632751	-0.3563476432511874
YBR041W	-0.14933243407748034	-0.35634792462185644
YBR042C	-0.13007292031274212	-0.35634780698409735
YBR043C	-0.10175709457582101	-0.35634758232339303
YBR044C	-0.09021976806955541	-0.3563464010565717
YBR045C	0.0027881865052803655	-0.35634759128658644
YBR047W	-0.10616179273445801	-0.356347642833556
YBR048W	-0.07622077276683344	-0.35634753581929957
YBR050C	0.14818103692355453	-0.3563472966124191
YBR051W	-0.08398416697365968	-0.3563475400638104
YBR052C	-0.11291141823024732	-0.3563475777191682
YBR053C	-0.06179120120020765	-0.3563468464174338
YBR054W	-0.0977523684565286	-0.3563476015791373
YBR056W	-0.08958848908485254	-0.3563476538752185
YBR058C	-0.12984529729577757	-0.35634807907276006
YBR059C	-0.5856949423370785	-0.3563478025499812
YBR062C	0.25398156735869726	-0.3563475575550887
YBR063C	-0.3803294688771791	-0.3563468286118223
YBR064W	-0.11496115490231568	-0.35634746616252316
YBR065C	-0.13103626832847626	-0.3563476769201963
YBR066C	-0.11492573179198294	-0.35634762313444
YBR067C	-0.10638155631630629	-0.35634767474262624
YBR068C	-0.10345915979933067	-0.3563478470016106
YBR069C	-0.09371300980353595	-0.356347817131531
YBR071W	-0.10784803835430418	-0.35634751168191103
YBR072W	-0.09463770621977637	-0.3563476127309101
YBR073W	-0.11573185708808889	-0.35634714033938975
YBR074W	-0.1261430021689267	-0.35634763853531115
YBR076W	-0.08549772057154718	-0.35634715940283396
YBR077C	0.3213122238452136	-0.3563477701631291
YBR078W	-0.1539184604051738	-0.35634780965398277
YBR081C	-0.24030834117079297	-0.3563481372034641
YBR084W	-0.1352635795518504	-0.35634760362192597
YBR085W	-0.11708520663796315	-0.35634742657471097
YBR089C-A	-0.12952592339180308	-0.35634768399562816
YBR090C	-0.1260151329178691	-0.35634768672067585
YBR092C	-0.11008214253225232	-0.3563476501713741
YBR093C	-0.11339302515018959	-0.356347494744052
YBR094W	-0.10993339991908538	-0.35634755564382714
YBR095C	-0.18530126656750803	-0.3563472443546697
YBR096W	-0.11800004585624023	-0.3563476615996057
YBR098W	-0.113493281141047	-0.35634751596601477
YBR099C	-0.11939966168228175	-0.35634734660537715
YBR101C	-0.13050121155486794	-0.35634772022517425
YBR103W	-0.13935473711010404	-0.3563476937631311
YBR104W	-0.111210470685695	-0.356347421912823
YBR105C	-0.14082117065941124	-0.35634784508692824
YBR106W	-0.13144865214604615	-0.35634694992292104
YBR107C	-0.13667577630858876	-0.3563474113900431
YBR108W	-0.10271533252922813	-0.3563476934051059
YBR111C	-0.11240065420834587	-0.3563476181991997
YBR113W	-0.08223132876846566	-0.35634785156103893
YBR114W	0.0012898717152689007	-0.3563478775085142
YBR115C	-0.1286231307052106	-0.35634758687768936
YBR116C	-0.10800893976529573	-0.35634739747565836
YBR119W	-0.1740094500493852	-0.3563478706604936
YBR120C	-0.1311621278015951	-0.356347885256347
YBR125C	-0.12196783683416139	-0.35634797489342246
YBR126C	-0.14061462056396754	-0.35634692460455974
YBR128C	-0.1494148424294066	-0.3563480907915518
YBR129C	-0.05293303216859133	-0.3563472585908206
YBR130C	-0.12665115172912744	-0.35634697573442775
YBR131W	-0.17054328897200846	-0.356347365352939
YBR132C	-0.11635289721792993	-0.3563475184978861
