orf	hom | growth (pooled culture, microarray) | gossypol [200 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	hom | growth (pooled culture, microarray) | gossypol [300 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	hom | growth (pooled culture, microarray) | gossypol [400 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [200 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [300 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018	het | growth (pooled culture, microarray) | gossypol [400 uM] | YPD + DMSO [2%] | Prescott TAK~Hoepfner D, 2018
YAL058W	0.12269165263347541	0.4957065888192985	0.3931914132972621	1.4454565370603119	0.02983043244773118	1.1454027579969495
YAL059W	0.10638558568246907	0.0994388923978378	1.3149889896483722	-0.8491531890611117	0.6473837839595739	-0.016377266923825847
YAL060W	1.8897927052138987	0.5684372679751658	0.30758836675249596	0.2717035702422108	1.1362249191769709	-0.13326391142382782
YAL061W	0.7172011180134777	0.11800099395940902	1.0247571806172473	0.08438677506071646	2.726645896328651	0.329051737572991
YAL062W	-0.03465028788666079	0.1417384699430613	-0.0955846262218393	0.3090107597340013	0.07899573188623032	0.0973279823724338
YAL064C-A	0.5993430063147095	-1.5228231374294763	0.8621926943040202	-0.2600274476181935	-0.15207958953529144	-0.334064479340444
YAL065C	-0.022076151746877107	1.4460436964907677	0.004551337000254853	-0.779909696910309	-0.009264927364145172	0.0004090849883262418
YAL066W	1.019630847078974	1.6704282243141724	0.5590814076675233	1.5751925093115335	1.378116318065093	-0.04984223775429958
YAL067C	0.018949548692345296		0.5510776750431539		-0.023681278264802055	
YAL068C	1.1682138738750405	1.3547780216471943	0.6587246099279896	-0.018327930653340766	1.4343447852458089	1.6774147661630596
YAR002C-A	-0.04009491839596766	-0.28300119551774355	-1.4173739857428065	0.02356399750106579	-0.24371789283301082	-0.11363574846309805
YAR002W	-0.6955648522492818	-0.010385365393220615	-0.7574490094157295	-0.042651902653336037	-0.09160576066773325	0.2772699820962724
YAR003W	0.7781056771033709	1.3248086843935714	-0.2737366437564964	-0.029478881780738125	0.05954765735734415	0.6905190350774807
YAR007C		0.2223913324198067		-0.8527502714210047		0.7200983177975009
YAR008W		-0.08478756592102202		0.0075561689548222155		0.060505448216916814
YAR014C	-0.024915838351891907	0.262678417391598	-0.5309734826533231	0.21681108698590057	-0.01075442855051209	0.9123726108240204
YAR015W		0.2258879188393488		0.012401190718903391		-0.12106649665440006
YAR018C	-0.06408826383765834	0.23347683627309385	0.028196282504525876	0.9544310171344633	-0.6925093076233085	0.28047227047859036
