ORF	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YMR284W	0.333
YNL264C	0.333
YOR293W	0.167
YMR176W	0.500
YMR285C	0.333
YNL263C	0.000
YOR294W	0.333
YMR177W	0.167
YMR286W	0.500
YNL261W	0.833
YOR295W	0.833
YMR178W	0.000
YMR287C	0.500
YNL259C	0.333
YOR296W	0.333
YMR179W	0.833
YMR288W	0.167
YNL258C	0.000
YOR298W	0.167
YMR180C	1.000
YMR289W	0.667
YNL257C	0.333
YOR299W	0.500
YMR182C	0.667
YMR290W-A	0.750
YNL255C	0.333
YOR301W	1.167
YMR183C	0.333
YMR290C	0.667
YNL254C	0.167
YOR302W	1.083
YMR184W	0.167
YMR291W	0.833
YNL253W	0.500
YOR303W	1.500
YMR185W	0.750
YMR292W	0.500
YNL249C	0.500
YOR304C-A	0.500
YMR186W	0.500
YMR293C	0.667
YNL248C	0.667
YOR304W	0.833
YMR187C	0.167
YMR294W	1.000
YNL247W	0.333
YOR305W	0.000
YMR188C	0.167
YMR294W-A	0.333
YNL246W	1.167
YOR307C	1.333
YMR189W	0.167
YMR295C	0.833
YNL245C	0.500
YOR308C	0.167
YMR190C	1.333
YMR296C	0.500
YOR001W	0.833
YOR311C	0.500
YMR191W	0.583
YMR297W	0.500
YOR002W	0.167
YOR312C	0.667
YMR192W	0.667
YMR298W	1.333
YOR003W	0.667
YOR313C	0.500
YMR193W	0.500
YMR299C	0.500
YOR005C	0.500
YOR314W	0.333
YMR194W	1.000
YMR300C	0.833
YOR006C	1.000
YOR315W	0.333
YMR193C-A	0.167
YMR301C	0.667
YOR007C	0.333
YOR319W	1.167
YMR195W	0.167
YMR302C	0.167
YOR009W	0.500
YOR320C	1.167
YMR196W	0.667
YMR303C	0.167
YOR010C	0.500
YOR321W	0.333
YMR197C	0.667
YMR304W	1.167
YOR011W	0.667
YOR322C	0.500
YMR198W	0.833
YMR304C-A	0.833
YOR012W	1.167
YOR323C	0.167
YMR199W	0.667
YMR305C	0.667
YOR013W	0.667
YOR324C	0.500
YMR200W	0.833
YMR306C-A	0.667
YOR015W	0.833
YOR326W	0.833
YMR201C	0.667
YMR307W	0.833
YOR016C	0.500
YOR327C	1.000
YMR202W	0.333
YMR308C	0.833
YOR017W	0.500
YOR328W	0.167
YMR203W	0.500
YMR309C	1.167
YOR018W	0.667
YOR329C	0.667
YMR204C	0.167
YMR310C	0.667
YOR019W	0.667
YOR330C	1.667
YMR205C	0.833
YNL339C	0.833
YOR021C	0.833
YOR332W	0.167
YMR206W	0.833
YNL338W	0.833
YOR022C	0.167
YOR334W	0.167
YMR207C	0.667
YNL336W	0.500
YOR023C	0.000
YOR335C	1.000
YMR208W	0.333
YNL335W	0.667
YOR024W	1.000
YOR336W	0.333
YMR210W	0.500
YNL334C	0.333
YOR025W	0.333
YOR337W	0.167
YMR211W	1.000
YNL333W	1.333
YOR026W	0.833
YOR339C	0.500
YMR213W	0.500
YNL332W	0.833
YOR027W	0.667
YOR340C	0.333
YMR214W	0.667
YNL330C	0.833
YOR028C	1.333
YOR341W	0.500
YMR215W	0.667
YNL329C	0.500
YOR029W	0.167
YOR342C	0.833
YMR216C	0.167
YNL328C	0.333
YOR030W	1.333
YOR343C	0.167
YMR217W	0.667
YNL327W	0.667
YOR031W	0.667
YOR346W	0.333
YMR218C	0.000
YNL326C	0.500
YOR032C	1.000
YOR347C	0.500
YMR219W	0.500
YNL324W	0.500
YOR033C	0.167
YOR348C	1.333
YMR220W	0.667
YNL325C	0.667
YOR034C	0.167
YOR349W	0.833
YMR221C	0.000
YNL323W	1.000
YOR035C	0.667
YOR350C	0.667
YMR222C	0.667
YNL322C	0.333
YOR036W	0.667
YOR351C	0.333
YMR223W	0.667
YNL321W	0.500
YOR037W	0.333
YOR352W	0.333
YMR224C	0.333
YNL320W	0.333
YOR038C	0.667
YOR353C	0.500
YMR225C	0.333
YNL319W	0.667
YOR039W	0.833
YOR354C	0.500
YMR226C	1.000
YNL318C	0.500
YOR040W	0.667
YOR355W	0.333
YMR227C	0.333
YNL317W	0.500
YOR041C	0.333
YOR356W	0.167
YMR228W	0.333
YNL314W	0.167
YOR042W	1.167
YOR357C	0.500
YMR229C	0.500
YNL313C	0.833
YOR043W	0.500
YOR358W	0.667
YMR230W	0.667
YNL312W	0.667
YOR044W	1.500
YOR359W	0.333
YMR231W	0.167
YNL311C	0.000
YOR045W	0.500
YOR360C	1.000
YMR232W	1.500
YNL310C	1.167
YOR047C	0.167
YOR361C	1.000
YMR233W	0.333
YNL308C	0.500
YOR049C	0.333
YOR362C	0.333
YMR234W	0.333
YNL307C	0.500
YOR050C	0.500
YOR363C	0.167
YMR235C	0.667
YNL306W	1.000
YOR051C	0.333
YOR365C	0.333
YMR236W	0.000
YNL305C	0.167
