orf	het | genome instability (diploid mating) | standard [standard] | Choy JS~Basrai MA, 2013
YAL068C	-0.5682255053761246
YAR002C-A	0.9943946344082176
YAR002W	3.338324844084731
YAR003W	-0.9588805403222102
YAR007C	0.9943946344082176
YAR008W	0.9943946344082176
YAR014C	0.21308456451604646
YAR015W	0.9943946344082176
YAR018C	3.338324844084731
YAR019C	0.21308456451604646
YAR020C	0.9943946344082176
YAR023C	1.3850496693543028
YAR027W	0.603739599462132
YAR028W	0.21308456451604646
YAR029W	1.3850496693543028
YAR030C	-1.3495355752682956
YAR031W	-0.9588805403222102
YAR035C-A	0.21308456451604646
YAR035W	-0.5682255053761246
YAR042W	0.8641762894261891
YAR047C	0.21308456451604646
YAR050W	-0.17757047043003898
YBL001C	-0.9588805403222102
YBL002W	0.603739599462132
YBL003C	1.3850496693543028
YBL004W	2.166359739246474
YBL005W	-0.17757047043003898
YBL006C	0.9943946344082176
YBL007C	1.7757047043003886
YBL008W	2.166359739246474
YBL008W-A	-0.5682255053761246
YBL009W	1.3850496693543028
YBL010C	0.9943946344082176
YBL011W	0.9943946344082176
YBL012C	1.7757047043003886
YBL013W	-0.5682255053761246
YBL014C	0.603739599462132
YBL015W	0.9943946344082176
YBL016W	-0.5682255053761246
YBL017C	1.7757047043003886
YBL018C	1.3850496693543033
YBL019W	0.9943946344082176
YBL020W	0.9943946344082176
YBL021C	1.7757047043003886
YBL022C	0.603739599462132
YBL023C	3.7289798790308164
YBL024W	0.603739599462132
YBL025W	0.603739599462132
YBL026W	0.603739599462132
YBL027W	2.166359739246474
YBL028C	0.9943946344082176
YBL029C-A	-1.3495355752682956
YBL029W	-0.17757047043003898
YBL030C	0.21308456451604646
YBL031W	0.21308456451604646
YBL032W	-0.5682255053761246
YBL033C	-0.17757047043003898
YBL034C	1.775704704300389
YBL035C	1.3850496693543033
YBL036C	0.603739599462132
YBL037W	1.3850496693543028
YBL038W	-0.17757047043003898
YBL039C	1.7757047043003886
YBL039W-B	2.166359739246474
YBL040C	-0.5682255053761246
YBL041W	-0.5682255053761246
YBL042C	-0.5682255053761246
YBL043W	0.9943946344082176
YBL044W	-0.5682255053761246
YBL045C	0.9943946344082176
YBL046W	0.9943946344082176
YBL047C	0.21308456451604646
YBL048W	1.775704704300389
YBL049W	0.21308456451604646
YBL050W	-1.3495355752682956
YBL051C	1.3850496693543028
YBL052C	0.9943946344082176
YBL053W	0.603739599462132
YBL054W	0.603739599462132
YBL055C	0.21308456451604646
YBL056W	-0.17757047043003898
YBL057C	0.603739599462132
YBL058W	0.21308456451604646
YBL059W	1.775704704300389
YBL060W	-0.17757047043003898
YBL061C	0.21308456451604646
YBL062W	-0.17757047043003898
YBL063W	0.603739599462132
YBL064C	0.9943946344082176
YBL065W	0.603739599462132
YBL066C	-0.17757047043003898
YBL067C	2.947669809138645
