ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YBL056W	0.704	0.323
YBL057C	0.670	0.314
YBL058W	0.566	0.241
YBL059W	0.694	0.269
YBL060W	0.669	0.272
YBL061C	0.666	0.224
YBL062W	0.765	0.242
YBL063W	0.643	0.174
YBL064C	0.766	0.249
YBL065W	0.639	0.225
YBL066C	0.634	0.257
YBL067C	0.695	0.314
YBL068W	0.683	0.287
YBL069W	0.691	0.301
YBL070C	0.633	0.245
YBL071C	0.688	0.239
YBL072C	0.599	0.168
YBL075C	0.724	0.246
YBL078C	0.738	0.260
YBL079W	0.648	0.162
YBL080C	0.726	0.203
YBL081W	0.618	0.267
YBL082C	0.633	0.244
YBL083C	0.631	0.267
YBL085W	0.779	0.351
YBL086C	0.649	0.278
YBL087C	0.706	0.260
YBL088C	0.694	0.322
YBL089W	0.756	0.306
YBL090W	0.784	0.252
YBL091C	0.624	0.197
YBL091C-A	0.686	0.259
YBL093C	NaN	NaN
YBL094C	0.592	0.149
YBL095W	0.697	0.249
YBL096C	0.717	0.246
YBL098W	0.643	0.228
YBL099W	0.790	0.230
YBL100C	0.749	0.216
YBL101C	0.630	0.178
YBL102W	0.569	0.218
YBL103C	0.708	0.402
YBL104C	0.432	0.113
YBL106C	0.739	0.268
YBL107C	0.638	0.209
YBR001C	0.605	0.195
YBR003W	0.772	0.235
YBR005W	0.509	0.146
YBR006W	0.653	0.271
YBR007C	0.692	0.242
YBR008C	0.685	0.252
YBR009C	0.716	0.268
YBR010W	0.730	0.256
YBR012C	0.706	0.242
YBR013C	0.734	0.240
YBR014C	0.924	0.546
YBR015C	0.593	0.159
YBR016W	0.608	0.212
YBR018C	0.616	0.220
YBR019C	0.642	0.216
YBR020W	0.640	0.206
YBR021W	0.583	0.183
YBR022W	0.630	0.193
YBR023C	0.662	0.174
YBR024W	0.703	0.196
YBR025C	0.638	0.175
YBR026C	0.550	0.123
YBR027C	0.622	0.205
YBR028C	0.565	0.206
YBR030W	0.630	0.235
YBR031W	0.728	0.296
YBR032W	0.864	0.375
YBR033W	0.730	0.239
YBR034C	0.723	0.320
YBR035C	0.815	0.275
YBR036C	0.314	0.000
YBR037C	0.902	0.259
YBR040W	0.716	0.241
YBR041W	0.876	0.255
YBR042C	0.759	0.258
YBR043C	0.651	0.219
YBR044C	0.522	0.139
YBR045C	0.674	0.231
YBR046C	0.699	0.258
YBR047W	0.716	0.367
YBR048W	0.690	0.267
YBR050C	0.687	0.284
YBR051W	0.627	0.246
YBR052C	0.701	0.250
YBR053C	0.715	0.218
YBR054W	0.716	0.220
YBR056W	0.585	0.144
YBR057C	0.625	0.214
YBR058C	0.535	0.082
YBR059C	0.669	0.215
YBR061C	0.705	0.197
YBR062C	0.700	0.271
YBR063C	0.673	0.258
YBR064W	0.704	0.251
YBR065C	0.730	0.246
YBR066C	0.778	0.184
YBR067C	0.729	0.227
YBR068C	0.629	0.183
YBR069C	0.720	0.254
YBR071W	0.691	0.204
YBR072W	0.651	0.228
YBR073W	0.679	0.257
YBR074W	0.644	0.273
YBR075W	0.700	0.244
YBR076W	0.709	0.267
YBR077C	0.499	0.144
YBR078W	0.661	0.184
YBR081C	0.408	0.099
YBR082C	0.735	0.215
YBR083W	0.684	0.279
YBR084C-A	0.837	0.322
YBR084W	0.695	0.177
YBR085W	0.714	0.253
YBR090C	0.707	0.235
YBR090C-A	0.595	0.178
YBR092C	0.632	0.207
YBR093C	0.686	0.244
YBR094W	0.603	0.243
YBR095C	0.662	0.175
YBR097W	NaN	NaN
YBR098W	0.691	0.259
YBR099C	0.619	0.251
YBR100W	0.648	0.217
YBR101C	NaN	NaN
YBR103W	0.700	0.244
YBR104W	0.709	0.147
YBR105C	0.786	0.222
YBR106W	0.683	0.154
YBR107C	0.620	0.168
YBR108W	0.641	0.213
YBR111C	0.613	0.204
YBR112C	NaN	NaN
YBR113W	0.613	0.207
YBR114W	0.516	0.212
YBR115C	0.641	0.264
YBR116C	0.637	0.216
YBR119W	0.624	0.201
YBR120C	0.823	0.262
YBR121C	0.702	0.213
YBR122C	0.771	0.312
YBR125C	0.719	0.323
YBR126C	0.752	0.149
YBR127C	0.404	0.198
YBR128C	0.634	0.245
YBR129C	0.519	0.157
YBR130C	0.647	0.242
YBR131W	0.678	0.093
YBR132C	0.629	0.238
YBR133C	0.703	0.308
YBR134W	0.653	0.242
YBR137W	0.640	0.224
YBR138C	0.666	0.213
YBR139W	0.681	0.225
YBR141C	0.724	0.199
YBR144C	0.662	0.211
YBR145W	0.652	0.209
YBR146W	0.684	0.248
YBR147W	0.518	0.229
YBR148W	0.681	0.256
YBR149W	0.675	0.270
YBR150C	0.601	0.160
YBR151W	0.596	0.135
YBR156C	0.644	0.231
YBR157C	0.661	0.226
YBR158W	0.687	0.224
YBR159W	0.709	0.211
YBR161W	0.704	0.196
YBR162C	0.608	0.179
YBR162W-A	0.615	0.174
YBR163W	0.778	0.245
YBR164C	0.259	0.112
YBR165W	0.683	0.270
YBR166C	0.689	0.279
YBR168W	0.679	0.311
YBR169C	0.563	0.189
YBR170C	0.713	0.300
YBR171W	0.535	0.140
YBR172C	0.732	0.271
YBR173C	0.645	0.097
YBR174C	0.728	0.183
YBR175W	0.753	0.197
YBR176W	0.663	0.159
YBR177C	0.613	0.207
YBR178W	0.631	0.276
YBR179C	0.797	0.367
YBR180W	0.665	0.264
YBR181C	0.672	0.261
YBR182C	0.691	0.291
YBR183W	0.693	0.284
YBR184W	0.660	0.236
YBR185C	0.708	0.245
YBR186W	0.665	0.203
YBR187W	0.617	0.169
YBR188C	0.665	0.191
YBR189W	0.402	0.298
YBR191W	0.345	0.288
YBR194W	0.836	0.550
YBR195C	0.613	0.219
YBR197C	0.709	0.239
YBR199W	0.679	0.279
YBR200W	0.971	0.399
YBR201W	0.630	0.257
YBR203W	0.634	0.273
YBR204C	0.654	0.271
YBR205W	0.688	0.241
YBR206W	0.692	0.240
YBR207W	0.614	0.165
YBR208C	0.656	0.173
YBR209W	0.686	0.252
YBR210W	0.657	0.218
YBR212W	0.655	0.227
YBR213W	0.658	0.250
YBR214W	0.646	0.260
YBR215W	0.766	0.515
YBR216C	0.638	0.297
YBR217W	0.671	0.321
YBR218C	0.597	0.225
YBR219C	0.618	0.222
YBR220C	0.678	0.225
YBR221C	0.523	0.097
YBR222C	0.633	0.238
YBR223C	0.649	0.211
YBR224W	0.660	0.265
YBR225W	0.718	0.351
YBR226C	0.691	0.426
YBR227C	0.652	0.284
YBR228W	0.717	0.323
YBR229C	0.735	0.355
YBR230C	0.670	0.248
YBR231C	0.165	0.082
YBR232C	0.649	0.190
YBR233W	0.724	0.233
YBR235W	0.675	0.151
YBR238C	0.797	0.316
YBR239C	0.686	0.222
YBR240C	0.713	0.228
YBR241C	0.699	0.263
YBR242W	0.716	0.312
YBR244W	0.695	0.275
YBR245C	0.645	0.244
YBR246W	0.570	0.245
YBR248C	0.541	0.180
YBR249C	0.713	0.256
YBR250W	0.704	0.235
YBR251W	0.781	0.221
YBR255W	0.789	0.229
YBR258C	0.655	0.213
YBR259W	0.660	0.218
YBR260C	0.673	0.253
YBR261C	0.697	0.260
YBR262C	0.724	0.263
YBR263W	0.706	0.296
YBR264C	0.667	0.269
YBR266C	0.851	0.332
YBR267W	0.790	0.178
YBR268W	1.159	0.705
YBR269C	0.604	0.125
YBR270C	0.558	0.209
YBR271W	0.679	0.262
YBR272C	0.588	0.211
YBR273C	0.665	0.237
YBR274W	0.614	0.211
YBR275C	0.586	0.193
YBR276C	0.602	0.230
YBR277C	0.635	0.151
YBR278W	0.612	0.103
YBR279W	0.622	0.288
YBR280C	0.653	0.217
YBR281C	0.581	0.104
YBR282W	0.754	0.250
YBR283C	0.585	0.154
YBR284W	0.615	0.106
YBR285W	0.691	0.220
YBR286W	0.572	0.113
YBR287W	0.361	0.138
YBR288C	1.002	0.211
YBR289W	0.371	0.117
YBR290W	0.497	0.200
YBR291C	0.526	0.136
YBR292C	0.691	0.268
YBR293W	0.700	0.260
YBR294W	0.582	0.160
YBR295W	0.553	0.131
YBR296C	0.737	0.219
YBR297W	0.591	0.099
YBR298C	0.607	0.105
YBR299W	0.574	0.170
YBR300C	0.580	0.173
YBR301W	0.572	0.177
YCL001W	0.567	0.176
YCL001W-A	0.562	0.095
YCL002C	0.666	0.215
YCL005W	0.681	0.180
YCL006C	0.647	0.217
YCL007C	NaN	NaN
YCL008C	0.585	0.191
YCL009C	0.654	0.257
YCL010C	0.665	0.302
YCL011C	0.670	0.230
YCL012W	0.742	0.237
YCL013W	0.744	0.203
YCL014W	0.737	0.201
YCL016C	0.442	0.102
YCL022C	0.654	0.232
YCL023C	0.787	0.340
YCL024W	0.652	0.236
YCL025C	0.670	0.265
YCL026C	0.545	0.181
YCL026C-A	0.621	0.201
YCL027W	0.648	0.252
YCL028W	0.708	0.308
YCL029C	0.644	0.278
YCL030C	0.620	0.265
YCL032W	0.556	0.155
YCL033C	0.530	0.120
YCL034W	0.711	0.203
YCL035C	0.591	0.163
YCL036W	0.578	0.101
YCL037C	0.483	0.137
YCL038C	0.519	0.132
YCL039W	0.639	0.257
YCL040W	0.674	0.296
YCL042W	0.691	0.289
YCL044C	0.742	0.297
YCL045C	0.667	0.274
YCL046W	0.627	0.248
YCL047C	0.590	0.214
YCL048W	0.669	0.246
YCL049C	0.706	0.239
YCL050C	0.580	0.141
YCL051W	0.624	0.169
YCL055W	0.652	0.198
YCL056C	0.528	0.149
YCL057W	0.667	0.238
YCL058C	0.666	0.196
YCL060C	0.485	0.185
YCL061C	0.486	0.189
YCL062W	0.719	0.308
YCL063W	0.618	0.248
YCL064C	0.589	0.208
YCL069W	0.698	0.237
YCL074W	0.608	0.178
YCL075W	0.715	0.317
YCL076W	0.773	0.270
YCR001W	0.697	0.273
YCR002C	0.593	0.093
YCR003W	0.783	0.228
YCR004C	0.891	0.287
YCR005C	0.619	0.209
YCR006C	0.632	0.229
YCR007C	0.693	0.245
YCR008W	0.498	0.201
YCR009C	0.259	0.097
YCR010C	0.711	0.295
YCR011C	0.752	0.305
YCR014C	0.773	0.306
YCR015C	0.704	0.248
YCR016W	0.726	0.254
YCR017C	0.583	0.154
YCR019W	0.518	0.151
YCR020C	0.701	0.253
YCR020C-A	0.757	0.338
YCR020W-B	0.306	0.103
YCR021C	0.702	0.254
YCR022C	0.705	0.266
YCR023C	0.670	0.260
YCR024C	1.185	1.043
YCR024C-A	0.566	0.120
YCR025C	0.562	0.122
YCR026C	0.525	0.127
YCR027C	0.567	0.101
YCR028C	0.485	0.221
YCR028C-A	0.770	0.293
YCR030C	0.478	0.134
YCR031C	0.715	0.186
YCR032W	0.631	0.286
YCR033W	0.637	0.230
YCR034W	0.553	0.152
YCR036W	0.537	0.098
YCR037C	0.936	0.678
YCR043C	0.704	0.236
YCR044C	NaN	NaN
YCR045C	0.516	0.108
YCR046C	0.656	0.244
YCR047C	0.447	0.112
YCR048W	0.504	0.103
YCR049C	0.645	0.240
YCR050C	0.547	0.118
YCR051W	0.709	0.266
YCR053W	0.655	0.192
YCR059C	0.694	0.253
YCR060W	0.677	0.198
YCR061W	0.553	0.105
YCR062W	0.642	0.202
YCR063W	0.523	0.125
YCR065W	0.573	0.193
YCR066W	0.679	0.213
YCR067C	0.594	0.163
YCR068W	0.610	0.101
YCR069W	0.614	0.195
YCR071C	0.688	0.235
YCR073C	0.647	0.233
YCR073W-A	0.645	0.217
YCR075C	0.668	0.247
YCR076C	0.592	0.151
YCR077C	0.683	0.237
YCR079W	0.712	0.180
YCR081W	0.613	0.177
YCR082W	0.664	0.230
YCR083W	0.638	0.235
YCR084C	0.759	0.000
YCR085W	0.555	0.115
YCR086W	0.508	0.192
YCR087C-A	0.580	0.128
YCR087W	0.586	0.130
YCR088W	0.647	0.208
YCR089W	0.621	0.190
YCR090C	1.107	0.547
YCR091W	0.665	0.351
YCR092C	0.606	0.174
YCR094W	0.410	0.218
YCR095C	0.558	0.214
YCR098C	0.927	0.454
YCR099C	1.068	1.037
YCR100C	0.929	0.729
YCR101C	1.115	0.947
YCR102C	0.678	0.226
YCR102W-A	0.577	0.219
YCR105W	0.684	0.233
YCR106W	0.690	0.186
YCR107W	0.591	0.178
YDL001W	0.902	0.394
YDL002C	0.743	0.318
YDL006W	0.414	0.089
YDL009C	0.603	0.270
YDL010W	0.647	0.234
YDL011C	0.626	0.214
YDL012C	0.659	0.281
YDL013W	0.895	0.287
YDL018C	0.729	0.263
YDL019C	0.725	0.278
YDL020C	0.687	0.286
YDL021W	0.732	0.215
YDL022W	0.705	0.153
YDL023C	0.728	0.135
YDL024C	0.597	0.185
YDL025C	0.608	0.253
YDL026W	0.551	0.173
YDL027C	0.679	0.245
YDL032W	0.821	0.364
YDL033C	0.846	0.315
YDL034W	0.718	0.277
YDL035C	0.544	0.199
YDL036C	0.714	0.286
YDL037C	0.701	0.221
YDL038C	0.737	0.227
YDL039C	0.715	0.219
YDL040C	0.499	0.127
YDL041W	0.748	0.309
YDL042C	0.798	0.339
YDL044C	0.752	0.196
YDL045W-A	0.780	0.266
YDL046W	0.663	0.277
YDL047W	0.486	0.250
YDL048C	0.686	0.302
YDL049C	0.944	0.401
YDL050C	0.677	0.276
YDL051W	0.638	0.242
YDL052C	0.698	0.324
YDL053C	0.791	0.253
YDL054C	0.726	0.245
YDL056W	0.566	0.159
YDL057W	0.796	0.242
YDL059C	0.540	0.177
YDL061C	0.547	0.214
YDL062W	0.903	0.276
YDL063C	0.880	0.278
YDL065C	0.760	0.302
YDL066W	0.722	0.292
YDL067C	0.778	0.238
YDL068W	0.845	0.279
YDL069C	0.807	0.270
YDL070W	0.707	0.264
YDL071C	0.747	0.261
YDL072C	0.591	0.184
YDL073W	0.603	0.145
YDL074C	0.622	0.181
YDL075W	0.260	0.110
YDL076C	0.552	0.088
YDL077C	0.414	0.048
YDL078C	0.625	0.197
YDL079C	0.606	0.209
YDL080C	0.608	0.207
YDL081C	0.245	0.070
YDL082W	0.700	0.255
YDL083C	0.625	0.187
YDL085W	0.616	0.181
YDL086W	0.699	0.230
YDL088C	0.578	0.182
YDL089W	0.631	0.222
YDL090C	0.588	0.139
YDL091C	0.621	0.200
YDL093W	0.633	0.250
YDL094C	0.643	0.250
YDL095W	0.727	0.558
YDL096C	0.762	0.193
YDL099W	0.407	0.130
YDL100C	0.558	0.158
YDL101C	0.385	0.168
YDL104C	0.926	0.306
YDL106C	0.000	0.000
YDL107W	0.928	0.295
YDL109C	0.696	0.272
YDL110C	0.678	0.271
YDL112W	0.704	0.290
YDL113C	0.898	0.281
YDL114W	0.726	0.215
YDL115C	0.549	0.228
YDL116W	0.528	0.143
YDL117W	0.736	0.210
YDL118W	0.611	0.223
YDL119C	0.793	0.259
YDL121C	0.732	0.242
YDL122W	0.896	0.524
YDL123W	0.688	0.270
YDL124W	0.697	0.257
YDL125C	0.630	0.190
YDL127W	0.720	0.209
YDL128W	0.724	0.204
YDL129W	0.730	0.219
YDL130W	0.755	0.236
YDL130W-A	0.638	0.192
YDL131W	0.641	0.207
YDL133C-A	0.638	0.234
YDL133W	0.608	0.137
YDL134C	0.685	0.225
YDL134C-A	0.653	0.231
YDL135C	0.687	0.232
YDL136W	0.770	0.263
YDL137W	0.670	0.270
YDL138W	0.724	0.279
YDL142C	0.670	0.183
YDL144C	0.712	0.229
YDL146W	0.813	0.235
YDL149W	0.727	0.244
YDL151C	0.266	0.139
YDL154W	0.680	0.225
YDL155W	0.621	0.163
YDL156W	0.685	0.243
YDL157C	0.700	0.297
YDL159W	0.707	0.264
YDL160C	0.442	0.062
YDL161W	0.676	0.260
YDL162C	0.736	0.266
YDL167C	0.776	0.476
YDL168W	0.731	0.244
YDL169C	0.748	0.272
YDL170W	0.741	0.248
YDL171C	0.740	0.247
YDL172C	0.644	0.217
YDL173W	0.674	0.231
YDL174C	0.632	0.204
YDL175C	0.653	0.213
YDL176W	0.726	0.404
YDL177C	0.689	0.273
YDL178W	0.706	0.250
YDL179W	0.720	0.250
YDL180W	0.569	0.170
YDL181W	0.957	0.524
YDL182W	0.674	0.222
YDL183C	0.554	0.178
YDL184C	0.521	0.144
YDL185W	0.360	0.181
YDL186W	0.603	0.197
YDL187C	0.597	0.212
YDL188C	0.630	0.226
YDL189W	0.549	0.274
YDL190C	0.644	0.189
YDL191W	0.673	0.297
YDL192W	0.564	0.219
YDL194W	0.569	0.205
YDL197C	0.621	0.226
YDL198C	0.800	0.242
YDL199C	0.687	0.252
YDL200C	0.710	0.216
YDL201W	0.669	0.204
YDL202W	0.809	0.279
YDL203C	0.660	0.189
YDL204W	0.571	0.135
YDL206W	0.639	0.205
YDL210W	0.710	0.269
YDL211C	0.605	0.174
YDL213C	0.632	0.206
YDL214C	0.691	0.255
YDL215C	0.638	0.260
YDL216C	0.670	0.246
YDL218W	0.696	0.235
YDL219W	0.688	0.198
YDL222C	0.787	0.323
YDL223C	0.710	0.191
YDL224C	0.571	0.119
YDL225W	0.837	0.389
YDL226C	0.080	0.060
YDL227C	0.670	0.209
YDL229W	0.659	0.246
YDL230W	0.704	0.334
YDL231C	0.669	0.239
YDL232W	0.864	0.320
YDL233W	0.668	0.218
YDL234C	0.643	0.198
YDL236W	0.663	0.184
YDL237W	0.762	0.256
YDL238C	0.733	0.240
YDL239C	0.609	0.171
YDL240W	0.624	0.164
YDL241W	0.675	0.237
YDL242W	0.664	0.240
YDL243C	0.687	0.248
YDR001C	0.418	0.077
YDR003W	0.730	0.256
YDR004W	0.602	0.212
YDR005C	0.769	0.295
YDR006C	0.707	0.203
YDR007W	0.453	0.190
YDR008C	0.706	0.258
YDR009W	0.670	0.225
YDR010C	0.467	0.120
YDR011W	0.587	0.176
YDR014W	0.615	0.228
YDR015C	0.642	0.240
YDR017C	1.065	0.422
YDR018C	0.674	0.241
YDR019C	0.682	0.235
YDR020C	0.705	0.274
YDR022C	0.689	0.293
YDR024W	0.700	0.286
YDR025W	0.690	0.233
YDR026C	0.624	0.168
YDR027C	0.144	0.078
YDR028C	0.557	0.240
YDR029W	0.682	0.228
YDR030C	0.680	0.225
YDR031W	0.655	0.238
YDR032C	0.672	0.242
YDR033W	0.615	0.202
YDR034C	0.657	0.221
YDR035W	0.696	0.235
YDR036C	0.696	0.231
YDR042C	0.694	0.242
YDR043C	0.691	0.194
YDR046C	0.701	0.231
YDR048C	0.565	0.121
YDR049W	0.662	0.142
YDR050C	0.612	0.172
YDR051C	0.643	0.209
YDR055W	0.639	0.234
YDR056C	0.670	0.234
YDR057W	0.673	0.275
YDR058C	0.509	0.215
YDR059C	0.635	0.240
YDR061W	0.637	0.224
YDR063W	0.654	0.216
YDR065W	1.169	1.294
YDR066C	0.711	0.245
YDR067C	0.748	0.273
YDR068W	0.603	0.168
YDR069C	0.312	0.093
YDR070C	0.641	0.213
YDR071C	0.675	0.247
YDR072C	0.566	0.141
YDR073W	0.573	0.162
YDR074W	0.418	0.087
YDR075W	0.617	0.160
YDR076W	0.614	0.236
YDR077W	0.595	0.184
YDR078C	0.716	0.245
YDR079W	0.803	0.232
YDR080W	0.457	0.023
YDR083W	0.612	0.186
YDR084C	0.654	0.243
YDR085C	0.633	0.252
YDR089W	0.976	0.824
YDR090C	0.685	0.288
YDR092W	0.695	0.294
YDR093W	0.694	0.311
YDR094W	0.677	0.270
YDR095C	0.712	0.274
YDR096W	0.638	0.176
YDR097C	0.582	0.180
YDR098C	0.701	0.190
YDR099W	0.613	0.226
YDR100W	0.674	0.239
YDR101C	0.703	0.256
YDR102C	0.690	0.252
YDR103W	0.672	0.271
YDR104C	0.676	0.296
YDR105C	0.641	0.211
YDR107C	0.651	0.258
YDR108W	0.620	0.203
YDR109C	0.681	0.243
YDR110W	0.630	0.198
YDR111C	0.692	0.217
YDR112W	0.661	0.197
YDR114C	NaN	NaN
YDR115W	NaN	NaN
YDR116C	0.694	0.255
YDR117C	0.687	0.285
YDR119W	0.653	0.288
YDR120C	0.578	0.179
YDR121W	0.674	0.297
YDR122W	0.697	0.235
YDR123C	0.682	0.508
YDR124W	0.695	0.234
YDR125C	0.702	0.204
YDR126W	0.476	0.133
YDR127W	0.696	0.203
YDR128W	0.641	0.186
YDR129C	0.536	0.147
YDR130C	0.670	0.259
YDR131C	0.683	0.302
YDR132C	0.672	0.275
YDR133C	0.642	0.266
YDR134C	0.654	0.253
YDR135C	0.749	0.278
YDR136C	0.166	0.096
YDR137W	0.191	0.094
YDR138W	0.906	0.301
YDR139C	0.673	0.207
YDR140W	0.675	0.234
YDR142C	0.729	0.257
YDR143C	0.694	0.256
YDR144C	0.702	0.286
YDR146C	0.690	0.272
YDR147W	0.668	0.181
YDR148C	0.610	0.173
YDR149C	0.628	0.174
YDR150W	0.588	0.183
YDR151C	0.708	0.258
YDR152W	0.682	0.265
YDR153C	0.456	0.142
YDR154C	0.668	0.332
YDR155C	0.617	0.274
YDR156W	0.631	0.294
YDR157W	0.713	0.264
YDR158W	0.707	0.207
YDR159W	0.824	0.135
YDR161W	0.696	0.227
YDR162C	0.530	0.123
YDR163W	0.729	0.339
YDR165W	0.630	0.264
YDR169C	0.676	0.287
YDR171W	0.677	0.279
YDR173C	0.703	0.229
YDR174W	0.669	0.240
YDR175C	0.857	0.279
YDR176W	0.469	0.240
YDR178W	0.598	0.107
YDR179C	0.677	0.185
YDR179W-A	0.625	0.162
YDR181C	0.765	0.304
YDR183W	0.695	0.198
YDR184C	0.664	0.246
YDR185C	0.666	0.233
YDR186C	0.546	0.190
YDR191W	0.661	0.188
YDR192C	0.682	0.262
YDR193W	0.653	0.240
YDR194C	0.909	0.319
YDR195W	1.040	0.176
YDR197W	0.974	0.265
YDR198C	0.765	0.254
YDR199W	0.537	0.143
YDR200C	0.199	0.088
YDR202C	0.310	0.143
YDR203W	0.366	0.129
YDR204W	0.846	0.231
YDR205W	0.574	0.191
YDR206W	0.641	0.209
YDR207C	0.237	0.155
YDR209C	0.613	0.204
YDR210W	0.660	0.248
YDR213W	0.672	0.256
YDR214W	0.727	0.229
YDR215C	0.766	0.248
YDR216W	0.776	0.226
YDR217C	0.664	0.226
YDR218C	0.636	0.182
YDR219C	0.667	0.202
YDR220C	0.669	0.242
YDR221W	0.707	0.309
YDR222W	0.704	0.261
YDR223W	0.713	0.273
YDR225W	0.492	0.273
YDR226W	0.736	0.379
YDR227W	0.913	0.378
YDR229W	0.766	0.284
YDR230W	0.881	0.285
YDR231C	0.600	0.162
YDR233C	0.559	0.118
YDR234W	0.559	0.166
YDR237W	0.754	0.268
YDR239C	0.615	0.176
YDR241W	0.516	0.154
YDR242W	0.636	0.227
YDR244W	0.786	0.234
YDR245W	0.593	0.170
YDR247W	0.508	0.117
YDR248C	0.713	0.244
YDR249C	0.615	0.261
YDR250C	0.532	0.151
YDR251W	0.570	0.181
YDR252W	0.593	0.230
YDR253C	0.604	0.245
YDR254W	0.558	0.193
YDR255C	0.615	0.150
YDR256C	0.601	0.177
YDR257C	0.755	0.312
YDR258C	0.588	0.187
YDR259C	0.492	0.141
YDR260C	0.592	0.223
YDR261C	0.593	0.228
YDR262W	0.564	0.227
YDR263C	0.586	0.237
YDR264C	0.634	0.241
YDR265W	0.719	0.229
YDR266C	0.569	0.179
YDR268W	0.826	0.245
YDR269C	0.578	0.157
YDR270W	0.476	0.099
YDR271C	0.553	0.149
YDR272W	0.610	0.216
YDR273W	0.580	0.201
YDR274C	0.551	0.166
YDR275W	0.576	0.229
YDR276C	NaN	NaN
YDR277C	0.715	0.292
YDR278C	0.725	0.285
YDR279W	0.683	0.256
YDR281C	0.716	0.241
YDR282C	0.707	0.237
YDR283C	0.662	0.202
YDR284C	0.730	0.238
YDR285W	0.687	0.247
YDR286C	0.690	0.267
YDR287W	0.634	0.236
YDR289C	1.144	0.732
YDR290W	0.982	0.501
YDR291W	0.697	0.357
YDR293C	0.565	0.110
YDR294C	0.401	0.173
YDR295C	1.144	1.051
YDR296W	0.705	0.216
YDR297W	1.104	0.678
YDR298C	1.412	1.300
YDR300C	0.266	0.080
YDR304C	0.694	0.226
YDR305C	0.625	0.227
YDR306C	0.622	0.219
YDR307W	0.646	0.233
YDR309C	0.680	0.264
YDR310C	0.576	0.215
YDR312W	0.670	0.220
YDR313C	0.589	0.173
YDR314C	0.692	0.198
YDR315C	0.501	0.120
