ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YBR023C  	homozygous diploid	CHS3, CAL5, CSD2, DIT101, KTI2    	WT                                              
YBR024W  	homozygous diploid	SCO2                              	WT                                              
YBR025C  	homozygous diploid	                                  	Round 2                                         
YBR026C  	homozygous diploid	MRF1'                             	WT                                              
YBR027C  	homozygous diploid	                                  	Large 3                                         
YBR028C  	homozygous diploid	                                  	WT                                              
YBR029C  	homozygous diploid	CDS1, CDG1                        	WT                                              
YBR030W  	homozygous diploid	                                  	ND                                              
YBR031W  	homozygous diploid	RPL4A                             	WT                                              
YBR032W  	homozygous diploid	                                  	WT                                              
YBR033W  	homozygous diploid	                                  	WT                                              
YBR034C  	homozygous diploid	HMT1, HCP1, ODP1, RMT1            	WT                                              
YBR035C  	homozygous diploid	PDX3                              	WT                                              
YBR036C  	homozygous diploid	CSG2, CLS2                        	WT                                              
YBR037C  	homozygous diploid	SCO1, PET161                      	WT                                              
YBR038W  	homozygous diploid	CHS2                              	WT                                              
YBR039W  	homozygous diploid	ATP3                              	ND                                              
YBR040W  	homozygous diploid	FIG1                              	WT                                              
YBR041W  	homozygous diploid	FAT1                              	WT                                              
YBR042C  	homozygous diploid	                                  	WT                                              
YBR043C  	homozygous diploid	                                  	Round 3                                         
YBR044C  	homozygous diploid	TCM62                             	WT                                              
YBR045C  	homozygous diploid	GIP1                              	WT                                              
YBR046C  	homozygous diploid	ZTA1                              	WT                                              
YBR047W  	homozygous diploid	                                  	WT                                              
YBR048W  	homozygous diploid	RPS11B                            	Elongate 2                                      
YBR050C  	homozygous diploid	REG2                              	WT                                              
YBR051W  	homozygous diploid	                                  	WT                                              
YBR052C  	homozygous diploid	                                  	WT                                              
YBR053C  	homozygous diploid	                                  	WT                                              
YBR054W  	homozygous diploid	YRO2                              	WT                                              
YBR056W  	homozygous diploid	                                  	WT                                              
YBR057C  	homozygous diploid	MUM2, SPOT8                       	WT                                              
YBR058C  	homozygous diploid	UBP14                             	WT                                              
YBR059C  	homozygous diploid	AKL1                              	WT                                              
YBR061C  	homozygous diploid	                                  	ND                                              
YBR062C  	homozygous diploid	                                  	WT                                              
YBR063C  	homozygous diploid	                                  	WT                                              
YBR064W  	homozygous diploid	                                  	WT                                              
YBR065C  	homozygous diploid	ECM2, SLT11                       	WT                                              
YBR066C  	homozygous diploid	NRG2                              	WT                                              
YBR067C  	homozygous diploid	TIP1                              	WT                                              
YBR068C  	homozygous diploid	BAP2                              	WT                                              
YBR069C  	homozygous diploid	TAT1, VAP1                        	Football 2                                      
YBR071W  	homozygous diploid	                                  	WT                                              
YBR072W  	homozygous diploid	HSP26                             	WT                                              
YBR073W  	homozygous diploid	RDH54, TID1                       	WT                                              
YBR074W  	homozygous diploid	                                  	WT                                              
YBR075W  	homozygous diploid	                                  	WT                                              
YBR076W  	homozygous diploid	ECM8                              	WT                                              
YBR077C  	homozygous diploid	                                  	WT                                              
YBR078W  	homozygous diploid	ECM33                             	WT                                              
YBR081C  	homozygous diploid	SPT7, GIT2                        	ND                                              
YBR082C  	homozygous diploid	UBC4                              	ND                                              
YBR083W  	homozygous diploid	TEC1, ROC1                        	WT                                              
YBR084C-A	homozygous diploid	RPL19A                            	WT                                              
YBR084W  	homozygous diploid	MIS1                              	ND                                              
YBR085W  	homozygous diploid	AAC3, ANC3                        	ND                                              
YBR086C  	homozygous diploid	IST2                              	ND                                              
YBR090C  	homozygous diploid	                                  	WT                                              
YBR090C-A	homozygous diploid	                                  	ND                                              
YBR092C  	homozygous diploid	PHO3                              	ND                                              
YBR093C  	homozygous diploid	PHO5                              	ND                                              
YBR094W  	homozygous diploid	                                  	ND                                              
YBR095C  	homozygous diploid	                                  	ND                                              
YBR097W  	homozygous diploid	VPS15, GRD8, VAC4, VPL19          	ND                                              
YBR098W  	homozygous diploid	MMS4                              	ND                                              
YBR099C  	homozygous diploid	                                  	ND                                              
YBR100W  	homozygous diploid	                                  	WT                                              
YBR101C  	homozygous diploid	                                  	ND                                              
YBR103W  	homozygous diploid	SIF2, EMB1                        	ND                                              
YBR104W  	homozygous diploid	YMC2                              	ND                                              
YBR105C  	homozygous diploid	VID24                             	ND                                              
YBR106W  	homozygous diploid	PHO88                             	ND                                              
YBR107C  	homozygous diploid	IML3, MCM19                       	ND                                              
YBR108W  	homozygous diploid	                                  	ND                                              
YBR112C  	homozygous diploid	CYC8, CRT8, SSN6                  	WT                                              
YBR113W  	homozygous diploid	                                  	ND                                              
YBR114W  	homozygous diploid	RAD16, PSO5                       	ND                                              
YBR115C  	homozygous diploid	LYS2                              	ND                                              
YBR116C  	homozygous diploid	                                  	ND                                              
YBR118W  	homozygous diploid	TEF2                              	ND                                              
YBR119W  	homozygous diploid	MUD1                              	ND                                              
YBR120C  	homozygous diploid	CBP6                              	ND                                              
YBR125C  	homozygous diploid	PTC4, GCT1                        	WT                                              
