ORF      	strain background 	Gene Names                        	Cell Shape Morphologies                         
YHR136C  	homozygous diploid	SPL2                              	WT                                              
YHR137W  	homozygous diploid	ARO9                              	WT                                              
YHR138C  	homozygous diploid	                                  	WT                                              
YHR139C  	homozygous diploid	SPS100                            	WT                                              
YHR139C-A	homozygous diploid	                                  	WT                                              
YHR140W  	homozygous diploid	                                  	WT                                              
YHR142W  	homozygous diploid	CHS7                              	WT                                              
YHR143W  	homozygous diploid	                                  	WT                                              
YHR146W  	homozygous diploid	CRP1                              	WT                                              
YHR147C  	homozygous diploid	MRPL6                             	WT                                              
YHR150W  	homozygous diploid	                                  	WT                                              
YHR151C  	homozygous diploid	                                  	Football 3                                      
YHR152W  	homozygous diploid	SPO12                             	WT                                              
YHR153C  	homozygous diploid	SPO16                             	WT                                              
YHR154W  	homozygous diploid	ESC4                              	Large 3; Round 2; Elongate 2                     
YHR155W  	homozygous diploid	                                  	WT                                              
YHR156C  	homozygous diploid	                                  	WT                                              
YHR157W  	homozygous diploid	REC104                            	WT                                              
YHR158C  	homozygous diploid	KEL1                              	Elongate 3                                      
YHR159W  	homozygous diploid	                                  	WT                                              
YHR160C  	homozygous diploid	PEX18                             	WT                                              
YHR161C  	homozygous diploid	YAP1801                           	WT                                              
YHR162W  	homozygous diploid	                                  	WT                                              
YHR163W  	homozygous diploid	SOL3                              	WT                                              
YHR167W  	homozygous diploid	THP2                              	WT                                              
YHR168W  	homozygous diploid	                                  	WT                                              
YHR171W  	homozygous diploid	APG7, CVT2                        	WT                                              
YHR176W  	homozygous diploid	                                  	WT                                              
YHR177W  	homozygous diploid	                                  	WT                                              
YHR178W  	homozygous diploid	STB5                              	WT                                              
YHR179W  	homozygous diploid	OYE2                              	WT                                              
YHR180W  	homozygous diploid	                                  	WT                                              
YHR181W  	homozygous diploid	                                  	WT                                              
YHR182W  	homozygous diploid	                                  	WT                                              
YHR183W  	homozygous diploid	GND1                              	WT                                              
YHR184W  	homozygous diploid	SSP1, SPO3                        	WT                                              
YHR185C  	homozygous diploid	PFS1, ADY1                        	WT                                              
YHR189W  	homozygous diploid	                                  	WT                                              
YHR191C  	homozygous diploid	CTF8                              	Large 3; Large 2; Round 2                        
YHR193C  	homozygous diploid	EGD2                              	WT                                              
YHR194W  	homozygous diploid	                                  	WT                                              
YHR195W  	homozygous diploid	NVJ1, VAB36                       	WT                                              
YHR198C  	homozygous diploid	                                  	Round 2                                         
YHR199C  	homozygous diploid	                                  	WT                                              
YHR200W  	homozygous diploid	RPN10, MCB1, SUN1                 	Large 3;  Round 2                                
YHR202W  	homozygous diploid	                                  	WT                                              
YHR203C  	homozygous diploid	RPS4B                             	WT                                              
YHR204W  	homozygous diploid	HTM1                              	Large 2                                         
YHR206W  	homozygous diploid	SKN7, BRY1, POS9                  	Elongate 2                                      
YHR207C  	homozygous diploid	                                  	WT                                              
YHR209W  	homozygous diploid	                                  	WT                                              
YHR210C  	homozygous diploid	                                  	WT                                              
YIL001W  	homozygous diploid	                                  	WT                                              
YIL002C  	homozygous diploid	INP51, SJL1                       	WT                                              
YIL005W  	homozygous diploid	                                  	Football 2                                      
YIL006W  	homozygous diploid	                                  	WT                                              
YIL007C  	homozygous diploid	                                  	WT                                              
YIL008W  	homozygous diploid	URM1                              	Elongate 2;  Football 2                          
YIL009C-A	homozygous diploid	EST3                              	Large 2;  Elongate 3                             
YIL009W  	homozygous diploid	FAA3                              	WT                                              
YIL010W  	homozygous diploid	DOT5                              	WT                                              
YIL011W  	homozygous diploid	TIR3                              	WT                                              
YIL012W  	homozygous diploid	                                  	WT                                              
YIL013C  	homozygous diploid	PDR11                             	Football 3                                      
YIL014W  	homozygous diploid	MNT3                              	WT                                              
YIL015C-A	homozygous diploid	                                  	Small 2                                         
YIL015W  	homozygous diploid	BAR1, SST1                        	WT                                              
YIL016W  	homozygous diploid	SNL1                              	WT                                              
YIL017C  	homozygous diploid	VID28                             	Elongate 3                                      
YIL018W  	homozygous diploid	RPL2B, RPL5A                      	Small 3;  Football 3                             
YIL020C  	homozygous diploid	HIS6                              	WT                                              
YIL023C  	homozygous diploid	                                  	WT                                              
YIL024C  	homozygous diploid	                                  	WT                                              
YIL025C  	homozygous diploid	                                  	WT                                              
YIL027C  	homozygous diploid	KRE27                             	WT                                              
YIL028W  	homozygous diploid	                                  	WT                                              
YIL029C  	homozygous diploid	                                  	Football 2                                      
YIL030C  	homozygous diploid	SSM4                              	WT                                              
YIL032C  	homozygous diploid	                                  	WT                                              
YIL033C  	homozygous diploid	BCY1, SRA1                        	ND                                              
YIL034C  	homozygous diploid	CAP2                              	WT                                              
YIL035C  	homozygous diploid	CKA1                              	WT                                              
YIL036W  	homozygous diploid	CST6                              	WT                                              
YIL037C  	homozygous diploid	PRM2                              	WT                                              
YIL038C  	homozygous diploid	NOT3                              	WT                                              
YIL039W  	homozygous diploid	                                  	WT                                              
YIL040W  	homozygous diploid	                                  	WT                                              
YIL041W  	homozygous diploid	                                  	Football 3                                      
YIL042C  	homozygous diploid	                                  	WT                                              
YIL043C  	homozygous diploid	CBR1, CBR5                        	WT                                              
YIL044C  	homozygous diploid	AGE2, SAT2                        	WT                                              
YIL045W  	homozygous diploid	PIG2                              	WT                                              
YIL047C  	homozygous diploid	SYG1                              	WT                                              
YIL049W  	homozygous diploid	DFG10                             	WT                                              
YIL050W  	homozygous diploid	PCL7                              	WT                                              
YIL052C  	homozygous diploid	RPL34B                            	Round 3                                         
YIL053W  	homozygous diploid	RHR2, GPP1                        	Football 3;  Elongate 2                          
YIL054W  	homozygous diploid	FYV2                              	WT                                              
YIL055C  	homozygous diploid	                                  	Football 2                                      
YIL056W  	homozygous diploid	                                  	ND                                              
YIL057C  	homozygous diploid	                                  	WT                                              
YIL058W  	homozygous diploid	                                  	WT                                              
YIL059C  	homozygous diploid	                                  	WT                                              
YIL060W  	homozygous diploid	                                  	WT                                              
YIL064W  	homozygous diploid	                                  	WT                                              
YIL065C  	homozygous diploid	FIS1, MDV2                        	WT                                              
YIL066C  	homozygous diploid	RNR3, DIN1, RIR3                  	Large 2; Elongate 2                              
YIL067C  	homozygous diploid	                                  	WT                                              
YIL069C  	homozygous diploid	RPS24B, RPS24EB                   	Football 3                                      
YIL070C  	homozygous diploid	MAM33                             	Elongate 2                                      
YIL071C  	homozygous diploid	PCI8                              	WT                                              
YIL072W  	homozygous diploid	HOP1                              	Elongate 3                                      
YIL073C  	homozygous diploid	SPO22                             	WT                                              
YIL074C  	homozygous diploid	SER33                             	WT                                              
YIL076W  	homozygous diploid	SEC28, ANU2                       	WT                                              
YIL077C  	homozygous diploid	                                  	WT                                              
YIL079C  	homozygous diploid	                                  	WT                                              
YIL084C  	homozygous diploid	SDS3                              	WT                                              
YIL085C  	homozygous diploid	KTR7                              	ND                                              
YIL086C  	homozygous diploid	                                  	WT                                              
YIL087C  	homozygous diploid	                                  	WT                                              
YIL088C  	homozygous diploid	                                  	WT                                              
YIL089W  	homozygous diploid	                                  	WT                                              
YIL090W  	homozygous diploid	                                  	WT                                              
YIL092W  	homozygous diploid	                                  	WT                                              
YIL093C  	homozygous diploid	RSM25                             	Small 2                                         
YIL094C  	homozygous diploid	LYS12, LYS10, LYS11               	WT                                              
YIL095W  	homozygous diploid	PRK1                              	WT                                              
YIL096C  	homozygous diploid	                                  	WT                                              
YIL097W  	homozygous diploid	FYV10                             	WT                                              
YIL098C  	homozygous diploid	FMC1                              	WT                                              
YIL099W  	homozygous diploid	SGA1                              	WT                                              
YIL100W  	homozygous diploid	                                  	WT                                              
YIL101C  	homozygous diploid	XBP1                              	Large 2;  Elongate 2                             
YIL102C  	homozygous diploid	                                  	ND                                              
YIL103W  	homozygous diploid	                                  	Small 3                                         
YIL105C  	homozygous diploid	                                  	WT                                              
YIL107C  	homozygous diploid	PFK26                             	Elongate 3                                      
YIL108W  	homozygous diploid	                                  	WT                                              
YIL110W  	homozygous diploid	                                  	Elongate 2                                      
YIL111W  	homozygous diploid	COX5B                             	ND                                              
YIL112W  	homozygous diploid	                                  	WT                                              
YIL113W  	homozygous diploid	                                  	WT                                              
YIL114C  	homozygous diploid	POR2                              	WT                                              
YIL116W  	homozygous diploid	HIS5                              	WT                                              
YIL117C  	homozygous diploid	PRM5                              	WT                                              
YIL119C  	homozygous diploid	RPI1                              	WT                                              
YIL120W  	homozygous diploid	QDR1                              	WT                                              
YIL121W  	homozygous diploid	                                  	WT                                              
YIL122W  	homozygous diploid	                                  	ND                                              
YIL123W  	homozygous diploid	SIM1                              	WT                                              
YIL124W  	homozygous diploid	AYR1                              	WT                                              
YIL125W  	homozygous diploid	KGD1, OGD1                        	Elongate 2                                      
YIL128W  	homozygous diploid	MET18, MMS19                      	WT                                              
YIL130W  	homozygous diploid	                                  	WT                                              
YIL131C  	homozygous diploid	FKH1                              	ND                                              
YIL132C  	homozygous diploid	CSM2                              	WT                                              
YIL133C  	homozygous diploid	RPL16A, RPL13                     	WT                                              
YIL134W  	homozygous diploid	FLX1                              	WT                                              
YIL135C  	homozygous diploid	                                  	Large 2                                         
YIL136W  	homozygous diploid	OM45                              	ND                                              
YIL137C  	homozygous diploid	                                  	WT                                              
YIL138C  	homozygous diploid	TPM2                              	WT                                              
YIL139C  	homozygous diploid	REV7                              	WT                                              
YIL140W  	homozygous diploid	AXL2, BUD10, SRO4                 	WT                                              
YIL141W  	homozygous diploid	                                  	WT                                              
YIL145C  	homozygous diploid	PAN6                              	WT                                              
YIL146C  	homozygous diploid	ECM37                             	WT                                              
YIL148W  	homozygous diploid	RPL40A, UBI1                      	Round 2                                         
YIL149C  	homozygous diploid	MLP2                              	WT                                              
YIL152W  	homozygous diploid	                                  	WT                                              
YIL153W  	homozygous diploid	RRD1                              	WT                                              
YIL154C  	homozygous diploid	IMP2'                             	WT                                              
YIL155C  	homozygous diploid	GUT2                              	WT                                              
YIL156W  	homozygous diploid	UBP7                              	WT                                              
YIL157C  	homozygous diploid	                                  	Football 2                                      
YIL158W  	homozygous diploid	                                  	ND                                              
YIL159W  	homozygous diploid	BNR1                              	WT                                              
YIL160C  	homozygous diploid	POT1, FOX3, POX3                  	Elongate 2                                      
YIL161W  	homozygous diploid	                                  	WT                                              
YIL162W  	homozygous diploid	SUC2                              	WT                                              
YIL163C  	homozygous diploid	                                  	WT                                              
YIL164C  	homozygous diploid	NIT1                              	WT                                              
YIL165C  	homozygous diploid	                                  	WT                                              
YIL166C  	homozygous diploid	                                  	WT                                              
YIL167W  	homozygous diploid	                                  	WT                                              
YIL168W  	homozygous diploid	SDL1                              	WT                                              
YIL170W  	homozygous diploid	HXT12, YIL171W                    	WT                                              
YIL173W  	homozygous diploid	VTH1                              	WT                                              
YIR001C  	homozygous diploid	SGN1                              	WT                                              
YIR002C  	homozygous diploid	MPH1                              	WT                                              
YIR003W  	homozygous diploid	                                  	Round 2                                         
YIR004W  	homozygous diploid	DJP1, ICS1, PAS22                 	WT                                              
YIR005W  	homozygous diploid	IST3                              	WT                                              
YIR007W  	homozygous diploid	                                  	WT                                              
YIR009W  	homozygous diploid	MSL1                              	Football 3                                      
YIR013C  	homozygous diploid	GAT4                              	WT                                              
YIR014W  	homozygous diploid	                                  	WT                                              
YIR016W  	homozygous diploid	                                  	WT                                              
YIR017C  	homozygous diploid	MET28                             	WT                                              
YIR018W  	homozygous diploid	YAP5                              	Small 3                                         
YIR019C  	homozygous diploid	MUC1, FLO11, STA4                 	WT                                              
YIR020C  	homozygous diploid	                                  	WT                                              
YIR020W-B	homozygous diploid	                                  	WT                                              
YIR021W  	homozygous diploid	MRS1, PET157                      	WT                                              
YIR023W  	homozygous diploid	DAL81, UGA35                      	WT                                              
YIR024C  	homozygous diploid	GIF1                              	WT                                              
YIR025W  	homozygous diploid	MND2                              	WT                                              
YIR026C  	homozygous diploid	YVH1                              	WT                                              
YIR027C  	homozygous diploid	DAL1                              	WT                                              
YIR028W  	homozygous diploid	DAL4                              	WT                                              
YIR029W  	homozygous diploid	DAL2, ALC1                        	WT                                              
YIR030C  	homozygous diploid	DCG1                              	WT                                              
YIR031C  	homozygous diploid	DAL7, MLS2, MSL2                  	WT                                              
YIR032C  	homozygous diploid	DAL3                              	WT                                              
YIR033W  	homozygous diploid	MGA2                              	WT                                              
YIR034C  	homozygous diploid	LYS1                              	WT                                              
YIR035C  	homozygous diploid	                                  	WT                                              
YIR036C  	homozygous diploid	                                  	WT                                              
YIR037W  	homozygous diploid	HYR1, GPX3                        	WT                                              
YIR038C  	homozygous diploid	GTT1                              	WT                                              
YIR039C  	homozygous diploid	YPS6                              	WT                                              
YIR042C  	homozygous diploid	                                  	WT                                              
YIR043C  	homozygous diploid	                                  	WT                                              
YIR044C  	homozygous diploid	                                  	WT                                              
YJL003W  	homozygous diploid	                                  	Elongate 2                                      
YJL004C  	homozygous diploid	SYS1                              	Small 2                                         
YJL006C  	homozygous diploid	CTK2                              	WT                                              
YJL007C  	homozygous diploid	                                  	WT                                              
YJL012C  	homozygous diploid	VTC4, PHM3                        	WT                                              
YJL013C  	homozygous diploid	MAD3                              	WT                                              
YJL016W  	homozygous diploid	                                  	WT                                              
YJL017W  	homozygous diploid	                                  	WT                                              
YJL020C  	homozygous diploid	                                  	WT                                              
YJL021C  	homozygous diploid	                                  	WT                                              
YJL022W  	homozygous diploid	                                  	WT                                              
YJL023C  	homozygous diploid	PET130                            	WT                                              
YJL024C  	homozygous diploid	APS3, YKS7                        	WT                                              
YJL027C  	homozygous diploid	                                  	WT                                              
YJL028W  	homozygous diploid	                                  	WT                                              
YJL029C  	homozygous diploid	VPS53                             	WT                                              
YJL030W  	homozygous diploid	MAD2                              	WT                                              
YJL036W  	homozygous diploid	SNX4                              	WT                                              
YJL037W  	homozygous diploid	                                  	WT                                              
YJL038C  	homozygous diploid	                                  	WT                                              
YJL042W  	homozygous diploid	MHP1                              	WT                                              
YJL043W  	homozygous diploid	                                  	WT                                              
YJL044C  	homozygous diploid	GYP6                              	WT                                              
YJL045W  	homozygous diploid	                                  	WT                                              
YJL046W  	homozygous diploid	                                  	WT                                              
YJL047C  	homozygous diploid	RTT101                            	Large 3                                         
YJL048C  	homozygous diploid	                                  	WT                                              
YJL049W  	homozygous diploid	                                  	WT                                              
YJL051W  	homozygous diploid	                                  	WT                                              
YJL052W  	homozygous diploid	TDH1, GLD3                        	WT                                              
YJL053W  	homozygous diploid	PEP8, GRD6, VPS26, VPT4           	WT                                              
YJL055W  	homozygous diploid	                                  	WT                                              
YJL056C  	homozygous diploid	ZAP1                              	WT                                              
YJL057C  	homozygous diploid	IKS1                              	WT                                              
YJL058C  	homozygous diploid	                                  	WT                                              
YJL059W  	homozygous diploid	YHC3, BTN1                        	WT                                              
YJL060W  	homozygous diploid	                                  	WT                                              
YJL062W  	homozygous diploid	LAS21, GPI7                       	Round 4                                         
YJL063C  	homozygous diploid	MRPL8, HRD238, YML8               	Small 2;  Round 2                                
YJL064W  	homozygous diploid	                                  	WT                                              
YJL065C  	homozygous diploid	                                  	WT                                              
YJL066C  	homozygous diploid	MPM1                              	WT                                              
YJL067W  	homozygous diploid	                                  	WT                                              
YJL068C  	homozygous diploid	                                  	WT                                              
YJL070C  	homozygous diploid	                                  	WT                                              
YJL071W  	homozygous diploid	ARG2, HRB574                      	WT                                              
YJL073W  	homozygous diploid	JEM1                              	Large 3                                         
YJL075C  	homozygous diploid	                                  	Elongate 4                                      
YJL077C  	homozygous diploid	ICS3                              	WT                                              
YJL078C  	homozygous diploid	PRY3                              	WT                                              
YJL079C  	homozygous diploid	PRY1                              	WT                                              
YJL080C  	homozygous diploid	SCP160                            	WT                                              
YJL082W  	homozygous diploid	IML2                              	WT                                              
YJL083W  	homozygous diploid	                                  	WT                                              
YJL084C  	homozygous diploid	                                  	WT                                              
YJL088W  	homozygous diploid	ARG3                              	WT                                              
YJL089W  	homozygous diploid	SIP4                              	WT                                              
YJL092W  	homozygous diploid	HPR5, RADH, RADH1, SRS2           	WT                                              
YJL093C  	homozygous diploid	TOK1, DUK1, YKC1, YORK            	Large 3                                         
YJL094C  	homozygous diploid	KHA1                              	WT                                              
YJL095W  	homozygous diploid	BCK1, LAS3, SAP3, SLK1, SSP31     	WT                                              
YJL096W  	homozygous diploid	MRPL49                            	WT                                              
YJL098W  	homozygous diploid	SAP185                            	WT                                              
YJL099W  	homozygous diploid	CHS6, CSD3                        	WT                                              
YJL100W  	homozygous diploid	                                  	WT                                              
YJL101C  	homozygous diploid	GSH1                              	WT                                              
YJL102W  	homozygous diploid	MEF2                              	Small 3                                         
YJL103C  	homozygous diploid	                                  	WT                                              
YJL105W  	homozygous diploid	                                  	WT                                              
YJL106W  	homozygous diploid	IME2                              	WT                                              
YJL107C  	homozygous diploid	                                  	WT                                              
YJL108C  	homozygous diploid	PRM10                             	WT                                              
YJL110C  	homozygous diploid	GZF3, DEH1, NIL2                  	WT                                              
YJL112W  	homozygous diploid	MDV1, FIS2, GAG3                  	WT                                              
YJL115W  	homozygous diploid	ASF1                              	Large 3;  Round 3                                
YJL116C  	homozygous diploid	NCA3                              	WT                                              
YJL117W  	homozygous diploid	PHO86                             	WT                                              
YJL118W  	homozygous diploid	                                  	WT                                              
YJL119C  	homozygous diploid	                                  	WT                                              
YJL120W  	homozygous diploid	                                  	Large 3                                         
YJL121C  	homozygous diploid	RPE1, EPI1, POS18                 	Large 2                                         
YJL122W  	homozygous diploid	                                  	WT                                              
YJL123C  	homozygous diploid	                                  	Round 2                                         
YJL124C  	homozygous diploid	LSM1, SPB8                        	Small 3;  Round 3                                
YJL126W  	homozygous diploid	NIT2                              	WT                                              
YJL127C  	homozygous diploid	SPT10, CRE1, SUD1                 	Elongate 4                                      
YJL128C  	homozygous diploid	PBS2, HOG4, SFS4, SSK4            	WT                                              
YJL129C  	homozygous diploid	TRK1                              	Elongate 2                                      
YJL130C  	homozygous diploid	URA2                              	WT                                              
YJL131C  	homozygous diploid	                                  	WT                                              
YJL132W  	homozygous diploid	                                  	WT                                              
YJL133W  	homozygous diploid	MRS3                              	WT                                              
YJL134W  	homozygous diploid	LCB3, LBP1, YSR2                  	WT                                              
YJL135W  	homozygous diploid	                                  	WT                                              
YJL136C  	homozygous diploid	RPS21B                            	WT                                              
YJL137C  	homozygous diploid	GLG2                              	WT                                              
YJL138C  	homozygous diploid	TIF2                              	WT                                              
YJL139C  	homozygous diploid	YUR1                              	Round 3                                         
YJL140W  	homozygous diploid	RPB4, CTF15                       	WT                                              
YJL141C  	homozygous diploid	YAK1                              	WT                                              
YJL142C  	homozygous diploid	                                  	WT                                              
YJL144W  	homozygous diploid	                                  	WT                                              
YJL145W  	homozygous diploid	                                  	WT                                              
YJL146W  	homozygous diploid	IDS2                              	WT                                              
YJL147C  	homozygous diploid	                                  	WT                                              
YJL148W  	homozygous diploid	RPA34                             	WT                                              
YJL149W  	homozygous diploid	                                  	WT                                              
YJL150W  	homozygous diploid	                                  	WT                                              
YJL151C  	homozygous diploid	                                  	WT                                              
YJL152W  	homozygous diploid	                                  	WT                                              
YJL153C  	homozygous diploid	INO1, APR1                        	WT                                              
YJL154C  	homozygous diploid	VPS35, GRD9, VPT7                 	WT                                              
YJL155C  	homozygous diploid	FBP26                             	WT                                              
YJL157C  	homozygous diploid	FAR1                              	WT                                              
YJL158C  	homozygous diploid	CIS3, CCW11                       	WT                                              
YJL159W  	homozygous diploid	HSP150, CCW7, ORE1, PIR2          	WT                                              
YJL160C  	homozygous diploid	                                  	WT                                              
YJL161W  	homozygous diploid	                                  	WT                                              
YJL162C  	homozygous diploid	                                  	WT                                              
YJL163C  	homozygous diploid	                                  	WT                                              
YJL164C  	homozygous diploid	TPK1, PKA1, SRA3                  	WT                                              
YJL165C  	homozygous diploid	HAL5                              	WT                                              
YJL166W  	homozygous diploid	QCR8, COR5                        	WT                                              
YJL168C  	homozygous diploid	SET2, EZL1                        	Elongate 3                                      
YJL169W  	homozygous diploid	                                  	Elongate 2                                      
YJL170C  	homozygous diploid	ASG7                              	WT                                              
YJL171C  	homozygous diploid	                                  	WT                                              
YJL172W  	homozygous diploid	CPS1                              	WT                                              
YJL175W  	homozygous diploid	                                  	Elongate 3                                      
YJL176C  	homozygous diploid	SWI3, TYE2                        	chain 3                                         
YJL177W  	homozygous diploid	RPL17B                            	WT                                              
YJL178C  	homozygous diploid	                                  	WT                                              
YJL179W  	homozygous diploid	PFD1                              	WT                                              
YJL180C  	homozygous diploid	ATP12                             	Football 2                                      
YJL181W  	homozygous diploid	                                  	WT                                              
YJL182C  	homozygous diploid	                                  	WT                                              
YJL183W  	homozygous diploid	MNN11                             	Round 2                                         
YJL184W  	homozygous diploid	                                  	WT                                              
YJL185C  	homozygous diploid	                                  	WT                                              
YJL186W  	homozygous diploid	MNN5                              	WT                                              
YJL187C  	homozygous diploid	SWE1, WEE1                        	Small 2;  Round 2                                
YJL188C  	homozygous diploid	BUD19                             	Round 3                                         
YJL189W  	homozygous diploid	RPL39, PUB2, RPL46, SPB2          	WT                                              
YJL190C  	homozygous diploid	RPS22A, RPS24                     	WT                                              
YJL191W  	homozygous diploid	RPS14B, CRY2                      	WT                                              
YJL192C  	homozygous diploid	                                  	WT                                              
YJL193W  	homozygous diploid	                                  	WT                                              
YJL196C  	homozygous diploid	ELO1                              	WT                                              
YJL197W  	homozygous diploid	UBP12                             	WT                                              
YJL198W  	homozygous diploid	                                  	WT                                              
YJL199C  	homozygous diploid	                                  	WT                                              
YJL200C  	homozygous diploid	                                  	WT                                              
YJL201W  	homozygous diploid	ECM25                             	WT                                              
YJL204C  	homozygous diploid	                                  	WT                                              
YJL206C  	homozygous diploid	                                  	WT                                              
YJL206C-A	homozygous diploid	                                  	WT                                              
YJL207C  	homozygous diploid	                                  	WT                                              
YJL208C  	homozygous diploid	NUC1                              	WT                                              
YJL209W  	homozygous diploid	CBP1                              	WT                                              
YJL210W  	homozygous diploid	PEX2, CRT1, PAS5                  	WT                                              
YJL211C  	homozygous diploid	                                  	WT                                              
YJL212C  	homozygous diploid	OPT1, HGT1                        	WT                                              
YJL213W  	homozygous diploid	                                  	WT                                              
YJL214W  	homozygous diploid	HXT8                              	WT                                              
YJL215C  	homozygous diploid	                                  	WT                                              
YJL216C  	homozygous diploid	                                  	WT                                              
YJL217W  	homozygous diploid	                                  	WT                                              
YJL218W  	homozygous diploid	                                  	WT                                              
YJR001W  	homozygous diploid	                                  	Large 2                                         
YJR003C  	homozygous diploid	                                  	WT                                              
