ORF	hap a | growth (lag phase) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | sodium chloride [0.85 M] | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (lag phase) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (exponential growth rate) | standard | minimal complete | Warringer J~Blomberg A, 2003	hap a | growth (stationary phase cell density) | standard | minimal complete | Warringer J~Blomberg A, 2003
YBR074W	-0.041	-0.054	-0.057	0.057	0.069	0.036
YBR075W	-0.016	-0.007	-0.053	-0.018	0.014	0.082
YBR076W	1.084	0.229	0.365	-1.078	-0.257	-0.385
YBR077C	-0.234	-0.145	-0.164	0.086	-0.138	0.196
YBR078W	0.288	0.141	-0.053	0.036	-0.023	0.017
YBR082C	0.704	0.036	0.033	-0.998	-0.256	-0.330
YBR083W	-0.025	-0.021	0.225	0.230	0.073	-0.085
YBR084C-A	0.138	0.061	0.147	-0.154	-0.133	-0.066
YBR084W	-0.152	0.082	0.012	-0.049	-0.030	-0.056
YBR085W	0.254	-0.086	0.308	-0.125	0.098	-0.297
YBR090C	-0.074	-0.021	0.066	0.185	0.087	0.012
YBR090C-A	-0.151	-0.059	0.199	0.145	0.030	-0.172
YBR092C	-0.245	-0.006	0.101	0.107	0.012	-0.089
YBR093C	-0.124	-0.013	0.004	0.036	-0.181	0.089
YBR094W	-0.146	-0.052	0.014	0.191	-0.027	0.003
YBR095C	-0.047	-0.021	0.084	0.254	-0.097	-0.118
YBR097W	1.173	0.467	0.114	-1.126	-0.349	-0.311
YBR099C	-0.293	0.008	-0.099	0.298	-0.038	0.110
YBR100W	-0.119	0.022	0.050	0.185	0.030	0.024
YBR103W	-0.545	-0.294	0.202	0.129	-0.141	-0.209
YBR104W	-0.135	0.024	0.172	0.129	-0.038	-0.195
YBR105C	-0.406	0.130	0.110	0.337	-0.036	-0.122
YBR106W	0.138	-0.139	0.095	0.203	-0.070	-0.098
YBR112C	-0.223	0.026	0.157	0.127	0.068	0.034
YBR114W	0.112	-0.059	-0.070	-0.013	-0.010	0.064
YBR115C	0.138	0.056	0.069	-0.062	-0.078	-0.035
YBR120C	0.270	0.143	0.015	-0.183	-0.128	-0.066
YBR121C	-0.242	0.007	-0.060	0.150	-0.009	-0.047
YBR122C	-0.529	0.373	0.075	0.084	-0.478	-0.166
YBR125C	0.050	0.092	0.224	0.110	0.040	-0.136
YBR126C	-0.281	0.029	-0.226	0.128	-0.038	0.067
YBR127C	-0.964	-0.025	-0.162	0.858	-0.305	-0.137
YBR128C	-0.049	0.031	0.179	-0.082	-0.025	-0.164
YBR129C	-0.266	-0.045	0.148	0.043	0.006	-0.142
YBR130C	-0.122	-0.016	0.040	0.142	0.002	-0.004
YBR131W	-0.235	-0.009	0.013	-0.190	-0.003	0.015
YBR132C	0.711	0.147	0.221	-0.590	-0.224	-0.235
YBR134W	-0.186	0.022	-0.005	0.241	-0.008	0.034
YBR137W	-0.164	0.021	-0.047	0.120	-0.023	0.062
YBR138C	-0.117	-0.028	0.001	-0.141	-0.023	-0.064
YBR141C	-0.202	-0.015	0.078	0.021	0.035	-0.125
YBR144C	0.118	-0.002	-0.044	-0.072	-0.063	-0.033
YBR146W	0.545	-0.065	0.220	-0.373	-0.050	-0.293
YBR147W	-0.723	-0.137	0.008	-0.196	-0.253	-0.068
YBR148W	0.078	-0.029	0.057	-0.011	-0.026	-0.087
YBR149W	0.061	0.005	-0.027	0.024	-0.023	-0.029
YBR150C	-0.164	0.180	0.142	0.237	0.047	0.002
YBR151W	0.004	-0.042	0.012	0.031	0.008	-0.051
YBR157C	0.012	0.053	0.050	0.129	-0.022	-0.109
YBR158W	0.111	-0.049	-0.003	0.034	-0.017	-0.045
YBR161W	-0.265	-0.084	-0.027	0.154	0.001	-0.049
YBR162W-A	-0.215	0.054	-0.023	0.183	0.026	-0.037
YBR163W	0.028	0.043	0.067	0.269	0.042	-0.052
YBR164C	0.022	0.001	0.069	0.100	0.020	-0.083
YBR168W	0.050	-0.279	0.123	0.310	-0.265	-0.123
YBR169C	-0.108	0.023	0.118	0.229	0.059	0.009
YBR171W	-0.309	0.254	0.020	0.016	-0.095	-0.103
YBR172C	-0.081	-0.039	0.027	0.184	0.011	-0.042
YBR173C	0.136	0.018	0.109	0.371	0.074	-0.069
YBR174C	-0.019	-0.086	-0.050	0.125	-0.085	-0.114
YBR175W	-0.275	-0.137	0.105	0.156	-0.135	-0.198
YBR176W	-0.202	0.012	-0.048	0.093	0.062	0.000
YBR177C	-0.230	0.026	0.003	0.068	0.082	-0.014
YBR178W	-0.055	-0.021	0.003	-0.042	0.064	0.000
YBR179C	-1.110	-0.489	0.214	-1.057	0.063	-0.214
YBR180W	0.145	-0.016	0.029	-0.178	0.049	-0.008
YBR181C	-0.296	0.158	0.066	0.030	-0.174	-0.022
YBR182C	-0.192	-0.058	0.159	0.091	0.070	-0.005
YBR183W	-0.210	-0.020	0.064	0.136	0.047	-0.030
YBR184W	-0.125	-0.012	0.074	0.031	0.067	-0.034
YBR185C	-0.379	-0.129	0.042	0.046	0.020	-0.081
YBR186W	0.071	-0.107	-0.060	0.003	0.042	-0.010
YBR187W	-0.096	-0.063	0.017	0.069	0.036	-0.010
YBR188C	-0.175	-0.068	0.206	0.109	0.052	-0.162
YBR189W	-0.092	0.189	0.053	-0.133	-0.414	-0.024
YBR191W	0.189	-0.201	-0.222	0.150	-0.199	-0.014
YBR194W	0.213	0.182	0.018	-0.072	-0.264	-0.004
YBR195C	0.817	-0.005	-0.301	-0.764	-0.029	0.083
YBR197C	-0.127	-0.054	0.114	0.021	0.040	-0.067
YBR199W	-0.047	-0.055	0.029	-0.027	0.055	-0.011
YBR200W	-0.282	-0.029	0.184	0.041	0.088	-0.145
YBR201W	-0.090	0.023	-0.095	0.235	-0.089	0.116
YBR203W	-0.308	0.006	0.209	0.159	0.052	-0.227
YBR204C	-0.110	0.017	0.250	-0.067	0.111	-0.193
YBR205W	-0.059	0.114	0.151	-0.115	-0.035	-0.109
YBR206W	-0.109	0.046	0.219	0.065	0.004	-0.182
YBR207W	-0.096	-0.064	0.125	-0.115	0.074	-0.132
YBR208C	-0.075	0.082	0.111	-0.170	0.024	-0.042
YBR209W	0.662	0.065	0.455	-0.527	-0.010	-0.404
YBR210W	-0.288	0.024	0.082	0.055	0.055	-0.013
YBR212W	0.002	0.058	0.262	-0.129	-0.074	-0.206
YBR213W	-0.020	-0.088	-0.012	-0.147	-0.030	0.092
YBR214W	-0.021	0.106	0.022	-0.196	0.040	-0.046
YBR215W	0.067	-0.063	-0.104	-0.195	0.018	0.063
YBR216C	-0.047	0.296	0.362	-0.132	-0.132	-0.320
YBR217W	0.369	0.263	0.146	-0.375	-0.247	-0.170
YBR218C	0.195	0.170	0.319	-0.268	-0.152	-0.275
YBR219C	-0.058	0.211	-0.022	-0.233	-0.136	0.020
YBR220C	-0.122	0.104	0.060	-0.060	-0.007	-0.036
YBR221C	-0.043	0.059	0.000	-0.094	-0.120	-0.072
YBR222C	-0.072	0.044	0.038	-0.000	0.015	-0.001
YBR223C	0.202	0.059	-0.063	-0.113	-0.074	0.098
YBR224W	-0.447	0.085	-0.076	0.058	-0.034	0.021
YBR225W	-0.344	0.121	0.006	-0.044	-0.046	-0.018
YBR226C	-0.256	0.064	-0.030	-0.112	-0.043	0.071
YBR227C	-0.088	-0.014	0.186	-0.011	0.022	-0.162
YBR228W	-0.129	0.026	0.056	-0.044	0.021	-0.048
YBR229C	0.145	-0.073	0.111	-0.295	0.077	-0.010
YBR230C	0.051	0.066	0.034	-0.198	-0.054	0.004
YBR231C	-0.021	-0.071	0.018	0.091	-0.093	-0.012
YBR232C	-0.052	-0.001	0.053	-0.094	-0.004	0.003
YBR233W	-0.003	0.056	-0.106	-0.042	-0.107	0.149
YBR235W	0.122	-0.078	-0.076	-0.175	-0.075	0.124
YBR238C	-0.398	-0.013	0.051	0.140	-0.019	-0.169
YBR239C	-0.083	0.023	-0.000	0.069	0.047	-0.049
YBR240C	-0.203	0.025	0.080	0.052	0.047	-0.028
YBR241C	-0.227	-0.188	-0.621	-0.029	0.015	-0.072
YBR242W	-0.079	-0.012	0.136	-0.014	0.018	-0.053
YBR244W	0.129	-0.006	0.070	-0.176	0.049	-0.002
YBR245C	-0.118	-0.028	0.036	0.016	-0.012	0.009
YBR246W	-0.162	-0.223	0.107	-0.096	-0.066	-0.016
YBR248C	0.068	0.062	0.098	-0.286	-0.021	-0.101
YBR249C	-0.058	-0.037	0.137	-0.168	0.027	-0.101
YBR250W	-0.011	-0.009	-0.099	0.001	0.003	0.052
YBR251W	0.065	0.183	-0.059	-0.333	-0.193	-0.010
YBR255W	-0.268	-0.084	0.112	0.025	0.028	-0.069
YBR258C	-0.062	-0.008	0.084	-0.076	0.013	-0.070
YBR259W	0.093	-0.165	0.064	0.093	0.033	-0.004
YBR260C	-0.055	-0.018	0.030	0.017	0.022	0.009
YBR261C	-0.139	-0.015	0.049	-0.006	-0.016	-0.019
YBR262C	-0.106	-0.085	0.051	0.097	0.024	-0.027
YBR263W	0.080	-0.129	0.089	0.144	-0.015	-0.061
YBR264C	-0.171	-0.117	0.071	0.063	0.005	-0.061
YBR266C	-0.005	-0.040	-0.010	-0.041	-0.178	-0.032
YBR267W	0.304	0.030	-0.179	-0.245	-0.329	0.048
YBR268W	0.162	0.184	0.090	-0.209	-0.258	-0.082
YBR269C	0.049	-0.017	0.029	0.044	-0.005	-0.082
YBR270C	-0.084	-0.014	0.242	0.226	0.070	-0.035
YBR271W	-0.084	0.034	0.100	-0.004	0.007	-0.071
YBR272C	-0.194	0.054	0.088	0.219	0.016	0.023
YBR273C	0.098	-0.028	0.048	0.007	0.001	-0.066
YBR274W	-0.039	0.065	-0.072	-0.003	0.003	-0.058
YBR275C	-0.159	-0.001	0.141	0.263	0.046	0.032
YBR276C	-0.100	0.117	0.135	0.362	0.016	0.023
YBR277C	-0.171	0.021	-0.056	-0.066	-0.049	-0.071
YBR278W	0.075	-0.136	-0.145	-0.118	-0.056	-0.176
YBR280C	-0.149	-0.010	0.149	0.324	0.074	0.025
YBR281C	0.146	-0.203	-0.099	-0.161	-0.024	-0.193
YBR282W	-0.369	0.110	-0.142	0.081	-0.184	-0.065
YBR283C	-0.014	0.048	0.043	0.010	-0.029	-0.064
YBR284W	-0.043	-0.101	-0.088	-0.105	-0.009	-0.101
YBR285W	-0.038	0.009	0.099	-0.088	-0.018	-0.038
YBR286W	0.061	-0.178	-0.315	-0.239	-0.024	-0.138
YBR287W	-0.069	0.013	0.172	0.284	0.043	-0.040
YBR288C	-0.307	0.101	0.185	0.364	0.059	-0.074
YBR289W	-0.066	-0.041	0.225	0.257	0.026	-0.104
YBR290W	0.045	0.012	0.062	-0.027	-0.030	0.016
YBR291C	-0.043	-0.138	-0.324	-0.153	-0.006	-0.118
YBR292C	0.004	-0.005	0.045	0.023	0.002	-0.020
YBR293W	-0.097	0.032	0.097	-0.044	-0.030	-0.076
YBR294W	-0.370	0.015	0.139	0.253	0.095	0.019
YBR295W	0.262	-0.237	-0.301	-0.266	-0.035	-0.022
YBR296C	-0.027	0.087	0.060	0.002	-0.022	-0.068
YBR297W	0.044	-0.123	-0.270	-0.163	-0.005	-0.074
YBR298C	0.057	-0.191	-0.187	-0.210	0.001	-0.141
YBR299W	0.039	-0.025	0.126	0.029	0.045	-0.052
YBR300C	-0.001	0.003	0.092	-0.064	0.002	-0.064
YBR301W	-0.392	0.124	0.199	0.316	0.059	0.028
YCL001W	0.073	0.031	0.079	0.134	-0.050	-0.080
