orf	het | loss of heterozygosity at MAT locus (diploid mating) | standard | YPD + G418 [200 ug/ml] | Hoffert KM~Strome ED, 2019
YBR196C	9.0
YBR196C-A	6.0
YBR196C-B	7.0
YBR197C	8.0
YBR198C	9.0
YBR199W	7.0
YBR200W	12.0
YBR200W-A	5.0
YBR201W	11.0
YBR202W	8.0
YBR203W	6.0
YBR204C	8.0
YBR205W	8.0
YBR206W	6.0
YBR207W	8.0
YBR208C	6.0
YBR209W	6.0
YBR210W	7.0
YBR211C	10.0
YBR212W	13.0
YBR213W	10.0
YBR214W	9.0
YBR215W	7.0
YBR216C	5.0
YBR217W	6.0
YBR218C	7.0
YBR219C	6.0
YBR220C	6.0
YBR221C	5.0
YBR221W-A	4.0
YBR222C	6.0
YBR223C	6.0
YBR224W	7.0
YBR225W	13.0
YBR226C	6.0
YBR227C	4.0
YBR228W	8.0
YBR229C	7.0
YBR230C	6.0
YBR230W-A	12.0
YBR231C	4.0
YBR232C	7.0
YBR233W	8.0
YBR233W-A	7.0
YBR234C	17.0
YBR235W	6.0
YBR236C	8.0
YBR237W	9.0
YBR238C	5.0
YBR239C	9.0
YBR240C	7.0
YBR241C	6.0
YBR242W	5.0
YBR243C	8.0
YBR244W	7.0
YBR245C	8.0
YBR246W	7.0
YBR247C	6.0
YBR248C	11.0
YBR249C	8.0
YBR250W	8.0
YBR251W	12.0
YBR252W	7.0
YBR253W	7.0
YBR254C	19.0
YBR255W	9.0
YBR256C	10.0
YBR257W	5.0
YBR258C	7.0
YBR259W	14.0
YBR260C	4.0
YBR261C	5.0
YBR262C	6.0
YBR263W	7.0
YBR264C	6.0
YBR265W	5.0
YBR266C	5.0
YBR267W	6.0
YBR268W	8.0
YBR269C	14.0
YBR270C	7.0
YBR271W	13.0
YBR272C	18.0
YBR273C	11.0
YBR274W	7.0
YBR275C	6.0
YBR276C	6.0
YBR277C	6.0
YBR278W	4.0
YBR279W	4.0
YBR280C	4.0
YBR281C	6.0
YBR282W	7.0
YBR283C	6.0
YBR284W	6.0
YBR285W	6.0
YBR286W	8.0
YBR287W	5.0
YBR288C	6.0
YBR289W	6.0
YBR290W	6.0
YBR291C	4.0
YBR292C	5.0
YBR293W	7.0
YBR294W	8.0
YBR295W	5.0
YBR296C	7.0
YBR296C-A	6.0
YBR297W	5.0
YBR298C	8.0
YBR299W	5.0
YBR300C	6.0
YBR301W	6.0
YCL001W	4.0
YCL001W-A	4.0
YCL001W-B	7.0
YCL002C	7.0
YCL004W	7.0
YCL005W	17.0
YCL005W-A	8.0
YCL006C	5.5
YCL007C	6.0
YCL008C	7.0
YCL009C	7.0
YCL010C	10.0
YCL011C	5.0
YCL012C	4.0
YCL013W	11.0
YCL014W	10.666666666666666
YCL016C	5.0
YCL017C	9.0
YCL021W-A	5.0
YCL022C	6.0
YCL023C	4.0
YCL024W	10.0
YCL025C	8.0
YCL026C	6.0
YCL026C-A	16.0
YCL026C-B	7.0
YCL027W	7.0
YCL028W	6.0
YCL029C	7.0
YCL030C	11.0
YCL031C	7.0
YCL032W	8.0
YCL033C	6.0
YCL034W	6.0
YCL035C	6.0
YCL036W	9.0
YCL037C	7.0
YCL038C	5.0
YCL039W	6.0
YCL040W	4.0
YCL041C	4.5
YCL042W	6.0
YCL043C	2.0
YCL044C	8.0
YCL045C	6.0
YCL046W	10.0
YCL047C	7.0
YCL048W	7.0
YCL049C	7.0
YCL050C	6.0
YCL051W	4.0
YCL052C	10.0
YCL053C	4.0
YCL054W	8.0
YCL055W	2.0
YCL056C	3.0
YCL057C-A	4.0
YCL057W	7.0
YCL058C	4.0
YCL059C	5.0
YCL061C	11.333333333333334
YCL063W	7.0
YCL064C	4.0
YCL069W	8.0
YCL074W	6.0
YCL075W	5.0
YCL076W	5.0
YCR001W	9.0
YCR002C	6.0
YCR003W	7.0
YCR004C	8.0
YCR005C	4.0
YCR006C	7.0
YCR007C	11.0
YCR008W	8.0
YCR009C	5.0
YCR010C	11.0
YCR011C	4.0
YCR012W	5.5
YCR013C	6.5
YCR014C	6.0
YCR015C	4.0
YCR016W	4.0
YCR017C	9.0
YCR019W	5.0
YCR020C	6.0
YCR020C-A	5.0
YCR020W-B	1.0
YCR021C	5.0
YCR022C	4.0
YCR023C	6.0
YCR024C	5.0
YCR024C-A	17.0
YCR025C	11.0
YCR026C	2.0
YCR027C	5.0
YCR028C	6.0
YCR028C-A	3.0
YCR030C	17.0
YCR031C	5.0
YCR032W	17.0
YCR033W	4.0
YCR034W	5.0
YCR035C	1.0
YCR036W	3.0
YCR037C	1.0
YCR043C	2.0
YCR044C	0.0
YCR045C	1.0
YCR046C	1.0
YCR047C	1.0
YCR048W	5.0
YCR049C	5.0
YCR050C	5.0
YCR051W	2.0
YCR052W	8.0
YCR053W	5.0
YCR054C	4.0
YCR057C	3.0
YCR059C	4.0
YCR060W	5.0
YCR061W	6.0
YCR063W	4.0
YCR064C	1.0
YCR065W	0.0
YCR066W	2.0
YCR067C	5.0
YCR068W	4.0
YCR069W	16.0
YCR071C	3.0
YCR072C	1.0
YCR073C	4.0
YCR073W-A	3.0
YCR075C	5.0
YCR075W-A	4.0
YCR076C	3.0
YCR077C	4.0
YCR079W	4.0
YCR081W	2.0
YCR082W	3.0
YCR083W	4.0
YCR084C	5.0
YCR085W	4.0
YCR086W	3.0
YCR087C-A	4.0
YCR087W	5.0
YCR088W	3.0
YCR089W	7.0
YCR090C	2.0
YCR091W	5.0
YCR092C	6.0
YCR093W	2.0
YCR094W	5.0
YCR095C	8.0
YCR095W-A	3.0
YCR098C	4.0
YCR099C	1.0
YCR100C	4.0
YCR101C	3.0
YCR102C	2.0
YCR102W-A	2.0
YCR105W	5.0
YCR106W	3.0
YCR107W	5.0
YDL001W	16.0
YDL002C	7.0
YDL003W	7.0
YDL004W	6.0
YDL005C	9.0
YDL006W	7.0
YDL007W	8.0
YDL008W	6.0
YDL009C	6.0
YDL010W	9.0
YDL011C	12.0
YDL012C	11.0
YDL013W	15.0
YDL014W	7.0
YDL015C	17.0
YDL016C	11.0
YDL017W	8.0
YDL018C	13.0
YDL019C	10.0
YDL020C	7.0
YDL021W	5.0
YDL022W	8.0
YDL023C	6.0
YDL024C	8.0
YDL025C	3.0
YDL026W	4.5
YDL027C	6.0
YDL028C	17.0
YDL029W	6.0
YDL030W	10.0
YDL031W	8.0
YDL032W	7.0
YDL033C	6.0
YDL034W	5.0
YDL035C	5.0
YDL036C	7.0
YDL037C	3.0
YDL039C	5.0
YDL040C	12.0
YDL041W	6.0
YDL042C	14.0
YDL043C	7.0
YDL044C	7.0
YDL045C	5.0
YDL045W-A	5.0
YDL046W	5.0
YDL047W	6.0
YDL048C	5.0
YDL049C	9.0
YDL050C	6.0
YDL051W	4.0
YDL052C	5.0
YDL053C	6.0
YDL054C	10.0
YDL055C	15.0
YDL056W	8.0
YDL057W	5.0
YDL058W	5.0
YDL059C	5.0
YDL060W	4.0
YDL061C	7.0
YDL062W	9.0
YDL063C	17.0
YDL064W	6.0
YDL065C	7.0
YDL066W	7.0
YDL067C	12.0
YDL068W	7.0
YDL069C	8.0
YDL070W	7.0
YDL071C	5.0
YDL072C	5.0
YDL073W	5.0
YDL074C	5.0
YDL075W	4.0
YDL076C	5.0
YDL077C	10.0
YDL078C	5.0
YDL079C	10.0
YDL080C	4.0
YDL081C	8.0
YDL082W	7.0
YDL083C	5.0
YDL084W	4.0
YDL085C-A	12.0
YDL085W	6.0
YDL086W	4.0
YDL087C	4.0
YDL088C	6.0
YDL089W	7.0
YDL090C	6.0
YDL091C	5.0
YDL092W	6.0
YDL093W	6.0
YDL094C	6.0
YDL095W	5.0
YDL096C	7.0
YDL097C	14.0
YDL098C	14.0
YDL099W	5.0
YDL100C	6.0
YDL101C	6.0
YDL102W	4.0
YDL103C	6.0
YDL104C	14.0
YDL105W	5.0
YDL106C	6.0
YDL107W	5.0
YDL108W	6.0
YDL109C	8.0
YDL110C	8.0
YDL111C	9.0
YDL112W	6.0
YDL113C	4.0
YDL114W	4.0
YDL115C	6.0
YDL116W	12.0
YDL117W	7.0
YDL118W	7.0
YDL119C	13.0
YDL120W	7.0
YDL121C	5.0
YDL122W	11.0
YDL123W	9.0
YDL124W	5.0
YDL125C	9.0
YDL126C	7.0
YDL127W	4.0
YDL128W	7.0
YDL129W	6.0
YDL130W	8.0
YDL130W-A	4.0
YDL131W	9.0
YDL132W	7.0
YDL133C-A	5.5
YDL133W	5.0
YDL134C	14.0
YDL135C	6.0
YDL136W	5.0
YDL137W	10.0
YDL138W	16.0
YDL139C	5.0
YDL140C	4.0
YDL141W	7.0
YDL142C	8.0
YDL143W	7.0
YDL144C	8.0
YDL145C	5.0
YDL146W	7.0
YDL147W	7.0
YDL148C	4.0
YDL149W	5.0
YDL150W	10.0
YDL151C	11.0
YDL152W	13.0
YDL153C	6.0
YDL154W	13.0
YDL155W	12.0
YDL156W	8.0
YDL157C	6.0
YDL158C	6.0
YDL159W	7.0
YDL159W-A	5.0
YDL160C	6.0
YDL160C-A	5.0
YDL161W	7.0
YDL162C	8.0
YDL163W	7.0
YDL164C	6.0
YDL165W	8.0
YDL166C	17.0
YDL167C	14.0
YDL168W	10.0
YDL169C	5.0
YDL170W	7.0
YDL171C	6.0
YDL172C	6.0
YDL173W	6.0
YDL174C	6.0
YDL175C	5.0
YDL176W	6.0
YDL177C	8.0
YDL178W	7.0
YDL179W	5.0
YDL180W	6.0
YDL181W	18.0
YDL182W	5.0
YDL183C	6.0
YDL184C	8.0
YDL185W	6.0
YDL186W	7.0
YDL187C	9.0
YDL188C	4.0
YDL189W	5.0
YDL190C	8.0
YDL191W	6.0
YDL192W	8.0
YDL193W	11.0
YDL194W	13.0
YDL195W	12.0
YDL196W	5.0
YDL197C	13.0
YDL198C	6.0
YDL199C	7.0
YDL200C	8.0
YDL201W	8.0
YDL202W	13.0
YDL203C	14.0
YDL204W	4.0
YDL205C	7.0
YDL206W	5.0
YDL207W	7.0
YDL208W	7.0
YDL209C	6.0
YDL210W	9.0
YDL211C	16.0
YDL212W	6.0
YDL213C	7.0
YDL214C	7.0
YDL215C	7.0
YDL216C	6.0
YDL217C	11.0
YDL218W	7.0
YDL219W	10.0
YDL220C	7.0
YDL221W	9.0
YDL222C	10.0
YDL223C	7.0
YDL224C	7.0
YDL225W	7.0
YDL226C	8.0
YDL227C	7.0
YDL229W	8.0
YDL230W	9.0
YDL231C	6.0
YDL232W	15.0
YDL233W	4.0
YDL234C	8.0
YDL235C	8.0
YDL236W	7.0
YDL237W	7.0
YDL238C	4.0
YDL239C	4.0
YDL240W	7.0
YDL241W	7.0
YDL242W	7.0
YDL243C	8.0
YDL363W-A	5.0
YDR001C	6.0
YDR002W	6.0
YDR003W	6.0
YDR003W-A	6.0
YDR004W	13.0
YDR005C	6.0
YDR006C	8.0
YDR007W	6.0
YDR008C	8.0
YDR009W	5.0
YDR010C	9.0
YDR011W	8.0
YDR013W	7.0
YDR014W	8.0
YDR015C	5.0
YDR016C	5.0
YDR017C	6.0
YDR018C	6.0
YDR019C	12.0
YDR020C	7.0
YDR021W	7.0
YDR022C	7.0
YDR023W	6.0
YDR024W	16.0
YDR025W	9.0
YDR026C	8.0
YDR027C	7.0
YDR028C	5.0
YDR029W	16.0
YDR030C	10.0
YDR031W	9.0
YDR032C	6.0
YDR033W	18.0
YDR034C	8.0
YDR034W-B	5.0
YDR035W	8.0
YDR036C	5.0
YDR037W	17.0
YDR041W	5.0
YDR042C	7.0
YDR043C	5.0
YDR044W	6.0
YDR045C	4.0
YDR046C	6.0
YDR047W	8.0
YDR048C	6.0
YDR049W	8.0
YDR050C	6.0
YDR051C	8.0
YDR052C	6.0
YDR053W	6.0
YDR054C	14.0
YDR055W	7.0
YDR056C	9.0
YDR057W	7.0
YDR058C	4.0
YDR059C	8.0
YDR060W	15.0
YDR061W	7.0
YDR062W	7.0
YDR063W	10.0
YDR064W	6.0
YDR065W	9.0
YDR066C	6.0
YDR067C	8.0
YDR068W	10.0
YDR069C	8.0
YDR070C	9.0
YDR071C	8.0
YDR072C	6.0
YDR073W	8.0
YDR074W	12.0
YDR075W	7.0
YDR076W	8.0
YDR077W	17.0
YDR078C	6.0
YDR079C-A	8.0
YDR079W	6.0
YDR080W	7.0
YDR081C	8.0
YDR082W	9.0
YDR083W	7.0
YDR084C	8.0
YDR085C	13.0
YDR086C	7.0
YDR087C	7.0
YDR088C	7.0
YDR089W	6.0
YDR090C	8.0
YDR091C	14.0
YDR092W	6.0
YDR093W	13.0
YDR094W	10.0
YDR095C	8.0
YDR096W	11.0
YDR097C	18.0
YDR098C	6.0
YDR099W	9.0
YDR100W	6.0
YDR101C	7.0
YDR102C	14.0
YDR103W	7.0
YDR104C	8.0
YDR105C	5.0
YDR107C	10.0
YDR108W	11.0
YDR109C	6.0
YDR110W	13.0
YDR111C	9.0
YDR112W	10.0
YDR113C	8.0
YDR114C	9.0
YDR115W	7.0
YDR116C	6.0
YDR117C	6.0
YDR118W	8.0
YDR119W	8.0
YDR120C	9.0
YDR121W	12.0
YDR122W	9.0
YDR123C	8.0
YDR124W	8.0
YDR125C	8.0
YDR126W	10.0
YDR127W	6.0
YDR128W	6.0
YDR129C	6.0
YDR130C	7.0
YDR131C	6.0
YDR132C	8.0
YDR133C	17.0
YDR134C	5.0
YDR135C	7.0
YDR136C	11.0
YDR137W	9.0
YDR138W	13.0
YDR139C	8.0
YDR140W	5.0
YDR141C	6.0
YDR142C	7.0
YDR143C	6.0
YDR144C	8.0
YDR145W	7.0
YDR146C	8.0
YDR147W	7.5
YDR148C	4.0
YDR149C	10.0
YDR150W	16.0
YDR151C	7.0
YDR152W	9.0
YDR153C	5.0
YDR154C	12.0
YDR155C	12.0
YDR156W	6.0
YDR157W	8.0
YDR158W	8.0
YDR159W	5.0
YDR160W	11.0
YDR161W	6.5
YDR162C	5.0
YDR163W	8.5
YDR164C	10.0
YDR165W	9.0
YDR166C	8.5
YDR167W	13.0
YDR168W	6.0
YDR169C	10.0
YDR169C-A	5.0
YDR170C	7.0
YDR171W	7.0
YDR172W	8.5
YDR173C	5.0
YDR174W	5.0
YDR175C	9.0
YDR176W	5.0
YDR177W	6.0
YDR178W	7.5
YDR179C	5.0
YDR179W-A	8.333333333333334
YDR180W	6.0
YDR181C	5.5
YDR182W	9.0
YDR182W-A	6.0
YDR183W	10.5
YDR184C	9.5
YDR185C	9.0
YDR186C	6.0
YDR187C	12.0
YDR188W	7.0
YDR189W	9.0
YDR190C	6.5
YDR191W	7.0
YDR192C	7.0
YDR193W	4.5
YDR194C	7.5
YDR194W-A	5.0
YDR195W	6.0
YDR196C	6.0
YDR197W	6.5
YDR198C	12.0
YDR199W	8.0
YDR200C	4.5
YDR201W	9.5
YDR202C	6.0
YDR203W	8.5
YDR204W	6.0
YDR205W	5.0
YDR206W	5.0
YDR207C	9.0
YDR208W	9.0
YDR209C	8.5
YDR210W	11.0
YDR211W	7.5
YDR212W	9.5
YDR213W	6.5
YDR214W	5.5
YDR215C	6.5
YDR216W	8.5
YDR217C	6.5
YDR218C	6.5
YDR219C	4.5
YDR220C	10.0
YDR221W	8.5
YDR222W	5.0
YDR223W	5.5
YDR224C	5.666666666666667
YDR225W	8.0
YDR226W	6.0
YDR227W	6.5
YDR228C	6.5
YDR229W	6.5
YDR230W	6.0
YDR231C	8.0
YDR232W	6.5
YDR233C	5.0
YDR234W	10.0
YDR235W	7.0
YDR236C	9.0
YDR237W	12.5
YDR238C	7.0
YDR239C	6.0
YDR240C	9.0
YDR241W	8.0
YDR242W	9.0
YDR243C	7.0
YDR244W	5.0
YDR245W	9.0
YDR246W	5.0
YDR246W-A	5.0
YDR247W	6.0
YDR248C	7.0
YDR249C	4.0
YDR250C	8.0
YDR251W	7.0
YDR252W	5.0
YDR253C	4.0
YDR254W	9.0
YDR255C	5.0
YDR256C	5.0
YDR257C	8.0
YDR258C	7.0
YDR259C	10.0
YDR260C	6.0
YDR261C	7.0
YDR262W	10.0
YDR263C	7.0
YDR264C	5.0
YDR265W	5.0
YDR266C	6.0
YDR267C	6.0
YDR268W	4.0
YDR269C	1.0
YDR270W	8.0
YDR271C	4.0
YDR272W	8.0
YDR273W	7.0
YDR274C	7.0
YDR275W	12.0
YDR276C	5.0
YDR277C	4.0
YDR278C	7.0
YDR279W	8.0
YDR280W	7.0
YDR281C	5.0
YDR282C	6.0
YDR283C	6.0
YDR284C	7.0
YDR285W	5.0
YDR286C	11.0
YDR287W	6.0
YDR288W	10.0
YDR289C	6.0
YDR290W	5.0
YDR291W	4.0
YDR292C	7.0
YDR293C	5.0
YDR294C	13.0
YDR295C	7.0
YDR296W	6.0
YDR297W	5.0
YDR298C	6.0
YDR299W	7.0
YDR300C	6.0
YDR301W	8.0
YDR302W	8.0
YDR303C	15.0
YDR303W	6.0
YDR304C	6.0
YDR305C	6.0
YDR306C	14.0
YDR307W	10.0
YDR308C	8.0
YDR309C	9.0
YDR310C	10.0
YDR311W	6.0
YDR312W	7.0
YDR313C	7.0
YDR314C	15.0
YDR315C	14.5
YDR316W	8.0
YDR317W	8.0
YDR318W	6.0
YDR319C	5.0
YDR320C	6.0
YDR320C-A	3.0
YDR321W	7.0
YDR322C-A	6.0
YDR322W	4.0
YDR323C	7.0
YDR324C	13.0
YDR325W	6.0
YDR326C	6.0
YDR327W	4.0
YDR328C	6.0
YDR329C	6.0
YDR330W	17.0
YDR331W	6.0
YDR332W	6.0
YDR333C	7.0
YDR334W	8.0
YDR336W	7.0
YDR337W	7.0
YDR338C	6.0
YDR339C	9.0
YDR340W	6.0
YDR341C	6.0
YDR344C	11.0
YDR345C	8.0
YDR346C	7.0
YDR347W	6.0
YDR348C	6.0
YDR349C	6.0
YDR350C	10.0
YDR351W	7.0
YDR352W	7.0
YDR353W	6.0
YDR354W	17.0
YDR355C	11.0
YDR356W	8.0
YDR357C	7.0
YDR358W	7.0
YDR359C	7.0
YDR360W	8.0
YDR361C	7.0
YDR362C	11.0
YDR363W	8.0
YDR364C	12.0
YDR365C	7.0
YDR367W	6.0
YDR368W	15.0
YDR369C	7.0
YDR370C	6.0
YDR371W	7.0
YDR372C	15.0
YDR373W	18.0
YDR374C	7.0
YDR375C	6.0
YDR376W	8.0
YDR377W	9.0
YDR378C	11.0
YDR379C-A	5.0
YDR379W	4.0
YDR380W	7.0
YDR381W	8.0
YDR382W	6.0
YDR383C	6.0
YDR384C	8.0
YDR385W	6.0
YDR386W	9.0
YDR387C	6.0
YDR388W	10.0
YDR389W	10.0
YDR390C	7.0
YDR391C	11.0
YDR392W	6.0
YDR393W	8.0
YDR394W	7.0
YDR395W	7.0
YDR396W	10.0
YDR397C	7.0
YDR398W	8.0
YDR399W	10.0
YDR400W	9.0
YDR401W	5.0
YDR402C	8.0
YDR403W	8.0
YDR404C	8.0
YDR405W	9.0
YDR406W	6.0
YDR407C	8.0
YDR408C	5.0
YDR409W	6.0
YDR410C	7.0
YDR411C	6.0
YDR412W	9.0
YDR413C	11.0
YDR414C	8.0
YDR415C	8.0
YDR416W	8.0
YDR417C	10.5
YDR418W	13.0
YDR419W	9.0
YDR420W	7.0
YDR421W	5.0
YDR422C	6.0
YDR423C	8.0
YDR424C	13.0
YDR425W	8.0
YDR426C	13.0
YDR427W	7.5
YDR428C	6.0
YDR429C	7.0
YDR430C	8.0
YDR431W	7.0
YDR432W	7.0
YDR433W	10.0
YDR434W	10.0
YDR435C	5.0
