ORF     	TAG          	PreSpo1	Spore1	Germ1_0	Germ1_1	Germ1_2	Germ1_3	Germ1_4	PreSpo2	Spore2	Germ2_0	Germ2_1	Germ2_2	Germ2_3	HomDip1	HomDip2	HomDip3	HomDip4	HomDip5
YAL007C  	tag_499_at     	4554.3	4476.92	7023.29	10559.5	9876.8	9615.89	9994.61	17978.3	24213.4	21335	24049.3	17682	26644.3	9787	5281.46	10774	12356.7	13967.2
YAL007C  	tag_499_st     	4980.8	6093.28	9559.01	13214.7	13242.8	12623.1	14129.6	17095.5	26519.2	23366.7	17842.5	13472.9	19521.3	9413.8	5184.49	9535.88	10861	13228.5
YAL008W  	tag_498_at     	7008.3	7963.56	12493.1	13387.4	14321.3	12909.9	13491.9	19878.3	32516.3	28650.9	26336.5	21674.7	28824.4	13219.8	12491.3	15755	20894.7	20369.1
YAL008W  	tag_498_st     	3996.8	4880.52	7656.46	10448.4	10015	9995.64	11355.2	10953.8	13054.3	11502.5	12332.8	9601.07	13210.1	6010.8	5592.29	5857.31	9049.65	8225.95
YAL009W  	tag_497_at     	1942	939.652	1474.11	889.481	491	624.005	689.592	2985.8	1294.65	1140.74	622.3	671.542	847.947	6754	4611.47	3967.67	2884.21	2298.16
YAL009W  	tag_497_st     	2668.5	1503.01	2357.89	1130.05	502	630.593	702.566	3611	1623.78	1430.75	595.8	624.544	798.133	10845.5	5262.46	6150.13	3554.11	3194.65
YAL010C  	tag_496_at     	520.5	571.127	895.973	669.911	515.8	595.167	669.871	677.3	1518.65	1338.12	721	715.929	898.73	2579.5	1117.91	657.533	887.763	731.289
YAL010C  	tag_496_st     	519.3	603.352	946.526	663.165	528.8	620.027	711	646.8	1526.64	1345.16	630.3	664.022	839.229	2800.8	1004.37	609.643	883.009	757.958
YAL011W  	tag_495_at     	3934	5480.79	8598.15	8672.7	7267.5	7251.64	7648.44	7166.5	12429.6	10952	7321.8	6699.55	8571.49	10827.3	12382.6	7363.61	7261.56	5327.46
YAL011W  	tag_495_st     	5148.3	10105.6	15853.4	15464.1	13794.8	12424.2	14948.5	9394.8	22131	19500.2	6145.3	5921.68	6893.72	16617.3	8323.6	10648.5	8922.63	7885.99
YAL012W  	tag_9954_at    	4485.3	3861.57	6057.94	7054.24	5599.8	5639.04	5713.04	15414.3	14647.2	12906.1	10932.5	11649.9	11118.2	11744.8	8638.53	8217.85	7040.3	5976.64
YAL012W  	tag_9954_st    	4612.8	5074.21	7960.32	7911.27	5878.5	6253.1	7436.95	13787.8	12439.2	10960.5	6695.8	8095.37	7614.64	9685.8	7154.02	6878.89	5084.6	4961.12
YAL012W  	tag_12263_at   	2039.3	2345.19	3679.08	3582.24	2657.3	2748.98	2480.07	5838.3	7057.2	6218.27	3216.5	3449.41	3187.83	6157	5664.79	4272.1	4493.66	3488.01
YAL012W  	tag_12263_st   	6574.3	6868.61	10775.3	8820.99	6828.3	7678.25	6782.39	14481.5	16122.4	14205.9	6375	7416.2	7056.72	14092.8	24726.3	14609.3	14184.2	9896.27
YAL013W  	tag_493_at     	671	680.828	1068.07	882.099	704.3	781.001	812.59	1437	1412.4	1244.5	1112	1147.05	1489.3	1709.3	1559.45	1051.51	1310.08	1104.65
YAL013W  	tag_493_st     	806	787.9	1236.04	922.831	592.3	724.691	750.572	1474.3	1240.32	1092.88	769.3	774.936	1000.43	2381.3	1613.41	1338.96	1410.27	1214.56
YAL014C  	tag_492_at     	6771	6935.69	10880.6	12291.5	12186.5	12422.9	11291.7	24570.8	30909.5	27235.1	24676.3	21065.1	30438.2	16106.8	8494.14	13699.7	18435	19654.3
YAL014C  	tag_492_st     	11014.8	12036.5	18882.6	19787.1	17953.8	18044.9	19413.4	26306.8	33314.9	29354.6	23548.8	20329.5	26981	18129	13634.6	15854	20434.5	21820.5
YAL015C  	tag_491_at     	3017	2753.36	4319.42	6056.06	5039.5	4912.24	4356.17	9648.8	8861.85	7808.39	7997.3	6385.92	8232.2	6477	4631.69	5414.57	7023.82	5877.69
YAL015C  	tag_491_st     	9982.5	9731.68	15266.8	15048.5	12063.8	11798.3	13919	16618	15156.1	13354.4	11838	11463	13437.4	15468	21075.8	12275.9	15948.5	13176.5
YAL016W  	tag_9963_at    	466.8	530.79	832.692	582.338	445.3	569.684	594.878	657.3	901.922	794.706	621	686.686	779.037	749.5	961.053	594.52	754.803	654.792
YAL016W  	tag_9963_st    	492.8	580.84	911.21	616.069	507.3	592.059	609.15	598.5	894.732	788.371	624.3	644.388	833.695	775.5	909.375	580.821	812.198	691.286
YAL016W  	tag_12264_at   	480.3	545.645	855.996	595.067	443	541.343	559.588	565	882.43	777.531	576.5	592.168	743.476	615.3	942.358	567.67	861.782	719.078
YAL016W  	tag_12264_st   	509	567.356	890.057	652.982	475.8	661.048	626.406	616.5	918.379	809.206	752	859.845	861.092	621.3	994.492	631.013	798.613	723.569
YAL017W  	tag_489_at     	12081.8	11995.4	18818.1	21315.9	19220.3	20085	18398.8	28293	35720.6	31474.3	34648	32959.7	40765.2	22674.5	24001.2	24392.3	33304.7	31566.6
YAL017W  	tag_489_st     	20737	24671.7	38704.5	36606.8	33233.3	35011.8	37939.9	33092.8	48003.2	42296.8	31839.8	34041.6	40386.8	36641	43472.3	39089	49488.9	47998.8
YAL018C  	tag_488_at     	6000.3	4370.87	6856.93	9877.85	8137.8	8463.22	7974.74	15759.8	16199.9	14274.2	13485.8	13259.6	15631.9	9250.8	13752.8	10665.5	17177.1	13469.6
YAL018C  	tag_488_st     	3437.5	3566.97	5595.79	7528.77	6163.5	6425.02	7093.13	7543.3	9121.96	8037.58	4920.8	4823.3	5709.67	5648.8	5807.36	6280.87	9064.93	7824.94
YAL019W  	tag_487_at     	5189.5	4693.46	7363	10512.4	9495.3	8866.59	8726.61	12334.5	11123.4	9801.14	14256.3	13654.9	15997.7	7294	9927.89	7375.66	10902.6	6809.41
YAL019W  	tag_487_st     	7810	9022.28	14154	15224.5	13719	13501	16316.4	14568.5	16810.3	14811.9	11901	12561.4	14296	11515	14309.4	9556.7	13008.2	9025.74
YAL020C  	tag_486_at     	5720.5	5289.04	8297.34	11230.3	6984.3	6044.89	6086.7	10987.3	18350.5	16169.1	7001.5	5900.07	7250.72	10999.5	7238.68	6647.66	4047.92	3016.11
YAL020C  	tag_486_st     	5807.3	6831.7	10717.4	13273.5	8087.5	7118.01	8537.84	9219	18793.9	16559.7	4778.8	3994.79	5062.77	12014	6294.8	5599.99	3715.43	2752.51
YAL021C  	tag_485_at     	4372.3	1472.73	2310.38	1024.02	596.5	866.77	880.706	9864.5	2132.18	1878.72	832.3	761.359	987.288	6517.8	7111.76	3071.78	2829.87	2954.63
YAL021C  	tag_485_st     	4725	1998.6	3135.37	1127.76	596.3	876.963	1000.33	9219.8	2130.26	1877.03	689.8	681.464	847.947	8697.5	7089.72	3263.34	2913.93	3370.11
YAL022C  	tag_484_at     	4618.3	4310.65	6762.46	9902.04	9492.8	10502.8	8540.82	18480.3	26516	23363.9	22894	20839.7	25107	11415.8	4685.65	11569.8	13899.7	16241.8
YAL022C  	tag_484_st     	4300.5	4799.39	7529.18	14994.8	15269	15033.9	13842.8	13998.5	26228.1	23110.2	17675.3	15423.5	18389	10238	4447.02	8921.41	9955.92	13435.9
YAL023C  	tag_483_at     	4929.5	6237.84	9785.78	11359.5	4843.3	4018.12	4097.33	14280	22276.1	19628	7622.8	6870.3	9840.78	6748.5	15450.1	4838.13	5498.43	3499.24
YAL023C  	tag_483_st     	3433.8	5156.83	8089.93	8898.63	3505	3155.83	3618.31	6061.5	12008.6	10581.1	2660	2779.95	3552.44	3711.8	10123.2	2862.46	2961.48	2175.62
YAL024C  	tag_10003_at   	2837.8	3095.03	4855.43	6560.12	5853	4520.68	7368.19	10786	13601.5	11984.6	18890	10595.1	13725.2	11263	6495.43	10737.3	6952.5	8895.9
YAL024C  	tag_10003_st   	2843	3948.64	6194.54	7730.77	7990	6269.26	11392.2	9688.8	16554.1	14586.3	13414.5	6637.93	10758.5	12212.8	5303.5	11369.6	6381.44	10359.5
YAL024C  	tag_12265_at   	1159	1662.65	2608.32	2765.31	2442	2494.78	2150.9	2613.3	2612.78	2302.18	3511.5	3640.53	2900.98	5182.3	7346.59	5523.83	6207.38	4693.03
YAL024C  	tag_12265_st   	3504.8	4542.85	7126.73	9438.07	7717.8	9212.53	7654.28	8498.8	7161.53	6310.2	10286.8	11523.8	8693.25	11664.5	23034.3	16139.7	17516.7	13764
YAL025C  	tag_481_at     	474.8	533.646	837.173	632.362	467.5	579.629	569.319	587.5	876.838	772.603	597.3	660.054	778.069	533	922.599	568.218	858.896	724.973
YAL025C  	tag_481_st     	494.5	551.13	864.601	608.432	478.3	576.77	606.945	624.3	889.62	783.866	601.8	620.889	785.679	619	1018.05	572.602	875.367	674.443
YAL026C  	tag_480_at     	1532	1090.49	1710.74	835.384	494	592.059	616.676	2399.3	1106.11	974.623	661	687.208	825.392	4733.3	6869.79	3532.05	3408.92	1376.68
YAL026C  	tag_480_st     	6956.5	5208.48	8170.95	2210.97	693.3	690.259	670.13	8842.3	1987.26	1751.03	766.5	696.398	930.555	25839.3	31607.7	15450.2	13786.5	4693.45
YAL027W  	tag_479_at     	6610	6333.82	9936.37	12433.4	12295	12882.6	11129.2	23181.5	32581.8	28708.7	29123.5	22333.2	32226.3	17117.5	9682.73	18343	22918.3	24413
YAL027W  	tag_479_st     	15082.3	16514.2	25907.2	30273.9	29624	28732	29018.7	37464.8	56488.8	49773.6	36953.8	32630.9	43213.7	25135.5	15781.5	25611.3	30403.2	33037.2
YAL028W  	tag_478_at     	6372.8	6475.18	10158.1	13918.2	13087.8	13683.7	11994.9	24122.5	35221	31034.1	28122.3	21811.3	30621.6	13848.3	6957.49	13368	17101.2	18251.1
YAL028W  	tag_478_st     	12025.5	13773.7	21607.9	25485.1	23683.5	23375.3	24327.7	33505	49304.6	43443.5	30947.8	26422.3	35773.5	21550	12592.3	22837.2	26860.1	29269.1
YAL029C  	tag_477_at     	6403	5292.24	8302.36	12395.8	9385.3	10292.1	10802.5	16189	19828.4	17471.3	18420.5	19230.9	24924.8	9068.5	14334.5	9789.9	15398	12558.9
YAL029C  	tag_477_st     	2952	3071.95	4819.21	6204.35	5062.5	5408.83	5690.59	6876.5	7946.02	7001.44	6091.5	6278.34	7702.23	4028	6637.24	4088.76	6465.49	5629.24
YAL030W  	tag_476_at     	7313.3	6656.87	10443.2	12829.6	12000.8	12786.9	11964.4	22343.8	32842	28937.9	27514	21640.3	30502.2	12980	9014.72	12709.9	17304.4	16724.6
YAL030W  	tag_476_st     	6320.8	6735.71	10566.8	13806.8	12747.8	13283.7	13160.4	17547.8	24562.8	21642.9	15886.3	11325.7	18792.8	9195.8	5644.27	8405.8	11117.1	11234.3
YAL031C  	tag_475_at     	11875.3	12412.5	19472.4	18639.9	16161	18546.7	17549.2	31015.5	41361.4	36444.5	28246.8	27728.5	34637.4	24573.8	19577.2	23908.2	31391.5	28751.9
YAL031C  	tag_475_st     	6630	7838.77	12297.3	13199.4	12290.8	11867.3	12972.5	15568.8	19545.6	17222.1	13609.8	10753.5	15778.6	9849.5	8987.36	9119.99	13029.1	11320.7
YAL032C  	tag_474_at     	512.5	602.552	945.271	722.099	628.5	768.57	747.328	836.5	1189.99	1048.53	924	923.553	1179.35	753	1019.11	680.328	1042.29	928.218
YAL032C  	tag_474_st     	572.5	654.545	1026.84	807.636	638.8	741.845	739.544	811.5	1185.2	1044.31	904.5	838.958	1073.77	830.3	1131.29	769.095	1155.55	926.815
YAL033W  	tag_473_at     	472.3	545.416	855.638	610.977	485	586.714	623.422	622	1196.7	1054.45	605	664.022	773.502	575.3	929.134	597.259	862.292	708.831
YAL033W  	tag_473_st     	516.3	575.127	902.247	635.162	484.3	551.909	615.378	601.3	1044.6	920.423	598	632.9	826.499	563	979.596	568.766	875.877	745.326
YAL034C  	tag_472_at     	2591.3	2445.4	3836.3	5920.5	4848.3	5584.97	5467.17	6189.3	7358.06	6483.36	6627.8	7156.47	8909.81	7539.8	12698.7	9098.95	14746.8	11116.7
YAL034C  	tag_472_st     	856.5	936.224	1468.73	1659.82	1409.5	1492.27	1684.08	1533.3	2097.03	1847.74	1407	1356.45	1754.98	1877.8	2512.45	1894.79	3221.28	2593.9
YAL034W-a	tag_470_at     	526.3	587.925	922.325	731.645	602.5	713.504	706.459	734	1333.31	1174.81	796.3	765.85	1001.13	627.3	959.837	575.67	944.989	764.696
YAL034W-a	tag_470_st     	499	617.407	968.575	647.254	539.5	622.513	677.655	688	1732.75	1526.76	721.3	690.654	890.151	599.5	984.156	624.109	875.877	758.379
YAL035C-A	tag_471_at     	592	633.634	994.031	842.64	672	733.392	791.831	1035.5	1338.1	1179.04	943.5	1039.69	1136.45	696	1049.21	673.424	939.046	842.878
YAL035C-A	tag_471_st     	555	603.923	947.422	732.536	577.5	651.973	695.171	785	1146.38	1010.1	806	789.558	1002.92	714.3	977.316	668.821	931.404	817.332
YAL035W  	tag_469_at     	557.8	682.542	1070.76	854.096	684.3	783.114	784.954	1102	2776.07	2446.06	1135.8	1078.85	1258.91	7786.5	2150.7	924.382	1156.4	920.077
YAL035W  	tag_469_st     	527	584.497	916.947	768.177	611.3	679.072	711	775	1706.06	1503.25	890.8	845.955	1030.6	3424	1215.19	707.177	994.234	876.284
YAL036C  	tag_468_at     	6912.3	6223.21	9762.84	15141.4	12881	13074.3	12347.5	25573	27252.3	24012.6	26687.3	25705.3	31961.7	15797.5	14425.4	13256.2	18976.2	16471.6
YAL036C  	tag_468_st     	3855.5	4102.11	6435.3	11886.1	10321.3	9663.38	10204.1	15061.5	18326.5	16147.9	13588.8	12095.9	14034.8	9369.8	4670.45	7140.26	8939.27	9150.66
YAL037W  	tag_467_at     	12823.8	13334.1	20918.2	20609	17627	19233.5	19023.5	32523.3	44296.9	39031.1	34239.8	34747.3	43589.8	23550.8	32659.2	24967.4	36194.5	30907.2
YAL037W  	tag_467_st     	7957	9745.62	15288.7	15256.6	13943.3	14320.2	17997.5	15109.5	24497.3	21585.2	15150.8	13853.1	16981.5	12922	14930	12159.4	15856.8	14916.3
YAL038W  	tag_466_at     	532.5	623.692	978.435	764.104	591	730.036	714.633	885.8	1428.06	1258.3	1232.3	922.717	1173.12	750.8	1064.71	744.656	1008.33	856.633
YAL038W  	tag_466_st     	518.3	597.41	937.204	773.014	602.3	701.073	693.873	754.8	1182.8	1042.2	897.5	768.148	945.776	708.5	983.852	684.931	931.404	849.615
YAL039C  	tag_465_at     	3184.8	1648.7	2586.45	1109.94	642.5	776.899	746.42	2848.5	1662.13	1464.54	963.8	984.128	1128.84	19998.3	24813.3	9767.66	5254.41	1911.46
YAL039C  	tag_465_st     	1698.3	1245.9	1954.54	1120.76	816.8	890.388	877.721	2039.8	2120.2	1868.16	1442.3	1232.9	1472.01	9927.8	8262.05	4054.24	2548.5	1435.91
YAL040C  	tag_464_at     	2240.3	7201.14	11297	12821.4	12079.3	13135.8	13429.6	3946.5	13907.5	12254.2	13899.5	13947.1	18734.9	24865	31239.6	21397.6	28243.2	21863.3
YAL040C  	tag_464_st     	1072	3752.09	5886.21	6998.24	7896.3	7348.84	8812.25	1687	7604.11	6700.17	4424.8	3840.53	5759.07	10674.5	7340.97	7782.45	9964.92	8777.58
YAL041W  	tag_463_at     	503.3	562.214	881.99	672.457	549	660.426	667.276	687.3	1147.97	1011.51	746.5	748.827	948.544	648	1016.53	684.163	962.479	807.085
YAL041W  	tag_463_st     	559	652.831	1024.15	1008.75	829	959.625	912.493	1114.5	1666.44	1468.34	1310.3	1183.81	1493.04	840.5	1028.23	778.958	1186.63	988.153
YAL042W  	tag_461_at     	6491.5	5623.28	8821.69	13571.3	10439	11411.5	11158.7	22578.3	28271.6	24910.8	25797.3	22523.3	30822.2	12842.5	10886.2	13443	18665.1	17435.6
YAL042W  	tag_461_st     	6497.8	7357.92	11543	16185.6	14240.5	14590.8	15306.3	17332.5	26301.1	23174.6	17483.5	15995.9	20126	15502.8	7889.66	12438.9	16451.6	17452.7
YAL043C  	tag_460_at     	515.8	568.499	891.849	683.531	536	655.454	678.953	687	999.384	880.582	708.3	805.537	885.584	570.8	1000.12	646.355	968.423	803.997
YAL043C  	tag_460_st     	522.5	598.781	939.355	673.984	553.8	650.482	690.889	699.5	1040.93	917.185	698	798.435	917.825	645.3	962.117	620.821	910.178	788.136
YAL043C-A	tag_462_at     	8683	6562.94	10295.8	16687.3	13038	13689	13405.8	24106	28356.3	24985.4	31047.3	29958.1	38143.1	12385.8	15905.8	13757	21894	15850.2
YAL043C-A	tag_462_st     	8959.3	9125.12	14315.3	17781.7	15842.5	15208.9	16637.5	23583.8	35046	30879.9	21428	20561.4	26414.6	17675.5	13008.3	14919.8	21866.3	19225.2
YAL044C  	tag_459_at     	549.3	671.686	1053.73	772.377	663.3	744.953	746.031	922.3	1134.87	999.964	895	871.856	1065.88	3650	1950.83	1127.12	1206.16	943.237
YAL044C  	tag_459_st     	616.8	680.256	1067.17	840.73	702.3	760.118	757.448	1054.8	1027.82	905.641	1083.8	1143.4	1283.82	5285.8	1871.49	1274.85	1257.44	966.818
YAL045C  	tag_458_at     	7027.3	6575.16	10315	13254.1	10841.5	11690.2	11700.4	19957.8	1164.75	1026.29	23829.3	21658.8	26262.4	13939	11849.8	14011.3	20970.6	17973.4
YAL045C  	tag_458_st     	9796.8	12133.7	19035	18083	15301.5	16642.2	17979.3	20864	1032.14	909.442	18741.8	18692.3	23076.4	18182.3	15688.4	16174	21768.7	20332.7
YAL046C  	tag_457_at     	479.3	565.985	887.906	603.722	486.5	561.605	641.976	630	965.832	851.018	620.8	684.075	806.02	7878.8	4461	8673.19	9281.44	10789.7
YAL046C  	tag_457_st     	480.5	538.56	844.882	610.341	478.5	633.701	603.312	600.3	941.546	829.619	596.3	625.589	780.144	21056	8102.45	18436.5	20512.1	24504.9
YAL047C  	tag_12359_at   	459.3	508.85	798.272	583.356	503	566.204	590.727	622.8	865.973	763.03	649.3	683.552	746.243	758.8	946.158	594.52	760.746	635.843
YAL047C  	tag_12363_at   	512.5	521.077	817.454	628.161	502	605.732	621.476	632.3	796.951	702.213	658.5	648.879	766.584	3488.3	1654.9	751.013	782.821	668.547
YAL047C  	tag_12359_st   	496	530.561	832.333	581.447	502.5	599.517	601.106	686	907.514	799.633	667	683.552	771.427	1259.5	1062.43	634.3	802.859	706.445
YAL047C  	tag_12363_st   	495.3	535.132	839.504	579.792	529.3	571.798	616.676	681.3	893.135	786.963	807.5	759.271	818.474	3024.5	1652.17	685.807	798.613	676.969
YAL048C  	tag_455_at     	519.3	575.927	903.502	673.348	520.3	659.805	691.538	713.8	1036.93	913.665	813.5	798.749	918.794	38742	38830.5	37715.9	42735.9	32798.5
YAL048C  	tag_455_st     	472.3	596.838	936.307	686.713	537.8	646.38	705.81	663.3	990.277	872.557	674.3	732.952	869.395	38395.5	20717.9	33978	34927.7	31139.5
YAL049C  	tag_454_at     	8406.8	7893.85	12383.7	16457.6	12836	14086.5	12804.5	17812.8	23170.1	20415.7	25563	25141.9	29482.8	15192	25108.2	19528.2	27234.5	22276.7
YAL049C  	tag_454_st     	7398	9319.96	14621	20311.2	17261.3	17183.5	18886	14408.3	23135.7	20385.4	17008.3	15505.8	18370.1	15906.5	12226.8	16303.3	20424.3	19795.8
YAL051W  	tag_453_at     	4929.5	4227.23	6631.59	11415.7	9254.3	9360.7	8893.08	18919.8	25531.5	22496.4	21594	19079.4	21294.8	11403	6716.28	9741.9	12551.1	11488.4
YAL051W  	tag_453_st     	5394.3	5986.44	9391.4	15047	13080.3	13895.1	14020.6	17212	26908.8	23710	16935	16625.4	19566.6	13916.8	5480.12	10407.1	12603.2	12323.1
YAL053W  	tag_452_at     	12197.5	12796.1	20074.2	18696.3	13912	14621.9	15089.9	31961.8	43698.1	38503.5	25481.3	25539.3	30097.1	22567.8	28369.5	20102.2	29583	24404.6
YAL053W  	tag_452_st     	7450	10442.1	16381.3	14655.2	12154.8	12081.5	13980.6	19663.5	29280.1	25799.4	13370.8	13727.2	16337.4	18261.8	11028.3	12325.5	17212.7	16282.5
YAL054C  	tag_10147_at   	2865.3	1399.59	2195.65	1079.78	505.3	601.382	622.774	13706.5	2565.96	2260.93	620.8	703.396	850.023	4999.5	3499.64	8627.71	4098.86	5664.05
YAL054C  	tag_10147_st   	5308.5	3421.05	5366.87	1934.51	549.8	653.216	698.415	20085.3	5505.8	4851.3	693.3	727.208	804.36	10154.8	4927.32	16400	6076.29	9722.64
YAL054C  	tag_12266_at   	4552.8	2433.18	3817.12	1277.71	450.3	566.825	576.455	17890.3	3666.01	3230.21	589	618.8	731.299	10628.3	7338.99	11757.6	11449.9	13135.1
YAL054C  	tag_12266_st   	6438	2899.97	4549.42	1587.65	489	587.957	602.663	18951.5	3437.21	3028.61	617	717.808	816.121	10315.8	13829.9	15283.8	16856.6	16177.2
YAL055W  	tag_450_at     	5764.3	4040.63	6338.85	7532.84	4583.8	4390.41	4461.26	21506	19660.1	17323	4514.5	3840.22	7393.94	12651.3	6091.58	10036.7	11514.4	10410
YAL055W  	tag_450_st     	3728.3	3561.03	5586.47	7839.35	5185.5	5206.84	5224.55	15073.5	17520.5	15437.7	2969.5	2460.58	4462.93	11250	3785.39	7269.58	8674.37	9463.25
YAL056W  	tag_449_at     	532.3	594.553	932.722	700.715	537.3	619.654	657.805	757.3	1059.78	933.797	767.5	844.702	1056.89	15483.5	13918	13952.6	17721.8	17215.2
YAL056W  	tag_449_st     	505	580.84	911.21	674.621	496.3	605.111	634.84	628.8	973.501	857.776	621.3	720.628	800.485	10818.3	4915.16	7431.55	10253.1	10556.4
YAL058C-A	tag_12360_at   	3854.5	3019.62	4737.11	6585.83	6320	6775.8	6405.49	13043.8	10677.4	9408.08	10925.5	10201.9	7849.18	8269	5820.28	7117.58	3527.79	2795.32
YAL058C-A	tag_12364_at   	1626.8	1902.62	2984.78	4164.19	4359	4524.41	3832	7582.5	6225.58	5485.51	5444.3	4535.05	3828.49	4150	2607.9	3209.09	1777.05	1624.42
YAL058C-A	tag_12360_st   	7875	7524.76	11804.7	11271.6	12004.3	11703	13180.1	21579.3	20006.1	17627.8	11835.5	12000	9760.11	13622.3	12337.3	13045.5	5890.69	4895.85
YAL058C-A	tag_12364_st   	5452.3	5357.6	8404.9	8369.5	8856.3	9457.66	8615.68	16633	12817	11293.4	11986.8	11314.9	9463.3	9763.8	7340.97	8617.3	4500.8	3738.98
YAL058W  	tag_447_at     	3280	3135.94	4919.6	6896.79	5061	4363.69	4247.19	9158.8	9677.97	8527.5	5971.3	6647.53	7645.77	8400.8	6191.14	4032.32	3245.91	2404.13
YAL058W  	tag_447_st     	3029.8	3674.39	5764.3	7538.57	5685.8	4842.01	5662.44	7078.5	2156.94	1900.54	1120.5	3939.96	4281.66	7749	3440.37	3085.8	2531.52	1872.16
YAL059W  	tag_446_at     	5925.8	6320.11	9914.86	14174.4	9907	9926.28	10872.6	8361.5	11899.9	10485.3	17426	17608.2	19881.4	11427.3	16491	8347.71	12652.2	8844.67
YAL059W  	tag_446_st     	16488.5	21413.8	33593.6	30732.5	24935	25605.1	29574.6	24175.3	31285.8	27566.7	12595	28724.7	31785.6	36723	27647.6	24649.3	33983.6	27460.5
YAL060W  	tag_445_at     	7605.5	7145.95	11210.4	14698.2	12156	13335.7	12820.4	21892.3	29257.8	25779.7	25152.5	26206.3	28708.6	16410	10063.2	14770.7	20282.5	20033
YAL060W  	tag_445_st     	7060.5	8006.98	12561.2	15756.9	14215.8	14318.3	14900.5	18143	26637.9	23471.3	16016.5	18132.5	19355.6	14863.3	6889.09	11241.4	14917.8	15852.6
YAL061W  	tag_444_at     	3587.5	4046.69	6348.35	8631.97	7559.3	8302.25	7424.37	13125	19723.7	17379.1	16936	16286.2	17770.2	12177.8	4398.38	9259.16	11674.4	11836.1
YAL061W  	tag_444_st     	4157.3	5194.54	8149.08	14233.6	12412.8	12253	12117.5	12571.8	20605.7	18156.2	13817.8	12925.7	14610.1	11061	4010.8	8336.97	9467.72	11496.8
YAL062W  	tag_443_at     	4128.8	3553.03	5573.92	7167.53	6073.3	6912.91	6244.6	14222	19223.2	16938	19380.5	20184.2	22142.4	9270.8	5555.81	8114.84	10478.1	11073.9
YAL062W  	tag_443_st     	3535.5	3580.69	5617.31	10035	8884.8	8060.48	9178.51	11003.3	15815.2	13935.2	11118.3	10364	11190.9	7497	3269.83	4927.66	6799.17	7758.55
YAL064C-A	tag_3418_at    	7385.8	5882.11	9227.73	13659.8	12575.3	13064.1	11044.9	27211.8	27727.9	24431.8	29179.8	27572.9	29664	13671.5	11888.9	17680.3	18449.4	19087.6
YAL064C-A	tag_3514_at    	8421	9163.41	14375.4	14954.9	15184.3	15493.2	13563.9	20069.3	18841.3	16601.5	23477.5	24777.6	22165.2	12322.8	18580.1	14538.4	19412.6	16942.9
YAL064C-A	tag_3418_st    	8695.5	8611.25	13509.1	19094.3	19072	18140.9	18402.7	29813.3	34234.4	30164.8	26577.5	26118.1	28314.5	18268	10490.6	19890.4	19364.2	22174.9
YAL064C-A	tag_3514_st    	16744.8	17348.1	27215.3	24330.9	26232.3	27208	25223.6	37736.8	38320.1	33764.8	39337.3	41148.9	42959.1	22032.5	30326.9	28375.8	36614	32099.5
YAL065C  	tag_439_at     	6635.5	5073.64	7959.42	14079.6	10166	11444.7	11207.1	16029.5	12440.8	10961.9	23102.3	24558.1	25402.4	13952.8	20369.1	13528.5	20970.3	16100
