orf	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YLR123C	-0.017630000000000035	-0.01200000000000001	-0.005959999999999965	-0.00035999999999991594	0.01153000000000004	0.017775000000000096	0.011970000000000036	0.026660000000000128	-0.011649999999999938	0.003210000000000157	-0.009740000000000082	-0.0020299999999999763	-0.013849999999999918	0.016129999999999978	0.022129999999999983	0.020620000000000083
YLR124W	0.023700000000000054	-0.004305000000000003	-0.009949999999999903	0.003435000000000077	-0.021630000000000038	0.009240000000000137	0.06776999999999989	0.020240000000000036	0.06965000000000021	0.012894999999999879	0.036170000000000035	0.009194999999999842	0.035984999999999934	0.0009600000000000719	0.08668000000000009	0.010425000000000129
YLR125W		-0.0004549999999998722		0.002354999999999885		0.019064999999999888		0.03291500000000003		-0.002375000000000016		0.0024249999999998995		-0.0040399999999998215		0.020019999999999927
YLR126C	0.0007200000000000539	-0.011580000000000146	-0.01283999999999974	-0.01807000000000003	-0.005389999999999784	-0.008110000000000062	0.007430000000000048	0.0033449999999999314	-0.01822999999999997	0.00026999999999999247	-0.014289999999999914	-0.00829000000000013	-0.009014999999999995	-0.0063950000000001506	0.011310000000000153	0.010284999999999878
YLR127C	0.022549999999999848		-0.033050000000000135		-0.025900000000000034		-0.05610000000000004		-0.01896999999999993		-0.00833000000000006		-0.01263000000000003		-0.053140000000000076	
YLR128W	0.05973000000000006	-0.014919999999999822	0.028160000000000185	-0.028260000000000063	-0.007719999999999838	-0.017749999999999932	-0.061979999999999924	-0.02556999999999998	0.0022300000000001763	0.0024800000000000377	-0.0024199999999998667	0.009700000000000042	-0.016189999999999816	-0.00653999999999999	-0.06749999999999978	-0.020705000000000084
YLR129W	0.0014199999999999768		0.008590000000000098		-0.017140000000000044		0.012070000000000025		0.02230999999999994		0.043910000000000005		0.023675000000000113		0.030909999999999882	
YLR130C	0.004145000000000065	-0.00042000000000008697	-0.0018149999999999	-0.010099999999999998	-0.012404999999999888	-0.015919999999999934	-0.006544999999999801	-0.01191500000000012	-0.015214999999999979	7.00000000000145e-05	0.0014150000000001661	0.0009500000000000064	-0.006969999999999921	-0.010575000000000223	0.010234999999999994	0.00537999999999994
YLR131C	0.005310000000000148	0.04427499999999995	0.028870000000000173	-0.17064500000000016	0.0005100000000002325	0.0003649999999999487	0.010560000000000125	0.10404999999999998	-0.018159999999999954	0.07764499999999985	0.0061500000000001	0.07090499999999988	-0.025899999999999812	0.02967999999999993	0.01623000000000019	0.05613000000000001
YLR132C	-0.006600000000000161		0.011779999999999902		-0.00010000000000021103		0.0019199999999999218		-0.005640000000000089		0.0033799999999999386		-0.01900999999999997		0.033159999999999856	
YLR133W	-0.005779999999999896	0.026599999999999957	-0.017260000000000053	0.01032999999999984	-0.007920000000000038	0.024354999999999905	0.06579000000000002	0.08897500000000003	0.04689999999999994	0.03529999999999989	0.010699999999999932	0.044359999999999955	0.032215000000000105	0.047085000000000043	0.06044999999999989	0.06428499999999993
YLR134W		0.009109999999999951		0.006839999999999957		9.499999999995623e-05		0.0012000000000000899		0.0031800000000001827		0.0018899999999999473		-0.005244999999999944		-0.009384999999999977
YLR135W	0.021930000000000227	0.0025800000000000267	-0.0039599999999999635	-0.016839999999999966	-0.02028999999999992	-0.01599499999999998	-0.017779999999999907	-0.011214999999999975	-0.011099999999999999	-0.0007800000000000029	-0.016649999999999943	0.00279000000000007	-0.008154999999999912	-0.005260000000000042	-0.02810999999999997	-0.01576999999999984
YLR136C	-0.03503999999999985	-0.004504999999999981	-0.00590999999999986	-0.00452499999999989	0.013170000000000126	0.02257500000000001	0.07916000000000012	0.05555500000000002	-0.013969999999999816	0.011795	-0.017059999999999853	0.014944999999999986	-0.0040399999999998215	0.033385	0.06529000000000007	0.03764500000000015
YLR137W	-0.00658000000000003	0.011074999999999946	-0.0162199999999999	-0.010055000000000147	-0.003889999999999727	0.003989999999999938	0.017920000000000158	0.01656499999999994	-0.020509999999999806	0.009604999999999864	-0.013959999999999861	0.00456499999999993	-0.014879999999999782	0.01114499999999996	0.00829000000000013	0.010454999999999881
YLR138W	0.014485000000000081	0.0066550000000000775	-0.013214999999999977	-0.025695000000000023	-0.017454999999999887	0.004394999999999927	-0.005385000000000084	0.009705000000000075	0.004475000000000007	0.031104999999999938	-0.018714999999999926	0.019775000000000098	0.0012400000000001299	0.01790500000000006	-0.01458500000000007	0.03618499999999991
YLR139C	-0.0008550000000000502	0.022284999999999888	0.004415000000000058	-0.015015000000000112	-0.041305000000000036	-0.10006000000000004	-0.09933499999999995	-0.2549650000000001	-0.018205000000000027	-0.2831450000000001	-0.027374999999999927	-0.30158500000000005	-0.041789999999999994	-0.23243999999999998	-0.11305500000000002	-0.16088000000000013
YLR140W	-0.02472999999999992		-0.0027399999999999647		0.014189999999999925		0.06637000000000004		-0.006729999999999903		-0.022820000000000062		-0.0009149999999999991		0.05872999999999995	
YLR141W	-0.00800999999999985		-0.0042400000000000215		-0.01680999999999988		-0.013939999999999952		-0.012719999999999954		-0.008209999999999829		-0.005184999999999995		-0.016959999999999864	
YLR142W	0.00287000000000015	0.010144999999999849	-0.017899999999999805	-0.007915000000000116	-0.022989999999999955	-0.00743000000000027	-0.009090000000000042	-0.009600000000000053	-0.019789999999999974	-0.011545000000000138	-0.008179999999999965	-0.0071550000000002445	-0.004804999999999948	-0.010235000000000216	-0.02085999999999988	-0.0037200000000001676
