ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YKR021W	-0.005	-0.011	-0.001	0.011	0.008	0.012	0.002	0.003	0.006	0.002	-0.026	-0.015	0.001	-0.006	0.008	-0.020
YKR022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.002	0.015	-0.006	0.023	-0.004	0.000	-0.003	0.012
YKR023W	0.005	-0.001	0.000	0.011	0.001	0.016	0.014	0.004	-0.003	-0.000	-0.010	0.013	-0.005	-0.010	0.010	0.011
YKR024C	-0.192	-0.038	-0.002	0.109	0.133	0.057	0.072	0.151	-0.030	-0.002	0.001	0.032	-0.005	-0.016	-0.010	0.040
YKR025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	0.006	-0.022	0.039	0.003	0.017	0.005	-0.004
YKR026C	-0.010	-0.009	0.009	0.033	0.008	0.014	0.007	0.012	-0.021	-0.020	-0.001	0.038	-0.003	-0.017	-0.022	0.032
YKR027W	-0.008	-0.021	0.014	0.046	0.005	0.024	0.014	0.039	-0.023	-0.006	-0.004	0.039	0.002	0.006	-0.022	0.044
YKR028W	-0.005	-0.012	0.012	0.042	0.005	0.026	0.021	0.054	-0.019	-0.004	0.002	0.057	-0.010	-0.007	-0.012	0.055
YKR029C	-0.009	-0.017	0.003	0.063	0.049	0.056	0.046	0.071	-0.023	0.003	0.006	0.063	-0.006	-0.007	-0.006	0.065
YKR030W	-0.006	-0.014	-0.010	-0.002	-0.012	0.010	-0.003	-0.009	-0.012	0.003	-0.023	-0.036	-0.009	0.023	-0.002	-0.013
YKR031C	-0.012	-0.013	0.004	0.010	-0.011	-0.009	-0.007	0.007	-0.031	-0.035	-0.002	0.033	-0.010	-0.023	-0.047	0.022
YKR032W	-0.011	-0.013	-0.009	-0.008	-0.019	0.004	-0.006	-0.012	0.009	0.000	-0.027	-0.004	-0.008	0.008	-0.009	-0.003
YKR033C	-0.015	-0.001	0.009	0.038	-0.004	0.010	0.006	0.025	-0.032	-0.003	0.007	0.071	-0.011	-0.008	-0.024	0.068
YKR034W	0.008	0.001	-0.009	-0.010	-0.015	0.016	0.020	-0.020	0.008	0.019	-0.024	0.040	0.002	0.023	0.013	-0.004
YKR035C	0.008	-0.010	-0.011	-0.002	-0.019	-0.017	-0.012	0.009	-0.025	0.013	-0.023	-0.008	-0.019	-0.017	0.008	-0.001
YKR035W-A	-0.006	-0.006	-0.015	-0.013	-0.027	-0.021	-0.029	-0.007	-0.014	0.018	-0.039	-0.018	-0.007	-0.019	0.005	-0.004
YKR036C	-0.009	-0.006	0.003	0.012	-0.000	0.010	-0.001	0.000	-0.020	-0.000	-0.011	0.005	-0.020	-0.018	-0.002	0.008
YKR037C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.007	-0.009	0.002	-0.001	-0.009	-0.002	0.006
YKR038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032	0.013	0.007	0.068	-0.001	0.003	-0.005	0.085
YKR039W	0.003	-0.014	0.005	0.015	0.006	0.021	0.016	0.001	-0.027	-0.010	0.002	0.024	-0.022	-0.033	-0.013	0.026
YKR040C	-0.003	-0.013	0.003	0.014	-0.000	0.013	0.008	0.009	0.004	-0.013	-0.013	-0.011	-0.015	-0.007	-0.015	0.004
YKR041W	0.003	0.007	-0.002	0.003	-0.015	0.024	0.013	-0.015	-0.003	0.018	-0.028	-0.035	-0.011	-0.002	0.006	-0.027
YKR042W	0.003	-0.023	-0.038	-0.080	-0.126	-0.085	-0.092	-0.108	-0.000	-0.012	-0.024	0.001	-0.018	-0.027	-0.024	-0.001
YKR043C	-0.009	-0.014	0.012	0.026	0.004	0.015	0.006	0.014	-0.038	-0.011	0.012	0.070	-0.006	-0.002	-0.034	0.075
YKR044W	0.002	0.019	-0.007	-0.007	-0.010	0.021	0.009	-0.012	0.012	0.027	-0.045	-0.072	-0.023	-0.014	0.008	-0.045
YKR045C	-0.016	-0.010	-0.002	0.005	0.003	0.012	0.006	-0.001	0.007	-0.002	-0.003	-0.007	-0.003	-0.001	0.002	0.008
YKR046C	-0.011	-0.023	-0.004	0.003	-0.007	0.007	-0.013	-0.002	-0.018	-0.009	-0.010	-0.006	-0.017	-0.013	-0.010	0.009
YKR047W	-0.014	-0.020	0.005	0.051	0.028	0.037	0.032	0.046	-0.020	-0.010	0.001	0.039	-0.011	-0.018	-0.014	0.051
YKR048C	-0.004	-0.008	0.006	0.064	0.040	0.061	0.051	0.064	-0.024	0.016	0.004	0.026	-0.020	-0.017	0.009	0.036
YKR049C	-0.007	-0.018	-0.008	-0.013	-0.021	0.012	-0.004	-0.013	0.006	0.009	-0.063	-0.105	-0.037	-0.031	-0.011	-0.073
YKR050W	-0.023	0.004	-0.006	0.011	-0.022	0.013	-0.002	0.002	0.001	0.012	-0.021	0.006	-0.022	-0.005	-0.005	0.028
YKR051W	-0.005	-0.006	-0.001	-0.008	-0.016	-0.002	-0.007	-0.013	-0.009	-0.005	-0.006	0.002	-0.015	-0.030	-0.008	0.007
YKR052C	-0.005	-0.020	-0.010	0.000	0.008	0.020	0.005	-0.003	-0.002	-0.014	-0.019	-0.035	-0.008	-0.019	-0.001	-0.026
YKR053C	-0.017	-0.028	-0.008	-0.008	-0.008	0.007	-0.003	-0.011	-0.022	-0.012	0.012	0.046	-0.006	-0.008	-0.012	0.053
YKR054C	-0.003	0.015	-0.023	-0.042	-0.022	0.011	-0.006	-0.027	0.020	0.030	-0.027	-0.049	-0.005	-0.007	0.034	-0.032
YKR055W	-0.009	-0.011	-0.005	0.006	0.006	0.012	0.001	-0.000	-0.011	-0.004	-0.001	0.001	-0.009	-0.019	-0.003	0.009
YKR056W	0.001	-0.005	0.016	0.025	0.019	0.037	0.020	0.013	-0.025	-0.012	0.005	0.005	-0.013	-0.026	-0.029	0.031
YKR057W	-0.016	-0.034	0.079	0.205	0.154	0.163	0.146	0.175	-0.083	0.031	0.068	0.125	0.036	0.067	0.051	0.164
YKR058W	-0.002	-0.002	0.008	0.035	0.011	0.027	0.012	0.027	-0.019	-0.014	-0.001	0.031	-0.007	-0.019	-0.019	0.048
YKR059W	0.009	0.001	-0.021	-0.032	-0.026	-0.002	-0.021	-0.030	-0.005	0.017	0.001	0.055	0.026	0.056	0.050	0.089
YKR060W	-0.023	-0.015	-0.001	0.016	0.005	0.029	0.026	0.004	-0.004	0.004	NaN	NaN	0.036	0.054	0.051	NaN
YKR061W	-0.012	0.002	0.009	0.031	0.009	0.019	0.006	0.021	-0.019	-0.006	0.000	0.017	-0.001	-0.007	-0.002	0.042
YKR062W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.032	0.017	0.006	0.047	-0.011	-0.016	-0.000	0.075
YKR063C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	0.008	0.013	0.075	0.002	0.002	-0.009	0.077
YKR064W	-0.016	-0.002	0.025	0.066	0.015	0.022	0.017	0.042	-0.035	-0.001	0.028	0.096	0.005	0.002	-0.030	0.117
YKR065C	0.002	0.005	0.000	-0.005	-0.010	-0.004	-0.022	-0.009	-0.006	-0.010	0.006	-0.004	-0.006	-0.020	-0.015	0.017
YKR066C	-0.002	0.004	-0.007	0.009	-0.005	0.002	-0.010	-0.003	0.033	0.008	-0.015	-0.050	0.006	-0.007	0.016	-0.025
YKR067W	-0.017	-0.027	-0.006	-0.010	-0.012	0.002	-0.005	-0.013	0.011	-0.009	-0.022	0.008	0.006	-0.004	-0.003	0.011
YKR068C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.028	0.072	NaN	NaN	0.036	0.089	0.019	NaN
YKR069W	-0.018	-0.021	0.007	0.025	-0.007	-0.005	-0.014	0.004	0.002	-0.001	-0.008	0.008	0.005	0.017	-0.006	0.037
YKR070W	-0.014	-0.020	-0.001	0.011	-0.005	-0.005	-0.014	0.001	0.008	0.003	-0.021	-0.003	0.010	-0.006	0.001	0.003
YKR071C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006	-0.043	-0.026	-0.059	-0.001	-0.015	-0.008	-0.029
YKR072C	-0.017	-0.001	0.004	0.038	0.019	0.022	0.013	0.007	-0.023	-0.017	-0.020	-0.019	-0.008	-0.001	-0.018	0.004
YKR073C	-0.014	-0.012	0.010	0.045	0.019	0.023	0.010	0.021	-0.015	-0.012	0.010	0.062	0.012	0.008	-0.013	0.069
YKR074W	-0.020	-0.019	-0.001	-0.001	0.026	0.007	-0.015	0.025	-0.028	-0.002	-0.028	-0.059	-0.018	-0.004	-0.008	-0.026
YKR075C	-0.006	-0.014	-0.010	-0.015	-0.014	0.004	-0.010	-0.012	0.008	-0.027	-0.036	-0.060	-0.012	0.002	-0.023	-0.043
YKR076W	-0.011	-0.013	-0.004	0.008	-0.009	-0.003	-0.009	0.003	-0.002	-0.011	-0.015	-0.016	-0.009	-0.007	-0.016	-0.015
YKR077W	-0.017	-0.021	-0.001	0.011	-0.012	-0.004	-0.012	-0.001	-0.001	-0.013	0.005	0.033	0.002	0.010	-0.011	0.038
YKR078W	-0.002	0.020	-0.022	-0.023	-0.021	0.009	-0.008	-0.026	-0.035	-0.034	-0.018	0.011	-0.003	-0.011	-0.037	0.045
YKR079C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.006	-0.005	-0.018	0.003	-0.003	-0.015	0.004
YKR080W	-0.023	-0.022	0.001	0.008	-0.008	-0.003	-0.009	-0.007	-0.012	-0.006	-0.007	0.006	-0.001	-0.010	-0.005	0.033
YKR081C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.012	-0.034	0.008	-0.003	0.016	-0.017	0.029
YKR082W	0.002	0.012	0.115	0.224	0.197	0.176	0.149	0.180	-0.032	-0.016	0.005	0.020	-0.003	0.022	0.007	0.028
YKR083C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-0.019	-0.003	-0.041	-0.012	-0.010	-0.022	-0.015
YKR084C	-0.007	-0.028	-0.030	-0.022	-0.034	-0.009	-0.023	-0.023	0.026	0.011	-0.028	-0.043	0.006	-0.001	-0.009	-0.019
YKR085C	-0.000	-0.045	-0.085	-0.242	-0.227	-0.285	-0.356	-0.184	-0.028	-0.015	-0.035	-0.001	-0.032	-0.049	-0.081	-0.020
YKR086W	0.005	0.021	-0.020	0.019	0.011	0.002	-0.002	0.020	-0.006	-0.024	-0.027	-0.026	-0.011	-0.026	-0.029	-0.027
YKR087C	-0.011	-0.004	-0.006	0.005	-0.003	-0.005	-0.015	-0.007	-0.008	0.005	-0.021	-0.028	-0.004	-0.026	0.011	-0.026
YKR088C	-0.015	-0.010	0.006	0.027	-0.008	-0.018	-0.017	0.007	-0.022	-0.006	-0.020	0.018	-0.004	-0.015	-0.008	0.011
YKR089C	-0.015	-0.021	0.001	0.016	-0.010	-0.017	-0.018	0.010	-0.018	-0.025	-0.003	0.032	0.001	-0.017	-0.036	0.036
YKR090W	-0.020	-0.029	0.006	0.035	0.005	-0.008	-0.011	0.011	-0.020	-0.008	-0.020	0.037	-0.012	-0.020	-0.026	0.030
YKR091W	-0.011	-0.028	-0.019	-0.018	-0.020	-0.015	-0.021	-0.022	0.000	-0.014	-0.041	-0.042	-0.008	-0.025	-0.005	-0.046
YKR092C	-0.003	-0.017	0.034	0.079	0.063	0.075	0.071	0.076	-0.005	-0.020	-0.033	-0.009	0.002	-0.013	-0.010	-0.021
YKR093W	-0.019	-0.027	-0.009	0.017	-0.006	-0.012	-0.011	0.016	-0.000	-0.009	-0.026	-0.003	0.003	-0.013	-0.007	-0.005
YKR094C	-0.006	-0.021	0.019	0.105	0.066	0.066	0.067	0.096	-0.037	-0.054	-0.008	0.090	0.054	0.035	0.013	0.092
YKR095W	-0.012	-0.011	-0.002	0.031	0.015	0.008	-0.002	0.010	-0.014	-0.013	-0.034	-0.033	0.001	-0.015	-0.003	-0.017
YKR096W	-0.005	-0.017	-0.011	0.004	-0.024	-0.008	-0.007	-0.002	-0.002	-0.015	-0.042	-0.052	-0.010	-0.013	-0.013	-0.042
YKR097W	-0.014	-0.012	0.004	-0.099	0.008	0.002	-0.000	0.018	-0.022	-0.001	-0.006	0.079	0.008	0.001	-0.017	0.083
YKR098C	-0.014	-0.024	-0.004	0.014	-0.015	-0.003	-0.008	-0.002	0.007	0.008	-0.038	-0.054	0.004	0.017	0.013	-0.049
YKR099W	0.006	-0.019	0.006	0.026	0.039	0.059	0.047	0.016	0.015	-0.004	-0.016	-0.061	0.014	-0.011	0.005	-0.055
YKR100C	-0.011	-0.030	-0.003	0.011	-0.007	-0.006	-0.008	0.012	-0.024	-0.004	-0.007	0.018	0.003	0.004	-0.014	0.023
YKR101W	-0.030	-0.048	-0.014	-0.011	-0.020	-0.016	-0.020	-0.027	-0.005	-0.022	-0.000	0.057	0.025	0.019	-0.001	0.075
YKR102W	-0.030	-0.017	0.013	0.043	0.002	-0.009	-0.013	0.024	-0.001	-0.007	0.001	0.078	0.001	-0.003	-0.025	0.081
YKR103W	-0.021	-0.025	-0.001	0.015	-0.010	-0.013	-0.015	-0.008	-0.024	-0.008	-0.018	0.011	-0.015	-0.031	-0.008	0.014
YKR104W	-0.019	-0.009	0.014	0.049	0.002	0.002	-0.000	0.021	-0.046	-0.007	-0.003	0.070	-0.010	-0.026	-0.015	0.068
YKR105C	-0.011	0.003	-0.005	0.017	-0.011	0.012	0.017	-0.012	0.009	0.009	-0.030	-0.077	0.000	-0.015	0.015	-0.057
YKR106W	-0.025	0.001	-0.028	-0.028	-0.034	0.005	-0.018	-0.034	0.017	0.030	-0.038	-0.052	-0.004	0.020	0.034	-0.034
YLL001W	0.015	0.015	0.009	-0.009	0.016	0.006	0.010	-0.011	0.012	0.019	0.016	-0.019	0.011	0.013	0.028	-0.014
YLL002W	0.008	-0.010	0.038	0.083	0.134	0.097	0.113	0.115	0.034	-0.015	0.002	-0.022	0.013	0.011	-0.004	-0.045
YLL003W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	-0.007	0.030	0.058	0.007	0.004	-0.003	0.051
YLL004W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.019	-0.004	0.004	0.008	0.012	0.009	0.010	-0.011
YLL005C	0.011	-0.001	0.020	0.018	0.020	0.011	0.022	0.013	0.006	-0.012	0.017	0.030	0.009	0.010	0.006	0.016
YLL006W	0.004	-0.090	-0.158	-0.353	-0.265	-0.332	-0.325	-0.277	-0.007	0.015	0.031	0.041	0.007	0.002	0.015	0.031
YLL007C	0.000	0.003	0.016	0.056	0.058	0.040	0.046	0.061	0.014	-0.004	0.028	0.134	0.050	0.063	0.047	0.081
YLL008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014	-0.013	0.002	-0.013	0.004	0.014	0.018	-0.016
YLL009C	0.044	0.023	-0.050	-0.452	-0.366	-0.515	-0.542	-0.384	0.021	0.011	-0.005	-0.043	-0.014	-0.005	0.001	-0.048
YLL010C	0.004	0.004	0.028	0.053	0.048	0.018	0.034	0.042	-0.012	-0.018	0.055	0.085	0.017	0.010	-0.001	0.083
YLL011W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	-0.013	0.005	-0.027	0.000	-0.002	0.009	-0.027
YLL012W	0.010	0.017	0.010	0.023	0.026	0.004	0.012	0.019	-0.013	-0.004	0.025	0.041	-0.001	-0.006	0.004	0.022
YLL013C	0.022	0.044	-0.001	0.007	0.024	0.023	0.024	-0.001	0.014	0.023	0.005	-0.016	0.023	0.024	0.042	-0.023
YLL014W	0.010	-0.011	0.008	0.000	0.014	0.000	0.007	0.002	-0.021	0.001	0.023	0.044	0.009	0.029	-0.014	0.001
YLL015W	0.015	0.028	-0.001	0.005	0.012	0.012	0.016	0.008	0.012	0.007	0.011	0.006	0.011	0.011	0.020	-0.009
YLL016W	0.008	0.008	0.001	0.010	0.008	0.009	0.020	0.006	0.015	0.002	0.009	0.007	0.006	0.014	0.008	-0.001
YLL017W	-0.009	0.001	0.008	0.019	0.016	0.003	0.007	0.019	-0.010	0.004	0.029	0.084	0.011	0.035	-0.005	0.075
YLL018C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.004	0.012	-0.008	0.007	0.028	0.002	0.004
YLL018C-A	0.031	-0.054	-0.015	-0.237	-0.207	-0.318	-0.333	-0.189	-0.001	0.011	0.008	0.079	0.028	0.053	0.012	0.099
YLL019C	0.017	0.022	0.007	-0.007	0.002	0.006	0.016	-0.007	0.008	-0.006	0.009	0.004	0.002	0.010	0.007	-0.003
YLL020C	0.016	0.003	0.008	-0.019	-0.014	-0.016	-0.008	-0.022	-0.000	0.009	0.012	0.044	-0.005	0.005	0.033	0.042
YLL021W	0.013	0.012	0.008	-0.022	0.005	0.009	0.021	-0.002	0.034	0.008	-0.008	-0.017	0.042	0.048	0.049	-0.023
YLL023C	0.025	0.026	0.008	0.009	0.027	0.019	0.025	0.011	0.013	-0.004	-0.007	-0.039	0.009	0.015	0.017	-0.051
YLL024C	0.018	0.011	0.008	0.015	0.016	0.012	0.019	0.011	0.014	-0.011	0.002	0.001	-0.004	-0.002	-0.009	-0.014
YLL025W	0.017	0.026	0.013	0.022	0.028	0.011	0.015	0.018	-0.007	0.004	0.020	0.010	-0.006	0.015	0.009	-0.017
YLL026W	0.009	0.026	0.023	0.038	0.032	0.015	0.018	0.032	-0.018	-0.005	0.032	0.052	-0.005	-0.004	0.003	0.032
YLL027W	-0.000	-0.069	-0.055	-0.297	-0.224	-0.373	-0.406	-0.255	-0.005	-0.013	0.032	0.065	-0.012	-0.002	-0.018	0.047
YLL028W	0.003	-0.008	0.020	0.027	0.033	0.009	0.020	0.023	-0.010	-0.029	0.030	0.044	0.000	0.003	-0.023	0.031
YLL029W	0.002	-0.010	0.020	0.007	0.014	-0.017	-0.012	0.024	-0.027	-0.004	0.044	0.116	0.013	0.056	-0.012	0.124
YLL030C	0.001	0.013	0.029	0.038	0.029	0.010	0.012	0.038	-0.019	-0.014	0.027	0.055	-0.006	0.003	-0.023	0.048
YLL031C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014	-0.013	0.007	0.011	-0.004	-0.001	-0.002	-0.001
YLL032C	0.011	0.013	0.011	0.008	0.025	0.013	0.017	0.016	0.003	-0.002	0.006	-0.020	0.000	-0.003	0.006	-0.026
YLL033W	0.033	-0.014	-0.117	-0.245	-0.184	-0.254	-0.274	-0.227	0.008	0.018	0.003	-0.022	-0.001	-0.005	0.017	-0.026
YLL034C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004	-0.008	0.018	0.026	-0.002	0.002	0.012	0.019
YLL035W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.012	0.014	0.006	-0.011	0.004	-0.001	0.023	-0.024
YLL036C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.005	-0.015	0.004	-0.006	0.011	0.001	0.011	-0.019
YLL037W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.021	-0.004	0.042	0.077	-0.006	0.010	-0.011	0.058
YLL038C	0.014	0.010	0.012	0.017	0.020	0.015	0.018	0.017	0.021	-0.041	0.010	0.008	0.007	0.006	-0.024	-0.010
YLL039C	0.014	0.018	0.009	-0.011	-0.004	0.002	0.013	0.009	0.011	0.001	0.017	0.002	0.001	0.008	0.016	-0.003
YLL040C	-0.008	0.004	0.039	0.075	0.056	0.031	0.040	0.073	-0.033	-0.045	0.070	0.131	0.007	0.008	-0.049	0.131
YLL041C	0.007	0.000	0.006	-0.213	-0.295	-0.383	-0.347	-0.374	0.004	0.021	0.028	0.054	-0.005	0.008	0.006	0.050
YLL042C	0.003	0.012	0.026	0.031	0.029	0.013	0.018	0.025	-0.006	-0.010	0.049	0.056	0.007	0.011	-0.003	0.048
YLL043W	0.001	0.010	0.033	0.045	0.059	0.035	0.040	0.041	-0.014	0.002	0.033	0.041	0.001	0.002	0.001	0.024
YLL044W	0.012	0.008	0.069	0.146	0.144	0.145	0.149	0.147	0.011	-0.026	0.030	0.021	0.001	0.005	-0.020	0.004
YLL045C	0.002	0.019	0.085	0.167	0.150	0.140	0.150	0.161	0.003	-0.005	0.032	0.025	0.007	0.011	-0.006	0.016
YLL046C	0.004	0.011	0.010	0.005	0.022	0.007	0.011	0.013	0.008	-0.014	0.014	-0.002	0.008	0.009	0.000	-0.007
YLL047W	-0.001	-0.022	0.017	0.016	0.023	-0.001	0.013	0.025	0.012	-0.005	0.037	0.059	0.003	0.013	-0.001	0.042
YLL048C	0.012	0.019	0.011	0.018	0.022	0.011	0.014	0.020	0.014	-0.005	0.024	0.013	0.012	0.011	0.009	0.012
YLL049W	-0.004	-0.001	0.007	-0.024	0.011	-0.019	-0.008	0.008	0.022	-0.032	0.028	0.049	0.004	0.024	-0.044	0.032
YLL050C	-0.012	0.006	0.002	0.014	0.002	-0.003	0.022	0.001	0.012	-0.012	0.009	0.026	0.016	0.004	0.012	-0.040
YLL051C	-0.000	0.009	0.015	0.018	0.019	0.005	0.019	0.023	-0.000	0.006	0.007	-0.013	-0.012	-0.008	0.017	-0.023
YLL052C	-0.016	-0.016	0.018	0.004	0.016	-0.015	0.003	0.005	0.000	-0.025	0.041	0.040	0.009	0.017	-0.028	0.024
YLL053C	-0.001	0.007	0.027	0.018	0.029	-0.001	0.015	0.024	0.000	-0.011	0.030	0.033	0.008	0.005	-0.005	0.019
YLL054C	-0.005	0.018	0.017	0.033	0.024	0.012	0.030	0.021	-0.025	0.006	0.048	0.084	0.015	0.025	-0.009	0.083
YLL055W	0.016	0.006	-0.008	-0.017	0.006	0.005	0.007	-0.009	0.026	-0.002	-0.004	-0.033	0.012	0.007	0.002	-0.045
YLL056C	0.003	0.010	0.013	0.016	0.024	0.006	0.010	0.019	-0.003	0.007	0.030	0.041	0.009	0.005	0.005	0.030
YLL057C	0.005	0.028	0.012	0.014	0.026	0.017	0.018	0.020	0.008	0.013	0.025	0.004	-0.005	0.004	0.007	0.010
YLL058W	-0.004	-0.000	0.021	0.036	0.021	0.003	0.011	0.029	0.008	-0.020	0.041	0.070	0.010	0.032	-0.005	0.061
YLL059C	-0.010	-0.014	0.004	-0.002	-0.008	-0.013	-0.004	-0.001	0.005	-0.001	0.046	0.126	0.034	0.073	0.023	0.053
YLL060C	-0.004	0.018	0.002	-0.003	0.011	0.011	0.015	-0.002	0.015	0.024	-0.008	-0.014	-0.000	0.030	0.027	-0.022
YLL061W	0.009	0.004	-0.002	-0.014	0.010	0.003	0.010	-0.006	0.007	-0.006	0.007	-0.024	0.010	0.005	-0.001	-0.024
YLL062C	-0.008	0.006	0.008	0.012	0.021	0.002	0.013	0.012	0.003	-0.002	0.023	0.062	0.058	0.068	0.056	0.028
YLL063C	0.004	0.013	0.006	-0.006	0.017	0.009	0.013	-0.001	0.025	0.004	-0.002	-0.029	0.018	0.000	0.018	-0.054
YLR001C	0.017	0.016	0.012	0.011	0.016	0.015	0.019	0.022	0.023	0.037	-0.005	-0.027	-0.002	0.010	0.036	-0.023
YLR002C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	-0.022	0.019	0.030	0.022	0.013	-0.010	0.009
YLR003C	0.009	0.001	0.006	-0.006	0.015	0.005	0.014	-0.007	0.014	-0.014	0.003	-0.023	0.008	0.008	-0.003	-0.042
YLR004C	0.022	0.006	-0.001	-0.016	0.005	0.003	0.010	-0.008	0.016	-0.013	-0.011	-0.028	0.013	0.005	0.007	-0.049
YLR005W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009	-0.015	0.004	-0.013	0.003	-0.005	-0.006	-0.031
YLR006C	0.011	-0.005	0.012	-0.001	0.040	0.020	0.028	0.019	0.037	-0.021	0.001	-0.020	0.015	0.016	-0.009	-0.032
YLR007W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.021	-0.005	-0.012	-0.020	0.015	0.016	0.013	-0.038
YLR008C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	0.011	0.006	0.086	0.031	0.075	0.007	0.022
YLR009W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	-0.009	0.026	0.084	0.087	0.078	0.065	0.065
YLR010C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.006	0.045	0.096	0.019	0.019	-0.007	0.081
YLR011W	0.000	-0.002	0.025	0.030	0.030	0.002	0.008	0.020	-0.019	-0.024	0.044	0.078	0.007	0.017	-0.019	0.059
YLR012C	0.007	-0.007	0.007	0.006	0.016	-0.006	0.008	0.001	0.004	-0.024	-0.000	-0.014	0.003	0.000	-0.010	-0.020
YLR013W	0.003	-0.000	0.015	0.026	0.022	0.001	0.010	0.020	0.014	-0.024	0.024	0.059	0.011	0.009	-0.015	0.024
YLR014C	0.014	-0.009	-0.009	-0.020	-0.005	-0.035	-0.020	-0.014	-0.039	-0.018	0.032	0.133	0.016	0.047	-0.007	0.129
YLR015W	-0.003	-0.026	0.001	0.003	0.019	-0.023	-0.012	0.013	-0.007	-0.023	0.023	0.007	0.002	-0.002	-0.008	-0.009
YLR016C	0.001	0.001	0.020	0.017	0.027	-0.002	0.006	0.009	-0.018	-0.011	0.028	0.009	-0.004	-0.001	-0.007	-0.007
YLR017W	-0.006	-0.005	0.037	0.047	0.041	0.006	0.018	0.038	-0.026	-0.039	0.064	0.093	0.015	0.017	-0.031	0.089
YLR018C	0.004	-0.002	0.038	0.066	0.062	0.034	0.048	0.065	-0.001	-0.011	0.014	0.035	0.001	0.012	0.001	0.018
